log_id,channel,lag_s,n,correlation
9.11数据/log_15_2026-9-11-18-40-48.ulg,common,-0.04,859,-0.7310127346447605
9.11数据/log_15_2026-9-11-18-40-48.ulg,differential,0.08,735,-0.45225999060380145
9.11数据/log_15_2026-9-11-18-40-48.ulg,rudder,0.0,718,-0.6221060277702237
9.12数据/log_10_2026-9-12-06-13-40.ulg,common,-0.04,1218,-0.7427384369290375
9.12数据/log_10_2026-9-12-06-13-40.ulg,differential,0.08,1121,-0.45186620370502273
9.12数据/log_10_2026-9-12-06-13-40.ulg,rudder,0.0,1228,-0.5441872190183794
9.12数据/log_11_2026-9-12-06-21-12.ulg,common,-0.04,1163,-0.7603132217181027
9.12数据/log_11_2026-9-12-06-21-12.ulg,differential,0.08,1055,-0.44538861981188427
9.12数据/log_11_2026-9-12-06-21-12.ulg,rudder,0.0,1168,-0.5218491304978774
9.12数据/log_12_2026-9-12-06-29-44.ulg,common,-0.04,1095,-0.7703370611982635
9.12数据/log_12_2026-9-12-06-29-44.ulg,differential,0.08,1030,-0.47531928931719
9.12数据/log_12_2026-9-12-06-29-44.ulg,rudder,0.0,1107,-0.47069042289812246
9.12数据/log_2_2026-9-12-18-32-54.ulg,common,-0.04,1481,-0.808100598998077
9.12数据/log_2_2026-9-12-18-32-54.ulg,differential,0.08,1276,-0.5234907052945278
9.12数据/log_2_2026-9-12-18-32-54.ulg,rudder,0.0,1256,-0.49190514529600965
9.12数据/log_3_2026-9-12-18-40-02.ulg,common,-0.04,1271,-0.7730507942748825
9.12数据/log_3_2026-9-12-18-40-02.ulg,differential,0.08,1173,-0.49552417025836626
9.12数据/log_3_2026-9-12-18-40-02.ulg,rudder,0.0,1292,-0.42705879076901904
9.12数据/log_7_2026-9-12-05-49-02.ulg,common,-0.04,1261,-0.8274295582354331
9.12数据/log_7_2026-9-12-05-49-02.ulg,differential,0.08,1098,-0.6414383539736235
9.12数据/log_7_2026-9-12-05-49-02.ulg,rudder,0.0,1083,-0.5665972248749994
9.12数据/log_8_2026-9-12-05-55-30.ulg,common,-0.04,1598,-0.7860374301779529
9.12数据/log_8_2026-9-12-05-55-30.ulg,differential,0.08,1382,-0.4663221669465654
9.12数据/log_8_2026-9-12-05-55-30.ulg,rudder,0.0,1376,-0.6001657712575748
9.12数据/log_9_2026-9-12-06-03-32.ulg,common,-0.02,1773,-0.7253731992154704
9.12数据/log_9_2026-9-12-06-03-32.ulg,differential,0.08,1703,-0.4239611289382399
9.12数据/log_9_2026-9-12-06-03-32.ulg,rudder,0.0,1679,-0.5834266341815184
9.13数据/log_1_2026-9-13-06-11-06.ulg,common,-0.04,1392,-0.816628004277271
9.13数据/log_1_2026-9-13-06-11-06.ulg,differential,0.08,1196,-0.5713192041286463
9.13数据/log_1_2026-9-13-06-11-06.ulg,rudder,0.0,1187,-0.4232046676496881
9.13数据/log_2_2026-9-13-06-20-06.ulg,common,-0.04,1126,-0.8020176379282777
9.13数据/log_2_2026-9-13-06-20-06.ulg,differential,0.08,1066,-0.47763848789856955
9.13数据/log_2_2026-9-13-06-20-06.ulg,rudder,0.0,1150,-0.41596758853029236
9.13数据/log_3_2026-9-13-06-31-26.ulg,common,-0.04,1146,-0.7850484488416855
9.13数据/log_3_2026-9-13-06-31-26.ulg,differential,0.08,1056,-0.6866254307040397
9.13数据/log_3_2026-9-13-06-31-26.ulg,rudder,-0.02,1188,-0.35765777507062063
9.13数据/log_4_2026-9-13-06-36-26.ulg,common,-0.04,1358,-0.7766178432601821
9.13数据/log_4_2026-9-13-06-36-26.ulg,differential,0.08,1157,-0.5784455988331189
9.13数据/log_4_2026-9-13-06-36-26.ulg,rudder,0.0,1151,-0.2777720204788072
9.13数据/log_5_2026-9-13-06-42-40.ulg,common,-0.04,1433,-0.776847028063559
9.13数据/log_5_2026-9-13-06-42-40.ulg,differential,0.08,1235,-0.5295964142533747
9.13数据/log_5_2026-9-13-06-42-40.ulg,rudder,0.0,1222,-0.4967835572971931
9.13数据/log_7_2026-9-13-18-12-52.ulg,common,-0.04,881,-0.7395549373069265
9.13数据/log_7_2026-9-13-18-12-52.ulg,differential,0.08,763,-0.6118732722647052
9.13数据/log_7_2026-9-13-18-12-52.ulg,rudder,0.0,758,-0.40380753477103165
9.14数据/log_11_2026-9-14-18-13-22.ulg,common,-0.04,1195,-0.7104845730639349
9.14数据/log_11_2026-9-14-18-13-22.ulg,differential,0.08,1139,-0.5340697655232783
9.14数据/log_11_2026-9-14-18-13-22.ulg,rudder,0.0,1222,-0.33248715200362866
9.14数据/log_12_2026-9-14-18-20-30.ulg,common,-0.04,1478,-0.7045618267341817
9.14数据/log_12_2026-9-14-18-20-30.ulg,differential,-0.06,1303,0.5708029742482656
9.14数据/log_12_2026-9-14-18-20-30.ulg,rudder,0.0,1279,-0.4606302906216454
9.14数据/log_13_2026-9-14-18-28-32.ulg,common,-0.02,1539,-0.7257225109609496
9.14数据/log_13_2026-9-14-18-28-32.ulg,differential,0.08,1479,-0.6261561768288009
9.14数据/log_13_2026-9-14-18-28-32.ulg,rudder,0.0,1467,-0.36167233040672575
9.14数据/log_14_2026-9-14-18-34-22.ulg,common,-0.04,947,-0.7425178899841058
9.14数据/log_14_2026-9-14-18-34-22.ulg,differential,-0.02,984,0.6830270228515474
9.14数据/log_14_2026-9-14-18-34-22.ulg,rudder,0.0,969,-0.4521199282516182
9.15数据/log_10_2026-9-15-17-44-04.ulg,common,-0.04,1151,-0.7767212728510289
9.15数据/log_10_2026-9-15-17-44-04.ulg,differential,-0.06,1019,0.53908508199046
9.15数据/log_10_2026-9-15-17-44-04.ulg,rudder,0.0,1016,-0.4424197504846341
9.15数据/log_11_2026-9-15-17-51-56.ulg,common,-0.04,1049,-0.7521177411918302
9.15数据/log_11_2026-9-15-17-51-56.ulg,differential,0.08,900,-0.5491791413524068
9.15数据/log_11_2026-9-15-17-51-56.ulg,rudder,0.0,892,-0.49658066449798877
9.15数据/log_12_2026-9-15-18-03-58.ulg,common,-0.04,1117,-0.7622753188754103
9.15数据/log_12_2026-9-15-18-03-58.ulg,differential,0.08,1053,-0.5764965338184841
9.15数据/log_12_2026-9-15-18-03-58.ulg,rudder,0.0,1141,-0.5446826143246716
9.15数据/log_13_2026-9-15-18-10-58.ulg,common,-0.04,1349,-0.7582832312628626
9.15数据/log_13_2026-9-15-18-10-58.ulg,differential,0.08,1150,-0.6282963616857512
9.15数据/log_13_2026-9-15-18-10-58.ulg,rudder,0.0,1146,-0.4736628888254657
9.15数据/log_14_2026-9-15-18-17-26.ulg,common,-0.04,1339,-0.7499452000452566
9.15数据/log_14_2026-9-15-18-17-26.ulg,differential,-0.06,1176,0.6060108394733371
9.15数据/log_14_2026-9-15-18-17-26.ulg,rudder,0.0,1156,-0.486434506944255
9.15数据/log_15_2026-9-15-18-23-44.ulg,common,-0.04,1380,-0.775282287441631
9.15数据/log_15_2026-9-15-18-23-44.ulg,differential,-0.06,1192,0.5186521415280217
9.15数据/log_15_2026-9-15-18-23-44.ulg,rudder,0.0,1167,-0.5087619142943018
9.16数据/log_1_2026-9-16-18-02-34.ulg,common,-0.04,1136,-0.7349827795443528
9.16数据/log_1_2026-9-16-18-02-34.ulg,differential,0.06,998,-0.6226058758162997
9.16数据/log_1_2026-9-16-18-02-34.ulg,rudder,0.0,973,-0.4876529740161538
9.16数据/log_2_2026-9-16-18-08-46.ulg,common,-0.04,1347,-0.753627741595789
9.16数据/log_2_2026-9-16-18-08-46.ulg,differential,0.08,1153,-0.6079875500488101
9.16数据/log_2_2026-9-16-18-08-46.ulg,rudder,0.0,1142,-0.507394133805593
9.16数据/log_3_2026-9-16-18-13-58.ulg,common,-0.04,1019,-0.7773794668429294
9.16数据/log_3_2026-9-16-18-13-58.ulg,differential,0.08,877,-0.5664072989556147
9.16数据/log_3_2026-9-16-18-13-58.ulg,rudder,0.0,871,-0.4790367597109318
9.16数据/log_4_2026-9-16-18-20-50.ulg,common,-0.04,1346,-0.7388853464212873
9.16数据/log_4_2026-9-16-18-20-50.ulg,differential,0.08,1161,-0.59087113266717
9.16数据/log_4_2026-9-16-18-20-50.ulg,rudder,0.02,1213,-0.4020854811667837
9.16数据/log_5_2026-9-16-18-26-48.ulg,common,-0.04,1286,-0.7460499650745276
9.16数据/log_5_2026-9-16-18-26-48.ulg,differential,-0.06,1111,0.6326036363998733
9.16数据/log_5_2026-9-16-18-26-48.ulg,rudder,0.0,1094,-0.4354511203080709
9.18数据/log_0_2026-9-18-18-15-06.ulg,common,-0.04,1442,-0.704727672817838
9.18数据/log_0_2026-9-18-18-15-06.ulg,differential,0.08,1241,-0.5777317195259184
9.18数据/log_0_2026-9-18-18-15-06.ulg,rudder,-0.02,1285,-0.5407970294686821
9.18数据/log_1_2026-9-18-18-23-36.ulg,common,-0.02,1135,-0.7110641468044415
9.18数据/log_1_2026-9-18-18-23-36.ulg,differential,-0.06,1043,0.6072854220736358
9.18数据/log_1_2026-9-18-18-23-36.ulg,rudder,0.0,1128,-0.5018592438732327
9.18数据/log_2_2026-9-18-18-29-40.ulg,common,-0.02,1249,-0.7014737173670325
9.18数据/log_2_2026-9-18-18-29-40.ulg,differential,0.08,1084,-0.6513876220409601
9.18数据/log_2_2026-9-18-18-29-40.ulg,rudder,-0.02,1249,-0.5582481585540511
