channel,flight_id,interval,axis,n,sign_aligned_mean
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,early_100ms,q,2,-0.8041074910288555
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,early_100ms,r,2,-0.036737722698389416
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_100ms,p,2,-0.2430085465312004
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_100ms,q,2,-0.9478241167962551
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_100ms,r,2,-0.12756528379395604
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_1s,p,2,-0.02020541951060295
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_1s,q,2,0.0009612292051315308
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_1s,r,2,-0.1638880344107747
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_200ms,p,2,1.0420765839517117
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_200ms,q,2,-0.47137439250946045
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_200ms,r,2,0.005144532769918435
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_500ms,p,2,-0.38743508234620094
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_500ms,q,2,0.020447924733161926
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,endpoint_500ms,r,2,-0.10744672361761332
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,late_1s,p,2,0.09513703897931211
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,late_1s,q,2,-0.5406388344706565
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,late_1s,r,2,-0.2701719932566177
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,late_500ms,p,2,-0.03680081790490891
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,late_500ms,q,2,-0.6622788917667435
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,late_500ms,r,2,-0.09223526474624721
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,early_100ms,p,3,0.09987183790533698
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,early_100ms,q,3,0.021082990099646943
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,early_100ms,r,3,-0.07356448411686776
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_100ms,p,3,0.273095707098643
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_100ms,q,3,0.21914773186047876
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_100ms,r,3,-0.0800111989180247
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_1s,p,3,-0.12791561335325238
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_1s,q,3,0.2290524703760942
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_1s,r,3,0.1727001741528511
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_200ms,p,3,0.3507838894923528
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_200ms,q,3,0.6312841176986694
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_200ms,r,3,0.07508802763186395
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_500ms,p,3,-0.45372897386550903
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_500ms,q,3,0.6532148693998655
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,endpoint_500ms,r,3,0.034013497332731894
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,late_1s,p,3,0.20605356793700927
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,late_1s,q,3,0.459520824872548
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,late_1s,r,3,0.17232048639174272
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,late_500ms,p,3,0.20579169192352806
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,late_500ms,q,3,0.5753245247000358
common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,late_500ms,r,3,0.08200509401832791
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,early_100ms,p,2,-0.0641481588636083
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,early_100ms,q,2,-0.1762843720538483
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,early_100ms,r,2,0.10214714851596612
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_100ms,p,2,0.430089526809752
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_100ms,q,2,0.14388404041528702
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_100ms,r,2,0.1725381352007389
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_1s,p,2,0.26582099217921495
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_1s,q,2,1.03095144033432
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_1s,r,2,0.3997262232005596
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_200ms,p,2,-0.10604886617511511
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_200ms,q,2,0.6300941593945026
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_200ms,r,2,0.07508713752031326
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_500ms,p,2,0.34614330623298883
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_500ms,q,2,1.0485564544796944
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,endpoint_500ms,r,2,0.35902705788612366
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,late_1s,p,2,0.14286132356892237
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,late_1s,q,2,0.6178262066701474
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,late_1s,r,2,0.50676362664562
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,late_500ms,p,2,0.10028294385360727
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,late_500ms,q,2,0.44961447281996264
common,9.11数据/log_13_2026-9-11-18-28-08.ulg,late_500ms,r,2,0.43318453803557466
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,early_100ms,p,3,-0.20739685877795402
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,early_100ms,q,3,-1.1527867622131651
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,early_100ms,r,3,0.019330345413999472
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_100ms,p,3,-0.28686978047092754
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_100ms,q,3,-1.319521556297938
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_100ms,r,3,0.1378308217972517
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_1s,p,3,0.2413884191773832
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_1s,q,3,-0.7211659848690033
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_1s,r,3,0.07732170261442661
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_200ms,p,3,0.036716099828481674
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_200ms,q,3,-1.0517686704794567
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_200ms,r,3,0.1728119309991598
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_500ms,p,3,-0.23616339514652887
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_500ms,q,3,-0.27931887780626613
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,endpoint_500ms,r,3,-0.11922538218398888
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,late_1s,p,3,-0.112038357223804
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,late_1s,q,3,-0.8024398728151034
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,late_1s,r,3,-0.007416727212291083
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,late_500ms,p,3,-0.03295509777859693
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,late_500ms,q,3,-0.9950012221738973
common,9.11数据/log_14_2026-9-11-18-34-58.ulg,late_500ms,r,3,-0.0052294975786863806
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,early_100ms,p,2,0.3373782289817264
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,early_100ms,q,2,-0.5534773367477608
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,early_100ms,r,2,0.027493070074130366
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_100ms,p,2,-0.11192261800169945
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_100ms,q,2,-0.9808641970157623
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_100ms,r,2,0.1725107990205288
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_1s,p,2,0.30902301147580147
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_1s,q,2,-0.2893202006816864
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_1s,r,2,-0.38951633498072624
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_200ms,p,2,1.1804533042013645
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_200ms,q,2,0.29114945232868195
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_200ms,r,2,0.10066801775246859
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_500ms,p,2,0.3124509640038013
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_500ms,q,2,0.30031087435781956
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,endpoint_500ms,r,2,-0.42881059274077415
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,late_1s,p,2,0.7042105899851218
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,late_1s,q,2,0.2852167939170256
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,late_1s,r,2,-0.21605256280541518
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,late_500ms,p,2,0.535605501990312
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,late_500ms,q,2,0.32499099622974253
common,9.12数据/log_10_2026-9-12-06-13-40.ulg,late_500ms,r,2,-0.18065619726458304
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,early_100ms,p,2,-0.0068004764754046095
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,early_100ms,q,2,-0.15620140920205858
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,early_100ms,r,2,-0.04485327143302443
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_100ms,p,2,-0.12322456389665604
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_100ms,q,2,-0.08116117864847183
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_100ms,r,2,-0.12354293465614319
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_1s,p,2,0.10838036984205246
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_1s,q,2,0.2480662614107132
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_1s,r,2,-0.06588786840438843
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_200ms,p,2,0.15663236379623413
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_200ms,q,2,-0.014352232217788696
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_200ms,r,2,0.0848260447382927
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_500ms,p,2,0.18420655652880671
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_500ms,q,2,-0.08849690854549408
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,endpoint_500ms,r,2,0.11084736883640288
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,late_1s,p,2,0.3710536294150177
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,late_1s,q,2,0.19389366978317824
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,late_1s,r,2,0.07051777545014495
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,late_500ms,p,2,-0.048205881600954195
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,late_500ms,q,2,0.09447346310983568
common,9.12数据/log_12_2026-9-12-06-29-44.ulg,late_500ms,r,2,0.04294897213010286
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,early_100ms,p,3,0.02647735772446864
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,early_100ms,q,3,-0.707484765412684
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,early_100ms,r,3,0.0009179132341689857
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_100ms,p,3,-0.07895707835753758
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_100ms,q,3,-0.7446850091218948
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_100ms,r,3,0.004687477524081866
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_1s,p,3,0.2985937719543775
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_1s,q,3,-0.596716433763504
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_1s,r,3,0.10432302206754684
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_200ms,p,3,0.08955798794825869
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_200ms,q,3,-0.7985579576343298
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_200ms,r,3,-0.015516414617498716
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_500ms,p,3,0.022393718982736285
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_500ms,q,3,-0.5526542166868845
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,endpoint_500ms,r,3,-0.09577812347561121
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,late_1s,p,3,0.05614103752838929
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,late_1s,q,3,-0.5069101666787285
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,late_1s,r,3,0.0736883885553193
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,late_500ms,p,3,-0.1898270354676919
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,late_500ms,q,3,-0.3606296084253502
common,9.12数据/log_2_2026-9-12-18-32-54.ulg,late_500ms,r,3,-0.07648581125451331
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,early_100ms,p,1,-0.09951409202990137
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,early_100ms,q,1,0.25072455058437604
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,early_100ms,r,1,0.10497626782217757
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_100ms,p,1,-0.1366115203127265
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_100ms,q,1,0.8948083817958832
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_100ms,r,1,0.23374757170677188
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_1s,p,1,1.1256477981805801
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_1s,q,1,1.4121561646461487
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_1s,r,1,0.313771516084671
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_200ms,p,1,-0.6276356428861618
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_200ms,q,1,1.1977185010910034
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_200ms,r,1,0.1490713655948639
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_500ms,p,1,-0.7792689055204391
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_500ms,q,1,1.1229804456233978
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,endpoint_500ms,r,1,-0.005397170782089233
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,late_1s,p,1,-0.08360253071605604
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,late_1s,q,1,0.956865373082311
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,late_1s,r,1,0.16666281385810974
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,late_500ms,p,1,-0.012843724969939409
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,late_500ms,q,1,0.9941577480488943
common,9.12数据/log_3_2026-9-12-18-40-02.ulg,late_500ms,r,1,0.1247273082935557
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,early_100ms,p,1,0.14974129514990955
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,early_100ms,q,1,-0.7905330526720467
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,early_100ms,r,1,0.014464129641463692
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_100ms,p,1,0.44000817276537413
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_100ms,q,1,-0.9097246676683425
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_100ms,r,1,-0.013387560844421387
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_1s,p,1,0.02419506199657917
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_1s,q,1,-0.85891093313694
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_1s,r,1,-0.46168872714042664
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_200ms,p,1,-0.2780484464019537
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_200ms,q,1,0.17794527113437653
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_200ms,r,1,-0.15084336698055267
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_500ms,p,1,0.6744633410125971
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_500ms,q,1,-0.4695944041013718
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,endpoint_500ms,r,1,-0.1711469292640686
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,late_1s,p,1,0.22542094785604347
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,late_1s,q,1,-0.5142564964126153
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,late_1s,r,1,-0.4125088811768776
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,late_500ms,p,1,0.21388189948610636
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,late_500ms,q,1,-0.09982901172184178
common,9.12数据/log_7_2026-9-12-05-49-02.ulg,late_500ms,r,1,-0.1955595414260659
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,early_100ms,p,1,0.15906903953753584
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,early_100ms,q,1,-0.7884209067948135
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,early_100ms,r,1,-0.16229159593379103
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_100ms,p,1,-0.1532202959060669
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_100ms,q,1,-1.4845458269119263
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_100ms,r,1,-0.2157883942127228
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_1s,p,1,0.39472629129886627
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_1s,q,1,-1.083609938621521
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_1s,r,1,0.09208531677722931
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_200ms,p,1,0.29014816135168076
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_200ms,q,1,-0.3144340515136719
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_200ms,r,1,-0.1734549179673195
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_500ms,p,1,-0.149798184633255
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_500ms,q,1,-0.34464477747678757
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,endpoint_500ms,r,1,-0.07698286324739456
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,late_1s,p,1,0.3505180775400928
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,late_1s,q,1,-0.550879116964602
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,late_1s,r,1,0.10081384162604494
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,late_500ms,p,1,0.15567324266522034
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,late_500ms,q,1,-0.3304885346089729
common,9.12数据/log_8_2026-9-12-05-55-30.ulg,late_500ms,r,1,-0.19362429742683873
common,9.12数据/log_9_2026-9-12-06-03-32.ulg,early_100ms,p,1,0.27604220346549896
common,9.12数据/log_9_2026-9-12-06-03-32.ulg,early_100ms,q,1,-0.9965180459146004
common,9.12数据/log_9_2026-9-12-06-03-32.ulg,early_100ms,r,1,0.06840644995667476
common,9.12数据/log_9_2026-9-12-06-03-32.ulg,endpoint_100ms,p,1,0.29951319098472595
