experiment,log_id,metric,n,rmse
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_m_s,7841,0.2099038991647236
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,attitude_deg,7841,0.5368229167670916
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_rad_s,7841,0.5135549527116217
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_hz,7841,0.1077730943925039
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,phase_rad,7841,0.0416445954370284
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_x_m_s,7841,0.0553687260359053
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_y_m_s,7841,0.0596333914469909
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_z_m_s,7841,0.1934885259808582
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_p_rad_s,7841,0.3905601253183838
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_q_rad_s,7841,0.3224670602265077
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_r_rad_s,7841,0.08494982657309
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_horizontal_m,7391,0.0023904295998533
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_vertical_m,7391,0.0037950194712277
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_m,7391,0.0044851227919481
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_m_s,7391,0.1981750867698246
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,attitude_deg,7391,0.5083413447165916
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_rad_s,7391,0.4742838449213342
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,frequency_hz,7391,0.1076322254512812
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,phase_rad,7391,0.0549556277749366
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_x_m_s,7391,0.0483418723537169
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_y_m_s,7391,0.0515160366650248
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_z_m_s,7391,0.1851554113708057
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_p_rad_s,7391,0.3526049176234433
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_q_rad_s,7391,0.308251071158212
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_r_rad_s,7391,0.0748078522011153
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_horizontal_m,9475,0.0065091335307818
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_vertical_m,9475,0.0035713247373743
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_m,9475,0.0074244986161578
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_m_s,9475,0.2000369840047014
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,attitude_deg,9475,0.5351503672776778
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,body_rate_rad_s,9475,0.494795683236699
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,frequency_hz,9475,0.1065307939521879
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,phase_rad,9475,0.0410544342295708
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_x_m_s,9475,0.0530942766793242
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_y_m_s,9475,0.0540198546495732
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_z_m_s,9475,0.1851422373669377
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,body_rate_p_rad_s,9475,0.3740633705285581
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,body_rate_q_rad_s,9475,0.3141029396689235
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,body_rate_r_rad_s,9475,0.0789854813863091
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,position_horizontal_m,7586,0.0064064189667045
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,position_vertical_m,7586,0.003347736825834
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,position_m,7586,0.0072283847318745
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,velocity_m_s,7586,0.2031885731422034
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,attitude_deg,7586,0.5587389396662203
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_rad_s,7586,0.5257477951468713
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,frequency_hz,7586,0.1074695862572123
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,phase_rad,7586,0.0415399729374725
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,velocity_x_m_s,7586,0.052974019724514
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,velocity_y_m_s,7586,0.0556351867625142
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,velocity_z_m_s,7586,0.1881065535373276
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_p_rad_s,7586,0.3946711585262767
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_q_rad_s,7586,0.336439753626202
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_r_rad_s,7586,0.0863348881348882
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,position_horizontal_m,7792,0.0070869194931362
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,position_vertical_m,7792,0.0036490370281136
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,position_m,7792,0.0079711918264923
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_m_s,7792,0.1996077141642573
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,attitude_deg,7792,0.5864840040042532
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_rad_s,7792,0.5450759878229765
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,frequency_hz,7792,0.1060657427067029
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,phase_rad,7792,0.0411761709813322
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_x_m_s,7792,0.0545033959476025
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_y_m_s,7792,0.051683771732578
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_z_m_s,7792,0.1849362244763137
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_p_rad_s,7792,0.4235223686019454
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_q_rad_s,7792,0.3317952446626609
R1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_r_rad_s,7792,0.0874559970169935
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_horizontal_m,7841,0.0063638439129309
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_vertical_m,7841,0.0029142133958527
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_m,7841,0.006999367761785
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_m_s,7841,0.2098200249247751
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,attitude_deg,7841,0.5373894331446991
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_rad_s,7841,0.5149466013103933
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_hz,7841,0.1077600247353527
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,phase_rad,7841,0.0416390274399063
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_x_m_s,7841,0.0552578383474906
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_y_m_s,7841,0.0595252345812123
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_z_m_s,7841,0.1934625560894084
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_p_rad_s,7841,0.3911097357650234
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_q_rad_s,7841,0.3239874683470145
R2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_r_rad_s,7841,0.0850605498749625
R2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_horizontal_m,7391,0.0023918105098047
R2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_vertical_m,7391,0.0037704100013455
R2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_m,7391,0.0044650586886466
R2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_m_s,7391,0.1979875203371039
R2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,attitude_deg,7391,0.50902783589625
