experiment,partition,kind,step,amplification_median,amplification_p90,contraction_fraction,velocity_rmse,attitude_rmse,body_rate_rmse
R1,train,velocity,3,0.9830722423894377,0.9871199747375722,1.0,0.9620765050254393,2.0379383132282203,1.0655674343384867
R1,train,velocity,4,0.9774012405178887,0.9834547665915437,1.0,1.1091367217144255,2.779633107233142,1.172145105688986
R1,train,velocity,5,0.972069914141261,0.9801032256103767,1.0,1.2262850228410371,3.5534836928140727,1.106945101171604
R1,train,velocity,6,0.9676293943227032,0.9770636641584368,1.0,1.3097135765831418,4.376955497401993,1.0357723033624093
R1,train,velocity,7,0.9628445090659989,0.9742123619310837,1.0,1.3432044566333785,5.15573422476812,1.0077777361131237
R1,train,velocity,8,0.9586413271865355,0.9713121307569667,1.0,1.3385092434742005,5.721829596924251,0.9528981838305677
R1,train,velocity,9,0.9542638695131092,0.9671630884332986,1.0,1.3099193616218194,6.199524249580866,0.9344684516143115
R1,train,velocity,10,0.95012076624385,0.9629645922129313,1.0,1.2832540673683166,6.654427397161556,0.9321297728747983
R1,train,velocity,11,0.9454859624317147,0.9598379280652467,1.0,1.3030587531263533,7.045284857625658,0.9418226432564265
R1,train,velocity,12,0.9407309960124515,0.9577375586385478,1.0,1.3444143160295559,7.357424326253092,0.8817254651936839
R1,train,velocity,13,0.9360491029899866,0.9547434514880959,1.0,1.3945699971136947,7.677938348631607,0.8614807716192762
R1,train,velocity,14,0.9328964140513611,0.952154218048509,1.0,1.4171989232983413,7.854037189656079,1.0179216671998317
R1,train,velocity,15,0.9281891841470414,0.9491441741080947,1.0,1.4210007508686116,8.133519729222263,1.0109151899649582
R1,train,velocity,16,0.9236990867498405,0.9460411511150159,1.0,1.4077996770208947,8.448661356859102,0.9669813202038495
R1,train,velocity,17,0.919766975203099,0.9444759558369965,1.0,1.4091891590031353,8.704309496806863,0.8970900033948901
R1,train,velocity,18,0.914572122876676,0.9423410963315498,1.0,1.417659827611439,8.899792694362716,0.9416875348180996
R1,train,velocity,19,0.910649405388765,0.9400515138624189,1.0,1.424791725190531,9.19093361497996,0.8984852381915508
R1,train,velocity,20,0.9076513920507872,0.9369507209477768,1.0,1.4079997869074257,9.54118860402899,0.9302429051527373
R1,validation,attitude,0,0.9999999252948054,1.0000006723467516,0.56,0.0,1.999999800929745,0.0
R1,validation,attitude,1,0.9991067873404578,1.0000301958396676,0.89,0.22180376718139475,2.070236569395695,0.6183508089675976
R1,validation,attitude,2,0.996511230058382,1.0002556486465286,0.8733333333333333,0.4042782003304184,2.273506623467201,0.6428881500513505
R1,validation,attitude,3,0.9914619806588252,1.0009134577672858,0.8266666666666667,0.5670889551755207,2.594096334182747,0.6957613347142223
R1,validation,attitude,4,0.9845709120383686,1.0024279561779328,0.74,0.6614922572611861,2.9412016597438737,0.7207804021973273
R1,validation,attitude,5,0.9823365917249056,1.0049030513336745,0.67,0.7009353646939246,3.1346763442586014,0.8103572248056344
R1,validation,attitude,6,0.9883548422039528,1.010391462690358,0.6133333333333333,0.6938529252131563,3.3777092597108376,0.7332036037009696
R1,validation,attitude,7,0.9981335654174714,1.0160390932283476,0.5333333333333333,0.648247100684841,3.505596703828774,0.7484034259634139
R1,validation,attitude,8,0.9999850589610748,1.0240714405776206,0.5,0.5882994780141808,3.58491411475026,0.7882700748716432
R1,validation,attitude,9,1.0019445388635098,1.0380248917708492,0.4533333333333333,0.5240013724034812,3.8871831325117197,0.7482785133273633
R1,validation,attitude,10,1.0031356758392196,1.0459544970659538,0.44333333333333336,0.48439223374545265,4.1567612804198655,0.72057830421777
R1,validation,attitude,11,1.004778853947609,1.0565084286135837,0.4266666666666667,0.4704888244993474,4.45158617150108,0.6675786973370643
R1,validation,attitude,12,1.0056327343221811,1.0633079983116625,0.42333333333333334,0.46353925686562136,4.557522960029767,0.7253392731183848
R1,validation,attitude,13,1.0070432057493117,1.0633982720688484,0.42,0.4777227443194162,4.8399461354930695,0.687620564300658
R1,validation,attitude,14,1.0061127525502487,1.0694266152196894,0.43333333333333335,0.5279445683786592,5.07792665238383,0.7685017506021764
R1,validation,attitude,15,1.0061027047015714,1.0649143915822188,0.44666666666666666,0.6057169679058343,5.366184668003798,0.7385791706269157
R1,validation,attitude,16,1.0053414961209328,1.0644428523937413,0.47333333333333333,0.6735629223541472,5.721707625506723,0.7335623623156352
R1,validation,attitude,17,0.9991678588370643,1.0689701515394874,0.5033333333333333,0.728242831189042,6.074146154850651,0.6543111665304294
R1,validation,attitude,18,0.9930562268647349,1.0742764839253098,0.5133333333333333,0.7561999741271951,6.403050819736621,0.6511160718823933
R1,validation,attitude,19,0.9896289019456967,1.0744413134667319,0.5333333333333333,0.7533206865501858,6.493785266375735,0.7344056793162813
R1,validation,attitude,20,0.9934240005378774,1.082441081880629,0.53,0.7292870615932138,6.619668070792712,0.6908876927499563
R1,validation,rate,0,1.0,1.000000170754734,0.39,0.0,9.035490975690201e-07,0.08726645632336592
R1,validation,rate,1,0.923927527934194,0.9663942559473447,1.0,0.22177083405562203,0.5569512049460735,0.6235098830375754
R1,validation,rate,2,0.7831076354174689,0.9287694918663544,1.0,0.40418731020008614,1.1230971451333136,0.6463167984219031
R1,validation,rate,3,0.6095732275701277,0.8968124189235178,1.0,0.5669242509069807,1.7092493393891701,0.6974681062156665
R1,validation,rate,4,0.4534026552019661,0.8660780864814672,1.0,0.6612160694890926,2.2251820347628133,0.7214440046667713
R1,validation,rate,5,0.37664631042561814,0.8490732116045601,1.0,0.700481772996506,2.496427750149383,0.8104270277521878
R1,validation,rate,6,0.41833650567170383,0.8394444631326016,1.0,0.6931381432845978,2.812291512838487,0.7332077773038963
R1,validation,rate,7,0.4698171370475789,0.8440470886915459,0.9933333333333333,0.6471840393084071,2.9765292805403725,0.7485266482214312
R1,validation,rate,8,0.477866899416753,0.8577541176223497,0.9933333333333333,0.586798186489534,3.07810812210884,0.7884111276925347
R1,validation,rate,9,0.43852012079872915,0.8736427090375188,0.9866666666666667,0.521962528207874,3.4314523373452563,0.7482724764021782
R1,validation,rate,10,0.3892943056881988,0.8964520581324249,0.98,0.4818482362584205,3.7384193652883964,0.7204561054834553
R1,validation,rate,11,0.3480318083626448,0.9113248381714695,0.96,0.46755533115028475,4.06716617545312,0.6672912391931816
R1,validation,rate,12,0.33755912169228863,0.9182135281121204,0.9566666666666667,0.46031418701961097,4.186423420223354,0.7249419109176736
R1,validation,rate,13,0.35440158960704726,0.9498103000280209,0.93,0.4743754221522497,4.4961667152621505,0.6871324553594976
R1,validation,rate,14,0.3723612844034504,0.9707859737963201,0.9133333333333333,0.5247272726547346,4.755653224396343,0.7680445071578108
R1,validation,rate,15,0.37957883088673106,0.9871489560140932,0.9,0.6027272492012599,5.067037647188191,0.7379901028029521
R1,validation,rate,16,0.37676750359822914,1.0054330826710758,0.8933333333333333,0.6706666228336371,5.446923130015587,0.7327999446352572
R1,validation,rate,17,0.3693053082694981,1.0244772898764816,0.8833333333333333,0.7253541287119988,5.8207646712872325,0.6532001279481268
R1,validation,rate,18,0.3770201352275042,1.034293142848459,0.8766666666666667,0.7532070859912138,6.167258372196485,0.6500231251865104
R1,validation,rate,19,0.37411060262248536,1.0327619509957817,0.87,0.7500976193874777,6.265399692062641,0.7336397801770665
R1,validation,rate,20,0.3607313502106174,1.0559281774852027,0.8566666666666667,0.7257163714553525,6.3993211636078895,0.6900816424039335
R1,validation,velocity,0,1.0,1.000000430466008,0.48,0.554260433350562,9.035490975690201e-07,0.0
R1,validation,velocity,1,0.9954129357909334,0.9966365933611708,1.0,0.5945830848526148,0.5483698934872935,0.6183229686347969
R1,validation,velocity,2,0.9901478486132296,0.9932825380908359,1.0,0.6815989660926667,1.1082609238067695,0.6427567448415988
R1,validation,velocity,3,0.9851502096977574,0.9886061384730248,1.0,0.7870412574373427,1.6907849094120293,0.6955213622078514
R1,validation,velocity,4,0.9806293993912656,0.9851847725722351,1.0,0.8557875442768781,2.204928535953179,0.720404386592915
R1,validation,velocity,5,0.9765595423030036,0.9820842179136718,1.0,0.8849965181485843,2.474136201293719,0.8099380178425405
R1,validation,velocity,6,0.9726154397045559,0.9790891867052377,1.0,0.8777821959194592,2.7899006682676153,0.7326298736320178
R1,validation,velocity,7,0.9692768032239848,0.9764402983214697,1.0,0.8406236876224003,2.9539422187654276,0.7480923505981548
R1,validation,velocity,8,0.9657267831568617,0.9738350535185475,1.0,0.7937400139882258,3.0555132771957862,0.7881184125595213
R1,validation,velocity,9,0.9624018784821594,0.9713986761792768,1.0,0.7456610819626365,3.4108417011763033,0.7478769824927196
R1,validation,velocity,10,0.9587223154370506,0.9691362097432584,1.0,0.7166830493999292,3.719329637044723,0.720368121093321
R1,validation,velocity,11,0.9550664496779246,0.966301228539864,1.0,0.7057039139061263,4.049415868475603,0.6674160567718654
R1,validation,velocity,12,0.9519910800377132,0.9631987992082274,1.0,0.6994891536269003,4.169345437027958,0.725122095238685
R1,validation,velocity,13,0.9489883889344405,0.9599083071585751,1.0,0.7073402289346773,4.480105232130483,0.6872045582679795
R1,validation,velocity,14,0.9457778641222002,0.9578535244188636,1.0,0.740700340555772,4.740241965431423,0.7678662720129416
R1,validation,velocity,15,0.9432273415568588,0.955541143275665,1.0,0.7965945826218789,5.051899828098196,0.7380944725696124
R1,validation,velocity,16,0.9405996970571986,0.952988016179742,1.0,0.8479840707377452,5.432324283449759,0.7328308506836182
R1,validation,velocity,17,0.9381248522984156,0.9506375045109032,1.0,0.8907064362105781,5.806389243956422,0.6533497462446906
R1,validation,velocity,18,0.9346501910664657,0.9487647758043369,1.0,0.9124273718198199,6.153577186329966,0.6498188567935101
R1,validation,velocity,19,0.9311634817204153,0.9464693021881406,1.0,0.908691026081899,6.251677116944949,0.733404941525585
R1,validation,velocity,20,0.927851502868977,0.9443409857184053,1.0,0.8874556912861968,6.385879362772377,0.6899723429299124
R2,train,attitude,0,0.9999999252948054,1.0000006723467516,0.5555555555555556,0.0,1.9999999099850856,0.0
R2,train,attitude,1,0.9991332329793552,0.9999537724255656,0.9472222222222222,0.2607474264475189,2.103512436162253,0.6361972490394373
R2,train,attitude,2,0.9970254632655882,0.9999588150262029,0.9027777777777778,0.5258033590285044,2.3447450886064876,0.828077455238079
R2,train,attitude,3,0.9928529913827557,1.0007315580888918,0.825,0.7885579852182529,2.8396044285411586,1.0687007204932422
R2,train,attitude,4,0.9882466317295373,1.0031935798355736,0.7166666666666667,0.964270684054013,3.401820179699815,1.172422148624723
R2,train,attitude,5,0.9862216727240128,1.0070530668350024,0.6277777777777778,1.0985072535219953,4.051075162339541,1.1057852746963548
R2,train,attitude,6,0.9941233905699633,1.0160780146347477,0.5527777777777778,1.1919674163723708,4.782778412060944,1.0331863083248811
R2,train,attitude,7,1.0011733197867914,1.0293970469036566,0.49166666666666664,1.2297023104655973,5.495574783405262,1.0028895781447802
R2,train,attitude,8,1.0009586544100344,1.0488759408185448,0.4861111111111111,1.2261193249825604,6.023717632824474,0.9484170562894819
R2,train,attitude,9,1.0011313354674116,1.064071253814634,0.48055555555555557,1.1972759556720132,6.472818503698015,0.9312920446493259
R2,train,attitude,10,1.0009121504263798,1.0762872414733358,0.46944444444444444,1.1704691029274563,6.907383941429104,0.9292292812637167
R2,train,attitude,11,1.0023662123345747,1.0837458230458052,0.4638888888888889,1.194586555957273,7.2833880826381545,0.9391736326295744
R2,train,attitude,12,1.0032374243142996,1.0827929881704326,0.4638888888888889,1.2410105053268081,7.580902850228156,0.8784440480549888
R2,train,attitude,13,1.005109648549412,1.078611260313986,0.45555555555555555,1.2962805700850932,7.889904810590081,0.8584624608689231
R2,train,attitude,14,1.0068555836530093,1.068676731946556,0.4444444444444444,1.321802913139385,8.05960203246628,1.0183727391200574
R2,train,attitude,15,1.0067389314916013,1.0603464453400766,0.45555555555555555,1.3270849743791857,8.328696564346831,1.012699785184165
R2,train,attitude,16,1.002190244248634,1.0634009838674132,0.4861111111111111,1.3140929090097522,8.633759093648063,0.968240830938622
R2,train,attitude,17,0.9954779078063193,1.0654576178754591,0.5333333333333333,1.3165048504921952,8.880949722152005,0.8977990935672617
R2,train,attitude,18,0.9904411715268622,1.0677354987879082,0.5111111111111111,1.3258800962690904,9.068592184454781,0.9402904715417877
R2,train,attitude,19,0.9920999630209286,1.072758063491945,0.5027777777777778,1.3337959930672216,9.350681014508023,0.8943509604770901
R2,train,attitude,20,0.9948999884206948,1.0767960436128927,0.5111111111111111,1.3164370292881213,9.69322324955513,0.926529568671942
R2,train,rate,0,0.9999999573113164,1.000000170754734,0.5,0.0,1.428636563053906e-06,0.08726645536306915
R2,train,rate,1,0.9325071422436456,0.9664076175052972,1.0,0.26071959370953823,0.6693503986359391,0.6412941366416378
R2,train,rate,2,0.8040583875323088,0.9272330493056004,1.0,0.5257105442217959,1.260687034554813,0.8307747811763575
R2,train,rate,3,0.6353304906654363,0.89479063164396,1.0,0.7883891108171771,2.0620487986899945,1.0698470722892373
R2,train,rate,4,0.49576191018540033,0.8742956153770103,1.0,0.9639783711064756,2.8063776383849732,1.172748730523264
R2,train,rate,5,0.4111587236971541,0.8618934770496246,1.0,1.0980698060184086,3.5812805079734527,1.105784372240871
R2,train,rate,6,0.43265251855549003,0.8577336868184006,1.0,1.1913692554069217,4.40279878699341,1.0331453558972465
R2,train,rate,7,0.4646388076333513,0.86448763419828,0.9916666666666667,1.2289177699781997,5.175901940709435,1.002968554138288
R2,train,rate,8,0.46381263219618074,0.8744032762369345,0.9888888888888889,1.2251683304613628,5.738713070113828,0.948461605756268
R2,train,rate,9,0.4402809009292985,0.8844268096544045,0.9833333333333333,1.1961757799191244,6.2120641571798725,0.931226189543693
R2,train,rate,10,0.4019585653392137,0.9075545565644696,0.9805555555555555,1.1692551112550567,6.666385060629567,0.9291619169398723
R2,train,rate,11,0.3811302443688077,0.9270648985810794,0.9666666666666667,1.1933261521459086,7.057683063704708,0.938833377289465
R2,train,rate,12,0.3880351389337357,0.9419175893256435,0.9472222222222222,1.2397253384738662,7.367133164023425,0.878115082777916
R2,train,rate,13,0.40872047415857615,0.9660404862889923,0.9333333333333333,1.2949702583471476,7.687818493764019,0.8581707931152124
R2,train,rate,14,0.41057713307240873,0.9919867791439484,0.9083333333333333,1.3204257382630564,7.865790455674952,1.018099266835133
R2,train,rate,15,0.4013198572558724,1.0116173154179742,0.8888888888888888,1.3255967432465274,8.145108179269576,1.0119759485703073
R2,train,rate,16,0.3936233650874529,1.0322375119805793,0.875,1.3124008118876984,8.460830716611186,0.9674328035178806
R2,train,rate,17,0.39046226807024786,1.0584753173177917,0.8638888888888889,1.3145855569208753,8.716487526931862,0.8969675988335362
R2,train,rate,18,0.3837451183355921,1.0674616267154662,0.8444444444444444,1.3236857544699603,8.910849719837085,0.9395930166010356
R2,train,rate,19,0.3896493047806373,1.068612880746772,0.8388888888888889,1.3313714971815416,9.200641788001004,0.8936168002926429
R2,train,rate,20,0.38931089024175963,1.0854954354698223,0.8222222222222222,1.3137817063100883,9.550982153925627,0.9255651877568402
R2,train,velocity,0,1.0,1.000000443066556,0.4708333333333333,0.5639186291714184,1.428636563053906e-06,0.0
R2,train,velocity,1,0.9943820125767887,0.9964022907820846,1.0,0.6183855121716655,0.6625029413314094,0.6361353902296816
R2,train,velocity,2,0.988455108399054,0.9911959811411354,1.0,0.7661259332882187,1.2474849286509433,0.8279325428455203
R2,train,velocity,3,0.98301422198487,0.9871851802505478,1.0,0.9636361413928872,2.0468127527931204,1.0684886625450216
R2,train,velocity,4,0.9773406196968176,0.9833936498909484,1.0,1.1102628881798469,2.790076995636458,1.1721578786005638
R2,train,velocity,5,0.971977714838667,0.9799638846205029,1.0,1.2271639862374148,3.5654751308830286,1.10546481207575
R2,train,velocity,6,0.9676139771086465,0.9769209629495641,1.0,1.3101479642281664,4.388459693484247,1.0327538577264654
R2,train,velocity,7,0.9629332320422137,0.9741714866166796,1.0,1.343259684879701,5.163122031783779,1.0026894682844323
R2,train,velocity,8,0.9585356205509283,0.9712781914933591,1.0,1.338778465205429,5.726910232424903,0.9485008296041403
R2,train,velocity,9,0.9542157371765367,0.9671457218467878,1.0,1.3112340618277734,6.201324143344921,0.9315364278735481
R2,train,velocity,10,0.9500337665504157,0.9629952910729437,1.0,1.2856738477985072,6.656921558083733,0.9293351950424925
R2,train,velocity,11,0.9456641688732141,0.9600215283058933,1.0,1.3065881179015244,7.049137497018873,0.9392799371843245
R2,train,velocity,12,0.9407528333503593,0.9578625520662957,1.0,1.3481644292094714,7.359196198243482,0.8784181855530505
R2,train,velocity,13,0.9362794525718214,0.9548524129794463,1.0,1.398201801368619,7.680401052365399,0.8582999191375463
R2,train,velocity,14,0.932499891442307,0.9521581094021413,1.0,1.4209218022880117,7.858741094458884,1.0180502226209427
R2,train,velocity,15,0.9281098369298104,0.9489430712872945,1.0,1.424864107305754,8.138353785458559,1.012057438586722
R2,train,velocity,16,0.9230965859940091,0.9459957295015636,1.0,1.4117267309734995,8.45468070683692,0.9673067830741559
R2,train,velocity,17,0.9195363674900063,0.9443527114428409,1.0,1.4129462762124039,8.710994291827411,0.8969046063485001
R2,train,velocity,18,0.9138013269242315,0.9422101617116053,1.0,1.4206285930477376,8.906010006606785,0.9396024088822078
R2,train,velocity,19,0.909864051377445,0.9397929269880689,1.0,1.4269682567503978,9.196565044995046,0.893682172085661
R2,train,velocity,20,0.9071664273386444,0.9372198849620915,1.0,1.4097111988458089,9.547517669628032,0.9260300914230392
R2,validation,attitude,0,0.9999999252948054,1.0000006723467516,0.56,0.0,1.999999800929745,0.0
R2,validation,attitude,1,0.9991483234286695,1.0000329076382326,0.8933333333333333,0.22120268025456538,2.0705931682885526,0.6195897826703488
R2,validation,attitude,2,0.9966081974010064,1.0003055218344608,0.8733333333333333,0.4028943016379921,2.2753770383105736,0.6458183654993307
R2,validation,attitude,3,0.9916781401394745,1.0009567793096492,0.83,0.5636709872527987,2.599713606963971,0.6975106705822725
R2,validation,attitude,4,0.9852789305204338,1.0025171915329134,0.74,0.6563884554723546,2.9478186921400127,0.7187544366806545
R2,validation,attitude,5,0.9841086362940248,1.0051881935910416,0.66,0.6936623542443529,3.141008426457034,0.8043671686178909
R2,validation,attitude,6,0.9909398287009887,1.010211789226764,0.5966666666666667,0.6845900845200246,3.378334147689831,0.7267474960409873
R2,validation,attitude,7,0.9982161146575328,1.016426536779235,0.52,0.637564166906355,3.499522365361771,0.7408566779386487
R2,validation,attitude,8,1.0016184506889685,1.0293832413836896,0.4766666666666667,0.5770409786379785,3.573627135570042,0.7804321834852205
R2,validation,attitude,9,1.0030629876848487,1.0430334193688158,0.44,0.5141553902438789,3.8742410834033345,0.7400638009395448
R2,validation,attitude,10,1.0046136434096944,1.0555037184510627,0.43666666666666665,0.4778326385006477,4.1444623628502475,0.7129148763488112
R2,validation,attitude,11,1.0051855116745543,1.0641318621390339,0.4266666666666667,0.4672468752407436,4.438084150673286,0.664428102321043
R2,validation,attitude,12,1.006697470108584,1.072203556714316,0.4266666666666667,0.46418811019157147,4.547037404712192,0.7226541520004512
R2,validation,attitude,13,1.0071978828547845,1.0718144696491472,0.42333333333333334,0.4810679095920093,4.830473440300541,0.6864206422575047
R2,validation,attitude,14,1.0072542852767268,1.0743301297255705,0.4166666666666667,0.5318623241599304,5.069126016825411,0.7693254287239155
R2,validation,attitude,15,1.006261453240151,1.0747269562489028,0.4266666666666667,0.60914543596145,5.361053545564012,0.7388669171440542
R2,validation,attitude,16,1.0063756027775392,1.0708414569007056,0.44666666666666666,0.6760307445599947,5.715576204170716,0.7333032525076747
R2,validation,attitude,17,1.003472185388411,1.0736474064224057,0.48,0.7297016480880252,6.072755437047728,0.6538159466087023
R2,validation,attitude,18,0.9991159760793966,1.0755013876489903,0.5033333333333333,0.7566679862105031,6.405160779094474,0.6508533674774726
R2,validation,attitude,19,0.995214011706304,1.0798440304946606,0.5233333333333333,0.7527430533162461,6.49974260338231,0.7333665535231841
R2,validation,attitude,20,0.9959950171635186,1.0851481291951637,0.5233333333333333,0.7278866798405402,6.629151044947765,0.6896606397165456
R2,validation,rate,0,1.0,1.000000170754734,0.39,0.0,9.035490975690201e-07,0.08726645632336592
R2,validation,rate,1,0.9253891457704138,0.9660622062911851,1.0,0.22116744962126814,0.5580902431792664,0.6247485969708058
R2,validation,rate,2,0.7877671906048014,0.9277344535071571,1.0,0.40279695943100924,1.1265421525508499,0.649264759655483
R2,validation,rate,3,0.6133961485928188,0.89454862949689,1.0,0.563491196899642,1.7173595904703207,0.6992526644014035
R2,validation,rate,4,0.4650575622746784,0.8661707380002538,1.0,0.6560831665157417,2.23352889847603,0.7194486222354629
R2,validation,rate,5,0.3862742947701411,0.8504465065545058,1.0,0.6931569511076358,2.5040134884506524,0.804451202284467
R2,validation,rate,6,0.42014018792924535,0.839140903903846,1.0,0.6837895705416918,2.8127474002416544,0.7267571214841758
R2,validation,rate,7,0.46678658202468326,0.8408690271914961,0.9966666666666667,0.6363703457881638,2.96913870833855,0.7409795144587655
R2,validation,rate,8,0.4779128324402576,0.8579652387757364,0.9933333333333333,0.575355784292793,3.064741259011278,0.7805644352814002
R2,validation,rate,9,0.4392635655671713,0.8749378068569296,0.9866666666666667,0.511879651454967,3.416551712782572,0.7400455538672907
R2,validation,rate,10,0.3939311931845638,0.8980332213580705,0.98,0.47502763044858115,3.7244389369186535,0.7127832774500039
R2,validation,rate,11,0.3491965264047437,0.9106282698464385,0.96,0.46406053772752387,4.051992004599003,0.6641486231107945
R2,validation,rate,12,0.339239711130801,0.9212783365347,0.95,0.46074342098237253,4.174532902455823,0.7222564689840183
R2,validation,rate,13,0.36007951535708316,0.9462583368864548,0.9333333333333333,0.4775435455117303,4.48546435216738,0.6859360529933236
R2,validation,rate,14,0.37705750916995606,0.9686812338668798,0.9133333333333333,0.5285041129198641,4.745752042891972,0.7688691684880375
R2,validation,rate,15,0.38319789210110794,0.9831848763214929,0.9,0.6060429867620142,5.061157175707739,0.7382703978375358
R2,validation,rate,16,0.37702790456791113,0.9975558764985653,0.9,0.6730379479260611,5.440129297060114,0.7325332175370876
R2,validation,rate,17,0.3744986427559951,1.0207259364317696,0.8833333333333333,0.7267278876158528,5.819096939953728,0.6526987515194898
