split,flight_id,event_id,start_us,end_us,duration_s,sign,neutral_before,neutral_after,full_cycle,yaw_neutral_fraction,roll_stick_mean,roll_change_deg,differential_range,rudder_range,yaw_rate_sp_range
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:215660753,215660753,216222730,0.5619769999999846,1,False,False,False,1.0,0.7509119264010725,6.529970136642007,0.15980638563632965,0.08401863649487495,0.28463879227638245
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:216261903,216261903,217218002,0.9560989999999947,1,False,False,False,1.0,0.6243431203219355,-1.4557768875111918,0.2018369808793068,0.07138659060001373,0.20807194523513317
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:217267309,217267309,218223614,0.9563050000000146,1,False,False,False,1.0,0.5133406154963435,-0.025882593534323206,0.15548806637525558,0.07593671977519989,0.16199808195233345
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:218262787,218262787,219021981,0.7591939999999795,1,False,False,False,1.0,0.4711090204043266,4.224616318173357,0.2795905601233244,0.07171112298965454,0.21010202914476395
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:219061162,219061162,219623260,0.5620979999999918,1,False,False,False,1.0,0.46892416682736626,-5.07597167584191,0.14362913533113897,0.12641772627830505,0.2559666894376278
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:219662424,219662424,221820954,2.158530000000013,1,False,False,False,1.0,0.3354025373765088,-0.9600406215833743,0.39971113950014114,0.14393988251686096,0.3066521640866995
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:221860357,221860357,223220791,1.360433999999998,1,False,False,False,1.0,0.34927241590575897,-4.962636598249684,0.43720636516809464,0.14156454056501389,0.3419712632894516
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:223664125,223664125,225024641,1.3605160000000183,1,False,False,False,1.0,0.5900951209275619,6.111196039788915,0.3772016018629074,0.07515440881252289,0.16179798543453217
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:225063750,225063750,225625818,0.5620679999999822,1,False,True,False,1.0,0.3330579734054105,1.8475146650890366,0.5275934711098671,0.13927516341209412,0.3823610469698906
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:226463326,226463326,227439095,0.9757689999999855,-1,False,False,False,1.0,-0.29665994487702846,-17.04395365323255,0.7846906930208206,0.04066203534603119,0.1903126910328865
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:227646109,227646109,228020960,0.3748510000000067,1,False,False,False,1.0,0.4660678058862686,10.821136411464671,0.12564879655838013,0.07441921532154083,0.17637990973889828
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:228060078,228060078,228622117,0.562039000000027,1,False,True,False,1.0,0.373253448769964,1.0792861736442823,0.5506235100328922,0.04565964639186859,0.10770843690261245
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:229646908,229646908,231184544,1.537635999999992,1,False,False,False,1.0,0.3310813758617792,5.975158774606389,0.46552230417728424,0.048152536153793335,0.1001498643308878
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:422457313,422457313,423016235,0.5589219999999955,-1,False,False,False,1.0,-0.14639560467210308,-2.4301545671876954,0.24267732724547386,0.05583331361413002,0.12525226920843124
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:423056181,423056181,423615068,0.558887000000027,-1,False,False,False,1.0,-0.14778324190912576,0.09033790331613645,0.14258366357535124,0.03945171646773815,0.09433914721012115
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:423655012,423655012,424213919,0.5589069999999765,-1,False,False,False,1.0,-0.19905639722429472,-8.595483665407926,0.21259968966478482,0.025420721620321274,0.09605125896632671
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:424253843,424253843,424633199,0.3793560000000298,-1,False,False,False,1.0,-0.2857142686843872,-18.12264208912887,0.40187786519527435,0.1518649458885193,0.35414234548807144
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:424862727,424862727,425421603,0.5588759999999979,1,False,False,False,1.0,0.5179984240696348,3.913439195810003,0.0591268390417099,0.044754765927791595,0.11456387490034103
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:425461584,425461584,426220154,0.7585700000000202,1,False,True,False,1.0,0.3816980941173358,11.195117943911185,0.2950313091278076,0.051350921392440796,0.22701887041330338
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:426639279,426639279,427018722,0.37944299999998066,-1,True,False,False,1.0,-0.29376255720853806,-9.19703347123578,0.27349415607750416,0.01399238407611847,0.05608983337879181
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:428056612,428056612,428415876,0.35926399999999603,1,False,False,False,1.0,0.12039074576214741,-1.063235678339753,0.08684711158275604,0.028860673308372498,0.101949293166399
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:428855066,428855066,429413987,0.558920999999998,-1,False,False,False,1.0,-0.38014291175480547,-9.415122135633888,0.20580042526125908,0.09377428889274597,0.2625352069735527
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:429453882,429453882,429793290,0.3394079999999917,-1,False,False,False,1.0,-0.5761233766873678,0.27103713642596716,0.21971874311566353,0.032959699630737305,0.11868809163570404
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:434055065,434055065,434813516,0.7584510000000364,1,True,False,False,1.0,0.12098874237674934,5.084858961756693,0.21855835616588593,0.049690261483192444,0.10257520712912083
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:434853505,434853505,435422349,0.5688440000000128,1,False,True,False,1.0,0.1673204837174251,7.6956234739884675,0.43946297839283943,0.07478928565979004,0.1063711903989315
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:436260752,436260752,437618127,1.3573749999999905,1,False,True,False,1.0,0.2831148779478626,10.482753124893783,0.5703012570738792,0.07703285664319992,0.14864222146570683
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:438256889,438256889,438616253,0.35936399999997093,1,False,False,False,1.0,0.5468010698494158,1.7477670648093202,0.1687239594757557,0.04691801965236664,0.10353872179985046
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:438656112,438656112,439614264,0.9581519999999841,1,False,False,False,1.0,0.5852376453730525,3.901137336701394,0.3662895270390436,0.10106998682022095,0.2536795884370804
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:439654206,439654206,441021555,1.3673489999999902,1,False,False,False,1.0,0.4407127290100291,-4.096709678892967,0.8418025970458984,0.11196115612983704,0.2246729787439108
train,2026.9.6/log_28_2026-9-6-07-01-38.ulg,2026.9.6/log_28_2026-9-6-07-01-38.ulg:441051555,441051555,442818088,1.7665329999999813,1,False,False,False,1.0,0.6096346190806186,6.86180603035562,0.817352011334151,0.11791417002677917,0.17116719111800194
