mode,pattern,horizon,cohort,metric,seed,value
ALL_original,ALL,1s,Sep7,p_rad_s,42,0.536962069231743
ALL_original,ALL,1s,Sep7,position_m,17,0.5718228821159352
ALL_original,ALL,1s,Sep7,position_m,23,0.5675809285921886
ALL_original,ALL,1s,Sep7,position_m,42,0.5648888009559414
ALL_original,ALL,1s,Sep7,q_rad_s,17,0.2961831140541199
ALL_original,ALL,1s,Sep7,q_rad_s,23,0.3023058004359243
ALL_original,ALL,1s,Sep7,q_rad_s,42,0.26225034445351464
ALL_original,ALL,1s,Sep7,r_rad_s,17,0.15019130627370447
ALL_original,ALL,1s,Sep7,r_rad_s,23,0.14981122575291927
ALL_original,ALL,1s,Sep7,r_rad_s,42,0.14642357462167485
ALL_original,ALL,1s,Sep7,roll_deg,17,4.299532617666953
ALL_original,ALL,1s,Sep7,roll_deg,23,4.129533084307396
ALL_original,ALL,1s,Sep7,roll_deg,42,4.313998594208794
ALL_original,ALL,1s,Sep7,velocity_m_s,17,0.6088813935646744
ALL_original,ALL,1s,Sep7,velocity_m_s,23,0.6157170927344295
ALL_original,ALL,1s,Sep7,velocity_m_s,42,0.6108608179542288
ALL_original,ALL,200ms,ALL,attitude_deg,17,2.153924950052745
ALL_original,ALL,200ms,ALL,attitude_deg,23,2.2065952760482856
ALL_original,ALL,200ms,ALL,attitude_deg,42,2.2289348033561684
ALL_original,ALL,200ms,ALL,body_rate_rad_s,17,0.5642465257049663
ALL_original,ALL,200ms,ALL,body_rate_rad_s,23,0.5695336495342367
ALL_original,ALL,200ms,ALL,body_rate_rad_s,42,0.5650685449125676
ALL_original,ALL,200ms,ALL,p_rad_s,17,0.498807496843531
ALL_original,ALL,200ms,ALL,p_rad_s,23,0.49911492450230893
ALL_original,ALL,200ms,ALL,p_rad_s,42,0.5005209740658306
ALL_original,ALL,200ms,ALL,position_m,17,0.07037190053473638
ALL_original,ALL,200ms,ALL,position_m,23,0.07087549760215012
ALL_original,ALL,200ms,ALL,position_m,42,0.06988022607147458
ALL_original,ALL,200ms,ALL,q_rad_s,17,0.21699200547669906
ALL_original,ALL,200ms,ALL,q_rad_s,23,0.22928845980118925
ALL_original,ALL,200ms,ALL,q_rad_s,42,0.2162412511631208
ALL_original,ALL,200ms,ALL,r_rad_s,17,0.1456706482653244
ALL_original,ALL,200ms,ALL,r_rad_s,23,0.14448680356521165
ALL_original,ALL,200ms,ALL,r_rad_s,42,0.14333947818803705
ALL_original,ALL,200ms,ALL,roll_deg,17,1.4878671112182256
ALL_original,ALL,200ms,ALL,roll_deg,23,1.4798950906856596
ALL_original,ALL,200ms,ALL,roll_deg,42,1.559226173012388
ALL_original,ALL,200ms,ALL,velocity_m_s,17,0.191337249956398
ALL_original,ALL,200ms,ALL,velocity_m_s,23,0.19876495637065858
ALL_original,ALL,200ms,ALL,velocity_m_s,42,0.19619477972288252
ALL_original,ALL,200ms,Sep17,attitude_deg,17,2.315408116422238
ALL_original,ALL,200ms,Sep17,attitude_deg,23,2.3854713925753384
ALL_original,ALL,200ms,Sep17,attitude_deg,42,2.4276119983785844
ALL_original,ALL,200ms,Sep17,body_rate_rad_s,17,0.5362156869348988
ALL_original,ALL,200ms,Sep17,body_rate_rad_s,23,0.5374336609896214
ALL_original,ALL,200ms,Sep17,body_rate_rad_s,42,0.5374540629190477
ALL_original,ALL,200ms,Sep17,p_rad_s,17,0.46336637338437636
ALL_original,ALL,200ms,Sep17,p_rad_s,23,0.454239892887502
ALL_original,ALL,200ms,Sep17,p_rad_s,42,0.4621006244270647
ALL_original,ALL,200ms,Sep17,position_m,17,0.04013913313889044
ALL_original,ALL,200ms,Sep17,position_m,23,0.04130150419862946
ALL_original,ALL,200ms,Sep17,position_m,42,0.039687025497768806
ALL_original,ALL,200ms,Sep17,q_rad_s,17,0.22220707228510672
ALL_original,ALL,200ms,Sep17,q_rad_s,23,0.24445205630779168
ALL_original,ALL,200ms,Sep17,q_rad_s,42,0.22711124872317812
ALL_original,ALL,200ms,Sep17,r_rad_s,17,0.15174908937104029
ALL_original,ALL,200ms,Sep17,r_rad_s,23,0.14877804494115895
ALL_original,ALL,200ms,Sep17,r_rad_s,42,0.1525227546268416
ALL_original,ALL,200ms,Sep17,roll_deg,17,1.65349113578935
ALL_original,ALL,200ms,Sep17,roll_deg,23,1.5914043536293687
ALL_original,ALL,200ms,Sep17,roll_deg,42,1.7442943610937536
ALL_original,ALL,200ms,Sep17,velocity_m_s,17,0.21956426359757703
ALL_original,ALL,200ms,Sep17,velocity_m_s,23,0.22133990852341479
ALL_original,ALL,200ms,Sep17,velocity_m_s,42,0.2206793233100938
ALL_original,ALL,200ms,Sep7,attitude_deg,17,2.0103843577243063
ALL_original,ALL,200ms,Sep7,attitude_deg,23,2.0475942835797944
ALL_original,ALL,200ms,Sep7,attitude_deg,42,2.052332852225132
ALL_original,ALL,200ms,Sep7,body_rate_rad_s,17,0.5891628268339152
ALL_original,ALL,200ms,Sep7,body_rate_rad_s,23,0.5980669726850056
ALL_original,ALL,200ms,Sep7,body_rate_rad_s,42,0.5896147511290296
ALL_original,ALL,200ms,Sep7,p_rad_s,17,0.5303107176961129
ALL_original,ALL,200ms,Sep7,p_rad_s,23,0.5390038414932485
ALL_original,ALL,200ms,Sep7,p_rad_s,42,0.5346723959669559
ALL_original,ALL,200ms,Sep7,position_m,17,0.0972454715532661
ALL_original,ALL,200ms,Sep7,position_m,23,0.09716349173861293
ALL_original,ALL,200ms,Sep7,position_m,42,0.09671862658143528
ALL_original,ALL,200ms,Sep7,q_rad_s,17,0.21235639053589223
ALL_original,ALL,200ms,Sep7,q_rad_s,23,0.21580970735087596
ALL_original,ALL,200ms,Sep7,q_rad_s,42,0.2065790311097365
ALL_original,ALL,200ms,Sep7,r_rad_s,17,0.14026758950468804
ALL_original,ALL,200ms,Sep7,r_rad_s,23,0.14067236678659184
ALL_original,ALL,200ms,Sep7,r_rad_s,42,0.13517656579798856
ALL_original,ALL,200ms,Sep7,roll_deg,17,1.3406457560438925
ALL_original,ALL,200ms,Sep7,roll_deg,23,1.380775745846807
ALL_original,ALL,200ms,Sep7,roll_deg,42,1.394721116940063
ALL_original,ALL,200ms,Sep7,velocity_m_s,17,0.16624657116423888
ALL_original,ALL,200ms,Sep7,velocity_m_s,23,0.17869833223487525
ALL_original,ALL,200ms,Sep7,velocity_m_s,42,0.1744307409786947
ALL_original,ALL,500ms,ALL,attitude_deg,17,4.033739771723627
ALL_original,ALL,500ms,ALL,attitude_deg,23,4.075688471845725
ALL_original,ALL,500ms,ALL,attitude_deg,42,4.125763726825424
ALL_original,ALL,500ms,ALL,body_rate_rad_s,17,0.5987111840019169
ALL_original,ALL,500ms,ALL,body_rate_rad_s,23,0.5976309396014523
ALL_original,ALL,500ms,ALL,body_rate_rad_s,42,0.5933875807324948
ALL_original,ALL,500ms,ALL,p_rad_s,17,0.5234362960146131
ALL_original,ALL,500ms,ALL,p_rad_s,23,0.5170257647813445
