seed,mode,pattern,horizon,flight_id,cohort,n_origins,metric,value
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,r_rad_s,0.12898718800984552
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,roll_deg,1.0638762995975473
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,position_m,0.01853939189092236
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,velocity_m_s,0.13067711940661134
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,attitude_deg,1.4410999360178016
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,body_rate_rad_s,0.5619771453138034
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,p_rad_s,0.49702428265034576
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,q_rad_s,0.22595597409562831
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,r_rad_s,0.13315056170161887
17,ALL_original,ALL,100ms,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,roll_deg,1.1010968036603466
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,position_m,0.020477508605037206
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,velocity_m_s,0.15217442089129157
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,attitude_deg,1.625962353793111
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,body_rate_rad_s,0.5437917577858277
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,p_rad_s,0.4931478409373066
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,q_rad_s,0.18719650004309626
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,r_rad_s,0.13218227258709178
17,ALL_original,ALL,100ms,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,roll_deg,1.2211165734997909
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,position_m,0.01577274263192393
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,velocity_m_s,0.13086222058661023
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,attitude_deg,1.3729884142837063
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,body_rate_rad_s,0.4493565761941317
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,p_rad_s,0.3822281169794773
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,q_rad_s,0.20048934028227888
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,r_rad_s,0.12500809410758984
17,ALL_original,ALL,100ms,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,roll_deg,0.9656634982722088
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,position_m,0.018297520092449032
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,velocity_m_s,0.1700440305343062
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,attitude_deg,1.5619469278092144
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,body_rate_rad_s,0.5399545934367994
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,p_rad_s,0.47264513611305964
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,q_rad_s,0.23473577642862495
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,r_rad_s,0.11426571465937338
17,ALL_original,ALL,100ms,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,roll_deg,1.175025374009218
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,position_m,0.02162859002048545
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,velocity_m_s,0.13475604185415355
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,attitude_deg,1.3584131333836742
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,body_rate_rad_s,0.5445082624346032
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,p_rad_s,0.44099486231068113
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,q_rad_s,0.29104399266077374
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,r_rad_s,0.13155293083473707
17,ALL_original,ALL,100ms,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,roll_deg,0.8838767322016389
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,position_m,0.023055611492101297
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,velocity_m_s,0.13032111327186263
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,attitude_deg,1.4079197599700108
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,body_rate_rad_s,0.4977723174232873
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,p_rad_s,0.4142256227722122
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,q_rad_s,0.24541751478838528
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,r_rad_s,0.12635132317081346
17,ALL_original,ALL,100ms,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,roll_deg,1.0422051138617368
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,position_m,0.01604762547430384
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,velocity_m_s,0.1438878117561204
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,attitude_deg,1.4032411079469824
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,body_rate_rad_s,0.47901806643832723
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,p_rad_s,0.4076336911068177
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,q_rad_s,0.21433416392718785
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,r_rad_s,0.13173438435950804
17,ALL_original,ALL,100ms,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,roll_deg,1.1297684274745774
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,position_m,0.01603857824196098
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,velocity_m_s,0.20052790687115676
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,attitude_deg,1.4716326013254217
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,body_rate_rad_s,0.6007279920790903
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,p_rad_s,0.5341071720823035
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,q_rad_s,0.23385204254363134
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,r_rad_s,0.14462666211937578
17,ALL_original,ALL,100ms,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,roll_deg,1.0587327335621246
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,position_m,0.029079090523895845
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,velocity_m_s,0.15533909426952716
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,attitude_deg,2.167284647283829
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,body_rate_rad_s,0.5543507125138373
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,p_rad_s,0.4886523114699215
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,q_rad_s,0.21409210530758485
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,r_rad_s,0.15062603163022031
17,ALL_original,ALL,200ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,roll_deg,1.5297887934885608
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,position_m,0.11304232238609382
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,velocity_m_s,0.1716009906153253
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,attitude_deg,2.2468225055099524
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,body_rate_rad_s,0.5643999571269996
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,p_rad_s,0.4945519573092955
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,q_rad_s,0.22103829952464582
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,r_rad_s,0.15845423083577337
17,ALL_original,ALL,200ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,roll_deg,1.6378942824318576
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,position_m,0.04152599640082043
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,velocity_m_s,0.1565015760387926
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,attitude_deg,2.235493434285229
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,body_rate_rad_s,0.6337594479467623
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,p_rad_s,0.5833123433878056
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,q_rad_s,0.20163354739146683
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,r_rad_s,0.1440196531017371
17,ALL_original,ALL,200ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,roll_deg,1.5748110959413313
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,position_m,0.03901581336585208
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,velocity_m_s,0.18094644455692707
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,attitude_deg,2.220722223160671
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,body_rate_rad_s,0.575997006411358
