mode,pattern,horizon,cohort,metric,mean,std
ALL_original,lower_change,500ms,Sep17,p_rad_s,0.4337751309405677,0.0036869870905588496
ALL_original,lower_change,500ms,Sep17,position_m,0.11349975139314551,0.005223455039240917
ALL_original,lower_change,500ms,Sep17,q_rad_s,0.2134102355327613,0.020010793895890774
ALL_original,lower_change,500ms,Sep17,r_rad_s,0.13959182849631444,0.003956860938022268
ALL_original,lower_change,500ms,Sep17,roll_deg,2.728195254278608,0.2931540270374165
ALL_original,lower_change,500ms,Sep17,velocity_m_s,0.302942491608689,0.0185107628955063
ALL_original,lower_change,500ms,Sep7,attitude_deg,3.353187914212152,0.06289872496101365
ALL_original,lower_change,500ms,Sep7,body_rate_rad_s,0.617831668193789,0.0019035456462975703
ALL_original,lower_change,500ms,Sep7,p_rad_s,0.5588569752138891,0.004900637685550155
ALL_original,lower_change,500ms,Sep7,position_m,0.2425177209376382,0.0010365663473901857
ALL_original,lower_change,500ms,Sep7,q_rad_s,0.22621630453838237,0.01130699664819287
ALL_original,lower_change,500ms,Sep7,r_rad_s,0.1300389507462906,0.003955050112799753
ALL_original,lower_change,500ms,Sep7,roll_deg,2.2701705679268627,0.03895565089923598
ALL_original,lower_change,500ms,Sep7,velocity_m_s,0.2801589400294307,0.002154312181346252
ALL_original,lower_change,interval_0_500ms,ALL,attitude_deg,2.357379765259921,0.02153928540278173
ALL_original,lower_change,interval_0_500ms,ALL,body_rate_rad_s,0.5452990362373642,0.0019389557114070457
ALL_original,lower_change,interval_0_500ms,ALL,p_rad_s,0.4893677225544626,0.0032895110578477467
ALL_original,lower_change,interval_0_500ms,ALL,position_m,0.10499936091010999,0.0010423957676554865
ALL_original,lower_change,interval_0_500ms,ALL,q_rad_s,0.20235143464013247,0.007121318753824937
ALL_original,lower_change,interval_0_500ms,ALL,r_rad_s,0.1284051194622837,0.0019773108060589344
ALL_original,lower_change,interval_0_500ms,ALL,roll_deg,1.621350004727405,0.0733278224924397
ALL_original,lower_change,interval_0_500ms,ALL,velocity_m_s,0.19455123478230898,0.0034305683399504534
ALL_original,lower_change,interval_0_500ms,Sep17,attitude_deg,2.442270663851948,0.04392072331856873
ALL_original,lower_change,interval_0_500ms,Sep17,body_rate_rad_s,0.5119144227028501,0.004615736672422988
ALL_original,lower_change,interval_0_500ms,Sep17,p_rad_s,0.4535869769989636,0.006100344175733499
ALL_original,lower_change,interval_0_500ms,Sep17,position_m,0.06294911906931273,0.0022935989863597417
ALL_original,lower_change,interval_0_500ms,Sep17,q_rad_s,0.1974729815372319,0.010411061931788724
ALL_original,lower_change,interval_0_500ms,Sep17,r_rad_s,0.13067642477806374,0.0018312956468052336
ALL_original,lower_change,interval_0_500ms,Sep17,roll_deg,1.7077222350712065,0.14889152553751223
ALL_original,lower_change,interval_0_500ms,Sep17,velocity_m_s,0.20889726020965782,0.008534518035017981
ALL_original,lower_change,interval_0_500ms,Sep7,attitude_deg,2.2819211887336754,0.029740757114768836
ALL_original,lower_change,interval_0_500ms,Sep7,body_rate_rad_s,0.5749742482680432,0.000640327824920957
