seed,mode,pattern,interval,axis,true_amplitude,pred_amplitude
23,Mission,lower_change,late500,r,0.2613336082279983,0.22935423763391408
23,Mission,lower_change,late1s,p,0.7816582297974993,0.6237285291164189
23,Mission,lower_change,late1s,q,0.7740851823235121,0.7343861115731932
23,Mission,lower_change,late1s,r,0.26212048817604355,0.20577168569680193
23,Mission,sustained,early,p,0.8074126761319239,0.6707606387067959
23,Mission,sustained,early,q,0.7326300298530243,0.6824429772011201
23,Mission,sustained,early,r,0.1382626207713305,0.10368920977711525
23,Mission,sustained,late500,p,0.867458708385656,0.7385651951462938
23,Mission,sustained,late500,q,0.7687322268862443,0.7173850346224891
23,Mission,sustained,late500,r,0.289788754917684,0.253786165819802
23,Mission,sustained,late1s,p,0.8752419070168989,0.7343093137527964
23,Mission,sustained,late1s,q,0.7448458762674143,0.7074510786609997
23,Mission,sustained,late1s,r,0.2792579099766719,0.21928434786220385
23,Mission,reversing,early,p,0.752484232630942,0.6998780862360767
23,Mission,reversing,early,q,0.7714260040069908,0.6662565970458935
23,Mission,reversing,early,r,0.15901634218517394,0.08425129607725788
23,Mission,reversing,late500,p,0.9018525235816768,0.7118245179197655
23,Mission,reversing,late500,q,0.9682231865185698,0.8024013049458175
23,Mission,reversing,late500,r,0.3914397050796492,0.3544778626515253
23,Mission,reversing,late1s,p,0.8772354773765593,0.737574908408078
23,Mission,reversing,late1s,q,0.8138710926289194,0.7928468674106621
23,Mission,reversing,late1s,r,0.44462784263891275,0.31256637062524506
23,Mission,mixed_change,early,p,0.7691833687360249,0.6094380903414877
23,Mission,mixed_change,early,q,0.7195027622367722,0.6380971438797567
23,Mission,mixed_change,early,r,0.15125981760604687,0.09778711531361965
23,Mission,mixed_change,late500,p,0.7557334608721131,0.6336303867403639
23,Mission,mixed_change,late500,q,0.7391978618006053,0.7248145569423234
23,Mission,mixed_change,late500,r,0.31253265097517297,0.26738038439939954
23,Mission,mixed_change,late1s,p,0.8160464848307679,0.6508863348607695
23,Mission,mixed_change,late1s,q,0.7328327805981601,0.6913052190110812
23,Mission,mixed_change,late1s,r,0.28286285450089876,0.2293612527258959
23,Mission,multi_high,early,p,0.8275998521835272,0.6962463913586391
23,Mission,multi_high,early,q,0.7548791406738005,0.6867977967406033
23,Mission,multi_high,early,r,0.14959676006319936,0.10956063173170844
23,Mission,multi_high,late500,p,0.9107770219567075,0.7909293264692149
23,Mission,multi_high,late500,q,0.7619788600470399,0.7087508425580348
23,Mission,multi_high,late500,r,0.3031835448101907,0.2583267556871007
23,Mission,multi_high,late1s,p,0.9380462059947114,0.7921156610046026
23,Mission,multi_high,late1s,q,0.7392469125810144,0.6997000452640476
23,Mission,multi_high,late1s,r,0.3011535803591176,0.2323039662438028
23,Other_or_transition,ALL,early,p,0.7435024614832185,0.4198124659427465
23,Other_or_transition,ALL,early,q,0.6563394030906873,0.6413244105403058
23,Other_or_transition,ALL,early,r,0.07638406565064171,0.07292075495376493
23,Other_or_transition,ALL,late500,p,0.6709652312997433,0.429855034594486
23,Other_or_transition,ALL,late500,q,0.6106098361080086,0.6085321886980337
23,Other_or_transition,ALL,late500,r,0.16887792272011692,0.11620596265572201
23,Other_or_transition,ALL,late1s,p,0.7344553063283932,0.5145046141351762
23,Other_or_transition,ALL,late1s,q,0.6540050975493423,0.6469245898722427
23,Other_or_transition,ALL,late1s,r,0.20375284066584748,0.1133423098295509
