window_id,split,log_id,segment_id,start_sample_in_segment,end_sample_in_segment,start_sample_in_log,end_sample_in_log,start_timestamp_us,end_timestamp_us,observed_horizon_s,horizon_s,state_sample_count,control_step_count
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:910,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,910,1010,2068,2168,89153409,91149514,1.996105,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:220,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,220,320,3195,3295,111689244,113695293,2.006049,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:1130,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,1130,1230,4105,4205,129893288,131889331,1.996043,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2040,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,2040,2140,5015,5115,148087126,150093126,2.006,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2950,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,2950,3050,5925,6025,166290754,168286756,1.9960019999999998,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:3860,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,3,3860,3960,6835,6935,184484249,186490215,2.005966,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:30,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,30,130,7931,8031,206410096,208406069,1.995973,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:940,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,940,1040,8841,8941,224613313,226609273,1.99596,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:1860,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,5,1860,1960,9761,9861,243006036,245011964,2.005928,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:0,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,0,100,400,500,75206748,77202839,1.9960909999999998,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:900,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,1,900,1000,1300,1400,93201436,95207489,2.006053,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:320,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,320,420,2298,2398,113162073,115168105,2.006032,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:1220,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,1220,1320,3198,3298,131166392,133162426,1.9960339999999999,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:2120,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,2120,2220,4098,4198,149170558,151166577,1.996019,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:3020,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,2,3020,3120,4998,5098,167164613,169160618,1.9960049999999998,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:3:10,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,3,10,110,5991,6091,187024809,189020803,1.9959939999999998,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:60,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,60,160,6990,7090,207004657,209000641,1.995984,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:960,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,960,1060,7890,7990,225008391,227004366,1.9959749999999998,2.0,101,100
train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:1860,train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,4,1860,1960,8790,8890,243002082,245008029,2.005947,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:0,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0,100,310,410,557497699,559503995,2.006296,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:710,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,710,810,1020,1120,571701345,573697620,1.9962749999999998,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:1420,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,1420,1520,1730,1830,585904741,587900986,1.9962449999999998,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:300,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,300,400,2668,2768,604659327,606665521,2.006194,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:1010,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,1010,1110,3378,3478,618862296,620858483,1.996187,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:1720,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,1720,1820,4088,4188,633055133,635061285,2.0061519999999997,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:2440,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,3,2440,2540,4808,4908,647457455,649463591,2.0061359999999997,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:120,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,120,220,5613,5713,663566380,665562521,1.996141,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:830,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,830,930,6323,6423,677758899,679755026,1.996127,2.0,101,100
train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:1550,train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,4,1550,1650,7043,7143,692160917,694167011,2.006094,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:0:0,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0,100,302,402,103865314,105861458,1.996144,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:0:600,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,600,700,902,1002,115862063,117858178,1.9961149999999999,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:590,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,590,690,1658,1758,130982534,132978623,1.996089,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:1190,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,1190,1290,2258,2358,142979000,144985058,2.006058,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:1790,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,1790,1890,2858,2958,154985378,156981444,1.996066,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:2400,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,2400,2500,3468,3568,167181314,169187350,2.006036,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:3000,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,3,3000,3100,4068,4168,179187567,181183614,1.996047,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:290,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,290,390,4760,4860,193020152,195016191,1.996039,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:890,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,890,990,5360,5460,205026313,207022347,1.9960339999999999,2.0,101,100
train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:1500,train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,4,1500,1600,5970,6070,217222068,219218098,1.99603,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:0:0,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0,100,250,350,89123175,91119331,1.9961559999999998,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:0:650,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,650,750,900,1000,102118073,104114204,1.9961309999999999,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:260,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,260,360,1740,1840,118915425,120911533,1.996108,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:910,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,910,1010,2390,2490,131920015,133916104,1.996089,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:1570,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,1570,1670,3050,3150,145114131,147120189,2.006058,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:2220,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,2220,2320,3700,3800,158118538,160114603,1.996065,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:2880,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,3,2880,2980,4360,4460,171312500,173318537,2.006037,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:160,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,160,260,5102,5202,186153149,188159179,2.00603,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:820,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,820,920,5762,5862,199357000,201353044,1.996044,2.0,101,100
train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:1480,train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,4,1480,1580,6422,6522,212560819,214556860,1.996041,2.0,101,100
