experiment,partition,window_id,log_id,step,actual_duration_s,dt_s,epsilon,epsilon_control,epsilon_max_matrix_difference,singular_epsilon_difference,radius_epsilon_difference,largest_singular,spectral_radius,dynamic_largest_singular,dynamic_spectral_radius
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:0,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.00012785196,7.147792534190067e-05,4.493177310638252e-05,1.166784091597657,1.0013023793968798,1.1667785502443988,1.0013023793968827
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:910,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,0.00017327403234213,6.634124650450879e-05,1.164072163282679,1.0013442396788792,1.1640676315607559,1.0013442396788788
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:220,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,2.498363373137913e-05,9.568981287788603e-06,1.1627112470135252,1.004838854839854,1.1627089322530952,1.0048388548398541
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:1130,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0076293945,5.923713018995969e-06,0.00667572021484375,1.1614466593521753,1.0070799589157104,1.1614420472077132,0.999410404455486
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2040,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,8.119922222915577e-05,5.437733188884408e-05,1.1618162222378499,1.0061980215614468,1.1618100092852537,1.0061980215614463
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2950,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0009536743,8.254284280972968e-06,0.00010489728284945876,1.1622588290012732,1.0004260896668875,1.1622541129311137,1.0004260896668875
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:3860,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.029939,0.001,0.002,0.007629335,0.00016106872290300167,0.0059656064395838815,1.2518590656177262,1.0070799589157104,1.2518552748745482,1.0008349674689585
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:30,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0009536147,0.00012339635722624642,0.00010830627549540672,1.163845003726579,1.0024853175162252,1.1638423075514581,1.0024853175162263
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:940,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,6.01649186997566e-05,0.00667572021484375,1.1654187748544496,1.0070799589157104,1.1654108677339021,1.0002131617355197
S0,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:1860,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0009536147,1.2766913155548565e-06,0.00017599650266886258,1.165833047171582,1.0044532012707013,1.1658276669615013,1.0044532012707015
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:0,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.00047683716,3.0268391976173703e-05,3.575619165130384e-05,1.1633697632290319,1.0009479626581124,1.1633633068488425,1.0009479626581108
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:900,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,2.384250198828042e-06,0.0009536147117614746,1.1632882834580218,0.9994506239891052,1.1632824866499982,0.9985575181128732
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:320,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,0.00010998879507351234,4.10356366262743e-05,1.1651852426196245,1.0003632030642404,1.1651823818196616,1.0003632030642389
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:1220,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,1.9749241049193955e-05,0.0009536147117614746,1.1652166986590153,0.9994506239891052,1.1652136957075656,0.9990206197345759
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:2120,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.009981,0.001,0.002,0.0019073486,6.650247620698657e-05,0.0009536147117614746,1.079476640991754,0.9994506239891052,1.0794706105484373,0.9989879650804933
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:3020,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.00095367426,2.0040379454355772e-05,9.763538017626416e-06,1.1627060228168922,1.0019321408272657,1.1627035791023725,1.0019321408272668
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:3:10,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,0.0001316365907031436,0.005241682180868956,1.1620408464708898,1.0070799589157104,1.162038148220873,1.001908976677795
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:60,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.0009536147,0.0001358497894516919,0.0009536147117614746,1.1619881343677572,0.9994506239891052,1.161985616764823,0.99810035684089
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:960,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,1.604443033365044e-05,0.006400253104574594,1.16983406059151,1.0070799589157104,1.1698309677373153,1.0006725743023774
S0,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:1860,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019958999999999998,0.001,0.002,0.0009536147,3.339277608960245e-05,5.131155890225614e-05,1.1642417794627844,1.0053703955344853,1.1642334827845076,1.0053703955344846
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:0,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962999999999998,0.001,0.002,0.00047677755,0.00014237669284122845,4.025966830467631e-05,1.1618445699949782,1.0076721856218007,1.1618380911004371,1.007672185621798
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:710,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962999999999998,0.001,0.002,0.0019073486,6.969736487483225e-05,0.0004767775535583496,1.1625516669593619,1.0004042387008667,1.1625486290336429,0.9978680209104405
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:1420,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0019073486,2.169688784414703e-06,0.0009536147117614746,1.1634740956024143,0.9994506239891052,1.1634678490412946,0.999263940089286
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:300,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0019073486,1.966046918822073e-05,0.00020705214031968566,1.16498096187053,1.0002381628405002,1.1649794614367952,1.0002381628405015
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:1010,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0019073486,8.86955395162925e-05,0.0,1.1635216042426406,1.0004042387008667,1.1635200796284535,0.9985146619196248
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:1720,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0009536147,0.0002026204677469945,0.00016274859285392296,1.1672601394753976,1.000850647012393,1.1672569915406026,1.0008506470123941
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:2440,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.007629335,8.405140386513743e-05,0.00667572021484375,1.1649235545113306,1.0070799589157104,1.1649214501170295,0.9985358808025931
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:120,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.00998,0.001,0.002,0.0009536743,1.055600334098905e-05,8.950584961997521e-05,1.0786656200257048,1.0007641792823816,1.078664465800249,1.00076417928238
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:830,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,3.403423409253925e-05,2.8355752099695763e-06,1.162847878129998,1.0004014031256567,1.162842987173255,1.0004014031256572
S0,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:1550,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0009536743,7.053291316028165e-05,5.589784394577357e-05,1.1642669089500033,1.0023807575286683,1.1642586290509656,1.002380757528666
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:0:0,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.0002554485,5.973537830161746e-06,5.168101777441869e-05,1.1631676708750438,1.0090008191567499,1.163159723156777,1.0090008191567514
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:0:600,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.00095367426,0.00013350975799175657,6.288037978308125e-05,1.165778372807197,1.0018849859328536,1.1657738761025165,1.0018849859328531
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:590,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.0076293945,8.263518659745728e-05,0.00667572021484375,1.1656689704158323,1.0070799589157104,1.1656646332623684,0.9981679267712559
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:1190,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,9.463657724451124e-05,0.00020722000835449172,1.1647852909622403,1.001695782723425,1.1647800251340457,1.0016957827234239
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:1790,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,4.058927675965052e-06,0.00013523647578694842,1.1643940094645167,1.000280417577075,1.1643891820922199,1.0002804175770754
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:2400,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.0076293945,2.91936187011288e-05,0.00667572021484375,1.1628403495040576,1.0070799589157104,1.1628339811151056,1.0001846393174436
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:3000,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.00998,0.001,0.002,0.0019073486,3.119167977572168e-05,0.00027047897728782466,1.07949033710267,1.0012434583175658,1.0794893959504843,1.00124345831757
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:290,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,2.2627804598052137e-05,1.7039267442120476e-05,1.1627478364638368,1.000843816464124,1.1627404607646994,1.0008438164641258
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:890,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.009981,0.001,0.002,0.0019073486,6.758070761669899e-06,0.00037441745093169665,1.0790503580639739,1.0004042387008667,1.079047927609289,0.9999822409703208
S0,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:1500,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.01996,0.001,0.002,0.00034059677,2.6213206551162216e-05,0.00013241294075672094,1.1644583647402764,1.0025038903419534,1.1644502588634662,1.002503890341956
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:0:0,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.009981,0.001,0.002,0.0002128738,0.00014698820406899848,4.420962608087109e-05,1.0792562324223463,1.0048089766950528,1.0792535914990729,1.004808976695053
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:0:650,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0009536147,4.7722628751190044e-05,0.0,1.1635720086331545,1.0004042387008667,1.1635640792206217,0.9985046592543472
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:260,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,1.3134276371618014e-05,0.0004767775535583496,1.1624183248502424,1.0004042387008667,1.1624138130054626,0.9979471331388923
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:910,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,0.00011623628298762512,0.00011707399942628705,1.1622567896465592,1.00168807192587,1.1622516391029698,1.0016880719258716
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:1570,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,8.116854545381358e-06,0.0004767775535583496,1.163128045752223,0.9999274611473083,1.1631220734539753,0.998822365833973
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:2220,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,0.00014567419078792554,0.00667572021484375,1.1624525564245236,1.0070799589157104,1.1624504885101306,0.9985308420719289
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:2880,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,3.8578589614424175e-05,1.2787958876270267e-06,1.1621023664978885,1.0010260910065976,1.1620974015619374,1.0010260910065987
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:160,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,0.00010658318501111097,0.0009536147117614746,1.1624685150788965,0.9994506239891052,1.1624669485180543,0.9984418265163892
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:820,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0038146377,7.105568137966145e-05,0.00286102294921875,1.1627391603671586,1.0032652616500854,1.1627307773568882,0.9998503099168449
S0,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:1480,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.01996,0.001,0.002,0.0009536743,8.976804141669348e-05,3.0842976368239405e-05,1.1650174514494998,1.0003733957244985,1.1650135227415053,1.0003733957244982
