seed,mode,pattern,offset,flight_id,cohort,axis,n_origins,mse,bias,bias_mse,amplitude_mse,shape_mse,pred_var,true_var,correlation,undefined_correlations,endpoint_mse,rmse,bias_rmse,amplitude_rmse,shape_rmse,endpoint_rmse
42,Mission,sustained,15,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,q,70,0.03083568406012995,0.02594983949673835,0.01415502042113271,0.006223152853288808,0.010457510785708425,0.1489596607628953,0.18628667544103536,0.9544179394012859,0,0.0391297847077124,0.1756009227200414,0.11897487306626013,0.07888696250514915,0.10226197135645501,0.19781249886625568
42,Mission,sustained,15,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,r,70,0.010054135838676743,0.005768365670661326,0.006367939066872597,0.0014666329834914591,0.002219563788312684,0.002502772336102886,0.0053550124717311985,0.35003461402732017,0,0.013970034753626655,0.10027031384550834,0.07979936758441508,0.03829664454611473,0.04711224669141437,0.11819490155512909
42,Mission,sustained,15,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,p,43,0.1699646705291573,-0.07282925550074659,0.0372452374470762,0.04800921203204378,0.0847102210500373,0.056285911930833946,0.1726051258625109,0.363973864848436,0,0.1782259536863167,0.41226771705914267,0.19299025220740088,0.21911004548409865,0.2910502036591579,0.42216815806774993
42,Mission,sustained,15,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,q,43,0.027578908657408797,0.024417699458547534,0.01354867039366361,0.004694920094674502,0.00933531816907069,0.15694168169124817,0.19577553501161896,0.9563416225699828,0,0.03010761895568625,0.16606898764492062,0.11639875597987982,0.06851948697031014,0.09661945026272241,0.17351547180492652
42,Mission,sustained,15,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,r,43,0.009094505594900281,0.007163507955777298,0.006237723982073894,0.0013201297256228315,0.0015366518872035554,0.0021375042877826126,0.004024023071053559,0.3892772637758845,0,0.013885451330351524,0.09536511728562116,0.07897926298765957,0.03633358949543564,0.0392001516222011,0.11783654496951072
42,Mission,sustained,15,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,p,65,0.15439221683783425,-0.056085137622886395,0.046232355364418026,0.040008183795314005,0.06815167767810222,0.08480233072251912,0.16852312851960907,0.37032453554866446,0,0.19217249525276778,0.39292775014986436,0.21501710481824005,0.2000204584419154,0.26105876288319113,0.4383748341918908
42,Mission,sustained,15,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,q,65,0.02887410529143203,0.03848823173422115,0.01396352087925795,0.006687993286939984,0.008222591125234099,0.1233647621212118,0.16325585308126658,0.9594128654948303,0,0.033203334237723654,0.1699238220245532,0.11816734269356297,0.08178015215772091,0.09067850420708372,0.18221782085658816
42,Mission,sustained,15,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,r,65,0.01009465235925707,-0.01356796461581321,0.007052682520329624,0.0015935597265230523,0.0014484101124043938,0.0015916570443141598,0.004639507168005396,0.29552775947607257,0,0.015296301016801591,0.10047214718148045,0.0839802507755819,0.03991941540808247,0.038057983556730825,0.12367821561132579
42,Mission,sustained,15,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,p,64,0.19578725352357224,-0.058756181051982784,0.04914744580876541,0.06525470556626417,0.08138510214854268,0.055215328194187716,0.1875694311511434,0.3811205929103923,0,0.2069856847176406,0.4424785345342441,0.22169223217958137,0.2554500060016914,0.28528074268786996,0.4549567943416612
42,Mission,sustained,15,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,q,64,0.033774841712110135,0.04105852876094829,0.01567211975665238,0.007285071419681496,0.010817650535776255,0.14808834864260362,0.19531762684802517,0.943019334836513,0,0.04882801337634003,0.18377932884878576,0.12518833714309166,0.08535262983459559,0.10400793496544508,0.22097061654514166
42,Mission,sustained,15,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,r,64,0.009511683678711389,-0.015598416276771178,0.00747794430810495,0.0007042852874767281,0.001329454083129709,0.002203989194905156,0.0034234174014614086,0.4255765015768608,0,0.01355172062257037,0.09752786103832786,0.08647510802598023,0.026538373866473584,0.03646167965316065,0.11641185774039675
42,Mission,sustained,15,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,p,47,0.22487133937264608,-0.026318564256851806,0.03331917504271918,0.055850777506915535,0.1357013868230113,0.06483307519229975,0.18860396183260061,0.1612272465732927,0,0.262076133571822,0.47420600942274665,0.18253540764114556,0.23632769094398468,0.36837669147628127,0.5119337199011431
