split,flight_id,firmware,valid_rows,stabilized_rows,fresh_chain_rows,stabilized_duration_s,fresh_duration_s,yaw_neutral_rows,roll_active_rows,roll_setpoint_formula_rmse_deg,rudder_rms_yaw_neutral
train,9.18数据/log_2_2026-9-18-18-29-40.ulg,e624a99f2955addbf76681e636c44162a0c03055,7773,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_21_2026-9-7-05-54-56.ulg,c9af571575af33d5403fbb479256848797c801e2,8468,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_22_2026-9-7-06-01-40.ulg,c9af571575af33d5403fbb479256848797c801e2,9234,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_23_2026-9-7-06-09-22.ulg,c9af571575af33d5403fbb479256848797c801e2,8211,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_24_2026-9-7-06-16-04.ulg,c9af571575af33d5403fbb479256848797c801e2,8220,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_26_2026-9-7-06-30-26.ulg,c9af571575af33d5403fbb479256848797c801e2,7566,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_27_2026-9-7-06-37-24.ulg,c9af571575af33d5403fbb479256848797c801e2,7866,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_28_2026-9-7-06-44-02.ulg,c9af571575af33d5403fbb479256848797c801e2,7336,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_29_2026-9-7-06-51-04.ulg,c9af571575af33d5403fbb479256848797c801e2,10263,0,0,0.0,0.0,0,0,,
validation,2026.9.7/log_30_2026-9-7-06-58-22.ulg,c9af571575af33d5403fbb479256848797c801e2,8338,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_10_2026-9-17-06-34-34.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,6607,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_11_2026-9-17-06-40-30.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,7409,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_12_2026-9-17-06-46-02.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,7385,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_13_2026-9-17-06-52-30.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,7808,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_6_2026-9-17-06-02-24.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,7027,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_7_2026-9-17-06-12-16.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,6670,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_8_2026-9-17-06-17-52.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,7445,0,0,0.0,0.0,0,0,,
validation,9.17数据/log_9_2026-9-17-06-28-10.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,5831,0,0,0.0,0.0,0,0,,
