h0_rmse,h1_rmse,h2_rmse,h3_rmse,h4_rmse,h5_rmse,h6_rmse,h7_rmse,h8_rmse,h9_rmse,h10_rmse,h11_rmse,h12_rmse,h13_rmse,h14_rmse,h15_rmse,h16_rmse,h17_rmse,h18_rmse,h19_rmse,h20_rmse,h21_rmse,h22_rmse,h23_rmse,h24_rmse,h25_rmse,h26_rmse,h27_rmse,h28_rmse,h29_rmse,h30_rmse,h31_rmse,h32_rmse,h33_rmse,h34_rmse,h35_rmse,h36_rmse,h37_rmse,h38_rmse,h39_rmse,h40_rmse,h41_rmse,h42_rmse,h43_rmse,h44_rmse,h45_rmse,h46_rmse,h47_rmse,h48_rmse,h49_rmse,h50_rmse,h51_rmse,h52_rmse,h53_rmse,h54_rmse,h55_rmse,h56_rmse,h57_rmse,h58_rmse,h59_rmse,h60_rmse,h61_rmse,h62_rmse,h63_rmse,step
0.16678299,0.14649604,0.1675962,0.18687034,0.16742252,0.19660112,0.14259094,0.17203559,0.12316068,0.20061077,0.13102241,0.18720584,0.15609232,0.12039737,0.14425363,0.1818884,0.20391427,0.19697368,0.22870484,0.12575836,0.21744914,0.1546014,0.18902189,0.15365331,0.21856734,0.23144482,0.14248501,0.16004755,0.24576497,0.15515046,0.22402687,0.15919979,0.1572252,0.17001395,0.2095781,0.15324187,0.1634254,0.15523967,0.20889509,0.16821007,0.18828018,0.24406387,0.16997819,0.178196,0.20206061,0.1656004,0.15558812,0.21468212,0.1493496,0.1993993,0.19364682,0.18915893,0.23239398,0.14776264,0.19817796,0.15318252,0.18267338,0.1415052,0.16609359,0.18217313,0.19611074,0.20461057,0.13239975,0.15937127,10
0.169421,0.13965479,0.1609921,0.18258336,0.15407738,0.19792175,0.1406258,0.16690344,0.1381719,0.20219578,0.13161635,0.20732361,0.16427645,0.1317763,0.14838403,0.19407158,0.20241922,0.20020048,0.22238034,0.12436767,0.19256957,0.15269066,0.19505598,0.16445799,0.20721127,0.23960374,0.14653534,0.15778394,0.22654854,0.15838479,0.21451592,0.16286153,0.14242162,0.17916214,0.20683068,0.14098665,0.16298896,0.15620723,0.21545881,0.15833037,0.20357436,0.2393339,0.17200424,0.16438074,0.20138618,0.16364709,0.1440973,0.2005747,0.13851553,0.2065968,0.20846763,0.18866475,0.22087769,0.14433722,0.19387817,0.16389221,0.18152656,0.1541043,0.1645686,0.1813087,0.18789737,0.18599105,0.14296864,0.16327022,11
0.17356955,0.1367652,0.16158415,0.17538401,0.14111951,0.19592705,0.14474894,0.16012545,0.15038231,0.21013902,0.12981595,0.2242824,0.16908191,0.13966997,0.14726034,0.21153405,0.2009394,0.20580974,0.21993843,0.12721407,0.1768064,0.15545629,0.19614449,0.17623046,0.19700864,0.24907729,0.1508888,0.15932965,0.20933107,0.16455637,0.20949145,0.16852203,0.12968339,0.1902813,0.20279388,0.13279283,0.16774328,0.15244813,0.21980636,0.1593093,0.21103556,0.23052055,0.17215829,0.15334342,0.1990575,0.16182236,0.13564901,0.19437936,0.13522281,0.21150842,0.2251143,0.18742886,0.21483652,0.14476039,0.19075882,0.17666575,0.18667948,0.16681331,0.16413593,0.18796253,0.1866515,0.1679382,0.15230002,0.16774744,12
0.17504461,0.13360986,0.17414497,0.1737526,0.1346891,0.19109797,0.15349275,0.15854806,0.15420379,0.2145776,0.12916596,0.23065735,0.17053321,0.14170039,0.14485088,0.22089696,0.2001904,0.21015628,0.21700206,0.13839553,0.17494732,0.16016583,0.19645089,0.18096499,0.18994308,0.25457475,0.15927354,0.15547672,0.19605634,0.16921924,0.21886557,0.17531389,0.12342233,0.18965286,0.20315227,0.13121568,0.18094152,0.14841992,0.22549677,0.16934885,0.21168917,0.22335644,0.16949631,0.14912266,0.19589543,0.1638348,0.13648908,0.19285017,0.14157365,0.21803029,0.23400415,0.18581383,0.21461853,0.14705978,0.18609592,0.18297033,0.19041786,0.17843196,0.1712898,0.1999792,0.19051605,0.16215408,0.15350953,0.17116404,13
0.17479724,0.1341516,0.18481022,0.17354634,0.13565984,0.18603672,0.16387323,0.16161534,0.15014477,0.21325032,0.13139293,0.22927292,0.17155431,0.13920042,0.14306474,0.220797,0.19808988,0.213317,0.21348964,0.14721815,0.18133052,0.16373394,0.19915895,0.17967792,0.18778026,0.25896817,0.16744323,0.15257992,0.18812646,0.17340264,0.23472734,0.17524116,0.12350144,0.18568373,0.2112928,0.13703592,0.1895386,0.14691187,0.2249649,0.1804672,0.21474674,0.22580533,0.1677364,0.14586778,0.19156936,0.16850469,0.14249471,0.19448194,0.14839208,0.22832087,0.23641507,0.18859355,0.21800403,0.15072836,0.18138777,0.18778679,0.18923321,0.18762444,0.17726552,0.20671503,0.19496621,0.16340034,0.15130919,0.17487437,14
0.17493092,0.13846883,0.19054098,0.17228828,0.13733546,0.18293212,0.17289357,0.16666491,0.14231648,0.21696632,0.13437134,0.22391446,0.17448604,0.13630126,0.14207579,0.22008193,0.19917825,0.21769808,0.2158393,0.15238592,0.1856344,0.16551782,0.20020889,0.17515709,0.19060612,0.26365957,0.17674674,0.15248634,0.18887368,0.18036927,0.25161746,0.17069139,0.12905155,0.17904499,0.2178731,0.14404462,0.19131185,0.14792848,0.21768211,0.19102663,0.2178691,0.23219225,0.1687208,0.14508747,0.18426,0.17288266,0.14478897,0.19840351,0.14777696,0.2389203,0.23458046,0.1937125,0.22458465,0.15663904,0.17872582,0.19198109,0.18650632,0.19396001,0.17952737,0.21002796,0.19643024,0.16508794,0.14632028,0.17893955,15
0.17973924,0.1460588,0.1915189,0.17154238,0.14212178,0.18185042,0.18319675,0.17193648,0.136779,0.22746262,0.13717265,0.21255296,0.17909658,0.13247499,0.14712669,0.22046752,0.19935907,0.22026913,0.22322519,0.15268193,0.19341893,0.17045046,0.20684884,0.17035592,0.20052598,0.26408318,0.18563123,0.15776215,0.19993646,0.19325732,0.26558512,0.16517791,0.1401584,0.17531759,0.22281916,0.15442058,0.1867108,0.1501148,0.20711832,0.20250139,0.21409284,0.2375501,0.1754273,0.15381342,0.1848709,0.17444429,0.14673251,0.21051922,0.14715901,0.2533093,0.22969928,0.20014098,0.23219319,0.16164744,0.18040279,0.19408752,0.19408435,0.1992166,0.1800521,0.21141022,0.20150448,0.17026126,0.14063835,0.18122812,16
0.18583894,0.1550078,0.19254658,0.17227581,0.15307,0.18368763,0.1925169,0.18084939,0.12997346,0.23354384,0.14035155,0.19451793,0.18539762,0.1279368,0.15150915,0.21729966,0.19725353,0.22152734,0.23718402,0.14858681,0.20830461,0.17363031,0.21354876,0.16826208,0.21863653,0.25969824,0.19309331,0.16532965,0.21942094,0.20295167,0.2754282,0.1628217,0.15437059,0.17352593,0.2263939,0.16559272,0.17954254,0.15450552,0.19875796,0.20983951,0.19768189,0.2379531,0.18253897,0.16946961,0.19167107,0.1759451,0.15314776,0.22936538,0.1527779,0.26400965,0.22419211,0.20241594,0.23722357,0.16695362,0.18718918,0.19178157,0.20186698,0.20446569,0.18430914,0.20687199,0.21101521,0.18489668,0.13870154,0.18571463,17
0.18813081,0.1641564,0.19654857,0.17976484,0.16544819,0.18705912,0.19879244,0.19413222,0.12415799,0.23296154,0.14527196,0.18184926,0.1860966,0.12448695,0.1528217,0.2103261,0.19641922,0.22749513,0.2502473,0.14609544,0.2264346,0.17628217,0.21663992,0.1682123,0.23919441,0.2563427,0.19748835,0.17283192,0.24366628,0.21023706,0.2814196,0.16680455,0.16791962,0.17285584,0.23451899,0.17617257,0.17647214,0.16107337,0.19812416,0.21626593,0.1780341,0.24094275,0.18917467,0.1885756,0.20034014,0.17974864,0.16114299,0.24771276,0.16477716,0.27213046,0.21963415,0.20492333,0.24145342,0.17443968,0.19285175,0.18278451,0.20636727,0.20819648,0.18843861,0.20433381,0.22236525,0.20030205,0.13579609,0.19404384,18
0.18607631,0.17504615,0.20045215,0.18892892,0.17405458,0.19294687,0.19875123,0.20520535,0.11955993,0.2304328,0.15143016,0.17945348,0.18139303,0.1268371,0.15114497,0.20253548,0.20003961,0.23637415,0.25737104,0.14496107,0.24252564,0.1759577,0.21496572,0.1694779,0.25759792,0.26325586,0.19869381,0.1748134,0.26162276,0.20885639,0.28135136,0.17181577,0.17861706,0.17345107,0.24492633,0.18295127,0.1742695,0.16774403,0.20140779,0.21933621,0.16721682,0.24879791,0.18970405,0.20210554,0.20783596,0.18300599,0.16732603,0.2596653,0.17545874,0.27082643,0.21886967,0.21053664,0.24604234,0.18319635,0.19657099,0.17181186,0.2054442,0.20806973,0.19112018,0.2042101,0.22936635,0.21070613,0.13310461,0.2028601,19
0.19108889,0.18471776,0.19304651,0.18948941,0.17423384,0.20036699,0.19359681,0.20878826,0.12207207,0.23478954,0.15644093,0.18207015,0.18288662,0.13343376,0.15205213,0.19933507,0.20441867,0.24348861,0.25811154,0.13766442,0.25286534,0.17322011,0.21426485,0.17576188,0.26861718,0.27415895,0.19619764,0.17860438,0.27384907,0.20572446,0.277581,0.17319596,0.18331666,0.18332775,0.24881618,0.18107815,0.1677739,0.17404926,0.20432186,0.21506114,0.17149359,0.25954705,0.18581797,0.21352555,0.21917772,0.1820656,0.1666249,0.26610202,0.16869986,0.26672378,0.22812745,0.21639957,0.24857013,0.18971062,0.19988626,0.17370477,0.20916884,0.20395131,0.18970639,0.2035742,0.23206827,0.20932835,0.13345192,0.2108241,20
0.20241468,0.19009231,0.18131839,0.18846479,0.17370133,0.20764966,0.18892366,0.20540798,0.1294647,0.23724613,0.15981205,0.18782163,0.18586873,0.14267954,0.15729703,0.20143703,0.21280536,0.250059,0.25571173,0.12933013,0.2548205,0.1707806,0.21514313,0.18291153,0.2741451,0.27782336,0.19503444,0.18434744,0.27868658,0.20222414,0.27230522,0.17771354,0.18510747,0.19304858,0.24883093,0.1758812,0.1623033,0.17935072,0.21195666,0.21186626,0.18119757,0.26513326,0.18344712,0.21695475,0.23035225,0.187622,0.1626896,0.26848987,0.15488607,0.26514974,0.23696715,0.21935323,0.24933632,0.19175856,0.20355375,0.17737484,0.21438906,0.19995818,0.19118021,0.20470482,0.23153089,0.20435473,0.13973553,0.21431823,21
0.20935632,0.19218242,0.17460825,0.19076452,0.17425346,0.21325897,0.1862677,0.20036967,0.13587432,0.23521885,0.16338715,0.19827455,0.18598364,0.15045159,0.16266398,0.2060691,0.226847,0.25816864,0.2528364,0.12780866,0.24985619,0.16970462,0.21263626,0.19057289,0.27263537,0.27934536,0.19704393,0.18675786,0.2775452,0.19762626,0.26666096,0.19069445,0.18160443,0.19902748,0.24661502,0.168385,0.16686709,0.18352506,0.22829494,0.20219995,0.1954903,0.26077366,0.18322828,0.21094391,0.23761165,0.19946931,0.16076957,0.26428434,0.15010491,0.26233977,0.24130969,0.21855122,0.24416302,0.18783766,0.20492437,0.18030795,0.21372229,0.19524336,0.1987569,0.20920679,0.23021273,0.20283903,0.14978479,0.21509725,22
0.20809428,0.19212931,0.17251064,0.20145157,0.17309429,0.21608484,0.18483697,0.19628944,0.14153597,0.23417513,0.16614811,0.21552558,0.1843065,0.16089956,0.16935872,0.21356846,0.2384023,0.26811442,0.24744663,0.12901585,0.24105515,0.16810526,0.20932399,0.19837663,0.26956975,0.2862554,0.2010131,0.18406954,0.26897272,0.19562691,0.26176298,0.20120819,0.176647,0.20291875,0.2435975,0.16303727,0.17298561,0.18505412,0.24419847,0.1902867,0.21364987,0.2556174,0.18457621,0.19974011,0.23935698,0.21080329,0.15956023,0.25496396,0.1534272,0.25685474,0.24408454,0.2165355,0.23425153,0.18292503,0.20307839,0.1842935,0.2126676,0.1918218,0.2049252,0.21296895,0.22714661,0.20257267,0.15905729,0.21329679,23
0.20589349,0.19622974,0.1759076,0.2101227,0.16918036,0.21565899,0.1858397,0.19278236,0.14688453,0.23275617,0.16994463,0.23610114,0.18253879,0.17054482,0.17148982,0.21911952,0.24374044,0.2772755,0.2442705,0.13383366,0.23017302,0.1657804,0.20528853,0.20576634,0.26538146,0.2963272,0.20744209,0.18307193,0.26062244,0.1964434,0.25957546,0.20311533,0.17157158,0.20589833,0.23903388,0.16050795,0.17879839,0.18496558,0.25593594,0.18296936,0.22897248,0.2527935,0.18776879,0.18917978,0.23570833,0.21611209,0.15781105,0.24733964,0.15608568,0.25210354,0.24740888,0.21201892,0.22635536,0.17747143,0.20187405,0.18583685,0.21248983,0.19013062,0.20665702,0.21642213,0.22368667,0.19839957,0.16499092,0.21061061,24
0.20246491,0.20012543,0.17872295,0.21556272,0.1661664,0.2137271,0.18907931,0.18935779,0.1493779,0.23423685,0.17342944,0.25423333,0.18395412,0.18073948,0.17480786,0.22361405,0.24426445,0.28140628,0.23980187,0.13897415,0.22178794,0.16835389,0.20888476,0.21187243,0.26106223,0.30570978,0.2131554,0.18065113,0.25190035,0.19779156,0.25993687,0.20210046,0.16776793,0.20880874,0.2388939,0.16178206,0.18367021,0.18416356,0.2603952,0.18361397,0.24113105,0.2550796,0.18602656,0.18358676,0.23016647,0.21635473,0.16054206,0.2426643,0.1609893,0.25316772,0.24735433,0.21117753,0.22109705,0.17311881,0.19792993,0.1862158,0.21462086,0.19236934,0.20604527,0.21929379,0.22066718,0.1947306,0.17308374,0.20879379,25
0.20114116,0.20372565,0.18428063,0.21561174,0.16534916,0.21145022,0.1972697,0.18846771,0.15083453,0.23474468,0.1791976,0.2655363,0.183873,0.18812776,0.1761715,0.22786318,0.24256392,0.28301415,0.24129404,0.1477156,0.21677202,0.17179215,0.21021841,0.21046834,0.25785053,0.31407169,0.21713673,0.18326353,0.2472189,0.19895811,0.26114297,0.2029084,0.16643026,0.20927434,0.2440796,0.1625907,0.19061531,0.18408513,0.2603968,0.18950427,0.24828233,0.2603847,0.18616772,0.18135779,0.22109474,0.2104953,0.1646378,0.24045326,0.16667645,0.258357,0.24778965,0.21318151,0.22453015,0.17293248,0.195701,0.19065298,0.21290171,0.19826877,0.20806527,0.22456586,0.21966636,0.19257191,0.17626224,0.20994005,26
0.20067671,0.2072411,0.18714026,0.21343508,0.16612118,0.20943196,0.20353231,0.1917956,0.15326644,0.23902579,0.18295738,0.26600584,0.18277945,0.19295774,0.17819639,0.23802267,0.242192,0.28235826,0.24683721,0.15104623,0.21651827,0.17437358,0.20899191,0.20728984,0.25935814,0.3152647,0.22602852,0.18686959,0.24638526,0.2024413,0.26329744,0.20186082,0.16412725,0.2063613,0.24922968,0.16554272,0.19150779,0.18449777,0.25111446,0.19611657,0.25166982,0.26672223,0.1923622,0.18132426,0.21246669,0.20369947,0.17139058,0.23820852,0.16969047,0.26394457,0.2440623,0.21930796,0.2295685,0.17474629,0.19493483,0.19288057,0.2101615,0.20473571,0.20750792,0.22732988,0.21714117,0.19172111,0.17502056,0.21049938,27
0.20773605,0.21047497,0.1899866,0.2073863,0.16918464,0.20578772,0.20156614,0.1921449,0.15224417,0.24701953,0.18696332,0.26019567,0.18702634,0.19300252,0.18460476,0.24136859,0.24453016,0.28174728,0.25139177,0.15448292,0.21601586,0.17863047,0.214945,0.20739527,0.26174158,0.31132323,0.23354068,0.18689469,0.24966721,0.20604528,0.26763734,0.20047797,0.16234338,0.20003223,0.2554872,0.17075144,0.1909605,0.18651576,0.24185298,0.20817192,0.24800582,0.26995346,0.19443925,0.18589404,0.21323515,0.19494869,0.17184542,0.24186343,0.16561574,0.27312502,0.24061619,0.22569746,0.24034731,0.17679694,0.1918509,0.1939735,0.214317,0.20900021,0.20749837,0.23342946,0.21575965,0.18899904,0.1691246,0.2132361,28
0.22274932,0.21107899,0.18930194,0.1978964,0.17442666,0.20315549,0.20688099,0.18951172,0.15177701,0.258024,0.18846749,0.2480527,0.19950008,0.18939342,0.1911022,0.24539942,0.24287604,0.27910283,0.25879982,0.15204124,0.22012971,0.18142211,0.22628854,0.2080324,0.26383367,0.30357355,0.24079962,0.1930852,0.26222,0.21279193,0.27377865,0.20089993,0.16415375,0.20012915,0.25729793,0.17594388,0.18606712,0.18763095,0.23304029,0.21325693,0.2411596,0.26468986,0.1971746,0.19686098,0.2204004,0.18960619,0.17399846,0.25600988,0.16484189,0.28536478,0.24344482,0.22915737,0.24496119,0.1793344,0.19397189,0.19686349,0.22565809,0.2154054,0.21109167,0.23308946,0.22187406,0.19000056,0.1667173,0.21790086,29
0.23178871,0.21266377,0.19219556,0.1923447,0.17919734,0.20205493,0.21529582,0.19327176,0.14852571,0.2595892,0.190222,0.23173521,0.20412377,0.18404394,0.1941837,0.24278057,0.23970808,0.27774367,0.2654604,0.14927617,0.2297675,0.18531948,0.23053007,0.20607299,0.2673613,0.29540375,0.24485664,0.19726202,0.2761673,0.21469359,0.28143394,0.20227729,0.16707887,0.19811507,0.2583536,0.18155614,0.1854872,0.18855274,0.22749713,0.21358661,0.22856866,0.25516278,0.19864134,0.20804308,0.22314869,0.19318317,0.18001214,0.27085686,0.17459095,0.2899647,0.2431316,0.23046856,0.24555822,0.18290226,0.19807321,0.19112988,0.23297307,0.22251792,0.21401118,0.2341126,0.23487955,0.19660933,0.1625852,0.22512193,30
0.23099129,0.2143244,0.19544375,0.19620487,0.18319662,0.20460977,0.22218262,0.20037925,0.14524034,0.2532769,0.19306466,0.2171796,0.20468046,0.18027803,0.1959174,0.2371875,0.23786587,0.27930948,0.26977244,0.14551416,0.2428,0.18926093,0.23119223,0.20372127,0.27252117,0.28974757,0.24534677,0.19846137,0.28662843,0.21524294,0.28675243,0.20378813,0.1745756,0.19773768,0.2605045,0.18645956,0.18360145,0.19245914,0.22675285,0.21078789,0.21682003,0.24959992,0.19962113,0.21939091,0.22567275,0.19855462,0.18741053,0.2800661,0.1845581,0.29010788,0.24187487,0.23232454,0.24339259,0.18650132,0.20361885,0.18873595,0.23374626,0.22909868,0.2125342,0.23435727,0.24743941,0.2062567,0.16390964,0.23329167,31
0.22969167,0.21740772,0.20267344,0.20302221,0.18758129,0.2111961,0.22478251,0.20644447,0.14566132,0.24253328,0.19707622,0.21420562,0.20072196,0.17842087,0.20070489,0.22934516,0.23614563,0.28184217,0.2695309,0.14760835,0.2530284,0.18793698,0.22704458,0.20176376,0.2781628,0.287836,0.24189708,0.19675976,0.2908125,0.21354079,0.28963873,0.20574419,0.18418047,0.19678271,0.2668393,0.18841584,0.18340534,0.19932465,0.23030668,0.21313103,0.21469833,0.25653666,0.19927414,0.22607031,0.23027119,0.2014369,0.19301815,0.28132024,0.18602952,0.28862458,0.24125794,0.23472454,0.24574687,0.19073936,0.2092318,0.18566428,0.22719665,0.23398602,0.21164812,0.23834656,0.25056008,0.21315172,0.16186051,0.23982951,32
0.23182961,0.22048284,0.20098084,0.20166431,0.18880282,0.21770866,0.22107978,0.20954679,0.14705072,0.23801988,0.20129694,0.21668881,0.20123152,0.17973723,0.2063633,0.22753115,0.23430003,0.28414848,0.26689646,0.14543504,0.25468442,0.18735276,0.2256192,0.20758978,0.28419814,0.2883137,0.23828992,0.1951376,0.2904167,0.21285738,0.2905176,0.20371218,0.19004531,0.19895695,0.2747383,0.18836303,0.17928669,0.20662622,0.22824667,0.21600409,0.21987806,0.2689989,0.1976717,0.22535908,0.23635268,0.20642398,0.19224696,0.27883172,0.17641659,0.28726068,0.24119362,0.23707935,0.24829751,0.1934018,0.21072894,0.18581243,0.22106658,0.23840624,0.20924605,0.2346788,0.24659137,0.21315375,0.1654117,0.24194318,33
