mode,horizon_s,n,knn_mean,knn_median,knn_p90,knn_p95,knn_max,mahalanobis_mean,mahalanobis_median,mahalanobis_p90,mahalanobis_p95,mahalanobis_max,knn_outside_train_p99_mean,knn_outside_train_p99_median,knn_outside_train_p99_p90,knn_outside_train_p99_p95,knn_outside_train_p99_max,knn_outside_leave_log_p99_mean,knn_outside_leave_log_p99_median,knn_outside_leave_log_p99_p90,knn_outside_leave_log_p99_p95,knn_outside_leave_log_p99_max,mahalanobis_outside_train_p99_mean,mahalanobis_outside_train_p99_median,mahalanobis_outside_train_p99_p90,mahalanobis_outside_train_p99_p95,mahalanobis_outside_train_p99_max
teacher,0.4,722,0.5597780268856033,0.5520649552345276,0.6753822565078735,0.724329102039337,1.1384798288345337,1.0925074573864237,1.0479851365089417,1.3198108553886414,1.489232677221297,3.35970139503479,0.9265927977839336,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.024930747922437674,0.0,0.0,0.0,1.0
teacher,0.5,722,0.5612144312122191,0.5532437562942505,0.672885513305664,0.7250326454639432,1.0170681476593018,1.1010433244738222,1.0501103401184082,1.3062795042991637,1.4678833186626428,3.2309939861297607,0.9349030470914127,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,1.0
teacher,0.6,722,0.559962332909127,0.5498962700366974,0.6810701668262482,0.720377406477928,1.1894515752792358,1.0967520346601913,1.050494134426117,1.294798946380615,1.4475800096988676,3.495821475982666,0.9279778393351801,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.02631578947368421,0.0,0.0,0.0,1.0
teacher,0.8,722,0.5617951107239789,0.5542261302471161,0.6754636287689209,0.7244185656309126,1.102066993713379,1.1010831384777693,1.052674949169159,1.2950764894485474,1.455605602264403,3.3590736389160156,0.9335180055401662,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.024930747922437674,0.0,0.0,0.0,1.0
teacher,1.0,722,0.5640881048757944,0.5557767450809479,0.67592533826828,0.713826310634613,1.0651485919952393,1.1008379697139243,1.0555583238601685,1.2800626039505005,1.4786018192768093,3.244919776916504,0.9390581717451524,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02077562326869806,0.0,0.0,0.0,1.0
teacher,1.2,722,0.5641533426548305,0.5607924461364746,0.6710442423820495,0.7260226130485532,1.0188807249069214,1.0954013895295003,1.0441969633102417,1.3095613718032837,1.472091954946518,3.119980812072754,0.9445983379501385,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0221606648199446,0.0,0.0,0.0,1.0
teacher,1.4000000000000001,722,0.5592975784867094,0.5497663021087646,0.6738601744174957,0.725237727165222,1.138804316520691,1.0908367562822359,1.0476089715957642,1.3191932320594788,1.4892071366310107,3.3596997261047363,0.9376731301939059,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.024930747922437674,0.0,0.0,0.0,1.0
teacher,1.6,722,0.5593640501314253,0.5500779151916504,0.6784776329994201,0.7202487617731094,1.1895402669906616,1.0950197343020558,1.050488531589508,1.2882615327835083,1.451411861181259,3.495821237564087,0.9293628808864266,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.02631578947368421,0.0,0.0,0.0,1.0
teacher,1.8,722,0.5629825166883231,0.5550916194915771,0.6774950742721557,0.7243713915348051,1.101655125617981,1.1012635707359895,1.053048014640808,1.2950756669044494,1.4638759970664972,3.359074354171753,0.9349030470914127,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.024930747922437674,0.0,0.0,0.0,1.0
teacher,2.0,722,0.5643719198218343,0.5564921796321869,0.6757968485355377,0.7150928556919097,1.065283179283142,1.099644833654578,1.0508984327316284,1.2785279750823975,1.4734972417354584,3.244920015335083,0.9349030470914127,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02077562326869806,0.0,0.0,0.0,1.0
teacher,2.2,722,0.5642333665960714,0.5595139861106873,0.6720413088798523,0.7266074746847151,1.0182429552078247,1.0947447046018373,1.0439903736114502,1.3070896983146667,1.472091954946518,3.119981050491333,0.943213296398892,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023545706371191136,0.0,0.0,0.0,1.0
teacher,2.4,722,0.5602004672516746,0.5513472855091095,0.674893981218338,0.7255073457956314,1.139130711555481,1.0918690744694581,1.0479416251182556,1.3191932320594788,1.490514063835144,3.3596997261047363,0.9321329639889196,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.02631578947368421,0.0,0.0,0.0,1.0
teacher,2.6,722,0.56019263989047,0.5501254200935364,0.6808633804321289,0.7242380768060682,1.189666748046875,1.0963776483099876,1.0508311986923218,1.2980239391326904,1.453234839439392,3.495821475982666,0.925207756232687,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.027700831024930747,0.0,0.0,0.0,1.0
teacher,2.8000000000000003,722,0.5634074952050919,0.5548396408557892,0.6778809547424316,0.7268504083156584,1.1013768911361694,1.1036070185685092,1.053048014640808,1.3029674291610716,1.4786930918693533,3.359074354171753,0.9335180055401662,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.02631578947368421,0.0,0.0,0.0,1.0
teacher,3.0,722,0.5650709872843486,0.5570926666259766,0.6769437849521637,0.7162988305091856,1.065476417541504,1.1013702320094914,1.0518050789833069,1.2765892148017883,1.4786020457744595,3.244920015335083,0.9321329639889196,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0221606648199446,0.0,0.0,0.0,1.0
teacher,3.2,722,0.564820146007551,0.5603683888912201,0.6723290801048278,0.7262561559677122,1.0184272527694702,1.0961399211282545,1.0433726906776428,1.3070896983146667,1.4777842640876766,3.119981050491333,0.9473684210526315,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.024930747922437674,0.0,0.0,0.0,1.0
