log_id,window_id,horizon_s,linear,angular,frequency,linear_body
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3725:5s,0.2,1.4217557,8.175924,0.14305735,1.4217557
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3775:5s,0.2,1.8171958,9.175475,0.12819348,1.8171958
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3825:5s,0.2,0.40516195,3.8346875,0.07267772,0.40516195
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3875:5s,0.2,1.448107,9.852955,0.14706542,1.4481069
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3925:5s,0.2,1.0593348,7.7113347,0.04769658,1.0593348
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3975:5s,0.2,1.0160347,5.423385,0.08948364,1.0160347
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:4025:5s,0.2,1.3651533,7.0073004,0.18835512,1.3651534
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:4075:5s,0.2,0.7899897,6.7440248,0.031465296,0.78998965
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:4125:5s,0.2,0.56075895,5.9529138,0.035085216,0.5607588
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:4175:5s,0.2,1.1225518,8.151305,0.06713016,1.1225518
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:4225:5s,0.2,1.2272412,9.152357,0.08717364,1.2272412
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:4275:5s,0.2,1.1143091,6.006987,0.13164867,1.114309
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:4325:5s,0.2,1.4268893,6.89062,0.18160418,1.4268893
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:25:5s,0.2,1.638362,7.508543,0.23964892,1.638362
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:75:5s,0.2,0.8376662,7.4444523,0.12331326,0.8376662
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:125:5s,0.2,1.3719358,8.180902,0.052892216,1.3719358
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:175:5s,0.2,0.52633417,9.899902,0.11556396,0.52633417
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:225:5s,0.2,0.7043106,8.350355,0.16483192,0.70431054
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:275:5s,0.2,0.3853065,3.9060764,0.07508583,0.38530654
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:325:5s,0.2,0.7861668,4.7089734,0.15349454,0.7861667
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:375:5s,0.2,0.945066,10.833642,0.09170306,0.945066
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:425:5s,0.2,0.67065215,5.9106307,0.06762885,0.6706523
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:475:5s,0.2,0.583288,5.679243,0.053316645,0.583288
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:525:5s,0.2,1.2648897,9.781346,0.17195866,1.2648898
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:575:5s,0.2,1.260579,10.014207,0.14180174,1.260579
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:625:5s,0.2,1.0921559,5.6266646,0.03855819,1.0921559
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:675:5s,0.2,0.86094385,5.3771877,0.06473088,0.86094385
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:725:5s,0.2,0.31844455,2.8474915,0.08234329,0.31844458
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:775:5s,0.2,0.64119494,5.675534,0.0911418,0.641195
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:825:5s,0.2,1.0180298,3.6112325,0.10795298,1.0180298
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:875:5s,0.2,0.65771246,4.730755,0.06056336,0.6577124
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:925:5s,0.2,1.1063712,8.051081,0.09700329,1.1063712
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:975:5s,0.2,0.9404538,4.7723136,0.07984319,0.9404537
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:2:1025:5s,0.2,0.69816625,3.6226766,0.09048989,0.6981662
