reference_history_steps,history_steps,cohort,horizon_s,metric,n_flights,flights_improved,flights_worse,mean_paired_difference
1,13,Sep17,0.1,position_rmse_m,8,8,0,-0.01566618434635055
1,13,Sep17,0.1,velocity_rmse_m_s,8,8,0,-0.3330787090080048
1,13,Sep17,0.2,attitude_error_deg,8,8,0,-0.6903994353952695
1,13,Sep17,0.2,body_rate_rmse_rad_s,8,8,0,-0.13582209810358975
1,13,Sep17,0.2,position_rmse_m,8,8,0,-0.027966653551248652
1,13,Sep17,0.2,velocity_rmse_m_s,8,8,0,-0.13173655207360827
1,13,Sep17,0.5,attitude_error_deg,8,8,0,-0.7166538916965347
1,13,Sep17,0.5,body_rate_rmse_rad_s,8,8,0,-0.05104439081113079
1,13,Sep17,0.5,position_rmse_m,8,8,0,-0.02069843188981786
1,13,Sep17,0.5,velocity_rmse_m_s,8,7,1,-0.021362100771198732
1,13,Sep17,1.0,attitude_error_deg,8,8,0,-0.4273153546389541
1,13,Sep17,1.0,body_rate_rmse_rad_s,8,6,2,-0.008088462351921427
1,13,Sep17,1.0,position_rmse_m,8,4,4,-0.0030338683054054114
1,13,Sep17,1.0,velocity_rmse_m_s,8,3,5,0.0123813226793478
1,13,Sep7,0.1,attitude_error_deg,9,9,0,-0.33684747633825907
1,13,Sep7,0.1,body_rate_rmse_rad_s,9,9,0,-0.12294751316347702
1,13,Sep7,0.1,position_rmse_m,9,9,0,-0.009576466037584825
1,13,Sep7,0.1,velocity_rmse_m_s,9,9,0,-0.29274340542106375
1,13,Sep7,0.2,attitude_error_deg,9,9,0,-0.32819842631241375
1,13,Sep7,0.2,body_rate_rmse_rad_s,9,9,0,-0.09279164300312483
1,13,Sep7,0.2,position_rmse_m,9,9,0,-0.0168384679746749
1,13,Sep7,0.2,velocity_rmse_m_s,9,9,0,-0.14756842221685618
1,13,Sep7,0.5,attitude_error_deg,9,9,0,-0.1670144512208237
1,13,Sep7,0.5,body_rate_rmse_rad_s,9,8,1,-0.03259566943703093
1,13,Sep7,0.5,position_rmse_m,9,8,1,-0.016190148318686565
1,13,Sep7,0.5,velocity_rmse_m_s,9,9,0,-0.038885611786009786
1,13,Sep7,1.0,attitude_error_deg,9,3,6,0.07387109586134116
1,13,Sep7,1.0,body_rate_rmse_rad_s,9,8,1,-0.020329160374684734
1,13,Sep7,1.0,position_rmse_m,9,5,4,-0.007404178668051986
1,13,Sep7,1.0,velocity_rmse_m_s,9,5,4,0.005057152017234445
1,26,ALL,0.1,attitude_error_deg,17,17,0,-0.49083163781257494
1,26,ALL,0.1,body_rate_rmse_rad_s,17,17,0,-0.13778472956713592
1,26,ALL,0.1,position_rmse_m,17,17,0,-0.012622295127065667
1,26,ALL,0.1,velocity_rmse_m_s,17,17,0,-0.3194803565244431
1,26,ALL,0.2,attitude_error_deg,17,17,0,-0.5385436684250654
1,26,ALL,0.2,body_rate_rmse_rad_s,17,17,0,-0.11967393263588526
1,26,ALL,0.2,position_rmse_m,17,17,0,-0.022588799516502955
1,26,ALL,0.2,velocity_rmse_m_s,17,17,0,-0.14706581472711305
1,26,ALL,0.5,attitude_error_deg,17,17,0,-0.4816211322446384
1,26,ALL,0.5,body_rate_rmse_rad_s,17,17,0,-0.044538757809867546
1,26,ALL,0.5,position_rmse_m,17,16,1,-0.019692502778621068
1,26,ALL,0.5,velocity_rmse_m_s,17,16,1,-0.03804965371374632
1,26,ALL,1.0,attitude_error_deg,17,13,4,-0.24109366124298492
1,26,ALL,1.0,body_rate_rmse_rad_s,17,13,4,-0.017689315151598564
1,26,ALL,1.0,position_rmse_m,17,11,6,-0.014981582135944154
1,26,ALL,1.0,velocity_rmse_m_s,17,13,4,-0.016867994865347475
1,26,Sep17,0.1,attitude_error_deg,8,8,0,-0.6642543009378393
1,26,Sep17,0.1,body_rate_rmse_rad_s,8,8,0,-0.1479741339625466
1,26,Sep17,0.1,position_rmse_m,8,8,0,-0.01587144321135673
1,26,Sep17,0.1,velocity_rmse_m_s,8,8,0,-0.3392212329477261
1,26,Sep17,0.2,attitude_error_deg,8,8,0,-0.7384440129042898
1,26,Sep17,0.2,body_rate_rmse_rad_s,8,8,0,-0.14138624217118206
1,26,Sep17,0.2,position_rmse_m,8,8,0,-0.028344081681093272
1,26,Sep17,0.2,velocity_rmse_m_s,8,8,0,-0.13580345243672676
1,26,Sep17,0.5,attitude_error_deg,8,8,0,-0.7656708321208456
1,26,Sep17,0.5,body_rate_rmse_rad_s,8,8,0,-0.052964107494496974
1,26,Sep17,0.5,position_rmse_m,8,8,0,-0.02086245280989319
1,26,Sep17,0.5,velocity_rmse_m_s,8,7,1,-0.024387165749533042
1,26,Sep17,1.0,attitude_error_deg,8,8,0,-0.4392068067780591
1,26,Sep17,1.0,body_rate_rmse_rad_s,8,5,3,-0.00952053869877148
1,26,Sep17,1.0,position_rmse_m,8,5,3,-0.009356297676766406
1,26,Sep17,1.0,velocity_rmse_m_s,8,6,2,-0.008580987818361988
1,26,Sep7,0.1,attitude_error_deg,9,9,0,-0.33667815947900664
1,26,Sep7,0.1,body_rate_rmse_rad_s,9,9,0,-0.12872748121565977
1,26,Sep7,0.1,position_rmse_m,9,9,0,-0.009734163496584725
1,26,Sep7,0.1,velocity_rmse_m_s,9,9,0,-0.3019329108148583
1,26,Sep7,0.2,attitude_error_deg,9,9,0,-0.36085447333242143
1,26,Sep7,0.2,body_rate_rmse_rad_s,9,9,0,-0.10037410193784368
1,26,Sep7,0.2,position_rmse_m,9,9,0,-0.017472993147978226
1,26,Sep7,0.2,velocity_rmse_m_s,9,9,0,-0.15707680342967864
1,26,Sep7,0.5,attitude_error_deg,9,9,0,-0.22913251013245406
1,26,Sep7,0.5,body_rate_rmse_rad_s,9,9,0,-0.03704955809019694
1,26,Sep7,0.5,position_rmse_m,9,8,1,-0.018652547195268068
1,26,Sep7,0.5,velocity_rmse_m_s,9,9,0,-0.05019408745971369
1,26,Sep7,1.0,attitude_error_deg,9,5,4,-0.0649930874340301
1,26,Sep7,1.0,body_rate_rmse_rad_s,9,8,1,-0.024950449776333747
1,26,Sep7,1.0,position_rmse_m,9,6,3,-0.019981834988546596
1,26,Sep7,1.0,velocity_rmse_m_s,9,7,2,-0.024234223351556797
5,13,ALL,0.1,attitude_error_deg,17,16,1,-0.09029193547649826
5,13,ALL,0.1,body_rate_rmse_rad_s,17,16,1,-0.031024157787881066
5,13,ALL,0.1,position_rmse_m,17,15,2,-0.0007233578308754508
5,13,ALL,0.1,velocity_rmse_m_s,17,17,0,-0.03988650912370987
5,13,ALL,0.2,attitude_error_deg,17,17,0,-0.14407796903135298
5,13,ALL,0.2,body_rate_rmse_rad_s,17,17,0,-0.02523952772560779
5,13,ALL,0.2,position_rmse_m,17,15,2,-0.0024188703222375227
5,13,ALL,0.2,velocity_rmse_m_s,17,17,0,-0.03631522309538624
5,13,ALL,0.5,attitude_error_deg,17,17,0,-0.24889089464130734
5,13,ALL,0.5,body_rate_rmse_rad_s,17,17,0,-0.0210164694602861
5,13,ALL,0.5,position_rmse_m,17,14,3,-0.004632398439596996
5,13,ALL,0.5,velocity_rmse_m_s,17,15,2,-0.02154507842693315
5,13,ALL,1.0,attitude_error_deg,17,16,1,-0.20169059146774107
5,13,ALL,1.0,body_rate_rmse_rad_s,17,17,0,-0.02090116803902134
5,13,ALL,1.0,position_rmse_m,17,12,5,-0.009043742421429864
5,13,ALL,1.0,velocity_rmse_m_s,17,15,2,-0.026528137751296314
5,13,Sep17,0.1,attitude_error_deg,8,7,1,-0.08535019125690266
5,13,Sep17,0.1,body_rate_rmse_rad_s,8,7,1,-0.024856486176617294
5,13,Sep17,0.1,position_rmse_m,8,7,1,-0.0003473382573648703
5,13,Sep17,0.1,velocity_rmse_m_s,8,8,0,-0.0361591786255062
5,13,Sep17,0.2,attitude_error_deg,8,8,0,-0.15261142642319214
5,13,Sep17,0.2,body_rate_rmse_rad_s,8,8,0,-0.02585272135769038
5,13,Sep17,0.2,position_rmse_m,8,7,1,-0.0021991528658584364
5,13,Sep17,0.2,velocity_rmse_m_s,8,8,0,-0.03202510821713661
5,13,Sep17,0.5,attitude_error_deg,8,8,0,-0.295533079765115
5,13,Sep17,0.5,body_rate_rmse_rad_s,8,8,0,-0.021613827665958575
5,13,Sep17,0.5,position_rmse_m,8,6,2,-0.0035343803196937543
5,13,Sep17,0.5,velocity_rmse_m_s,8,6,2,-0.014774006308939547
5,13,Sep17,1.0,attitude_error_deg,8,8,0,-0.25931435111183343
5,13,Sep17,1.0,body_rate_rmse_rad_s,8,8,0,-0.01476077102124336
5,13,Sep17,1.0,position_rmse_m,8,4,4,-0.0039032766677988343
5,13,Sep17,1.0,velocity_rmse_m_s,8,7,1,-0.01947092313306352
5,13,Sep7,0.1,attitude_error_deg,9,9,0,-0.09468459700502768
5,13,Sep7,0.1,body_rate_rmse_rad_s,9,9,0,-0.03650653255344886
5,13,Sep7,0.1,position_rmse_m,9,8,1,-0.0010575974517737447
5,13,Sep7,0.1,velocity_rmse_m_s,9,9,0,-0.04319969178877979
5,13,Sep7,0.2,attitude_error_deg,9,9,0,-0.1364926735719404
5,13,Sep7,0.2,body_rate_rmse_rad_s,9,9,0,-0.024694466719312153
5,13,Sep7,0.2,position_rmse_m,9,8,1,-0.002614174727907822
5,13,Sep7,0.2,velocity_rmse_m_s,9,9,0,-0.04012865854271925
5,13,Sep7,0.5,attitude_error_deg,9,9,0,-0.20743117453125612
5,13,Sep7,0.5,body_rate_rmse_rad_s,9,9,0,-0.020485484388577238
5,13,Sep7,0.5,position_rmse_m,9,8,1,-0.005608414546177655
5,13,Sep7,0.5,velocity_rmse_m_s,9,9,0,-0.02756380919848302
5,13,Sep7,1.0,attitude_error_deg,9,8,1,-0.15046947178410341
5,13,Sep7,1.0,body_rate_rmse_rad_s,9,9,0,-0.02635929872149065
5,13,Sep7,1.0,position_rmse_m,9,8,1,-0.013613045313546334
5,13,Sep7,1.0,velocity_rmse_m_s,9,8,1,-0.032801217411947685
5,26,ALL,0.1,attitude_error_deg,17,15,2,-0.10559379030106443
5,26,ALL,0.1,body_rate_rmse_rad_s,17,16,1,-0.03737889882561828
5,26,ALL,0.1,position_rmse_m,17,14,3,-0.0009034371279959529
5,26,ALL,0.1,velocity_rmse_m_s,17,17,0,-0.047642140892058205
5,26,ALL,0.2,attitude_error_deg,17,17,0,-0.18397567745795487
5,26,ALL,0.2,body_rate_rmse_rad_s,17,17,0,-0.03187219142873769
5,26,ALL,0.2,position_rmse_m,17,15,2,-0.002932408651560281
5,26,ALL,0.2,velocity_rmse_m_s,17,17,0,-0.04326290743775976
5,26,ALL,0.5,attitude_error_deg,17,17,0,-0.30484372132361093
5,26,ALL,0.5,body_rate_rmse_rad_s,17,17,0,-0.024277806598252193
5,26,ALL,0.5,position_rmse_m,17,14,3,-0.006013207689587359
5,26,ALL,0.5,velocity_rmse_m_s,17,17,0,-0.02895547847928666
5,26,ALL,1.0,attitude_error_deg,17,17,0,-0.2808029012778106
5,26,ALL,1.0,body_rate_rmse_rad_s,17,14,3,-0.024021651297235547
5,26,ALL,1.0,position_rmse_m,17,16,1,-0.01867776253056748
5,26,ALL,1.0,velocity_rmse_m_s,17,17,0,-0.051899953180755104
5,26,Sep17,0.1,attitude_error_deg,8,7,1,-0.11805711422576479
5,26,Sep17,0.1,body_rate_rmse_rad_s,8,7,1,-0.03185784682310329
5,26,Sep17,0.1,position_rmse_m,8,6,2,-0.0005525971223710496
5,26,Sep17,0.1,velocity_rmse_m_s,8,8,0,-0.042301702565227556
5,26,Sep17,0.2,attitude_error_deg,8,8,0,-0.2006560039322125
5,26,Sep17,0.2,body_rate_rmse_rad_s,8,8,0,-0.0314168654252827
5,26,Sep17,0.2,position_rmse_m,8,7,1,-0.002576580995703055
5,26,Sep17,0.2,velocity_rmse_m_s,8,8,0,-0.03609200858025509
5,26,Sep17,0.5,attitude_error_deg,8,8,0,-0.34455002018942593
5,26,Sep17,0.5,body_rate_rmse_rad_s,8,8,0,-0.02353354434932476
5,26,Sep17,0.5,position_rmse_m,8,6,2,-0.0036984012397690853
5,26,Sep17,0.5,velocity_rmse_m_s,8,8,0,-0.017799071287273857
5,26,Sep17,1.0,attitude_error_deg,8,8,0,-0.27120580325093846
5,26,Sep17,1.0,body_rate_rmse_rad_s,8,6,2,-0.016192847368093413
5,26,Sep17,1.0,position_rmse_m,8,7,1,-0.01022570603915983
5,26,Sep17,1.0,velocity_rmse_m_s,8,8,0,-0.04043323363077331
5,26,Sep7,0.1,attitude_error_deg,9,8,1,-0.09451528014577522
5,26,Sep7,0.1,body_rate_rmse_rad_s,9,9,0,-0.04228650060563161
5,26,Sep7,0.1,position_rmse_m,9,8,1,-0.0012152949107736447
5,26,Sep7,0.1,velocity_rmse_m_s,9,9,0,-0.05238919718257434
5,26,Sep7,0.2,attitude_error_deg,9,9,0,-0.16914872059194808
5,26,Sep7,0.2,body_rate_rmse_rad_s,9,9,0,-0.032276925654031015
5,26,Sep7,0.2,position_rmse_m,9,8,1,-0.0032486999012111494
5,26,Sep7,0.2,velocity_rmse_m_s,9,9,0,-0.049637039755541686
5,26,Sep7,0.5,attitude_error_deg,9,9,0,-0.26954923344288645
5,26,Sep7,0.5,body_rate_rmse_rad_s,9,9,0,-0.024939373041743245
5,26,Sep7,0.5,position_rmse_m,9,8,1,-0.008070813422759159
5,26,Sep7,0.5,velocity_rmse_m_s,9,9,0,-0.03887228487218693
5,26,Sep7,1.0,attitude_error_deg,9,9,0,-0.28933365507947467
5,26,Sep7,1.0,body_rate_rmse_rad_s,9,8,1,-0.030980588123139665
5,26,Sep7,1.0,position_rmse_m,9,9,0,-0.026190701634040945
5,26,Sep7,1.0,velocity_rmse_m_s,9,9,0,-0.06209259278073893
13,26,ALL,0.1,attitude_error_deg,17,11,6,-0.015301854824566174
13,26,ALL,0.1,body_rate_rmse_rad_s,17,15,2,-0.006354741037737219
13,26,ALL,0.1,position_rmse_m,17,13,4,-0.0001800792971205021
13,26,ALL,0.1,velocity_rmse_m_s,17,14,3,-0.007755631768348337
13,26,ALL,0.2,attitude_error_deg,17,15,2,-0.03989770842660188
13,26,ALL,0.2,body_rate_rmse_rad_s,17,14,3,-0.0066326637031299
13,26,ALL,0.2,position_rmse_m,17,14,3,-0.0005135383293227584
13,26,ALL,0.2,velocity_rmse_m_s,17,15,2,-0.006947684342373517
13,26,ALL,0.5,attitude_error_deg,17,14,3,-0.05595282668230356
13,26,ALL,0.5,body_rate_rmse_rad_s,17,11,6,-0.003261337137966091
13,26,ALL,0.5,position_rmse_m,17,15,2,-0.0013808092499903635
13,26,ALL,0.5,velocity_rmse_m_s,17,14,3,-0.007410400052353507
13,26,ALL,1.0,attitude_error_deg,17,13,4,-0.0791123098100695
13,26,ALL,1.0,body_rate_rmse_rad_s,17,12,5,-0.003120483258214209
13,26,ALL,1.0,position_rmse_m,17,15,2,-0.009634020109137616
13,26,ALL,1.0,velocity_rmse_m_s,17,17,0,-0.025371815429458794
13,26,Sep17,0.1,attitude_error_deg,8,7,1,-0.03270692296886213
13,26,Sep17,0.1,body_rate_rmse_rad_s,8,7,1,-0.007001360646485995
13,26,Sep17,0.1,position_rmse_m,8,6,2,-0.00020525886500617936
13,26,Sep17,0.1,velocity_rmse_m_s,8,6,2,-0.00614252393972135
13,26,Sep17,0.2,attitude_error_deg,8,7,1,-0.04804457750902036
13,26,Sep17,0.2,body_rate_rmse_rad_s,8,7,1,-0.005564144067592321
13,26,Sep17,0.2,position_rmse_m,8,6,2,-0.00037742812984461853
13,26,Sep17,0.2,velocity_rmse_m_s,8,7,1,-0.004066900363118485
13,26,Sep17,0.5,attitude_error_deg,8,7,1,-0.04901694042431093
13,26,Sep17,0.5,body_rate_rmse_rad_s,8,5,3,-0.001919716683366185
13,26,Sep17,0.5,position_rmse_m,8,6,2,-0.000164020920075331
13,26,Sep17,0.5,velocity_rmse_m_s,8,6,2,-0.0030250649783343103
13,26,Sep17,1.0,attitude_error_deg,8,4,4,-0.01189145213910503
13,26,Sep17,1.0,body_rate_rmse_rad_s,8,6,2,-0.001432076346850053
13,26,Sep17,1.0,position_rmse_m,8,7,1,-0.006322429371360995
13,26,Sep17,1.0,velocity_rmse_m_s,8,8,0,-0.020962310497709788
13,26,Sep7,0.1,attitude_error_deg,9,4,5,0.00016931685925245275
13,26,Sep7,0.1,body_rate_rmse_rad_s,9,8,1,-0.005779968052182751
13,26,Sep7,0.1,position_rmse_m,9,7,2,-0.00015769745899990006
13,26,Sep7,0.1,velocity_rmse_m_s,9,8,1,-0.009189505393794548
13,26,Sep7,0.2,attitude_error_deg,9,8,1,-0.032656047020007684
13,26,Sep7,0.2,body_rate_rmse_rad_s,9,7,2,-0.00758245893471886
13,26,Sep7,0.2,position_rmse_m,9,8,1,-0.0006345251733033274
13,26,Sep7,0.2,velocity_rmse_m_s,9,8,1,-0.009508381212822433
13,26,Sep7,0.5,attitude_error_deg,9,7,2,-0.06211805891163033
13,26,Sep7,0.5,body_rate_rmse_rad_s,9,6,3,-0.004453888653166007
13,26,Sep7,0.5,position_rmse_m,9,9,0,-0.0024623988765815033
13,26,Sep7,0.5,velocity_rmse_m_s,9,8,1,-0.011308475673703904
13,26,Sep7,1.0,attitude_error_deg,9,9,0,-0.13886418329537126
13,26,Sep7,1.0,body_rate_rmse_rad_s,9,6,3,-0.004621289401649014
13,26,Sep7,1.0,position_rmse_m,9,8,1,-0.012577656320494611
13,26,Sep7,1.0,velocity_rmse_m_s,9,9,0,-0.029291375368791242
