model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows,history_steps
B2_StandardGRU,17,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.5,0.15012987360931482,0.32296288259987976,5.150469496320956,0.569451524813626,0.32296288259987976,0.569451524813626,0.15690279625060843,0.14439341830796068,0.24256355211635994,0.44034727046529426,0.31444589199421846,0.17746295814701435,131,1
B2_StandardGRU,17,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,1.0,0.36236416018686346,0.6643990071627924,8.793931923986502,0.6068101678037324,0.6643990071627924,0.6068101678037324,0.3637110531164535,0.4486057113937907,0.3284710432666715,0.5242439915246057,0.2470449385890953,0.17987666724134446,131,1
B2_StandardGRU,17,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.1,0.03157733397380572,0.46912043728239716,2.1152727142308034,0.6491717609040469,0.46912043728239716,0.6491717609040469,0.10915948374889466,0.12823326662732196,0.4378520539106657,0.5011231896593205,0.3794907072967498,0.16213058630727997,146,1
B2_StandardGRU,17,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.2,0.06757612272813963,0.3296199843913153,3.2464964084322885,0.7080623445523974,0.3296199843913153,0.7080623445523974,0.12946102120291303,0.0953271054055121,0.2877532294766406,0.5749257954896659,0.3766399619884672,0.17016154820328422,146,1
B2_StandardGRU,17,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.5,0.13452769783345891,0.3733473310455917,5.113597449363635,0.5966593183526652,0.3733473310455917,0.5966593183526652,0.18393158498703951,0.15703084715558321,0.28442699359347384,0.4844008934407831,0.3029070696335476,0.17206226715016662,146,1
B2_StandardGRU,17,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,1.0,0.33007553602350576,0.6336131245593133,7.889407032779224,0.5921494980194618,0.6336131245593133,0.5921494980194618,0.3964217176280372,0.3644286996579272,0.3339268426950504,0.47373020077540434,0.29846145710560595,0.19272125855855712,146,1
B2_StandardGRU,17,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.1,0.02992929494212783,0.49215300967433473,2.0884141760344512,0.7073301224453628,0.49215300967433473,0.7073301224453628,0.15846405137422154,0.13872724409799353,0.4448128607611853,0.5497779292881682,0.4105780287250412,0.17171433520368992,114,1
B2_StandardGRU,17,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.2,0.06916935631008128,0.44485874119945684,3.1631243918797574,0.681766971866401,0.44485874119945684,0.681766971866401,0.19839267648155778,0.1467917830451746,0.37012405754080296,0.5101779863068976,0.4157706754883992,0.17793080570727862,114,1
B2_StandardGRU,17,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.5,0.16571618492187437,0.422479588057296,5.497206154799015,0.6560984274767911,0.422479588057296,0.6560984274767911,0.23895130800907546,0.2149697498123673,0.2741884049179007,0.5553969938376582,0.3016292083792695,0.17612253242020395,114,1
B2_StandardGRU,17,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,1.0,0.389334003089898,0.7481218566223135,8.564921497001839,0.6980450196819006,0.7481218566223135,0.6980450196819006,0.4505178332109619,0.49087532924772637,0.340237278161658,0.5460887317310417,0.37359706171052737,0.2224391648526571,114,1
B2_StandardGRU,17,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.1,0.03177351290230834,0.4884169797385322,1.8288391869457075,0.6938234761204192,0.4884169797385322,0.6938234761204192,0.12420452873356097,0.09647476157722029,0.46240350508792893,0.5554213375498669,0.3884623088526291,0.14830774899182841,168,1
B2_StandardGRU,17,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.2,0.05520272109975222,0.3226151618020202,2.612971005037552,0.6677254520130864,0.3226151618020202,0.6677254520130864,0.12252344403458434,0.09534451413070741,0.282803769267008,0.5480328995246484,0.3470593463600907,0.15832570987933,168,1
B2_StandardGRU,17,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.5,0.13291469132576045,0.47460905802669007,4.461289952696111,0.6818990871336469,0.47460905802669007,0.6818990871336469,0.2909753005599012,0.2528607165267473,0.2768548183843604,0.5772901658150297,0.3108602097793641,0.1873188710805355,168,1
B2_StandardGRU,17,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,1.0,0.3858176444563546,0.6835929991902828,7.470298803310451,0.6792254412835103,0.6835929991902828,0.6792254412835103,0.37959122861317285,0.4315784570252301,0.37006745754474224,0.5471642138334916,0.3491785044273079,0.20008222118085567,168,1
B2_StandardGRU,17,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.1,0.06598311015329753,0.45101870914554876,1.7938219498307306,0.7147411894173991,0.45101870914554876,0.7147411894173991,0.12127100798335906,0.09415804158202987,0.42408192820191465,0.6041467528205366,0.3525046479951595,0.14697667178164134,182,1
B2_StandardGRU,17,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.2,0.12432110513126488,0.35136280793961355,2.6225638242358116,0.7220483550923,0.35136280793961355,0.7220483550923,0.13172608583484757,0.1106275491490075,0.3063749442808991,0.5984330743025155,0.3669368252150582,0.16908296476413545,182,1
B2_StandardGRU,17,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.5,0.28537206964105327,0.3459031055286664,4.0410653845004845,0.6700713079809058,0.3459031055286664,0.6700713079809058,0.19030338189460305,0.16823001837327944,0.23480255997748117,0.5801874048050217,0.2930969936211132,0.16270305902201326,182,1
