seed,group,flight_id,cohort,interval,axis,n_origins,n_direction,waveform_rmse,true_amplitude,pred_amplitude,mean_change_bias,direction_agreement
17,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,r,150,83,0.12427742810294615,0.1336772171187008,0.08087236849010214,0.007937596598457915,0.8072289156626506
17,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,vx,155,55,0.032864111912083806,0.13144638264926092,0.13101778362483474,-0.00011736367144732466,1.0
17,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,vy,155,47,0.036896303213202565,0.1558488276917675,0.15597017359646714,0.0008924448279189984,1.0
17,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,vz,155,120,0.05572661057012514,0.5539196298836347,0.5743583369625087,0.006251414674628247,1.0
17,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,p,155,138,0.5167832822950146,0.9390591329789654,0.7493688476187339,-0.0017078438392114067,0.9710144927536232
17,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,q,155,120,0.20180530267316715,0.6568612834704545,0.6384871083016418,-0.00981166104044352,1.0
17,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,r,155,80,0.09991756593138336,0.11045761016429809,0.08571627960106376,0.006954761442019185,0.7875
17,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,vx,140,52,0.03581447320812366,0.15256002124527493,0.15494268632703806,-0.0037055791990683222,1.0
17,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,vy,140,48,0.04707089650365642,0.14576476678371447,0.1464076679821359,-0.0026755666521932602,0.9791666666666666
17,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,vz,140,116,0.06718865350693864,0.565652310535244,0.5824821482489491,0.007196087215892475,1.0
17,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,p,140,106,0.4907997089581849,0.8805260507740886,0.7216736890689623,0.004108314495892534,0.9905660377358491
17,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,q,140,118,0.19446130875545137,0.6736809360788684,0.6567043520844132,0.0011113805011448651,1.0
17,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,r,140,85,0.1137360111512882,0.11451567357539529,0.09510827412527574,0.022620169541994736,0.7764705882352941
17,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,vx,201,69,0.03692796520681581,0.13819151491538734,0.13895686262389656,0.0009871742546993395,1.0
17,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,vy,201,53,0.03230995375511901,0.12777475233231367,0.12522125127342099,-0.002277726556653544,1.0
17,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,vz,201,163,0.05511708301307512,0.565341767964059,0.5807546141942276,0.005181257707381473,1.0
17,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,p,201,179,0.5024420322554436,0.9650980360022319,0.7899402845395088,-0.05325499902143303,0.9832402234636871
17,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,q,201,158,0.18548548813569316,0.6346742500533341,0.6340196246382978,-0.026348611134269447,1.0
17,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,r,201,121,0.09241170766949496,0.1278455892254387,0.09581422329906057,-0.0038680009674797915,0.8925619834710744
17,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,vx,164,69,0.043935159159360644,0.16972767215035472,0.1700320683782266,0.0009675058766829254,1.0
17,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,vy,164,43,0.038635156246370955,0.142752047683631,0.1356861762281366,0.002030787429255604,1.0
17,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,vz,164,128,0.06413412731927767,0.5632666269583578,0.566140260723025,0.01436918889100881,1.0
17,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,p,164,125,0.5099256702664478,0.8743492349438324,0.7277601648290973,0.011755812162562794,0.984
17,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,q,164,133,0.17811243689949655,0.690839615821352,0.6888856588657891,-0.02037151666179182,1.0
17,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,r,164,92,0.11148829779240584,0.12983069340715617,0.09099156959984206,-0.003548893907581112,0.8152173913043478
17,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,early,vx,130,48,0.04388068003992221,0.1650845976120336,0.16346376154364664,0.010135424241640623,1.0
17,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,early,vy,130,37,0.039079393494144646,0.1473666213712043,0.14148976372105992,-0.0014217267891112302,1.0
17,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,early,vz,130,98,0.07604715421058077,0.541411166111335,0.5513685466012558,0.007146502926066491,1.0
17,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,early,p,130,105,0.4756341288310674,0.7358120377027945,0.6280094140452818,-0.04666328512226033,0.9523809523809523
17,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,early,q,130,106,0.19341333927235685,0.7862990479655035,0.7448510398427488,-0.024175286756837742,0.9905660377358491
17,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,early,r,130,85,0.11361629557447123,0.15261762103725196,0.09681308926244153,-0.015598162832780385,0.8470588235294118
17,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,early,vx,145,47,0.04572799410718131,0.12720934967795533,0.12308776537913287,0.004442872017201676,1.0
17,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,early,vy,145,36,0.04572649327941783,0.13443273199187153,0.13303411377019217,0.0002051688717945071,1.0
17,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,early,vz,145,112,0.0853576438837106,0.5376977825037483,0.5322170348642029,0.0055172574937006795,1.0
17,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,early,p,145,115,0.5004923553606427,0.7454058360370678,0.5663768223022329,-0.03012296800091956,0.9652173913043478
17,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,early,q,145,122,0.19429742514449563,0.7823243939120718,0.7441433029735012,-0.018045253647936237,1.0
17,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,early,r,145,82,0.11240431322193621,0.14795592129397628,0.09718230979232607,-0.017122551246620522,0.7804878048780488
17,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,early,vx,144,56,0.05187403127322143,0.16344906674722742,0.15678194369466325,0.010223847045320115,0.9821428571428571
17,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,early,vy,144,47,0.0394004890779229,0.15353132236466338,0.14798828580737405,0.008192445676188756,1.0
17,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,early,vz,144,103,0.07438074692715735,0.524965869498969,0.5219577298698065,0.010772759490167113,1.0
17,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,early,p,144,109,0.4529442250196068,0.6432904844400938,0.4899281171435268,-0.01826252965586818,0.963302752293578
17,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,early,q,144,116,0.19652662485084096,0.7429710498671857,0.7134629606978267,-0.014401668491822315,1.0
17,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,early,r,144,87,0.10850645235209294,0.1417957689648969,0.08992618935532619,0.002446505031486099,0.8850574712643678
17,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,early,vx,153,65,0.04819907235540842,0.14841207474347617,0.14608788796965347,0.011394144557799791,1.0
17,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,early,vy,153,47,0.04430733324235667,0.15653751437365232,0.15380110048117268,0.0017676229029087844,0.9787234042553191
17,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,early,vz,153,119,0.10325797046056122,0.5630026852155011,0.5674060622923072,0.002081896346771217,1.0
17,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,early,p,153,112,0.4727310019753881,0.7018551278253907,0.5556246902459777,-0.05534228794464644,0.9196428571428571
17,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,early,q,153,127,0.22187116537260293,0.8048163433227639,0.7377170945529254,-0.004858506703388108,0.984251968503937
17,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,early,r,153,93,0.10848784709368067,0.15143891477375268,0.10865219540436298,-0.007547476969542528,0.8709677419354839
17,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,early,vx,138,56,0.04339714390603941,0.14282025224643496,0.13935729422388118,0.001569029895350165,1.0
17,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,early,vy,138,48,0.038572932368272,0.16010339792665285,0.16000330671937568,-0.000981121871664474,1.0
17,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,early,vz,138,113,0.07691176856607394,0.5840105769546596,0.5919975470468734,-0.0002483606017240462,1.0
17,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,early,p,138,110,0.40478139661694773,0.68762258968138,0.5752733392649112,-0.05059990909493684,0.9636363636363636
17,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,early,q,138,109,0.2447807817787878,0.7668777736527698,0.7006773118276417,0.002020629402182657,0.9724770642201835
17,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,early,r,138,66,0.1099353982920563,0.13035775778795872,0.08722086724859744,0.0009734135094043632,0.803030303030303
17,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,early,vx,131,50,0.04191714335750196,0.1419015748450755,0.14593368063335263,0.002271162623188335,1.0
17,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,early,vy,131,23,0.036458801532639966,0.1173948644991015,0.1186533723799226,0.0027790761353986013,1.0
17,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,early,vz,131,106,0.08299898190739484,0.5388663448127764,0.5438294883866069,-0.007824696064405588,1.0
17,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,early,p,131,112,0.4097715861695277,0.767322495299064,0.6538650928746599,-0.04200265192816826,0.9464285714285714
17,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,early,q,131,107,0.19513011133489797,0.7920421078515661,0.7329956447820231,0.014164136240866118,0.9906542056074766
17,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,early,r,131,75,0.10486837596990141,0.13012215966125446,0.09278529535460742,-0.025493470473076603,0.8133333333333334
17,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,early,vx,146,56,0.04616133107992135,0.15313569575140143,0.1543093410217424,0.005470004755054199,1.0
17,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,early,vy,146,45,0.055365541505190505,0.1535237102216099,0.1540830326734235,0.0035729980380742143,1.0
17,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,early,vz,146,115,0.07867918232611729,0.5265319475321056,0.5292455321164249,0.010652266286889887,1.0
17,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,early,p,146,120,0.43201313230540167,0.7469454484230175,0.6133405576600972,-0.040114344996599424,0.9833333333333333
17,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,early,q,146,121,0.1978566250826731,0.7185612354292403,0.6691140674245071,0.016554618548952522,0.9917355371900827
17,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,early,r,146,79,0.1094863537514626,0.14298131528271202,0.10026735239891282,-0.005414507291358189,0.8607594936708861
17,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,early,vx,114,37,0.07474976454619801,0.15996407155527909,0.14763935022820987,-0.0008047226367532842,0.972972972972973
17,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,early,vy,114,29,0.06073823362704784,0.13288783738320176,0.13058151329778278,0.010850256382589565,0.9655172413793104
17,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,early,vz,114,91,0.10718060769431449,0.5736802568083558,0.5778195023449894,0.00824464299604813,0.989010989010989
17,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,early,p,114,90,0.4950669729806905,0.8302441205280121,0.6627780059681786,-0.032518122890404864,0.9444444444444444
17,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,early,q,114,94,0.20082758889631028,0.7791242676491063,0.7610674550911032,0.012718229916797214,1.0
17,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,early,r,114,68,0.12570693836614968,0.15915903590536912,0.10194704724937456,-0.016503817457615456,0.8529411764705882
17,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,vx,99,40,0.03233144371087692,0.1293327678873635,0.13182136620656498,0.007935367560176692,1.0
17,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,vy,99,22,0.03429001896672082,0.12312245832532881,0.1266506351748598,-0.005665706212219126,1.0
17,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,vz,99,74,0.06819447733144059,0.5494267349324489,0.5711461198743202,0.001984310760210559,1.0
17,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,p,99,70,0.5176371993694415,0.7207406527598279,0.4939637728926424,0.06386723346951625,0.9285714285714286
17,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,q,99,79,0.17658537343854355,0.7340002957960299,0.7299788602640348,-0.013285664948347113,0.9873417721518988
17,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,r,99,55,0.13715180692453424,0.12606272413878164,0.10305992840411202,0.03324974183802914,0.6545454545454545
17,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,vx,93,37,0.02976417490334532,0.11551042507252703,0.11421108023226313,0.0016121385298514652,1.0
17,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,vy,93,24,0.030921025599474135,0.131122809503285,0.13372763974359805,0.003801718838808792,1.0
17,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,vz,93,70,0.06880105216605834,0.5430485051370674,0.5742698170677287,0.00602255967693029,1.0
17,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,p,93,76,0.5382152209893089,0.7945364619290255,0.6001426304160896,0.00482448676376003,0.9342105263157895
17,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,q,93,75,0.2005665318936575,0.6976856535715579,0.6600582493331009,0.0017195080643353374,1.0
17,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,r,93,50,0.12510548944087432,0.11985922561505563,0.07946570535685193,0.020635626398553073,0.68
17,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,vx,46,17,0.035575590487343774,0.15588638702045707,0.15382818486871125,0.008466021742185349,1.0
17,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,vy,46,17,0.03714355171032932,0.14556395311905612,0.14577674910651794,-0.0029985878747911146,1.0
17,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,vz,46,38,0.07428446227392703,0.6145910794653503,0.6250784090685781,0.01345963508993936,1.0
17,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,p,46,41,0.5071074448700191,0.9126361486626311,0.7304838975318044,0.04370314528546021,1.0
17,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,q,46,35,0.20499330132852184,0.6420063065083383,0.6220794795399622,0.024435610573227642,1.0
17,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,r,46,21,0.1001781299156921,0.0978354502022646,0.07559028363517618,-0.005323972657410524,0.7142857142857143
17,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,vx,39,13,0.04510036011613881,0.152980835247151,0.14813856538055234,0.00907475844396348,1.0
17,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,vy,39,10,0.03346797098122629,0.11644170187516527,0.11623637947219106,0.004611938673590293,1.0
17,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,vz,39,31,0.06273392951579021,0.592503663985572,0.5858967346957673,0.009004134356002277,1.0
17,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,p,39,27,0.5102645332377553,0.7872624703847424,0.549601748640278,0.039351862071173506,0.9629629629629629
17,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,q,39,34,0.18837429952434218,0.7329746464904274,0.7364398884153001,-0.06880826765524652,1.0
17,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,r,39,22,0.13156769679883723,0.13007172196600958,0.09401322839481822,0.04224389160426423,0.6363636363636364
17,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,vx,87,29,0.030259820096347454,0.1272765258318108,0.12602162767824943,0.00037710881366716324,1.0
17,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,vy,87,22,0.030700111058029528,0.10830979218212788,0.11050992697312,0.0053322825015287255,1.0
17,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,vz,87,63,0.05357951750950137,0.5334937047719923,0.5485257435873201,0.007136034593393397,1.0
17,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,p,87,63,0.5097032593863328,0.6869089798893062,0.48589972171638524,0.006328669413028351,0.9523809523809523
17,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,q,87,70,0.18348022306812242,0.6503768759613251,0.6300847064262067,-0.040025155620565626,1.0
17,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,r,87,44,0.11617476528360182,0.12390113560321502,0.07608018399340832,0.013102975235954729,0.7727272727272727
17,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,vx,91,27,0.03085983973539522,0.10400787901405802,0.09742406123840379,-0.0011672430257245092,1.0
17,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,vy,91,24,0.03762980737251393,0.11672219726139044,0.11087971955343319,0.0010134519377125503,1.0
17,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,vz,91,73,0.05303111701700054,0.5622026560908072,0.5777645459449923,0.008648041211866336,1.0
17,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,p,91,83,0.5078129802524073,0.9595958872366954,0.7855579516254773,0.005608009644147997,0.9759036144578314
17,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,q,91,67,0.19310369058345667,0.6562661214975593,0.6415185107096788,-0.007024963823284187,1.0
17,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,early,r,91,44,0.10245345553207418,0.09933592476531872,0.07332074011200167,0.007406404244941572,0.7045454545454546
17,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,vx,44,9,0.03135070778843284,0.11406102181598571,0.11348501558288747,0.0008943211557696032,1.0
17,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,vy,44,17,0.03407685265045776,0.15506055662798052,0.15094896406069183,0.0024642770219186513,1.0
17,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,vz,44,37,0.06849730205164736,0.5648598037650172,0.5776738126223646,0.007441896956317281,1.0
17,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,p,44,33,0.46578251338564014,0.739749289611629,0.5732213040553563,-0.026397897135094262,1.0
17,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,q,44,34,0.19507937806189782,0.6502786143365555,0.6345978803959104,0.007878977354570044,1.0
17,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,early,r,44,25,0.1112222883443752,0.11018543205386791,0.08534722410149483,0.015756202858589304,0.76
17,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,vx,84,28,0.03443202326008073,0.12479390707745183,0.12869175077447897,0.0012685505447937234,1.0
17,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,vy,84,18,0.03104852727008721,0.11570686751752346,0.11368568392293164,0.001125556415249214,1.0
17,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,vz,84,67,0.054689698365384,0.5509479382456602,0.5677248714231058,0.01062585024708709,1.0
17,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,p,84,74,0.4946089922042544,0.9807774100286824,0.7932885317501245,-0.07154945452257142,0.9864864864864865
17,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,q,84,64,0.17130182163312574,0.6317807277625656,0.6368501331546109,-0.005142555305074373,1.0
17,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,early,r,84,52,0.09300738874647056,0.12094570259868587,0.0970276231505909,-0.0054187174970405025,0.9038461538461539
17,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,vx,104,46,0.038116892602884964,0.15779218062210584,0.16128589930940662,-0.0003917807519216411,1.0
17,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,vy,104,24,0.032823450856439756,0.13474808171213998,0.12823939169682294,-0.003907842367802677,1.0
17,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,vz,104,76,0.0632063834340368,0.5543908345897077,0.5600519853965451,0.015976489856603084,1.0
17,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,p,104,80,0.4991994368140681,0.8443409291781008,0.6985147429015153,0.050027932279724796,0.9875
17,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,q,104,84,0.17503913441759802,0.7095871143257997,0.7231689655587625,-0.04224879634818597,1.0
17,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,early,r,104,59,0.11075959886412376,0.12197068276900767,0.08506611052824692,-0.0024696319058242124,0.7457627118644068
