group,step,metric,cohort,flight_id,autonomous,local100ms,local_gain
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,1.3070567358026302,1.3070567358026302,0.0
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,1.3618913948712208,1.3618913948712208,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5572023988878644,0.5572023988878644,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5444843234293008,0.5444843234293008,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.45060078163419776,0.45060078163419776,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.5425076425193716,0.5425076425193716,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.5327755316006514,0.5327755316006514,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.5042924719531944,0.5042924719531944,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.4834313729838111,0.4834313729838111,0.0
ALL,5,body_rate_rmse_rad_s,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.6038368468868888,0.6038368481132718,-1.2263829951564276e-09
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.5530089000065875,0.5530089000065875,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.6064862429225014,0.6064862429225014,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.5379810659178091,0.5379810659178091,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.5489067561859595,0.5489067561859595,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.5416021435245373,0.5416021435245373,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.5357063569881588,0.5357063569881588,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.5508170570214812,0.5508170570214812,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.6098720749211646,0.6098720749211646,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.5670779292137021,0.5670779292137021,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.018794325031601836,0.018794325031601836,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.020401669371252176,0.020401669371252176,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.01608760157776934,0.01608760157776934,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.0183436438844793,0.0183436438844793,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.02173674491482457,0.02173674491482457,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.02290278856506033,0.02290278856506033,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.016103899441761656,0.016103899441761656,0.0
ALL,5,position_rmse_m,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.01587271344200456,0.01587271344200456,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.01530677661499954,0.01530677661499954,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.05949747993104526,0.05949747993104526,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.021581392629208662,0.021581392629208662,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.020686862338894624,0.020686862338894624,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.02215786703876191,0.02215786703876191,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.05922050702252627,0.05922050702252627,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.08525487090093113,0.08525487090093113,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.038992972352205856,0.038992972352205856,0.0
ALL,5,position_rmse_m,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.12783380325071783,0.12783380325071783,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.13695090359726136,0.13695090359726136,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.16022795514086863,0.16022795514086863,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.13334562666673352,0.13334562666673352,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.17055282505953515,0.17055282505953515,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.1373498236513262,0.1373498236513262,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.13357072968026842,0.13357072968026842,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.1468998393290966,0.1468998393290966,0.0
ALL,5,velocity_rmse_m_s,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.20736925735756198,0.20736925992150304,-2.5639410594635592e-09
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.12048190185413293,0.12048190185413293,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.1363912697694001,0.1363912697694001,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.13158824943801647,0.13158824943801647,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.12507289601136032,0.12507289601136032,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.27381865671013256,0.27381865671013256,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.10407378192771612,0.10407378192771612,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.11960657244490958,0.11960657244490958,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.10503895904964035,0.10503895904964035,0.0
ALL,5,velocity_rmse_m_s,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.12145311250139078,0.12145311250139078,0.0
ALL,10,attitude_error_deg,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,2.408675501156655,1.4952157598790032,0.9134597412776517
ALL,10,attitude_error_deg,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,2.3026806625949474,1.3550766317980962,0.9476040307968512
ALL,10,attitude_error_deg,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,2.086031151833071,1.3915858368156497,0.6944453150174215
ALL,10,attitude_error_deg,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,2.6184384452225253,1.5242704891568912,1.094167956065634
ALL,10,attitude_error_deg,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,2.6381528676977566,1.619011361878074,1.0191415058196827
ALL,10,attitude_error_deg,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,2.0509991386172266,1.29030626821213,0.7606928704050966
ALL,10,attitude_error_deg,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,2.4340157577279835,1.3945940167355817,1.0394217409924018
ALL,10,attitude_error_deg,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,2.470317161486264,1.3370462163908778,1.1332709450953862
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,2.249147114384623,1.3421758491439257,0.9069712652406972
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,2.283036823741726,1.3985615076944768,0.8844753160472492
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,2.286774219528015,1.4137061626941039,0.8730680568339113
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,2.2598358703226356,1.4143225641354713,0.8455133061871642
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,1.9779506917619762,1.2507875473147194,0.7271631444472568
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,1.7866406761137377,1.2265335752505637,0.560107100863174
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,1.720671769985052,1.3317755261780408,0.38889624380701115
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,1.806764771096554,1.281275944684337,0.5254888264122171
ALL,10,attitude_error_deg,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,1.960112543653379,1.3869550674982543,0.5731574761551248
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5364579524748215,0.5192986638249818,0.017159288649839732
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5619193934475802,0.5344138323265057,0.027505561121074495
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5109363158013713,0.49250735581282995,0.018428959988541382
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.5662782162548257,0.5439169293778541,0.022361286876971587
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.5188927613360561,0.5081306409244754,0.010762120411580756
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.452279809297435,0.4402974932226465,0.011982316074788502
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.60799490468359,0.5838660392775029,0.024128865406087052
ALL,10,body_rate_rmse_rad_s,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.5415164089538348,0.5319622485041192,0.009554160449715576
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.5637592886497217,0.5591218757259651,0.004637412923756634
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.582714699997854,0.5544913070804313,0.028223392917422707
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.6398803964280289,0.6156072492262548,0.024273147201774092
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.5738898662056798,0.5683979543837667,0.005491911821913109
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.6346961174415476,0.6116874358178218,0.023008681623725824
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.6089893123127833,0.5848798940887937,0.024109418223989598
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.6033976094760899,0.5854186359353251,0.01797897354076483
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.5576262606972998,0.5563032529569635,0.001323007740336335
ALL,10,body_rate_rmse_rad_s,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.5655801007348461,0.5598674735006812,0.00571262723416488
ALL,10,position_rmse_m,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.03902901907420799,0.020793814481433647,0.018235204592774345
ALL,10,position_rmse_m,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.04211210080473821,0.01985546249153762,0.022256638313200593
ALL,10,position_rmse_m,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.03513397428513485,0.015510216985685893,0.019623757299448957
ALL,10,position_rmse_m,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.04044340333577848,0.01583051897816591,0.024612884357612566
ALL,10,position_rmse_m,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.04098405976419104,0.021177704681509795,0.019806355082681245
ALL,10,position_rmse_m,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.04582210064888076,0.02273901180377715,0.02308308884510361
ALL,10,position_rmse_m,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.03804979820460753,0.01807567303069311,0.019974125173914416
ALL,10,position_rmse_m,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.04143264477656435,0.014299157044809047,0.027133487731755307
ALL,10,position_rmse_m,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.029584413301275703,0.01254861484104671,0.01703579846022899
ALL,10,position_rmse_m,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.11313192717337854,0.05506556276598527,0.058066364407393274
ALL,10,position_rmse_m,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.041728184838131954,0.020391289615596584,0.02133689522253537
ALL,10,position_rmse_m,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.03792149958314372,0.019718602835518264,0.018202896747625454
ALL,10,position_rmse_m,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.044064548783996495,0.01669619178811429,0.027368356995882203
ALL,10,position_rmse_m,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.10656039576748612,0.048667077906323325,0.057893317861162794
ALL,10,position_rmse_m,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.16564934620797167,0.08034966656465246,0.0852996796433192
ALL,10,position_rmse_m,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.06931421954244989,0.031210271433676325,0.03810394810877356
ALL,10,position_rmse_m,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.26542823442210883,0.13650039688116344,0.1289278375409454
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.19798945427618544,0.14468462458864176,0.05330482968754369
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2299453305361102,0.14929963570569435,0.08064569483041584
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.19758477612277112,0.14795462078674984,0.049630155336021275
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.2345009265552076,0.15499031033993282,0.07951061621527478
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.19523559869707274,0.16123111862091644,0.03400448007615631
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.1695338554832125,0.13729771383681547,0.03223614164639704
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.21587241945560987,0.14324259524831603,0.07262982420729383
ALL,10,velocity_rmse_m_s,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.3235602933567255,0.18230514639653772,0.14125514696018776
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.1573258910893832,0.12218055532406245,0.03514533576532074
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.19615164774679558,0.12281425051683119,0.0733373972299644
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.1685865061965691,0.13651072965870434,0.03207577653786475
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.18957680650641193,0.12746831464991737,0.06210849185649456
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.22130646730984757,0.13382058387578538,0.08748588343406219
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.13070696077921243,0.1067890812870023,0.023917879492210123
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.17553591516189263,0.12232268133855195,0.05321323382334067
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.14289652085459412,0.11182216507761057,0.031074355776983545
ALL,10,velocity_rmse_m_s,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.17604021748871998,0.11633393563877857,0.05970628184994141
ALL,15,attitude_error_deg,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,3.3361507257660996,1.474810382813805,1.8613403429522946
ALL,15,attitude_error_deg,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,3.0195783509636267,1.4281461390729568,1.5914322118906699
ALL,15,attitude_error_deg,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,2.921508402375735,1.5489503429811224,1.3725580593946127
ALL,15,attitude_error_deg,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,3.6277118991951536,1.539024909885356,2.0886869893097977
ALL,15,attitude_error_deg,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,3.514896678061342,1.3851530062024275,2.1297436718589147
ALL,15,attitude_error_deg,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,2.696683688531913,1.3147738818785186,1.3819098066533944
ALL,15,attitude_error_deg,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,3.1532995415132583,1.3883308072657992,1.7649687342474591
ALL,15,attitude_error_deg,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,3.0705915570407893,1.4684234374337135,1.6021681196070758
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,2.8627063096038037,1.437562731289346,1.4251435783144577
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,2.8327745596929876,1.462104403891975,1.3706701558010126
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,2.671904569998978,1.3731304676196034,1.2987741023793744
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,2.849521384526486,1.4057037475743923,1.4438176369520936
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,2.594855417461842,1.3689872632550235,1.2258681542068184
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,2.1784281843279025,1.1914902005762158,0.9869379837516867
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,2.1551045739844343,1.27411126205602,0.8809933119284143
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,2.242876207274812,1.3165693029505896,0.9263069043242222
ALL,15,attitude_error_deg,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,2.548663815954446,1.3957518692187805,1.1529119467356657
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.6536899232345773,0.6146837304915819,0.03900619274299544
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5764624147946589,0.5507418566312251,0.02572055816343377
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5473808658692381,0.5146657631057151,0.03271510276352296
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.6232826737216558,0.5873919620673779,0.03589071165427793
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.484975985893408,0.46500507077092856,0.01997091512247945
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.5307809843263191,0.4874188336041758,0.04336215072214333
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.4887857353114568,0.4638290283650813,0.02495670694637553
ALL,15,body_rate_rmse_rad_s,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.6176129499157291,0.5933071258454103,0.024305824070318782
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.605832140788681,0.5905014157147175,0.015330725073963491
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.6642673194855169,0.6541344559439487,0.010132863541568171
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.5171892986770653,0.5188651050123464,-0.0016758063352810826
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.6064675894612562,0.6130119087362882,-0.006544319275031962
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.5717223110444637,0.5552572768087402,0.01646503423572354
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.5460384244941683,0.541939747443917,0.004098677050251243
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.5960347966777122,0.6205598320579265,-0.024525035380214333
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.5663486296419061,0.5472324472928617,0.01911618234904444
ALL,15,body_rate_rmse_rad_s,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.5998739356597139,0.5957121679288887,0.0041617677308252166
ALL,15,position_rmse_m,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.06356865899901709,0.021902225114514173,0.04166643388450292
ALL,15,position_rmse_m,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.06535872397895422,0.021380257213636743,0.04397846676531747
ALL,15,position_rmse_m,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.05761685277211471,0.016703989738582715,0.04091286303353199
ALL,15,position_rmse_m,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.06891895987454155,0.018632316816071467,0.05028664305847008
ALL,15,position_rmse_m,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.0658507962105485,0.02350086839879505,0.04234992781175345
ALL,15,position_rmse_m,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.0703663126217046,0.024494158340469613,0.04587215428123499
ALL,15,position_rmse_m,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.06254285161250901,0.01465971366103376,0.04788313795147525
ALL,15,position_rmse_m,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.07197093046207487,0.01515746714340825,0.056813463318666615
ALL,15,position_rmse_m,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.04795665037042177,0.015399433474778243,0.03255721689564353
ALL,15,position_rmse_m,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.16400425836492988,0.05231991663143957,0.11168434173349032
ALL,15,position_rmse_m,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.0668873360305758,0.023203233400655,0.0436841026299208
ALL,15,position_rmse_m,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.059600235007342295,0.020741806382085035,0.03885842862525726
ALL,15,position_rmse_m,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.06681463163362393,0.013249596049875372,0.05356503558374856
ALL,15,position_rmse_m,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.15023527324332128,0.044742662063139683,0.1054926111801816
ALL,15,position_rmse_m,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.2494643842742251,0.08105470827571663,0.16840967599850848
ALL,15,position_rmse_m,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.1113818281535653,0.04566346142099285,0.06571836673257245
ALL,15,position_rmse_m,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.3958486278100124,0.1266121133690464,0.26923651444096597
