group,step,condition,metric,cohort,value_mean,value_std
ALL,4,autonomous,body_rate_rmse_rad_s,Sep7,0.5666203566346928,0.0014165688416422672
ALL,4,autonomous,position_rmse_m,ALL,0.028654103319311664,9.47842780961788e-05
ALL,4,autonomous,position_rmse_m,Sep17,0.015161813407297877,0.00017573814754247804
ALL,4,autonomous,position_rmse_m,Sep7,0.040647249907768364,5.657103221962499e-05
ALL,4,autonomous,velocity_rmse_m_s,ALL,0.1270658719723364,0.0038473892105097027
ALL,4,autonomous,velocity_rmse_m_s,Sep17,0.1312936742401459,0.004437165554307553
ALL,4,autonomous,velocity_rmse_m_s,Sep7,0.1233078255120613,0.0037150060582482186
ALL,5,autonomous,attitude_error_deg,ALL,1.4073877652708784,0.02064625836209928
ALL,5,autonomous,attitude_error_deg,Sep17,1.4698279819084552,0.012525797846849263
ALL,5,autonomous,attitude_error_deg,Sep7,1.3518853504819213,0.028822407939506266
ALL,5,autonomous,body_rate_rmse_rad_s,ALL,0.545328817446893,0.0026433547186965247
ALL,5,autonomous,body_rate_rmse_rad_s,Sep17,0.5273914212369101,0.0027367945889366454
ALL,5,autonomous,body_rate_rmse_rad_s,Sep7,0.5612731696335446,0.0029278176189402203
ALL,5,autonomous,position_rmse_m,ALL,0.03533975990047323,0.00015990873590763545
ALL,5,autonomous,position_rmse_m,Sep17,0.01878042327859422,0.00028830242078524
ALL,5,autonomous,position_rmse_m,Sep7,0.050059170231032346,8.744334916525886e-05
ALL,5,autonomous,velocity_rmse_m_s,ALL,0.14492896236407948,0.004558853008184936
ALL,5,autonomous,velocity_rmse_m_s,Sep17,0.15328337006033146,0.004828245157538848
ALL,5,autonomous,velocity_rmse_m_s,Sep7,0.13750282218963325,0.004517645063215637
ALL,5,local100ms,attitude_error_deg,ALL,1.4073877642695212,0.020646257580785136
ALL,5,local100ms,attitude_error_deg,Sep17,1.469827979780571,0.012525797653844586
ALL,5,local100ms,attitude_error_deg,Sep7,1.3518853504819213,0.028822407939506266
ALL,5,local100ms,body_rate_rmse_rad_s,ALL,0.5453288175190333,0.0026433547884841696
ALL,5,local100ms,body_rate_rmse_rad_s,Sep17,0.5273914213902079,0.0027367947385673183
ALL,5,local100ms,body_rate_rmse_rad_s,Sep7,0.5612731696335446,0.0029278176189402203
ALL,5,local100ms,position_rmse_m,ALL,0.03533975990047323,0.00015990873590763545
ALL,5,local100ms,position_rmse_m,Sep17,0.01878042327859422,0.00028830242078524
ALL,5,local100ms,position_rmse_m,Sep7,0.050059170231032346,8.744334916525886e-05
ALL,5,local100ms,velocity_rmse_m_s,ALL,0.14492896251489953,0.004558853298300241
ALL,5,local100ms,velocity_rmse_m_s,Sep17,0.1532833703808241,0.004828245794284335
ALL,5,local100ms,velocity_rmse_m_s,Sep7,0.13750282218963325,0.004517645063215637
ALL,6,autonomous,attitude_error_deg,ALL,1.5601333231040968,0.02475551793061158
ALL,6,autonomous,attitude_error_deg,Sep17,1.6444132624908832,0.016071384082655786
ALL,6,autonomous,attitude_error_deg,Sep7,1.4852178214269536,0.03480548448074143
ALL,6,autonomous,body_rate_rmse_rad_s,ALL,0.5560959095445691,0.0017445500692212026
ALL,6,autonomous,body_rate_rmse_rad_s,Sep17,0.517609511529578,0.0025846278947724392
ALL,6,autonomous,body_rate_rmse_rad_s,Sep7,0.5903060411134502,0.002808575070726468
ALL,6,autonomous,position_rmse_m,ALL,0.04206337723346376,0.00023139908771749725
ALL,6,autonomous,position_rmse_m,Sep17,0.022504493013250842,0.00042020770511313126
ALL,6,autonomous,position_rmse_m,Sep7,0.059449052095875234,0.00012502537162816625
ALL,6,autonomous,velocity_rmse_m_s,ALL,0.1604757728103721,0.004986675073136016
ALL,6,autonomous,velocity_rmse_m_s,Sep17,0.17426700971484696,0.00403316336494859
ALL,6,autonomous,velocity_rmse_m_s,Sep7,0.14821689556195,0.00602974425650577
ALL,7,autonomous,attitude_error_deg,ALL,1.720186686011336,0.029090034165764195
ALL,7,autonomous,attitude_error_deg,Sep17,1.8187132904058843,0.024618837010579465
ALL,7,autonomous,attitude_error_deg,Sep7,1.632607482105071,0.036462181602461466
ALL,7,autonomous,body_rate_rmse_rad_s,ALL,0.5593218777764422,0.0031892869631960545
ALL,7,autonomous,body_rate_rmse_rad_s,Sep17,0.5376011623440883,0.002826770061240089
ALL,7,autonomous,body_rate_rmse_rad_s,Sep7,0.578629180382979,0.003894838151404946
ALL,7,autonomous,position_rmse_m,ALL,0.048730471815774605,0.0003096216936697139
ALL,7,autonomous,position_rmse_m,Sep17,0.026356545406135953,0.0005594665201306681
ALL,7,autonomous,position_rmse_m,Sep7,0.06861840640212007,0.00016537365176159838
ALL,7,autonomous,velocity_rmse_m_s,ALL,0.1739042092030719,0.004817036087054053
ALL,7,autonomous,velocity_rmse_m_s,Sep17,0.19296704887480173,0.002383495147896646
ALL,7,autonomous,velocity_rmse_m_s,Sep7,0.15695946282820092,0.007197030019840554
ALL,8,autonomous,attitude_error_deg,ALL,1.873883876749152,0.03204649271660601
ALL,8,autonomous,attitude_error_deg,Sep17,1.9983422275889156,0.03697798280821287
ALL,8,autonomous,attitude_error_deg,Sep7,1.763254231558251,0.02997774893206619
ALL,8,autonomous,body_rate_rmse_rad_s,ALL,0.5658493571139546,0.002682149072961595
ALL,8,autonomous,body_rate_rmse_rad_s,Sep17,0.5300767342776388,0.001086491729088077
ALL,8,autonomous,body_rate_rmse_rad_s,Sep7,0.5976472440795685,0.00419909249155158
ALL,8,autonomous,position_rmse_m,ALL,0.05575468805633029,0.00037429822372556906
ALL,8,autonomous,position_rmse_m,Sep17,0.030724228043733367,0.0006394931287811411
ALL,8,autonomous,position_rmse_m,Sep7,0.07800398584530534,0.00021511137112076772
ALL,8,autonomous,velocity_rmse_m_s,ALL,0.1829346436243978,0.00424930705497224
ALL,8,autonomous,velocity_rmse_m_s,Sep17,0.2060206631521628,0.0008987311913699882
ALL,8,autonomous,velocity_rmse_m_s,Sep7,0.16241373737749557,0.007793044902634916
ALL,9,autonomous,attitude_error_deg,ALL,2.040417680650439,0.03455706230887288
ALL,9,autonomous,attitude_error_deg,Sep17,2.2044600951484052,0.04782062681209945
ALL,9,autonomous,attitude_error_deg,Sep7,1.8946022010966903,0.0238962550686066
ALL,9,autonomous,body_rate_rmse_rad_s,ALL,0.5633291222113239,0.0019092757383509006
ALL,9,autonomous,body_rate_rmse_rad_s,Sep17,0.5344989720402177,0.00182656757989505
ALL,9,autonomous,body_rate_rmse_rad_s,Sep7,0.5889559223634183,0.0041269310585676
ALL,9,autonomous,position_rmse_m,ALL,0.06329336716187293,0.000446311324212739
ALL,9,autonomous,position_rmse_m,Sep17,0.03563653631149629,0.0007527463255524425
ALL,9,autonomous,position_rmse_m,Sep7,0.08787721680665218,0.00025423100036565943
ALL,9,autonomous,velocity_rmse_m_s,ALL,0.1898659439653607,0.0038704968223428086
ALL,9,autonomous,velocity_rmse_m_s,Sep17,0.21501877402937428,0.0005612679830725965
ALL,9,autonomous,velocity_rmse_m_s,Sep7,0.1675078727973486,0.007486750751930991
ALL,10,autonomous,attitude_error_deg,ALL,2.196485009819066,0.038513408516639334
ALL,10,autonomous,attitude_error_deg,Sep17,2.376163835792054,0.05667804461582944
ALL,10,autonomous,attitude_error_deg,Sep7,2.0367704978430776,0.022973567441240322
ALL,10,autonomous,body_rate_rmse_rad_s,ALL,0.5662829067172569,0.002845070392982552
ALL,10,autonomous,body_rate_rmse_rad_s,Sep17,0.5370344702811893,0.0007091605500893418
ALL,10,autonomous,body_rate_rmse_rad_s,Sep7,0.5922815168826502,0.005015444449187461
ALL,10,autonomous,position_rmse_m,ALL,0.07037587473612035,0.0004976476671810978
ALL,10,autonomous,position_rmse_m,Sep17,0.0403758876117629,0.0008328714661951241
ALL,10,autonomous,position_rmse_m,Sep7,0.09704252995777145,0.00028348760185255447
ALL,10,autonomous,velocity_rmse_m_s,ALL,0.19543232868331303,0.003772095483271508
ALL,10,autonomous,velocity_rmse_m_s,Sep17,0.22052783181036187,0.0008974636379996783
ALL,10,autonomous,velocity_rmse_m_s,Sep7,0.17312521479260293,0.006327707911003984
ALL,10,local100ms,attitude_error_deg,ALL,1.3796000191447175,0.020548523789253162
ALL,10,local100ms,attitude_error_deg,Sep17,1.425888322608288,0.02119410270345014
ALL,10,local100ms,attitude_error_deg,Sep7,1.3384548605104325,0.022819123794430244
ALL,10,local100ms,body_rate_rmse_rad_s,ALL,0.550009898940407,0.003363026991176953
ALL,10,local100ms,body_rate_rmse_rad_s,Sep17,0.5192991504088645,0.005361946787700552
ALL,10,local100ms,body_rate_rmse_rad_s,Sep7,0.5773083420795558,0.0033358014056706553
ALL,10,local100ms,position_rmse_m,ALL,0.0334958373017464,6.926350795912033e-05
ALL,10,local100ms,position_rmse_m,Sep17,0.01853519493720152,0.0002263580373180805
ALL,10,local100ms,position_rmse_m,Sep7,0.046794186070230746,0.00016500924840955075
ALL,10,local100ms,velocity_rmse_m_s,ALL,0.13653341546416756,0.0021612876496125808
ALL,10,local100ms,velocity_rmse_m_s,Sep17,0.15262572069045055,0.0016051809003237091
ALL,10,local100ms,velocity_rmse_m_s,Sep7,0.122229144151916,0.0027113762245772723
ALL,11,autonomous,attitude_error_deg,ALL,2.324711477418555,0.03785261309069852
ALL,11,autonomous,attitude_error_deg,Sep17,2.5222062250343726,0.056581686504814474
ALL,11,autonomous,attitude_error_deg,Sep7,2.1491605906489393,0.02140467608859227
ALL,11,autonomous,body_rate_rmse_rad_s,ALL,0.5603306224299733,0.002698619269931862
ALL,11,autonomous,body_rate_rmse_rad_s,Sep17,0.5512084935598888,0.003610913242758525
ALL,11,autonomous,body_rate_rmse_rad_s,Sep7,0.5684391814256043,0.0021536212633910903
ALL,11,autonomous,position_rmse_m,ALL,0.07769272634476213,0.0005563144589153554
ALL,11,autonomous,position_rmse_m,Sep17,0.04480849898651338,0.000908904446324278
ALL,11,autonomous,position_rmse_m,Sep7,0.10692315066320546,0.00033144036724585337
ALL,11,autonomous,velocity_rmse_m_s,ALL,0.20083932848613326,0.003204762372987856
ALL,11,autonomous,velocity_rmse_m_s,Sep17,0.22701155591733924,0.002445121668916074
ALL,11,autonomous,velocity_rmse_m_s,Sep7,0.17757512632506123,0.003885823704856255
ALL,12,autonomous,attitude_error_deg,ALL,2.4466423906744397,0.03248081681344553
ALL,12,autonomous,attitude_error_deg,Sep17,2.6788614184789217,0.05277611553003118
ALL,12,autonomous,attitude_error_deg,Sep7,2.2402254770704557,0.01597044211013403
ALL,12,autonomous,body_rate_rmse_rad_s,ALL,0.5703817559224378,0.004423614575207487
ALL,12,autonomous,body_rate_rmse_rad_s,Sep17,0.5525135281585997,0.006998945189400506
ALL,12,autonomous,body_rate_rmse_rad_s,Sep7,0.5862646250458493,0.0028845298509842
ALL,12,autonomous,position_rmse_m,ALL,0.08528638769805684,0.0006194761375832831
ALL,12,autonomous,position_rmse_m,Sep17,0.049860184506853165,0.0010322002413726517
ALL,12,autonomous,position_rmse_m,Sep7,0.11677634609023786,0.00037281340460886567
ALL,12,autonomous,velocity_rmse_m_s,ALL,0.21050957299665216,0.002454719443917229
ALL,12,autonomous,velocity_rmse_m_s,Sep17,0.24034210616679963,0.003584724217705183
ALL,12,autonomous,velocity_rmse_m_s,Sep7,0.18399176573429885,0.0017510962519544924
ALL,13,autonomous,attitude_error_deg,ALL,2.560222281699339,0.025228586765562635
ALL,13,autonomous,attitude_error_deg,Sep17,2.8384641943169604,0.04551602623977324
ALL,13,autonomous,attitude_error_deg,Sep7,2.312896137150342,0.013861966724195898
ALL,13,autonomous,body_rate_rmse_rad_s,ALL,0.5598843394132496,0.0026305130206954476
ALL,13,autonomous,body_rate_rmse_rad_s,Sep17,0.5428508569674143,0.0033863425908485386
ALL,13,autonomous,body_rate_rmse_rad_s,Sep7,0.5750252126984364,0.0023426771136791885
ALL,13,autonomous,position_rmse_m,ALL,0.09265732526040904,0.0006586483301509904
ALL,13,autonomous,position_rmse_m,Sep17,0.054919015971832276,0.0011356010719277567
ALL,13,autonomous,position_rmse_m,Sep7,0.12620248907247725,0.0004038701307741985
ALL,13,autonomous,velocity_rmse_m_s,ALL,0.2216422242451284,0.001583103317287477
ALL,13,autonomous,velocity_rmse_m_s,Sep17,0.2562134571787709,0.003442190113276464
ALL,13,autonomous,velocity_rmse_m_s,Sep7,0.19091223941522395,0.0009641387550808897
ALL,14,autonomous,attitude_error_deg,ALL,2.6871168389110096,0.02071716743759729
ALL,14,autonomous,attitude_error_deg,Sep17,3.0061311251641567,0.042637877489462093
ALL,14,autonomous,attitude_error_deg,Sep7,2.403548584463768,0.010766203249080213
ALL,14,autonomous,body_rate_rmse_rad_s,ALL,0.5813651390059675,0.003122997728694588
ALL,14,autonomous,body_rate_rmse_rad_s,Sep17,0.5558955828253846,0.005235852899185692
ALL,14,autonomous,body_rate_rmse_rad_s,Sep7,0.604004744499819,0.0018516015653807251
ALL,14,autonomous,position_rmse_m,ALL,0.1003192712527768,0.0007431491127224112
ALL,14,autonomous,position_rmse_m,Sep17,0.06011895805825022,0.0013057514629828397
ALL,14,autonomous,position_rmse_m,Sep7,0.13605288298124488,0.0004619509832344453
ALL,14,autonomous,velocity_rmse_m_s,ALL,0.23392931188813348,0.001245495862441507
ALL,14,autonomous,velocity_rmse_m_s,Sep17,0.27196646755251747,0.0030383259087569934
ALL,14,autonomous,velocity_rmse_m_s,Sep7,0.2001185068531255,0.0008072050812160471
ALL,15,autonomous,attitude_error_deg,ALL,2.8398385803690362,0.017997818674409
ALL,15,autonomous,attitude_error_deg,Sep17,3.1675526054309895,0.040316447496956065
ALL,15,autonomous,attitude_error_deg,Sep7,2.54853722475841,0.011419665871801534
ALL,15,autonomous,body_rate_rmse_rad_s,ALL,0.5762791752351486,0.0009847443523928582
ALL,15,autonomous,body_rate_rmse_rad_s,Sep17,0.5653714416333804,0.0002580738889616765
ALL,15,autonomous,body_rate_rmse_rad_s,Sep7,0.5859749384367204,0.001874080474264193
ALL,15,autonomous,position_rmse_m,ALL,0.10814043008349895,0.0008250055254837939
ALL,15,autonomous,position_rmse_m,Sep17,0.06577426081643307,0.0015103384170750207
ALL,15,autonomous,position_rmse_m,Sep7,0.14579924720977977,0.0005066281023438432
ALL,15,autonomous,velocity_rmse_m_s,ALL,0.24430199918698112,0.0016036876006359578
ALL,15,autonomous,velocity_rmse_m_s,Sep17,0.283271348479694,0.0035945803340249652
ALL,15,autonomous,velocity_rmse_m_s,Sep7,0.2096625775934585,0.0012428885012486684
ALL,15,local100ms,attitude_error_deg,ALL,1.398413185645038,0.016064415702042895
ALL,15,local100ms,attitude_error_deg,Sep17,1.4434516134417124,0.01788277037087169
ALL,15,local100ms,attitude_error_deg,Sep7,1.3583790276035497,0.0223086412272194
ALL,15,local100ms,body_rate_rmse_rad_s,ALL,0.5596622192835959,0.002602789391698109
ALL,15,local100ms,body_rate_rmse_rad_s,Sep17,0.534630421360187,0.0032786681725711026
ALL,15,local100ms,body_rate_rmse_rad_s,Sep7,0.5819127063266261,0.0023302719753890005
ALL,15,local100ms,position_rmse_m,ALL,0.03408340749966121,3.5052037931905727e-06
ALL,15,local100ms,position_rmse_m,Sep17,0.01955387455331397,0.00012941064911445852
ALL,15,local100ms,position_rmse_m,Sep7,0.04699854789641431,0.00011765481720847894
ALL,15,local100ms,velocity_rmse_m_s,ALL,0.14686164944086535,0.001972877489491335
ALL,15,local100ms,velocity_rmse_m_s,Sep17,0.17898230081610203,0.0004456080873442315
ALL,15,local100ms,velocity_rmse_m_s,Sep7,0.11830995932954386,0.004113932285674532
ALL,16,autonomous,attitude_error_deg,ALL,2.9995269539956886,0.01757323416677911
ALL,16,autonomous,attitude_error_deg,Sep17,3.3393420832658003,0.03986949329358849
ALL,16,autonomous,attitude_error_deg,Sep7,2.697469061311144,0.017649178922318376
ALL,16,autonomous,body_rate_rmse_rad_s,ALL,0.5935177501461607,0.0014464972333948659
ALL,16,autonomous,body_rate_rmse_rad_s,Sep17,0.5789347652089551,0.0010416775624841998
ALL,16,autonomous,body_rate_rmse_rad_s,Sep7,0.6064804034236767,0.002967658209903834
ALL,16,autonomous,position_rmse_m,ALL,0.11622673785941785,0.0008782267197783215
ALL,16,autonomous,position_rmse_m,Sep17,0.07146595954009799,0.0016522009454892285
ALL,16,autonomous,position_rmse_m,Sep7,0.15601409636547994,0.0005447718496297638
ALL,16,autonomous,velocity_rmse_m_s,ALL,0.25295870451365166,0.0023870197385981295
ALL,16,autonomous,velocity_rmse_m_s,Sep17,0.28889605304114735,0.004468242861843166
ALL,16,autonomous,velocity_rmse_m_s,Sep7,0.22101439471143325,0.0016909913901801798
ALL,17,autonomous,attitude_error_deg,ALL,3.145001354806224,0.020961682805971448
ALL,17,autonomous,attitude_error_deg,Sep17,3.501329121076498,0.04442588773862062
ALL,17,autonomous,attitude_error_deg,Sep7,2.8282655625659814,0.024858484093826114
ALL,17,autonomous,body_rate_rmse_rad_s,ALL,0.5659064765537178,0.0019026012607347975
ALL,17,autonomous,body_rate_rmse_rad_s,Sep17,0.5603715302852534,0.0027926977527661105
ALL,17,autonomous,body_rate_rmse_rad_s,Sep7,0.5708264287923529,0.001513515277824932
ALL,17,autonomous,position_rmse_m,ALL,0.12431814423656573,0.0009410758588271321
ALL,17,autonomous,position_rmse_m,Sep17,0.07721968347733325,0.0018479054100793636
ALL,17,autonomous,position_rmse_m,Sep7,0.1661834426892168,0.0005784544837470026
ALL,17,autonomous,velocity_rmse_m_s,ALL,0.26288959109187604,0.003206177066858158
ALL,17,autonomous,velocity_rmse_m_s,Sep17,0.29702803870513095,0.005428521107392731
ALL,17,autonomous,velocity_rmse_m_s,Sep7,0.23254430432453835,0.002225341138957357
ALL,18,autonomous,attitude_error_deg,ALL,3.2727056208325886,0.027650987267067797
ALL,18,autonomous,attitude_error_deg,Sep17,3.6449141700627394,0.05086989589800093
ALL,18,autonomous,attitude_error_deg,Sep7,2.9418535770724543,0.02995305373024654
ALL,18,autonomous,body_rate_rmse_rad_s,ALL,0.5722102666212846,0.002293796883237622
ALL,18,autonomous,body_rate_rmse_rad_s,Sep17,0.5463607648943452,0.004112033791442001
ALL,18,autonomous,body_rate_rmse_rad_s,Sep7,0.5951876014896752,0.0028950611810785155
ALL,18,autonomous,position_rmse_m,ALL,0.13200594818221792,0.001012161927802644
ALL,18,autonomous,position_rmse_m,Sep17,0.08307293754598237,0.00204682307830685
ALL,18,autonomous,position_rmse_m,Sep7,0.17550195763664955,0.0006092374574468104
ALL,18,autonomous,velocity_rmse_m_s,ALL,0.274964250152012,0.004272417754946257
ALL,18,autonomous,velocity_rmse_m_s,Sep17,0.30975983346233377,0.006808286897895251
ALL,18,autonomous,velocity_rmse_m_s,Sep7,0.24403484276505935,0.002640308618313515
ALL,19,autonomous,attitude_error_deg,ALL,3.3951498737661594,0.033177989497005025
ALL,19,autonomous,attitude_error_deg,Sep17,3.781257223954641,0.05743240956972391
ALL,19,autonomous,attitude_error_deg,Sep7,3.051943340265287,0.035184251874503934
ALL,19,autonomous,body_rate_rmse_rad_s,ALL,0.5587485834082724,0.0030109095352353166
ALL,19,autonomous,body_rate_rmse_rad_s,Sep17,0.5424640022933994,0.004833167953115876
ALL,19,autonomous,body_rate_rmse_rad_s,Sep7,0.5732237666214927,0.0024256046449152866
ALL,19,autonomous,position_rmse_m,ALL,0.14022671925449479,0.001084585494655341
ALL,19,autonomous,position_rmse_m,Sep17,0.0892853666256459,0.0022546441985858913
ALL,19,autonomous,position_rmse_m,Sep7,0.18550792159124938,0.000634454449693748
ALL,19,autonomous,velocity_rmse_m_s,ALL,0.2894357518628919,0.005391597925709895
ALL,19,autonomous,velocity_rmse_m_s,Sep17,0.3261010499804118,0.007987014778922502
ALL,19,autonomous,velocity_rmse_m_s,Sep7,0.2568443757584297,0.0034250023334354463
ALL,20,autonomous,attitude_error_deg,ALL,3.5084364280586193,0.037869358770332484
ALL,20,autonomous,attitude_error_deg,Sep17,3.9053885921061955,0.05898688914348835
ALL,20,autonomous,attitude_error_deg,Sep7,3.1555900600163294,0.04140164933844809
ALL,20,autonomous,body_rate_rmse_rad_s,ALL,0.5652178492108703,0.0007439114602034918
ALL,20,autonomous,body_rate_rmse_rad_s,Sep17,0.5474912780889185,0.0021007667188356143
ALL,20,autonomous,body_rate_rmse_rad_s,Sep7,0.5809748013192718,0.0007890814803897561
ALL,20,autonomous,position_rmse_m,ALL,0.148309794442718,0.0011736340238222664
ALL,20,autonomous,position_rmse_m,Sep17,0.09548906441828502,0.0024938226057843555
ALL,20,autonomous,position_rmse_m,Sep7,0.1952615544644362,0.0006511727286363079
ALL,20,autonomous,velocity_rmse_m_s,ALL,0.30143844191722907,0.0065443820638285246
ALL,20,autonomous,velocity_rmse_m_s,Sep17,0.33692892617326314,0.009271916352372154
ALL,20,autonomous,velocity_rmse_m_s,Sep7,0.2698913448007544,0.004268029320407322
ALL,20,local100ms,attitude_error_deg,ALL,1.420778186734344,0.030727544338131452
ALL,20,local100ms,attitude_error_deg,Sep17,1.448404747788784,0.0282397843229021
ALL,20,local100ms,attitude_error_deg,Sep7,1.396221243574842,0.033048211050806825
ALL,20,local100ms,body_rate_rmse_rad_s,ALL,0.5375838522437109,0.002460864739082043
ALL,20,local100ms,body_rate_rmse_rad_s,Sep17,0.5058349653457882,0.0021270659863216576
ALL,20,local100ms,body_rate_rmse_rad_s,Sep7,0.5658050850418642,0.002767028507596112
ALL,20,local100ms,position_rmse_m,ALL,0.03345457872182283,0.00012235403323147858
ALL,20,local100ms,position_rmse_m,Sep17,0.019362203876009693,0.00032169678006804467
ALL,20,local100ms,position_rmse_m,Sep7,0.0459811341403234,0.00011281019676798386
ALL,20,local100ms,velocity_rmse_m_s,ALL,0.1494481520994366,0.0049180568048147666
ALL,20,local100ms,velocity_rmse_m_s,Sep17,0.1738033762659245,0.007902520919624033
ALL,20,local100ms,velocity_rmse_m_s,Sep7,0.12779906395144736,0.0029279763070997893
ALL,21,autonomous,attitude_error_deg,ALL,3.6340364771071356,0.041291727575629135
ALL,21,autonomous,attitude_error_deg,Sep17,4.045932497549915,0.06559490426318264
ALL,21,autonomous,attitude_error_deg,Sep7,3.267906681157998,0.04138099803425541
ALL,21,autonomous,body_rate_rmse_rad_s,ALL,0.5591003424751995,0.0030841132203444106
ALL,21,autonomous,body_rate_rmse_rad_s,Sep17,0.5404771104235045,0.0010974271911738673
ALL,21,autonomous,body_rate_rmse_rad_s,Sep7,0.5756543265211506,0.0048711552014490496
ALL,21,autonomous,position_rmse_m,ALL,0.15659173366891188,0.001306990563625179
ALL,21,autonomous,position_rmse_m,Sep17,0.10187806519629107,0.0027886789604317504
ALL,21,autonomous,position_rmse_m,Sep7,0.2052261056445748,0.0006686505011576616
ALL,21,autonomous,velocity_rmse_m_s,ALL,0.31333001948172584,0.007420847335952888
ALL,21,autonomous,velocity_rmse_m_s,Sep17,0.3469998227776445,0.01037683553543549
ALL,21,autonomous,velocity_rmse_m_s,Sep7,0.2834013054409092,0.004964921825512865
ALL,22,autonomous,attitude_error_deg,ALL,3.7548823130609628,0.04395500471720314
ALL,22,autonomous,attitude_error_deg,Sep17,4.185420508873034,0.07573540043303097
ALL,22,autonomous,attitude_error_deg,Sep7,3.3721816945613443,0.04545068068425914
ALL,22,autonomous,body_rate_rmse_rad_s,ALL,0.5992324308754379,0.004271556117301899
ALL,22,autonomous,body_rate_rmse_rad_s,Sep17,0.573109302460602,0.004158811636359091
ALL,22,autonomous,body_rate_rmse_rad_s,Sep7,0.6224529894664029,0.004592585276661237
ALL,22,autonomous,position_rmse_m,ALL,0.16530538106388507,0.0014422121973132228
ALL,22,autonomous,position_rmse_m,Sep17,0.10857200209080613,0.0030956593072445676
ALL,22,autonomous,position_rmse_m,Sep7,0.2157350512621775,0.0006658784031120325
ALL,22,autonomous,velocity_rmse_m_s,ALL,0.3239367584661346,0.007470036760332468
ALL,22,autonomous,velocity_rmse_m_s,Sep17,0.353841969104516,0.011092160252537663
