group,step,condition,metric,cohort,seed,value
ALL,3,autonomous,velocity_rmse_m_s,Sep17,17,0.10617920552012916
ALL,3,autonomous,velocity_rmse_m_s,Sep17,23,0.11264762146286347
ALL,3,autonomous,velocity_rmse_m_s,Sep17,42,0.10602389732787398
ALL,3,autonomous,velocity_rmse_m_s,Sep7,17,0.09977611681874411
ALL,3,autonomous,velocity_rmse_m_s,Sep7,23,0.10483566440863973
ALL,3,autonomous,velocity_rmse_m_s,Sep7,42,0.10409921063895566
ALL,4,autonomous,attitude_error_deg,ALL,17,1.2148717589201583
ALL,4,autonomous,attitude_error_deg,ALL,23,1.253867757964954
ALL,4,autonomous,attitude_error_deg,ALL,42,1.2360012851763442
ALL,4,autonomous,attitude_error_deg,Sep17,17,1.2274989025908343
ALL,4,autonomous,attitude_error_deg,Sep17,23,1.2503337996160475
ALL,4,autonomous,attitude_error_deg,Sep17,42,1.2485866590630217
ALL,4,autonomous,attitude_error_deg,Sep7,17,1.2036476312128908
ALL,4,autonomous,attitude_error_deg,Sep7,23,1.2570090542750934
ALL,4,autonomous,attitude_error_deg,Sep7,42,1.224814286165964
ALL,4,autonomous,body_rate_rmse_rad_s,ALL,17,0.545181060443151
ALL,4,autonomous,body_rate_rmse_rad_s,ALL,23,0.5408693692099161
ALL,4,autonomous,body_rate_rmse_rad_s,ALL,42,0.5464044301152301
ALL,4,autonomous,body_rate_rmse_rad_s,Sep17,17,0.521739153621729
ALL,4,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5130426253193925
ALL,4,autonomous,body_rate_rmse_rad_s,Sep17,42,0.5218410944244218
ALL,4,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5660183109510816
ALL,4,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5656042526681593
ALL,4,autonomous,body_rate_rmse_rad_s,Sep7,42,0.5682385062848374
ALL,4,autonomous,position_rmse_m,ALL,17,0.02867883036404174
ALL,4,autonomous,position_rmse_m,ALL,23,0.028734073373279406
ALL,4,autonomous,position_rmse_m,ALL,42,0.028549406220613846
ALL,4,autonomous,position_rmse_m,Sep17,17,0.0151450162145549
ALL,4,autonomous,position_rmse_m,Sep17,23,0.015345347057952133
ALL,4,autonomous,position_rmse_m,Sep17,42,0.014995076949386597
ALL,4,autonomous,position_rmse_m,Sep7,17,0.04070888738580782
ALL,4,autonomous,position_rmse_m,Sep7,23,0.0406351634313481
ALL,4,autonomous,position_rmse_m,Sep7,42,0.04059769890614918
ALL,4,autonomous,velocity_rmse_m_s,ALL,17,0.1233440973692109
ALL,4,autonomous,velocity_rmse_m_s,ALL,23,0.13102763982495244
ALL,4,autonomous,velocity_rmse_m_s,ALL,42,0.12682587872284584
ALL,4,autonomous,velocity_rmse_m_s,Sep17,17,0.12806522804927217
ALL,4,autonomous,velocity_rmse_m_s,Sep17,23,0.13635337111299103
ALL,4,autonomous,velocity_rmse_m_s,Sep17,42,0.12946242355817444
ALL,4,autonomous,velocity_rmse_m_s,Sep7,17,0.11914753676471197
ALL,4,autonomous,velocity_rmse_m_s,Sep7,23,0.12629365645780707
ALL,4,autonomous,velocity_rmse_m_s,Sep7,42,0.12448228331366486
ALL,5,autonomous,attitude_error_deg,ALL,17,1.3845081999116717
ALL,5,autonomous,attitude_error_deg,ALL,23,1.4246294529035894
ALL,5,autonomous,attitude_error_deg,ALL,42,1.4130256429973742
ALL,5,autonomous,attitude_error_deg,Sep17,17,1.4554005293162402
ALL,5,autonomous,attitude_error_deg,Sep17,23,1.4761573607193075
ALL,5,autonomous,attitude_error_deg,Sep17,42,1.4779260556898177
ALL,5,autonomous,attitude_error_deg,Sep7,17,1.3214927959964997
ALL,5,autonomous,attitude_error_deg,Sep7,23,1.3788268681785063
ALL,5,autonomous,attitude_error_deg,Sep7,42,1.355336387270758
ALL,5,autonomous,body_rate_rmse_rad_s,ALL,17,0.5438908711237967
ALL,5,autonomous,body_rate_rmse_rad_s,ALL,23,0.5437161480655596
ALL,5,autonomous,body_rate_rmse_rad_s,ALL,42,0.5483794331513229
ALL,5,autonomous,body_rate_rmse_rad_s,Sep17,17,0.5271383388882338
ALL,5,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5247899582661589
ALL,5,autonomous,body_rate_rmse_rad_s,Sep17,42,0.5302459665563375
ALL,5,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5587820108887416
ALL,5,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5605394278872491
ALL,5,autonomous,body_rate_rmse_rad_s,Sep7,42,0.5644980701246433
ALL,5,autonomous,position_rmse_m,ALL,17,0.03536245183250302
ALL,5,autonomous,position_rmse_m,ALL,23,0.03548711053487921
ALL,5,autonomous,position_rmse_m,ALL,42,0.035169717334037454
ALL,5,autonomous,position_rmse_m,Sep17,17,0.018732196056148013
ALL,5,autonomous,position_rmse_m,Sep17,23,0.019089797975652693
ALL,5,autonomous,position_rmse_m,Sep17,42,0.01851927580398196
ALL,5,autonomous,position_rmse_m,Sep7,17,0.05014490141148525
ALL,5,autonomous,position_rmse_m,Sep7,23,0.0500624994764139
ALL,5,autonomous,position_rmse_m,Sep7,42,0.04997010980519788
ALL,5,autonomous,velocity_rmse_m_s,ALL,17,0.14035855362762464
ALL,5,autonomous,velocity_rmse_m_s,ALL,23,0.14947617109493305
ALL,5,autonomous,velocity_rmse_m_s,ALL,42,0.14495216236968075
ALL,5,autonomous,velocity_rmse_m_s,Sep17,17,0.14915633314651408
ALL,5,autonomous,velocity_rmse_m_s,Sep17,23,0.15859305949784006
ALL,5,autonomous,velocity_rmse_m_s,Sep17,42,0.1521007175366403
ALL,5,autonomous,velocity_rmse_m_s,Sep7,17,0.13253830516638956
ALL,5,autonomous,velocity_rmse_m_s,Sep7,23,0.14137227029234903
ALL,5,autonomous,velocity_rmse_m_s,Sep7,42,0.13859789111016116
ALL,5,local100ms,attitude_error_deg,ALL,17,1.3845081991779844
ALL,5,local100ms,attitude_error_deg,ALL,23,1.4246294497797252
ALL,5,local100ms,attitude_error_deg,ALL,42,1.413025643850854
ALL,5,local100ms,attitude_error_deg,Sep17,17,1.4554005277571544
ALL,5,local100ms,attitude_error_deg,Sep17,23,1.4761573540810964
ALL,5,local100ms,attitude_error_deg,Sep17,42,1.477926057503462
ALL,5,local100ms,attitude_error_deg,Sep7,17,1.3214927959964997
ALL,5,local100ms,attitude_error_deg,Sep7,23,1.3788268681785063
ALL,5,local100ms,attitude_error_deg,Sep7,42,1.355336387270758
ALL,5,local100ms,body_rate_rmse_rad_s,ALL,17,0.5438908711743669
ALL,5,local100ms,body_rate_rmse_rad_s,ALL,23,0.5437161480793442
ALL,5,local100ms,body_rate_rmse_rad_s,ALL,42,0.5483794333033886
ALL,5,local100ms,body_rate_rmse_rad_s,Sep17,17,0.5271383389956954
ALL,5,local100ms,body_rate_rmse_rad_s,Sep17,23,0.5247899582954513
ALL,5,local100ms,body_rate_rmse_rad_s,Sep17,42,0.530245966879477
ALL,5,local100ms,body_rate_rmse_rad_s,Sep7,17,0.5587820108887416
ALL,5,local100ms,body_rate_rmse_rad_s,Sep7,23,0.5605394278872491
ALL,5,local100ms,body_rate_rmse_rad_s,Sep7,42,0.5644980701246433
ALL,5,local100ms,position_rmse_m,ALL,17,0.03536245183250302
ALL,5,local100ms,position_rmse_m,ALL,23,0.03548711053487921
ALL,5,local100ms,position_rmse_m,ALL,42,0.035169717334037454
ALL,5,local100ms,position_rmse_m,Sep17,17,0.018732196056148013
ALL,5,local100ms,position_rmse_m,Sep17,23,0.019089797975652693
ALL,5,local100ms,position_rmse_m,Sep17,42,0.01851927580398196
ALL,5,local100ms,position_rmse_m,Sep7,17,0.05014490141148525
ALL,5,local100ms,position_rmse_m,Sep7,23,0.0500624994764139
ALL,5,local100ms,position_rmse_m,Sep7,42,0.04997010980519788
ALL,5,local100ms,velocity_rmse_m_s,ALL,17,0.14035855353102392
ALL,5,local100ms,velocity_rmse_m_s,ALL,23,0.14947617157922546
ALL,5,local100ms,velocity_rmse_m_s,ALL,42,0.14495216243444922
ALL,5,local100ms,velocity_rmse_m_s,Sep17,17,0.1491563329412376
ALL,5,local100ms,velocity_rmse_m_s,Sep17,23,0.15859306052696145
ALL,5,local100ms,velocity_rmse_m_s,Sep17,42,0.1521007176742733
ALL,5,local100ms,velocity_rmse_m_s,Sep7,17,0.13253830516638956
ALL,5,local100ms,velocity_rmse_m_s,Sep7,23,0.14137227029234903
ALL,5,local100ms,velocity_rmse_m_s,Sep7,42,0.13859789111016116
ALL,6,autonomous,attitude_error_deg,ALL,17,1.5315594946941655
ALL,6,autonomous,attitude_error_deg,ALL,23,1.57511874680268
ALL,6,autonomous,attitude_error_deg,ALL,42,1.5737217278154454
ALL,6,autonomous,attitude_error_deg,Sep17,17,1.627794185218559
ALL,6,autonomous,attitude_error_deg,Sep17,23,1.645571291545521
ALL,6,autonomous,attitude_error_deg,Sep17,42,1.6598743107085692
ALL,6,autonomous,attitude_error_deg,Sep7,17,1.4460175475613712
ALL,6,autonomous,attitude_error_deg,Sep7,23,1.5124942625868214
ALL,6,autonomous,attitude_error_deg,Sep7,42,1.4971416541326685
ALL,6,autonomous,body_rate_rmse_rad_s,ALL,17,0.5566458988017358
ALL,6,autonomous,body_rate_rmse_rad_s,ALL,23,0.5541426453289496
ALL,6,autonomous,body_rate_rmse_rad_s,ALL,42,0.557499184503022
ALL,6,autonomous,body_rate_rmse_rad_s,Sep17,17,0.5156458216711877
ALL,6,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5166450155432404
ALL,6,autonomous,body_rate_rmse_rad_s,Sep17,42,0.520537697374306
ALL,6,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5930904118066676
ALL,6,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5874738718051356
ALL,6,autonomous,body_rate_rmse_rad_s,Sep7,42,0.5903538397285475
ALL,6,autonomous,position_rmse_m,ALL,17,0.04208191112271703
ALL,6,autonomous,position_rmse_m,ALL,23,0.042284952029015
ALL,6,autonomous,position_rmse_m,ALL,42,0.04182326854865925
ALL,6,autonomous,position_rmse_m,Sep17,17,0.022409132990450543
ALL,6,autonomous,position_rmse_m,Sep17,23,0.022964185603312235
ALL,6,autonomous,position_rmse_m,Sep17,42,0.022140160445989744
ALL,6,autonomous,position_rmse_m,Sep7,17,0.059568825018065014
ALL,6,autonomous,position_rmse_m,Sep7,23,0.05945896662963969
ALL,6,autonomous,position_rmse_m,Sep7,42,0.05931936463992102
ALL,6,autonomous,velocity_rmse_m_s,ALL,17,0.15549573422887364
ALL,6,autonomous,velocity_rmse_m_s,ALL,23,0.16546905798394843
ALL,6,autonomous,velocity_rmse_m_s,ALL,42,0.16046252621829427
ALL,6,autonomous,velocity_rmse_m_s,Sep17,17,0.1709849589943874
ALL,6,autonomous,velocity_rmse_m_s,Sep17,23,0.1787694183121863
ALL,6,autonomous,velocity_rmse_m_s,Sep17,42,0.17304665183796716
ALL,6,autonomous,velocity_rmse_m_s,Sep7,17,0.1417275344373058
ALL,6,autonomous,velocity_rmse_m_s,Sep7,23,0.15364651546995922
ALL,6,autonomous,velocity_rmse_m_s,Sep7,42,0.149276636778585
ALL,7,autonomous,attitude_error_deg,ALL,17,1.686611572134849
ALL,7,autonomous,attitude_error_deg,ALL,23,1.7378482474696018
ALL,7,autonomous,attitude_error_deg,ALL,42,1.7361002384295574
ALL,7,autonomous,attitude_error_deg,Sep17,17,1.792720763240198
ALL,7,autonomous,attitude_error_deg,Sep17,23,1.8217406756962973
ALL,7,autonomous,attitude_error_deg,Sep17,42,1.8416784322811572
ALL,7,autonomous,attitude_error_deg,Sep7,17,1.5922922911523163
ALL,7,autonomous,attitude_error_deg,Sep7,23,1.6632772001569833
ALL,7,autonomous,attitude_error_deg,Sep7,42,1.642252955005913
ALL,7,autonomous,body_rate_rmse_rad_s,ALL,17,0.5576873208165423
ALL,7,autonomous,body_rate_rmse_rad_s,ALL,23,0.5572812341104538
ALL,7,autonomous,body_rate_rmse_rad_s,ALL,42,0.5629970784023304
ALL,7,autonomous,body_rate_rmse_rad_s,Sep17,17,0.5350516022719527
ALL,7,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5371108824497138
ALL,7,autonomous,body_rate_rmse_rad_s,Sep17,42,0.5406410023105981
ALL,7,autonomous,body_rate_rmse_rad_s,Sep7,17,0.577807959522844
ALL,7,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5752104355866671
ALL,7,autonomous,body_rate_rmse_rad_s,Sep7,42,0.5828691460394259
ALL,7,autonomous,position_rmse_m,ALL,17,0.04872988102079821
ALL,7,autonomous,position_rmse_m,ALL,23,0.04904038848419209
ALL,7,autonomous,position_rmse_m,ALL,42,0.048421145942333495
ALL,7,autonomous,position_rmse_m,Sep17,17,0.02618887286929468
ALL,7,autonomous,position_rmse_m,Sep17,23,0.026980675323824307
ALL,7,autonomous,position_rmse_m,Sep17,42,0.02590008802528887
ALL,7,autonomous,position_rmse_m,Sep7,17,0.06876633271102357
ALL,7,autonomous,position_rmse_m,Sep7,23,0.06864902240451902
ALL,7,autonomous,position_rmse_m,Sep7,42,0.0684398640908176
ALL,7,autonomous,velocity_rmse_m_s,ALL,17,0.16896110314552062
ALL,7,autonomous,velocity_rmse_m_s,ALL,23,0.1785844074142684
ALL,7,autonomous,velocity_rmse_m_s,ALL,42,0.1741671170494266
ALL,7,autonomous,velocity_rmse_m_s,Sep17,17,0.19120999295979343
ALL,7,autonomous,velocity_rmse_m_s,Sep17,23,0.1956801380887641
ALL,7,autonomous,velocity_rmse_m_s,Sep17,42,0.19201101557584765
ALL,7,autonomous,velocity_rmse_m_s,Sep7,17,0.14918431219950035
ALL,7,autonomous,velocity_rmse_m_s,Sep7,23,0.1633882023702722
ALL,7,autonomous,velocity_rmse_m_s,Sep7,42,0.15830587391483014
ALL,8,autonomous,attitude_error_deg,ALL,17,1.8371771627306699
ALL,8,autonomous,attitude_error_deg,ALL,23,1.8881825383432576
ALL,8,autonomous,attitude_error_deg,ALL,42,1.896291929173528
ALL,8,autonomous,attitude_error_deg,Sep17,17,1.9587943051052856
ALL,8,autonomous,attitude_error_deg,Sep17,23,2.004175507965504
ALL,8,autonomous,attitude_error_deg,Sep17,42,2.032056869695957
ALL,8,autonomous,attitude_error_deg,Sep7,17,1.729073036175456
ALL,8,autonomous,attitude_error_deg,Sep7,23,1.7850776764568168
ALL,8,autonomous,attitude_error_deg,Sep7,42,1.7756119820424798
ALL,8,autonomous,body_rate_rmse_rad_s,ALL,17,0.5647842340388349
ALL,8,autonomous,body_rate_rmse_rad_s,ALL,23,0.5638633757641042
ALL,8,autonomous,body_rate_rmse_rad_s,ALL,42,0.5689004615389246
ALL,8,autonomous,body_rate_rmse_rad_s,Sep17,17,0.5301529025101563
ALL,8,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5289541626890488
ALL,8,autonomous,body_rate_rmse_rad_s,Sep17,42,0.5311231376337111
ALL,8,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5955676398421047
ALL,8,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5948937873863754
ALL,8,autonomous,body_rate_rmse_rad_s,Sep7,42,0.6024803050102254
ALL,8,autonomous,position_rmse_m,ALL,17,0.05576036351351268
ALL,8,autonomous,position_rmse_m,ALL,23,0.05612611627886669
ALL,8,autonomous,position_rmse_m,ALL,42,0.0553775843766115
ALL,8,autonomous,position_rmse_m,Sep17,17,0.03054358578914066
ALL,8,autonomous,position_rmse_m,Sep17,23,0.031434611864351966
ALL,8,autonomous,position_rmse_m,Sep17,42,0.030194486477707467
ALL,8,autonomous,position_rmse_m,Sep7,17,0.0781752770462878
ALL,8,autonomous,position_rmse_m,Sep7,23,0.07807412020287978
ALL,8,autonomous,position_rmse_m,Sep7,42,0.07776256028674843
ALL,8,autonomous,velocity_rmse_m_s,ALL,17,0.17850649164108456
ALL,8,autonomous,velocity_rmse_m_s,ALL,23,0.18697907831230665
ALL,8,autonomous,velocity_rmse_m_s,ALL,42,0.18331836091980216
ALL,8,autonomous,velocity_rmse_m_s,Sep17,17,0.20612512893652155
ALL,8,autonomous,velocity_rmse_m_s,Sep17,23,0.20686259631238368
ALL,8,autonomous,velocity_rmse_m_s,Sep17,42,0.20507426420758318
ALL,8,autonomous,velocity_rmse_m_s,Sep7,17,0.15395659182291835
ALL,8,autonomous,velocity_rmse_m_s,Sep7,23,0.16930484009001595
ALL,8,autonomous,velocity_rmse_m_s,Sep7,42,0.16397978021955237
ALL,9,autonomous,attitude_error_deg,ALL,17,2.0019268186568078
ALL,9,autonomous,attitude_error_deg,ALL,23,2.050550992647824
ALL,9,autonomous,attitude_error_deg,ALL,42,2.0687752306466844
ALL,9,autonomous,attitude_error_deg,Sep17,17,2.153703074324161
ALL,9,autonomous,attitude_error_deg,Sep17,23,2.211007621080486
ALL,9,autonomous,attitude_error_deg,Sep17,42,2.248669590040568
ALL,9,autonomous,attitude_error_deg,Sep7,17,1.867014591396937
ALL,9,autonomous,attitude_error_deg,Sep7,23,1.9079228784854574
ALL,9,autonomous,attitude_error_deg,Sep7,42,1.908869133407677
ALL,9,autonomous,body_rate_rmse_rad_s,ALL,17,0.5611328671301362
ALL,9,autonomous,body_rate_rmse_rad_s,ALL,23,0.5645936275113187
ALL,9,autonomous,body_rate_rmse_rad_s,ALL,42,0.5642608719925168
ALL,9,autonomous,body_rate_rmse_rad_s,Sep17,17,0.5349307207099789
ALL,9,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5360709858278276
ALL,9,autonomous,body_rate_rmse_rad_s,Sep17,42,0.5324952095828464
ALL,9,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5844236639480538
ALL,9,autonomous,body_rate_rmse_rad_s,Sep7,23,0.589947086785533
ALL,9,autonomous,body_rate_rmse_rad_s,Sep7,42,0.5924970163566683
ALL,9,autonomous,position_rmse_m,ALL,17,0.06328857573399704
ALL,9,autonomous,position_rmse_m,ALL,23,0.06374205491000454
ALL,9,autonomous,position_rmse_m,ALL,42,0.06284947084161722
ALL,9,autonomous,position_rmse_m,Sep17,17,0.035415755034025574
ALL,9,autonomous,position_rmse_m,Sep17,23,0.036474985156195634
ALL,9,autonomous,position_rmse_m,Sep17,42,0.035018868744267656
ALL,9,autonomous,position_rmse_m,Sep7,17,0.08806441635619393
ALL,9,autonomous,position_rmse_m,Sep7,23,0.08797945024672356
ALL,9,autonomous,position_rmse_m,Sep7,42,0.08758778381703906
ALL,9,autonomous,velocity_rmse_m_s,ALL,17,0.1857395904277737
ALL,9,autonomous,velocity_rmse_m_s,ALL,23,0.1934159463842888
ALL,9,autonomous,velocity_rmse_m_s,ALL,42,0.19044229508401958
ALL,9,autonomous,velocity_rmse_m_s,Sep17,17,0.2154474149880367
ALL,9,autonomous,velocity_rmse_m_s,Sep17,23,0.21522543091907861
ALL,9,autonomous,velocity_rmse_m_s,Sep17,42,0.2143834761810075
ALL,9,autonomous,velocity_rmse_m_s,Sep7,17,0.15933263526309546
ALL,9,autonomous,velocity_rmse_m_s,Sep7,23,0.17402973790892007
ALL,9,autonomous,velocity_rmse_m_s,Sep7,42,0.1691612452200303
ALL,10,autonomous,attitude_error_deg,ALL,17,2.153924950052745
ALL,10,autonomous,attitude_error_deg,ALL,23,2.2065952760482856
ALL,10,autonomous,attitude_error_deg,ALL,42,2.2289348033561684
ALL,10,autonomous,attitude_error_deg,Sep17,17,2.315408116422238
ALL,10,autonomous,attitude_error_deg,Sep17,23,2.3854713925753384
ALL,10,autonomous,attitude_error_deg,Sep17,42,2.4276119983785844
ALL,10,autonomous,attitude_error_deg,Sep7,17,2.0103843577243063
ALL,10,autonomous,attitude_error_deg,Sep7,23,2.0475942835797944
ALL,10,autonomous,attitude_error_deg,Sep7,42,2.052332852225132
ALL,10,autonomous,body_rate_rmse_rad_s,ALL,17,0.5642465257049663
ALL,10,autonomous,body_rate_rmse_rad_s,ALL,23,0.5695336495342367
ALL,10,autonomous,body_rate_rmse_rad_s,ALL,42,0.5650685449125676
ALL,10,autonomous,body_rate_rmse_rad_s,Sep17,17,0.5362156869348988
ALL,10,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5374336609896214
