group,interval,axis,cohort,seed,n_origins,n_direction,n_flights,n_direction_flights
common_high,early,vz,Sep7,23,191,151,9,9
common_high,early,vz,Sep7,42,191,151,9,9
common_high,extended,p,ALL,17,440,340,17,17
common_high,extended,p,ALL,23,440,340,17,17
common_high,extended,p,ALL,42,440,340,17,17
common_high,extended,p,Sep17,17,249,195,8,8
common_high,extended,p,Sep17,23,249,195,8,8
common_high,extended,p,Sep17,42,249,195,8,8
common_high,extended,p,Sep7,17,191,145,9,9
common_high,extended,p,Sep7,23,191,145,9,9
common_high,extended,p,Sep7,42,191,145,9,9
common_high,extended,q,ALL,17,440,334,17,17
common_high,extended,q,ALL,23,440,334,17,17
common_high,extended,q,ALL,42,440,334,17,17
common_high,extended,q,Sep17,17,249,192,8,8
common_high,extended,q,Sep17,23,249,192,8,8
common_high,extended,q,Sep17,42,249,192,8,8
common_high,extended,q,Sep7,17,191,142,9,9
common_high,extended,q,Sep7,23,191,142,9,9
common_high,extended,q,Sep7,42,191,142,9,9
common_high,extended,r,ALL,17,440,354,17,17
common_high,extended,r,ALL,23,440,354,17,17
common_high,extended,r,ALL,42,440,354,17,17
common_high,extended,r,Sep17,17,249,201,8,8
common_high,extended,r,Sep17,23,249,201,8,8
common_high,extended,r,Sep17,42,249,201,8,8
common_high,extended,r,Sep7,17,191,153,9,9
common_high,extended,r,Sep7,23,191,153,9,9
common_high,extended,r,Sep7,42,191,153,9,9
common_high,extended,vx,ALL,17,440,398,17,17
common_high,extended,vx,ALL,23,440,398,17,17
common_high,extended,vx,ALL,42,440,398,17,17
common_high,extended,vx,Sep17,17,249,227,8,8
common_high,extended,vx,Sep17,23,249,227,8,8
common_high,extended,vx,Sep17,42,249,227,8,8
common_high,extended,vx,Sep7,17,191,171,9,9
common_high,extended,vx,Sep7,23,191,171,9,9
common_high,extended,vx,Sep7,42,191,171,9,9
common_high,extended,vy,ALL,17,440,406,17,17
common_high,extended,vy,ALL,23,440,406,17,17
