seed,condition,metric,horizon,kind,group,flight,cohort,n_origins,value
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,0.4076336911068177
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,0.5341071720823035
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,99,0.498589798734171
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,93,0.5860029544334776
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,46,0.33736364339865144
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,39,0.5368467760347404
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,87,0.44113912759411017
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,91,0.5155339030364847
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,44,0.4228270956200754
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,84,0.6192847167878022
17,original,p_rad_s,100ms,endpoint,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,104,0.47365305752006737
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,25,0.4401112806078011
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34,0.44871937420432023
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,29,0.278508752400015
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,19,0.39038181956716145
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,34,0.43805350172993646
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,21,0.372916513134662
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,18,0.3618033861372537
17,original,p_rad_s,100ms,endpoint,low,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,21,0.5083828385789422
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,45,0.4366319789127332
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,59,0.4590941426764404
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,84,0.4780729440876134
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,103,0.45240053169620353
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,47,0.49661654002059097
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,46,0.4441795851279736
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,78,0.5131011127532147
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,95,0.5102584537885525
17,original,p_rad_s,100ms,endpoint,middle,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,52,0.5615857949926205
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,71,0.4736308626484489
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,77,0.5290090889128726
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,88,0.3657521515345061
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,76,0.4654659510666696
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,69,0.374455308630417
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,93,0.41740443330515753
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,95,0.4198547345297117
17,original,p_rad_s,100ms,endpoint,middle,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,62,0.5047809123317908
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,24,0.45829754343361484
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,30,0.5143938852520561
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,30,0.4739650037494231
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,19,0.503996631865586
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,16,0.5494194830034819
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,18,0.4916614679871544
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,18,0.4719539561171096
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,22,0.5821828407667721
17,original,p_rad_s,100ms,endpoint,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,8,0.5778411375644376
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,34,0.5776397111370486
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34,0.44947285901152373
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,27,0.5097764717943627
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,58,0.505445906244295
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,35,0.5513232232847681
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,17,0.44417096673104084
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,33,0.3953319575645683
17,original,p_rad_s,100ms,endpoint,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,31,0.6036310744897442
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,0.48865231146992133
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,0.4945519573092956
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,0.5833123433878056
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,0.501062091035732
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,0.5797040483777651
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,0.5465328888859994
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,0.5553051553002601
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,0.5183986745982764
17,original,p_rad_s,200ms,endpoint,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,0.5052769888999615
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,0.4662219927066592
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,0.4853676472424532
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,0.4359431383630518
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,0.4905483785069589
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,0.44240206093473483
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,0.3743529495376977
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,0.5384413122814165
17,original,p_rad_s,200ms,endpoint,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,0.47365350750203944
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,99,0.5359659312744726
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,93,0.4848890108780285
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,46,0.5127431556637361
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,39,0.42683583555625637
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,87,0.5219266550980659
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,91,0.576174654666879
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,44,0.5713985729174933
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,84,0.5630516498900665
17,original,p_rad_s,200ms,endpoint,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,104,0.5043569526222289
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,25,0.5085464847445638
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34,0.5705045802125859
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,29,0.4013295799106546
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,19,0.5357515837914295
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,34,0.4264655982988911
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,21,0.319804099946867
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,18,0.5325213002241934
17,original,p_rad_s,200ms,endpoint,low,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,21,0.39259765482681985
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,45,0.38682687097326063
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,59,0.5140358534460672
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,84,0.6326642459862674
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,103,0.5313079163624803
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,47,0.5898257310739143
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,46,0.5526567228922938
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,78,0.5529102914254505
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,95,0.4774445089752442
17,original,p_rad_s,200ms,endpoint,middle,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,52,0.5175933033288671
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,71,0.40715560048182936
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,77,0.4604739002072778
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,88,0.39611282560526745
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,76,0.4705964573245528
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,69,0.43709901009518937
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,93,0.38243286703730256
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,95,0.5481071650441396
17,original,p_rad_s,200ms,endpoint,middle,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,62,0.46603689059976633
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,24,0.45382434922578596
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,30,0.48505002240627826
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,30,0.5392801170061241
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,19,0.4724036730421987
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,16,0.8045975075247591
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,18,0.33652949019582007
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,18,0.5249196785226692
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,22,0.5103623157877532
17,original,p_rad_s,200ms,endpoint,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,8,0.4306896617083022
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,34,0.5429121197146131
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34,0.4461073339116094
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,27,0.5737503112350139
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,58,0.5005680652853668
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,35,0.4672959027166969
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,17,0.3917444946651977
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,33,0.5129747137645939
17,original,p_rad_s,200ms,endpoint,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,31,0.5350018537316283
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,0.5679533177634598
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,0.5480085273123873
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,0.6855887940517508
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,0.5496792660975702
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,0.5240440381469168
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,0.5484732507479463
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,0.5566122874894517
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,0.522523081170811
17,original,p_rad_s,500ms,endpoint,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,0.5339794428610245
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,0.5312025042737144
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,0.5039272661737739
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,0.49086082810331855
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,0.4809149258192525
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,0.41307225929621044
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,0.41327750148729203
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,0.4841455985255234
17,original,p_rad_s,500ms,endpoint,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,0.5441541429280213
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,99,0.5884817249425823
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,93,0.567498516140746
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,46,0.6754514998879262
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,39,0.5120583509097006
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,87,0.5428703453049792
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,91,0.49037369584046203
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,44,0.5722915903240702
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,84,0.47513473710078014
17,original,p_rad_s,500ms,endpoint,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,104,0.5427326960524209
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,25,0.5111263190058823
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34,0.4507250831186609
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,29,0.5246041214785515
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,19,0.42482517706172823
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,34,0.40603713489795196
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,21,0.29523917061014016
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,18,0.5045620899137667
17,original,p_rad_s,500ms,endpoint,low,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,21,0.4166916336351857
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,45,0.5003101340248977
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,59,0.4691498306275021
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,84,0.6315672764266472
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,103,0.5449399418438661
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,47,0.5261231727118287
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,46,0.5753167304363229
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,78,0.5731890064378725
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,95,0.4502285072661689
17,original,p_rad_s,500ms,endpoint,middle,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,52,0.5471465858713321
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,71,0.5399742656806296
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,77,0.509926374793119
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,88,0.5006646484570001
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,76,0.4351850929692318
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,69,0.3722744547553007
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,93,0.4228519413701916
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,95,0.4836074880192365
17,original,p_rad_s,500ms,endpoint,middle,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,62,0.49273226986552493
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,24,0.6001110826589663
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,30,0.6250323218511294
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,30,0.8309158548173342
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,19,0.6420745780154063
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,16,0.39873595550262636
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,18,0.7272322720058589
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,18,0.4305730339551702
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,22,0.8701830675804442
17,original,p_rad_s,500ms,endpoint,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,8,0.2647315378396529
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,34,0.5272016435902019
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34,0.5394050829281585
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,27,0.4152814211701287
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,58,0.5502870604778454
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,35,0.48927700419789
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,17,0.47991033518753207
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,33,0.4742210443091296
17,original,p_rad_s,500ms,endpoint,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,31,0.6969259582642027
17,original,p_rad_s,1s,endpoint,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,0.5251594172110202
17,original,p_rad_s,1s,endpoint,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,0.4937963154959712
17,original,p_rad_s,1s,endpoint,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,0.5626259867310198
17,original,p_rad_s,1s,endpoint,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,0.5436839676722532
17,original,p_rad_s,1s,endpoint,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,0.4802331997782848
17,original,p_rad_s,1s,endpoint,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,0.519569732969547
