condition,metric,horizon,kind,group,cohort,seed,value
original,attitude_deg,500ms,endpoint,ALL,Sep7,42,3.624536907851976
original,attitude_deg,500ms,endpoint,high,ALL,17,5.039307919635567
original,attitude_deg,500ms,endpoint,high,ALL,23,5.073581604007131
original,attitude_deg,500ms,endpoint,high,ALL,42,5.075917607206997
original,attitude_deg,500ms,endpoint,high,Sep17,17,5.659066925227521
original,attitude_deg,500ms,endpoint,high,Sep17,23,5.738490002499322
original,attitude_deg,500ms,endpoint,high,Sep17,42,5.916036354247855
original,attitude_deg,500ms,endpoint,high,Sep7,17,4.488411025776051
original,attitude_deg,500ms,endpoint,high,Sep7,23,4.482551916458518
original,attitude_deg,500ms,endpoint,high,Sep7,42,4.3291453876151245
original,attitude_deg,500ms,endpoint,low,ALL,17,3.356227742489765
original,attitude_deg,500ms,endpoint,low,ALL,23,3.4061972368989384
original,attitude_deg,500ms,endpoint,low,ALL,42,3.4534691421853476
original,attitude_deg,500ms,endpoint,low,Sep17,17,3.4257468550727332
original,attitude_deg,500ms,endpoint,low,Sep17,23,3.371229958371479
original,attitude_deg,500ms,endpoint,low,Sep17,42,3.5869226822786144
original,attitude_deg,500ms,endpoint,low,Sep7,17,3.294432975749349
original,attitude_deg,500ms,endpoint,low,Sep7,23,3.4372792622566806
original,attitude_deg,500ms,endpoint,low,Sep7,42,3.3348437732135547
original,attitude_deg,500ms,endpoint,middle,ALL,17,3.9445923986845095
original,attitude_deg,500ms,endpoint,middle,ALL,23,3.955097227258433
original,attitude_deg,500ms,endpoint,middle,ALL,42,4.031118754155826
original,attitude_deg,500ms,endpoint,middle,Sep17,17,4.2592745456789505
original,attitude_deg,500ms,endpoint,middle,Sep17,23,4.173781223656603
original,attitude_deg,500ms,endpoint,middle,Sep17,42,4.374095994790979
original,attitude_deg,500ms,endpoint,middle,Sep7,17,3.6648749346894514
original,attitude_deg,500ms,endpoint,middle,Sep7,23,3.760711452682282
original,attitude_deg,500ms,endpoint,middle,Sep7,42,3.7262500958134677
original,p_rad_s,0_500ms,interval,ALL,ALL,17,0.5022227305909771
original,p_rad_s,0_500ms,interval,ALL,ALL,23,0.49723798678144737
original,p_rad_s,0_500ms,interval,ALL,ALL,42,0.5028699242883611
original,p_rad_s,0_500ms,interval,ALL,Sep17,17,0.47472263132175074
original,p_rad_s,0_500ms,interval,ALL,Sep17,23,0.46460471627165567
original,p_rad_s,0_500ms,interval,ALL,Sep17,42,0.4716035963126672
original,p_rad_s,0_500ms,interval,ALL,Sep7,17,0.5266672632747338
original,p_rad_s,0_500ms,interval,ALL,Sep7,23,0.5262453383457069
original,p_rad_s,0_500ms,interval,ALL,Sep7,42,0.5306622158223112
original,p_rad_s,0_500ms,interval,high,ALL,17,0.5321620935511685
original,p_rad_s,0_500ms,interval,high,ALL,23,0.5282789322053265
original,p_rad_s,0_500ms,interval,high,ALL,42,0.5339485181856221
original,p_rad_s,0_500ms,interval,high,Sep17,17,0.5139956173042758
original,p_rad_s,0_500ms,interval,high,Sep17,23,0.5107257829333536
original,p_rad_s,0_500ms,interval,high,Sep17,42,0.5172368693054665
original,p_rad_s,0_500ms,interval,high,Sep7,17,0.5483100724372952
original,p_rad_s,0_500ms,interval,high,Sep7,23,0.5438817315581913
original,p_rad_s,0_500ms,interval,high,Sep7,42,0.5488033171902049
original,p_rad_s,0_500ms,interval,low,ALL,17,0.49275707407145575
original,p_rad_s,0_500ms,interval,low,ALL,23,0.48762072563696807
original,p_rad_s,0_500ms,interval,low,ALL,42,0.49221881175107335
original,p_rad_s,0_500ms,interval,low,Sep17,17,0.4665629405431881
original,p_rad_s,0_500ms,interval,low,Sep17,23,0.4560593031240309
original,p_rad_s,0_500ms,interval,low,Sep17,42,0.45920289676843556
original,p_rad_s,0_500ms,interval,low,Sep7,17,0.5160407483188049
original,p_rad_s,0_500ms,interval,low,Sep7,23,0.5156753234262454
original,p_rad_s,0_500ms,interval,low,Sep7,42,0.5215662917356403
original,p_rad_s,0_500ms,interval,middle,ALL,17,0.4979769881499245
original,p_rad_s,0_500ms,interval,middle,ALL,23,0.4927100077161267
original,p_rad_s,0_500ms,interval,middle,ALL,42,0.49737842666661164
original,p_rad_s,0_500ms,interval,middle,Sep17,17,0.46078864702331024
original,p_rad_s,0_500ms,interval,middle,Sep17,23,0.4477059179342004
original,p_rad_s,0_500ms,interval,middle,Sep17,42,0.4561650520252697
original,p_rad_s,0_500ms,interval,middle,Sep7,17,0.5310332913735816
original,p_rad_s,0_500ms,interval,middle,Sep7,23,0.5327136430778391
original,p_rad_s,0_500ms,interval,middle,Sep7,42,0.5340125374589156
original,p_rad_s,100ms,endpoint,ALL,ALL,17,0.4762783239684384
original,p_rad_s,100ms,endpoint,ALL,ALL,23,0.47308855901810576
original,p_rad_s,100ms,endpoint,ALL,ALL,42,0.4811185619357694
original,p_rad_s,100ms,endpoint,ALL,Sep17,17,0.45525084061902554
original,p_rad_s,100ms,endpoint,ALL,Sep17,23,0.4464973891431706
original,p_rad_s,100ms,endpoint,ALL,Sep17,42,0.4575412196725678
original,p_rad_s,100ms,endpoint,ALL,Sep7,17,0.49496942027902757
original,p_rad_s,100ms,endpoint,ALL,Sep7,23,0.4967251544624926
original,p_rad_s,100ms,endpoint,ALL,Sep7,42,0.5020761995030596
original,p_rad_s,100ms,endpoint,high,ALL,17,0.5094414188233521
original,p_rad_s,100ms,endpoint,high,ALL,23,0.5107003326505719
original,p_rad_s,100ms,endpoint,high,ALL,42,0.5184281873460042
original,p_rad_s,100ms,endpoint,high,Sep17,17,0.5045990212821689
original,p_rad_s,100ms,endpoint,high,Sep17,23,0.49702588914235185
original,p_rad_s,100ms,endpoint,high,Sep17,42,0.5127005021174789
original,p_rad_s,100ms,endpoint,high,Sep7,17,0.5137457721932929
original,p_rad_s,100ms,endpoint,high,Sep7,23,0.5228553935467676
original,p_rad_s,100ms,endpoint,high,Sep7,42,0.5235194631046932
original,p_rad_s,100ms,endpoint,low,ALL,17,0.4511834435011572
original,p_rad_s,100ms,endpoint,low,ALL,23,0.45287871990245115
original,p_rad_s,100ms,endpoint,low,ALL,42,0.45435991709262846
original,p_rad_s,100ms,endpoint,low,Sep17,17,0.40485968329501154
original,p_rad_s,100ms,endpoint,low,Sep17,23,0.41002805176652024
original,p_rad_s,100ms,endpoint,low,Sep17,42,0.40517970339169473
original,p_rad_s,100ms,endpoint,low,Sep7,17,0.4923601192399534
original,p_rad_s,100ms,endpoint,low,Sep7,23,0.49096820268994534
original,p_rad_s,100ms,endpoint,low,Sep7,42,0.4980756626045696
original,p_rad_s,100ms,endpoint,middle,ALL,17,0.46484085453032453
original,p_rad_s,100ms,endpoint,middle,ALL,23,0.4624797456834378
original,p_rad_s,100ms,endpoint,middle,ALL,42,0.4710709811163942
original,p_rad_s,100ms,endpoint,middle,Sep17,17,0.4437941803699468
original,p_rad_s,100ms,endpoint,middle,Sep17,23,0.4308426523508344
original,p_rad_s,100ms,endpoint,middle,Sep17,42,0.4468178454910041
original,p_rad_s,100ms,endpoint,middle,Sep7,17,0.4835490093395492
original,p_rad_s,100ms,endpoint,middle,Sep7,23,0.4906016064235297
original,p_rad_s,100ms,endpoint,middle,Sep7,42,0.4926293238945188
original,p_rad_s,1s,endpoint,ALL,ALL,17,0.5146079867613828
original,p_rad_s,1s,endpoint,ALL,ALL,23,0.5141008205211635
original,p_rad_s,1s,endpoint,ALL,ALL,42,0.5184803036774818
original,p_rad_s,1s,endpoint,ALL,Sep17,17,0.4987098657638183
original,p_rad_s,1s,endpoint,ALL,Sep17,23,0.4950106325132614
original,p_rad_s,1s,endpoint,ALL,Sep17,42,0.4976883174289376
original,p_rad_s,1s,endpoint,ALL,Sep7,17,0.5287396498703291
original,p_rad_s,1s,endpoint,ALL,Sep7,23,0.5310698765281875
original,p_rad_s,1s,endpoint,ALL,Sep7,42,0.5369620692317433
original,p_rad_s,1s,endpoint,high,ALL,17,0.5310504260183904
original,p_rad_s,1s,endpoint,high,ALL,23,0.5284622458705835
original,p_rad_s,1s,endpoint,high,ALL,42,0.5241776793371834
original,p_rad_s,1s,endpoint,high,Sep17,17,0.5117921077679385
original,p_rad_s,1s,endpoint,high,Sep17,23,0.5115452550275625
original,p_rad_s,1s,endpoint,high,Sep17,42,0.5045119279086788
original,p_rad_s,1s,endpoint,high,Sep7,17,0.5481689311299033
original,p_rad_s,1s,endpoint,high,Sep7,23,0.54349957106438
original,p_rad_s,1s,endpoint,high,Sep7,42,0.541658347273632
original,p_rad_s,1s,endpoint,low,ALL,17,0.49669387319498304
original,p_rad_s,1s,endpoint,low,ALL,23,0.5047459375499932
original,p_rad_s,1s,endpoint,low,ALL,42,0.5056061577773405
original,p_rad_s,1s,endpoint,low,Sep17,17,0.4842425409606374
original,p_rad_s,1s,endpoint,low,Sep17,23,0.4932268925672833
original,p_rad_s,1s,endpoint,low,Sep17,42,0.4868394542924518
original,p_rad_s,1s,endpoint,low,Sep7,17,0.507761724069957
original,p_rad_s,1s,endpoint,low,Sep7,23,0.5149850886457354
original,p_rad_s,1s,endpoint,low,Sep7,42,0.5222876719861305
original,p_rad_s,1s,endpoint,middle,ALL,17,0.5127976955213567
original,p_rad_s,1s,endpoint,middle,ALL,23,0.5070663006887625
original,p_rad_s,1s,endpoint,middle,ALL,42,0.5116947523214236
original,p_rad_s,1s,endpoint,middle,Sep17,17,0.48989189010480827
original,p_rad_s,1s,endpoint,middle,Sep17,23,0.48280315931068424
original,p_rad_s,1s,endpoint,middle,Sep17,42,0.48872759222399653
original,p_rad_s,1s,endpoint,middle,Sep7,17,0.5331584114471775
original,p_rad_s,1s,endpoint,middle,Sep7,23,0.5286335374692764
original,p_rad_s,1s,endpoint,middle,Sep7,42,0.5321100057413588
original,p_rad_s,200ms,endpoint,ALL,ALL,17,0.4988074968435311
original,p_rad_s,200ms,endpoint,ALL,ALL,23,0.49911492450230904
original,p_rad_s,200ms,endpoint,ALL,ALL,42,0.5005209740658307
original,p_rad_s,200ms,endpoint,ALL,Sep17,17,0.4633663733843765
original,p_rad_s,200ms,endpoint,ALL,Sep17,23,0.45423989288750205
original,p_rad_s,200ms,endpoint,ALL,Sep17,42,0.46210062442706473
original,p_rad_s,200ms,endpoint,ALL,Sep7,17,0.5303107176961129
original,p_rad_s,200ms,endpoint,ALL,Sep7,23,0.5390038414932485
original,p_rad_s,200ms,endpoint,ALL,Sep7,42,0.534672395966956
original,p_rad_s,200ms,endpoint,high,ALL,17,0.5016477417908477
original,p_rad_s,200ms,endpoint,high,ALL,23,0.49533407328510476
original,p_rad_s,200ms,endpoint,high,ALL,42,0.5046387451856089
original,p_rad_s,200ms,endpoint,high,Sep17,17,0.49629434937809
original,p_rad_s,200ms,endpoint,high,Sep17,23,0.4877236703557628
original,p_rad_s,200ms,endpoint,high,Sep17,42,0.5042061478923915
original,p_rad_s,200ms,endpoint,high,Sep7,17,0.5064063128244101
original,p_rad_s,200ms,endpoint,high,Sep7,23,0.5020988758889643
original,p_rad_s,200ms,endpoint,high,Sep7,42,0.5050232761129134
original,p_rad_s,200ms,endpoint,low,ALL,17,0.49322725297195485
original,p_rad_s,200ms,endpoint,low,ALL,23,0.4954704904318237
original,p_rad_s,200ms,endpoint,low,ALL,42,0.49499448087282627
original,p_rad_s,200ms,endpoint,low,Sep17,17,0.46094011024450066
original,p_rad_s,200ms,endpoint,low,Sep17,23,0.4585488601144837
original,p_rad_s,200ms,endpoint,low,Sep17,42,0.46149758038015537
original,p_rad_s,200ms,endpoint,low,Sep7,17,0.5219269353963586
original,p_rad_s,200ms,endpoint,low,Sep7,23,0.5282897173805705
original,p_rad_s,200ms,endpoint,low,Sep7,42,0.5247695035329782
original,p_rad_s,200ms,endpoint,middle,ALL,17,0.48960471534465705
original,p_rad_s,200ms,endpoint,middle,ALL,23,0.49676236384178957
original,p_rad_s,200ms,endpoint,middle,ALL,42,0.49071331910719457
original,p_rad_s,200ms,endpoint,middle,Sep17,17,0.44600183954941564
original,p_rad_s,200ms,endpoint,middle,Sep17,23,0.4345801136723501
original,p_rad_s,200ms,endpoint,middle,Sep17,42,0.4386969202882276
original,p_rad_s,200ms,endpoint,middle,Sep7,17,0.5283628271626495
original,p_rad_s,200ms,endpoint,middle,Sep7,23,0.5520354751035135
original,p_rad_s,200ms,endpoint,middle,Sep7,42,0.5369501180573873
original,p_rad_s,500_1000ms,interval,ALL,ALL,17,0.5147037238555805
original,p_rad_s,500_1000ms,interval,ALL,ALL,23,0.5094133842284293
original,p_rad_s,500_1000ms,interval,ALL,ALL,42,0.5162851941058885
original,p_rad_s,500_1000ms,interval,ALL,Sep17,17,0.49257895270286967
original,p_rad_s,500_1000ms,interval,ALL,Sep17,23,0.48187810027198985
original,p_rad_s,500_1000ms,interval,ALL,Sep17,42,0.4890694105866874
original,p_rad_s,500_1000ms,interval,ALL,Sep7,17,0.5343701871024346
original,p_rad_s,500_1000ms,interval,ALL,Sep7,23,0.5338891921897088
original,p_rad_s,500_1000ms,interval,ALL,Sep7,42,0.5404770016785116
original,p_rad_s,500_1000ms,interval,high,ALL,17,0.5451132841362378
original,p_rad_s,500_1000ms,interval,high,ALL,23,0.5391378215951943
original,p_rad_s,500_1000ms,interval,high,ALL,42,0.5461547720383259
original,p_rad_s,500_1000ms,interval,high,Sep17,17,0.5261867184345934
original,p_rad_s,500_1000ms,interval,high,Sep17,23,0.5176349445845656
original,p_rad_s,500_1000ms,interval,high,Sep17,42,0.5274013209002831
original,p_rad_s,500_1000ms,interval,high,Sep7,17,0.561936898093255
original,p_rad_s,500_1000ms,interval,high,Sep7,23,0.5582514900490865
original,p_rad_s,500_1000ms,interval,high,Sep7,42,0.5628245063832529
original,p_rad_s,500_1000ms,interval,low,ALL,17,0.4995343240982552
original,p_rad_s,500_1000ms,interval,low,ALL,23,0.4961358824113693
original,p_rad_s,500_1000ms,interval,low,ALL,42,0.5026278395363896
original,p_rad_s,500_1000ms,interval,low,Sep17,17,0.4808732628342951
original,p_rad_s,500_1000ms,interval,low,Sep17,23,0.4714249209661002
original,p_rad_s,500_1000ms,interval,low,Sep17,42,0.4765325730728933
original,p_rad_s,500_1000ms,interval,low,Sep7,17,0.5161219341106642
original,p_rad_s,500_1000ms,interval,low,Sep7,23,0.5181011814738308
