condition,metric,horizon,kind,group,cohort,mean,std
original,attitude_deg,1s,endpoint,low,Sep7,5.536773645341363,0.09888025851922906
original,attitude_deg,1s,endpoint,middle,ALL,6.712615885944532,0.19349686976349856
original,attitude_deg,1s,endpoint,middle,Sep17,7.3906750086493505,0.4150779147988819
original,attitude_deg,1s,endpoint,middle,Sep7,6.109896665762471,0.05172439387949433
original,attitude_deg,200ms,endpoint,ALL,ALL,2.196485009819066,0.038513408516639334
original,attitude_deg,200ms,endpoint,ALL,Sep17,2.376163835792054,0.05667804461582944
original,attitude_deg,200ms,endpoint,ALL,Sep7,2.0367704978430776,0.022973567441240322
original,attitude_deg,200ms,endpoint,high,ALL,2.749382054709997,0.06712873635968439
original,attitude_deg,200ms,endpoint,high,Sep17,3.114173144886355,0.11390798772345435
original,attitude_deg,200ms,endpoint,high,Sep7,2.4251233078865675,0.030305919800755234
original,attitude_deg,200ms,endpoint,low,ALL,1.8485137629463653,0.03146820615507269
original,attitude_deg,200ms,endpoint,low,Sep17,1.7935611134767921,0.04532228724680337
original,attitude_deg,200ms,endpoint,low,Sep7,1.8973605624748748,0.019205687282539168
original,attitude_deg,200ms,endpoint,middle,ALL,2.1036265067178914,0.025873532435266394
original,attitude_deg,200ms,endpoint,middle,Sep17,2.173689314194595,0.03127687816560703
original,attitude_deg,200ms,endpoint,middle,Sep7,2.041348455627489,0.021939220006403554
original,attitude_deg,500_1000ms,interval,ALL,ALL,5.479808427480632,0.06918469255766264
original,attitude_deg,500_1000ms,interval,ALL,Sep17,6.17309791728531,0.20150576299090045
original,attitude_deg,500_1000ms,interval,ALL,Sep7,4.863551103209807,0.04906047350767092
original,attitude_deg,500_1000ms,interval,high,ALL,6.542664631897554,0.02459074327003565
original,attitude_deg,500_1000ms,interval,high,Sep17,7.204597983845258,0.07241892091475172
original,attitude_deg,500_1000ms,interval,high,Sep7,5.95427943016626,0.02647455685918269
original,attitude_deg,500_1000ms,interval,low,ALL,4.71795261753886,0.08176697056666907
original,attitude_deg,500_1000ms,interval,low,Sep17,4.949947536430717,0.26253035550370196
original,attitude_deg,500_1000ms,interval,low,Sep7,4.51173491185721,0.0860574474961813
original,attitude_deg,500_1000ms,interval,middle,ALL,5.449359185711742,0.11299031052861985
original,attitude_deg,500_1000ms,interval,middle,Sep17,5.982112552275152,0.2492301804124964
original,attitude_deg,500_1000ms,interval,middle,Sep7,4.975800637655378,0.021238357239669936
original,attitude_deg,500ms,endpoint,ALL,ALL,4.078397323464926,0.04607174281450127
original,attitude_deg,500ms,endpoint,ALL,Sep17,4.56950906185081,0.10540376893244352
original,attitude_deg,500ms,endpoint,ALL,Sep7,3.641853556010805,0.05666260393713822
original,attitude_deg,500ms,endpoint,high,ALL,5.062935710283232,0.020495575032305355
original,attitude_deg,500ms,endpoint,high,Sep17,5.771197760658232,0.13157001917456554
original,attitude_deg,500ms,endpoint,high,Sep7,4.4333694432832305,0.09030820906999576
original,attitude_deg,500ms,endpoint,low,ALL,3.4052980405246838,0.04862693563529011
original,attitude_deg,500ms,endpoint,low,Sep17,3.4612998319076085,0.11215546535049388
original,attitude_deg,500ms,endpoint,low,Sep7,3.355518670406528,0.07363323925163619
original,attitude_deg,500ms,endpoint,middle,ALL,3.9769361266995893,0.04721658283260103
original,attitude_deg,500ms,endpoint,middle,Sep17,4.269050588042178,0.1005145767382524
original,attitude_deg,500ms,endpoint,middle,Sep7,3.7172788277284003,0.048544024179482045
original,p_rad_s,0_500ms,interval,ALL,ALL,0.5007768805535951,0.003081808197859397
original,p_rad_s,0_500ms,interval,ALL,Sep17,0.47031031463535783,0.005181455815008276
original,p_rad_s,0_500ms,interval,ALL,Sep7,0.5278582724809172,0.00243743284168898
original,p_rad_s,0_500ms,interval,high,ALL,0.531463181314039,0.0028986910896813384
original,p_rad_s,0_500ms,interval,high,Sep17,0.5139860898476987,0.0032555536419479484
original,p_rad_s,0_500ms,interval,high,Sep7,0.5469983737285639,0.0027103351103095
original,p_rad_s,0_500ms,interval,low,ALL,0.49086553715316567,0.002822947557628816
original,p_rad_s,0_500ms,interval,low,Sep17,0.46060838014521815,0.005391023780330493
original,p_rad_s,0_500ms,interval,low,Sep7,0.5177607878268969,0.0033007239868886045
original,p_rad_s,0_500ms,interval,middle,ALL,0.4960218075108876,0.002883675150352448
original,p_rad_s,0_500ms,interval,middle,Sep17,0.45488653899426007,0.006634410055355816
original,p_rad_s,0_500ms,interval,middle,Sep7,0.5325864906367788,0.0014936875900586435
original,p_rad_s,100ms,endpoint,ALL,ALL,0.47682848164077124,0.004043172246237063
original,p_rad_s,100ms,endpoint,ALL,Sep17,0.45309648314492135,0.005828592478907998
original,p_rad_s,100ms,endpoint,ALL,Sep7,0.4979235914148599,0.00370185981384801
original,p_rad_s,100ms,endpoint,high,ALL,0.5128566462733094,0.00486598072844874
original,p_rad_s,100ms,endpoint,high,Sep17,0.5047751375139998,0.007838790447214488
original,p_rad_s,100ms,endpoint,high,Sep7,0.5200402096149178,0.005461245639550178
original,p_rad_s,100ms,endpoint,low,ALL,0.4528073601654123,0.001589438667700417
original,p_rad_s,100ms,endpoint,low,Sep17,0.4066891461510755,0.0028960009059402153
original,p_rad_s,100ms,endpoint,low,Sep7,0.49380132817815614,0.0037665380672660493
original,p_rad_s,100ms,endpoint,middle,ALL,0.4661305271100522,0.004438442642222317
original,p_rad_s,100ms,endpoint,middle,Sep17,0.44048489273726177,0.008486179201696887
original,p_rad_s,100ms,endpoint,middle,Sep7,0.4889266465525326,0.004766250731065921
original,p_rad_s,1s,endpoint,ALL,ALL,0.5157297036533427,0.002395548949280792
original,p_rad_s,1s,endpoint,ALL,Sep17,0.49713627190200577,0.0019104050246899556
original,p_rad_s,1s,endpoint,ALL,Sep7,0.5322571985434199,0.004237846766299095
original,p_rad_s,1s,endpoint,high,ALL,0.5278967837420524,0.0034710909380356084
original,p_rad_s,1s,endpoint,high,Sep17,0.5092830969013933,0.004133796588686672
original,p_rad_s,1s,endpoint,high,Sep7,0.5444422831559718,0.003356107135225298
original,p_rad_s,1s,endpoint,low,ALL,0.5023486561741056,0.004916037287858469
original,p_rad_s,1s,endpoint,low,Sep17,0.4881029626067908,0.004623524996500299
original,p_rad_s,1s,endpoint,low,Sep7,0.5150114949006076,0.007263009960310427
original,p_rad_s,1s,endpoint,middle,ALL,0.5105195828438476,0.003041050666717303
original,p_rad_s,1s,endpoint,middle,Sep17,0.48714088054649635,0.003801416384523944
original,p_rad_s,1s,endpoint,middle,Sep7,0.5313006515526042,0.0023685252333703988
original,p_rad_s,200ms,endpoint,ALL,ALL,0.4994811318038903,0.0009135545351173382
original,p_rad_s,200ms,endpoint,ALL,Sep17,0.45990229689964773,0.004944455936026397
original,p_rad_s,200ms,endpoint,ALL,Sep7,0.5346623183854392,0.004346570660453883
original,p_rad_s,200ms,endpoint,high,ALL,0.5005401867538538,0.004750182987421196
original,p_rad_s,200ms,endpoint,high,Sep17,0.4960747225420814,0.008243433350048299
original,p_rad_s,200ms,endpoint,high,Sep7,0.5045094882754292,0.0021992013765616217
original,p_rad_s,200ms,endpoint,low,ALL,0.49456407475886827,0.001181933011020099
original,p_rad_s,200ms,endpoint,low,Sep17,0.4603288502463799,0.0015665142483465037
original,p_rad_s,200ms,endpoint,low,Sep7,0.5249953854366357,0.0031873995075065095
original,p_rad_s,200ms,endpoint,middle,ALL,0.49236013276454704,0.003852528964025819
original,p_rad_s,200ms,endpoint,middle,Sep17,0.4397596245033311,0.005784544985502863
original,p_rad_s,200ms,endpoint,middle,Sep7,0.5391161401078501,0.01198404371551361
original,p_rad_s,500_1000ms,interval,ALL,ALL,0.5134674340632994,0.0035988542740516827
original,p_rad_s,500_1000ms,interval,ALL,Sep17,0.4878421545205156,0.005454968265336943
original,p_rad_s,500_1000ms,interval,ALL,Sep7,0.5362454603235517,0.0036725053717550087
original,p_rad_s,500_1000ms,interval,high,ALL,0.5434686259232526,0.003786564915394397
original,p_rad_s,500_1000ms,interval,high,Sep17,0.523740994639814,0.005322753070105221
original,p_rad_s,500_1000ms,interval,high,Sep7,0.561004298175198,0.0024249590828523144
original,p_rad_s,500_1000ms,interval,low,ALL,0.499432682015338,0.0032471718714968192
original,p_rad_s,500_1000ms,interval,low,Sep17,0.47627691895776286,0.004729356223050703
original,p_rad_s,500_1000ms,interval,low,Sep7,0.5200155825109604,0.0051263470163302165
original,p_rad_s,500_1000ms,interval,middle,ALL,0.5111155391801098,0.003351930683816364
original,p_rad_s,500_1000ms,interval,middle,Sep17,0.47521724732458065,0.005734904604373026
original,p_rad_s,500_1000ms,interval,middle,Sep7,0.54302513194058,0.002369744154289963
original,p_rad_s,500ms,endpoint,ALL,ALL,0.5209094689846675,0.0034138782082701507
original,p_rad_s,500ms,endpoint,ALL,Sep17,0.4768416965332021,0.005201410480078375
original,p_rad_s,500ms,endpoint,ALL,Sep7,0.560080822274859,0.003928848811334786
original,p_rad_s,500ms,endpoint,high,ALL,0.5635997345418104,0.006749484932445068
original,p_rad_s,500ms,endpoint,high,Sep17,0.5182394560426101,0.0038493809676247385
original,p_rad_s,500ms,endpoint,high,Sep7,0.6039199820966551,0.011240013949752473
original,p_rad_s,500ms,endpoint,low,ALL,0.4954862891477476,0.005003990996177779
original,p_rad_s,500ms,endpoint,low,Sep17,0.4339292683883615,0.00707211130036353
original,p_rad_s,500ms,endpoint,low,Sep7,0.5502036409338688,0.004204321210090958
original,p_rad_s,500ms,endpoint,middle,ALL,0.5010135859609272,0.003147161594045026
original,p_rad_s,500ms,endpoint,middle,Sep17,0.4639461687063193,0.004953193288494249
original,p_rad_s,500ms,endpoint,middle,Sep7,0.5339624012983566,0.0021176801921571472
original,q_rad_s,0_500ms,interval,ALL,ALL,0.22430169920485846,0.0069325679724145575
original,q_rad_s,0_500ms,interval,ALL,Sep17,0.2311333855723859,0.010595137912688329
original,q_rad_s,0_500ms,interval,ALL,Sep7,0.2182290891003896,0.004739692960757282
original,q_rad_s,0_500ms,interval,high,ALL,0.27448155044222916,0.006873458919571915
original,q_rad_s,0_500ms,interval,high,Sep17,0.29789836826904004,0.011158058367258717
original,q_rad_s,0_500ms,interval,high,Sep7,0.25366660126284174,0.004095435463757632
original,q_rad_s,0_500ms,interval,low,ALL,0.2005014417776605,0.008189451962934786
original,q_rad_s,0_500ms,interval,low,Sep17,0.19291547674908124,0.013012993572039874
original,q_rad_s,0_500ms,interval,low,Sep7,0.2072445218030643,0.005191955790509906
original,q_rad_s,0_500ms,interval,middle,ALL,0.21493010688372985,0.006828615350053323
original,q_rad_s,0_500ms,interval,middle,Sep17,0.2107743796788565,0.010040716123091578
original,q_rad_s,0_500ms,interval,middle,Sep7,0.2186240866213951,0.004638061518815859
original,q_rad_s,100ms,endpoint,ALL,ALL,0.2241715563985203,0.0023712966482001864
original,q_rad_s,100ms,endpoint,ALL,Sep17,0.23162816631762487,0.003275062658743141
original,q_rad_s,100ms,endpoint,ALL,Sep7,0.2175434586926496,0.001652385274590147
original,q_rad_s,100ms,endpoint,high,ALL,0.30094536420280543,0.002542522393955833
original,q_rad_s,100ms,endpoint,high,Sep17,0.32764583612880754,0.00930427756857497
original,q_rad_s,100ms,endpoint,high,Sep7,0.27721161137969236,0.0034845882994296706
original,q_rad_s,100ms,endpoint,low,ALL,0.19268331833113836,0.0024894982942485796
original,q_rad_s,100ms,endpoint,low,Sep17,0.1764480201180608,0.005604275146509426
original,q_rad_s,100ms,endpoint,low,Sep7,0.20711469452054063,0.0022780395024679045
original,q_rad_s,100ms,endpoint,middle,ALL,0.20020700571019742,0.0041300230643498154
original,q_rad_s,100ms,endpoint,middle,Sep17,0.19797019859100617,0.006783463372278277
original,q_rad_s,100ms,endpoint,middle,Sep7,0.20219527870503406,0.0026694403865211353
original,q_rad_s,1s,endpoint,ALL,ALL,0.29894839499337406,0.02629679769233362
original,q_rad_s,1s,endpoint,ALL,Sep17,0.3124881172570852,0.03687131815085875
original,q_rad_s,1s,endpoint,ALL,Sep7,0.2869130863145197,0.02157683825794249
original,q_rad_s,1s,endpoint,high,ALL,0.3397590378023125,0.017688035656193188
original,q_rad_s,1s,endpoint,high,Sep17,0.35914181335422546,0.028448132035097037
original,q_rad_s,1s,endpoint,high,Sep7,0.32252990397838993,0.020721517832834133
original,q_rad_s,1s,endpoint,low,ALL,0.28291531947917903,0.02973496620027426
original,q_rad_s,1s,endpoint,low,Sep17,0.29991308219177554,0.04320443939121809
original,q_rad_s,1s,endpoint,low,Sep7,0.26780619706798214,0.02377087110116202
original,q_rad_s,1s,endpoint,middle,ALL,0.2907373084047063,0.027885736640032265
original,q_rad_s,1s,endpoint,middle,Sep17,0.29401747570678066,0.03877476963915604
original,q_rad_s,1s,endpoint,middle,Sep7,0.2878216041361957,0.019954169662619318
original,q_rad_s,200ms,endpoint,ALL,ALL,0.22084057214700306,0.007325709001397279
original,q_rad_s,200ms,endpoint,ALL,Sep17,0.2312567924386922,0.011687556548111601
original,q_rad_s,200ms,endpoint,ALL,Sep7,0.2115817096655016,0.0046638443161619615
original,q_rad_s,200ms,endpoint,high,ALL,0.25377271195549733,0.011176520572818248
original,q_rad_s,200ms,endpoint,high,Sep17,0.2881358478231582,0.018295123034433772
original,q_rad_s,200ms,endpoint,high,Sep7,0.22322770229535427,0.006156869626336894
original,q_rad_s,200ms,endpoint,low,ALL,0.1997042991984356,0.0065281925811769064
original,q_rad_s,200ms,endpoint,low,Sep17,0.19788070321434117,0.010657884510119101
original,q_rad_s,200ms,endpoint,low,Sep7,0.2013252734065196,0.005916582267632736
original,q_rad_s,200ms,endpoint,middle,ALL,0.21573741067373306,0.00696091450486062
original,q_rad_s,200ms,endpoint,middle,Sep17,0.21287571711156228,0.009069932134423104
original,q_rad_s,200ms,endpoint,middle,Sep7,0.21828113828455153,0.006070003802663329
original,q_rad_s,500_1000ms,interval,ALL,ALL,0.267382427190547,0.01911600660198647
original,q_rad_s,500_1000ms,interval,ALL,Sep17,0.2794094099422288,0.027827104705346585
original,q_rad_s,500_1000ms,interval,ALL,Sep7,0.25669177585571873,0.0144370922109161
original,q_rad_s,500_1000ms,interval,high,ALL,0.3044976140116322,0.012983324216942066
original,q_rad_s,500_1000ms,interval,high,Sep17,0.32832705328448447,0.022482371388617996
original,q_rad_s,500_1000ms,interval,high,Sep7,0.2833158902135413,0.004874539558919958
original,q_rad_s,500_1000ms,interval,low,ALL,0.25239490220827737,0.02385994533496611
original,q_rad_s,500_1000ms,interval,low,Sep17,0.25688072366707787,0.035437962525656876
original,q_rad_s,500_1000ms,interval,low,Sep7,0.2484075053560103,0.017244674901672204
original,q_rad_s,500_1000ms,interval,middle,ALL,0.2601608356819457,0.019550187162151695
original,q_rad_s,500_1000ms,interval,middle,Sep17,0.26301882404207294,0.028859831718069325
original,q_rad_s,500_1000ms,interval,middle,Sep7,0.2576204015840548,0.014043453604239451
original,q_rad_s,500ms,endpoint,ALL,ALL,0.24469929445350966,0.010339493153647445
original,q_rad_s,500ms,endpoint,ALL,Sep17,0.24461481031287105,0.015869905190516852
original,q_rad_s,500ms,endpoint,ALL,Sep7,0.24477439146741065,0.01038183582562968
original,q_rad_s,500ms,endpoint,high,ALL,0.29156964148296943,0.008745681817804867
original,q_rad_s,500ms,endpoint,high,Sep17,0.29278317415275473,0.009971795675195122
original,q_rad_s,500ms,endpoint,high,Sep7,0.29049094577649365,0.013229323428088682
original,q_rad_s,500ms,endpoint,low,ALL,0.21489723536709726,0.014724009639316719
original,q_rad_s,500ms,endpoint,low,Sep17,0.19725028949447762,0.024043222692894575
original,q_rad_s,500ms,endpoint,low,Sep7,0.2305834094760925,0.011440494219434966
original,q_rad_s,500ms,endpoint,middle,ALL,0.23593462734072204,0.010770630319513521
original,q_rad_s,500ms,endpoint,middle,Sep17,0.23330446264329996,0.01677011660355342
original,q_rad_s,500ms,endpoint,middle,Sep7,0.2382725515162084,0.008138294612562496
original,r_rad_s,0_500ms,interval,ALL,ALL,0.13833478326558263,0.0011296555500376745
original,r_rad_s,0_500ms,interval,ALL,Sep17,0.14537128932495658,0.0005693498988747306
original,r_rad_s,0_500ms,interval,ALL,Sep7,0.1320801112128058,0.0023105433346118994
original,r_rad_s,0_500ms,interval,high,ALL,0.16221952252150043,0.0004704061352280961
original,r_rad_s,0_500ms,interval,high,Sep17,0.17312467514782526,0.003948823405131087
original,r_rad_s,0_500ms,interval,high,Sep7,0.1525260535203228,0.0041094854490937435
original,r_rad_s,0_500ms,interval,low,ALL,0.12523864743346877,0.0022615518253819022
original,r_rad_s,0_500ms,interval,low,Sep17,0.12370756188687478,0.0023146326652957144
original,r_rad_s,0_500ms,interval,low,Sep7,0.1265996123637745,0.00221977324911287
original,r_rad_s,0_500ms,interval,middle,ALL,0.1347593623807546,0.0016532830689578615
original,r_rad_s,0_500ms,interval,middle,Sep17,0.13907641705273582,0.0013107727802432268
original,r_rad_s,0_500ms,interval,middle,Sep7,0.13092198045010459,0.0021037699042702625
original,r_rad_s,100ms,endpoint,ALL,ALL,0.1354086644896,0.002326861500170155
original,r_rad_s,100ms,endpoint,ALL,Sep17,0.1335664913968793,0.005209378428030734
original,r_rad_s,100ms,endpoint,ALL,Sep7,0.13704615168312953,0.002338495984139085
original,r_rad_s,100ms,endpoint,high,ALL,0.15301303513540995,0.0016732398793128113
original,r_rad_s,100ms,endpoint,high,Sep17,0.15324235350653304,0.0032968316310318982
original,r_rad_s,100ms,endpoint,high,Sep7,0.15280919658330053,0.0038392233276046263
original,r_rad_s,100ms,endpoint,low,ALL,0.1243986637626671,0.0021902229625089956
original,r_rad_s,100ms,endpoint,low,Sep17,0.11527124424345521,0.00443300640739283
original,r_rad_s,100ms,endpoint,low,Sep7,0.13251192555752211,0.0031417977850526735
original,r_rad_s,100ms,endpoint,middle,ALL,0.13058182868481572,0.0029333488053750792
original,r_rad_s,100ms,endpoint,middle,Sep17,0.12846767707093856,0.006799969976982419
original,r_rad_s,100ms,endpoint,middle,Sep7,0.13246107456381762,0.0026567866627523603
original,r_rad_s,1s,endpoint,ALL,ALL,0.16588490961925806,0.0025984497558975196
original,r_rad_s,1s,endpoint,ALL,Sep17,0.18509564294781136,0.006805128930005049
original,r_rad_s,1s,endpoint,ALL,Sep7,0.14880870221609954,0.0020743048309818314
original,r_rad_s,1s,endpoint,high,ALL,0.18244886504279845,0.0005431439127440241
original,r_rad_s,1s,endpoint,high,Sep17,0.2092244918658194,0.0024898675259044387
original,r_rad_s,1s,endpoint,high,Sep7,0.15864830786677983,0.0012943611007579941
original,r_rad_s,1s,endpoint,low,ALL,0.15238987173792642,0.0026286396200547544
original,r_rad_s,1s,endpoint,low,Sep17,0.16231880133199514,0.00789703536405402
original,r_rad_s,1s,endpoint,low,Sep7,0.14356415654319868,0.0023684431100387936
original,r_rad_s,1s,endpoint,middle,ALL,0.16396168911403639,0.0035111008852053405
original,r_rad_s,1s,endpoint,middle,Sep17,0.1770012290215753,0.0072967534005950315
original,r_rad_s,1s,endpoint,middle,Sep7,0.15237098697400184,0.0027401988644976147
original,r_rad_s,200ms,endpoint,ALL,ALL,0.14449897667285772,0.0011656327126167469
original,r_rad_s,200ms,endpoint,ALL,Sep17,0.15101662964634696,0.0019768878556293296
original,r_rad_s,200ms,endpoint,ALL,Sep7,0.13870550736308954,0.003062847137780312
original,r_rad_s,200ms,endpoint,high,ALL,0.17718034677757213,0.0033284432481480246
original,r_rad_s,200ms,endpoint,high,Sep17,0.19442839750378135,0.006997884031187354
original,r_rad_s,200ms,endpoint,high,Sep7,0.16184874613205288,0.005367437141084901
original,r_rad_s,200ms,endpoint,low,ALL,0.12823226434028087,0.002249768312064295
original,r_rad_s,200ms,endpoint,low,Sep17,0.11873275741360396,0.0015949421753618908
original,r_rad_s,200ms,endpoint,low,Sep7,0.13667627049732697,0.003296891238191097
original,r_rad_s,200ms,endpoint,middle,ALL,0.13596937639661058,0.0017567018189800796
original,r_rad_s,200ms,endpoint,middle,Sep17,0.13738631558346534,0.0007480861321582309
original,r_rad_s,200ms,endpoint,middle,Sep7,0.13470987489718414,0.0032900153080921
original,r_rad_s,500_1000ms,interval,ALL,ALL,0.16173408422237842,0.0025538789393674075
original,r_rad_s,500_1000ms,interval,ALL,Sep17,0.17722384786113987,0.005139348716345924
original,r_rad_s,500_1000ms,interval,ALL,Sep7,0.14796540543236827,0.0012769664197707614
original,r_rad_s,500_1000ms,interval,high,ALL,0.18257009539782143,0.003043431297377503
original,r_rad_s,500_1000ms,interval,high,Sep17,0.1998155542886018,0.0036944088960977894
original,r_rad_s,500_1000ms,interval,high,Sep7,0.16724079860601662,0.0025169096352620117
original,r_rad_s,500_1000ms,interval,low,ALL,0.14684182535994364,0.002495757500868229
original,r_rad_s,500_1000ms,interval,low,Sep17,0.15305590407534445,0.005502111974130606
original,r_rad_s,500_1000ms,interval,low,Sep7,0.1413181998351429,0.0012896048836269153
original,r_rad_s,500_1000ms,interval,middle,ALL,0.16121058211148617,0.0029747948975415678
original,r_rad_s,500_1000ms,interval,middle,Sep17,0.17283004951870415,0.005840967223872254
original,r_rad_s,500_1000ms,interval,middle,Sep7,0.15088216663840348,0.002129624243456681
original,r_rad_s,500ms,endpoint,ALL,ALL,0.15102117617616095,0.0024155674175266985
original,r_rad_s,500ms,endpoint,ALL,Sep17,0.1636381266991206,0.0029427431038489124
original,r_rad_s,500ms,endpoint,ALL,Sep7,0.1398061090446413,0.0029059235096868387
original,r_rad_s,500ms,endpoint,high,ALL,0.18330504128610978,0.0015259696009167125
original,r_rad_s,500ms,endpoint,high,Sep17,0.1868133445727338,0.0007778748404477835
original,r_rad_s,500ms,endpoint,high,Sep7,0.18018654947577728,0.0033224571980869453
original,r_rad_s,500ms,endpoint,low,ALL,0.13329514174294504,0.003610308233047985
original,r_rad_s,500ms,endpoint,low,Sep17,0.139381364695879,0.004822423927630109
original,r_rad_s,500ms,endpoint,low,Sep7,0.1278851657847815,0.0040795614599471895
original,r_rad_s,500ms,endpoint,middle,ALL,0.1491049107651501,0.003270395190300645
original,r_rad_s,500ms,endpoint,middle,Sep17,0.15965687528522926,0.00440328030010466
original,r_rad_s,500ms,endpoint,middle,Sep7,0.13972538674730192,0.0031522545288338246
original,rate_rad_s,0_500ms,interval,ALL,ALL,0.566536976734411,0.0006607508530825727
original,rate_rad_s,0_500ms,interval,ALL,Sep17,0.5440815749211052,0.001399816587222296
original,rate_rad_s,0_500ms,interval,ALL,Sep7,0.5864973339017938,0.0002018853060147653
original,rate_rad_s,0_500ms,interval,high,ALL,0.6212545288143884,0.0008671483073418054
original,rate_rad_s,0_500ms,interval,high,Sep17,0.619446113123361,0.0038906735688394333
original,rate_rad_s,0_500ms,interval,high,Sep7,0.6228620094286349,0.0020251603742756537
original,rate_rad_s,0_500ms,interval,low,ALL,0.54517159172967,0.0018435726265480326
original,rate_rad_s,0_500ms,interval,low,Sep17,0.5148181320564512,0.004619131176406667
original,rate_rad_s,0_500ms,interval,low,Sep7,0.5721524447725311,0.0006278041873913392
original,rate_rad_s,0_500ms,interval,middle,ALL,0.557724783063138,0.0014561496331744594
original,rate_rad_s,0_500ms,interval,middle,Sep17,0.5205352480122154,0.0030831625726014692
original,rate_rad_s,0_500ms,interval,middle,Sep7,0.5907821475528469,0.001586075053819747
original,rate_rad_s,100ms,endpoint,ALL,ALL,0.545328817446893,0.0026433547186964926
original,rate_rad_s,100ms,endpoint,ALL,Sep17,0.5273914212369101,0.002736794588936573
original,rate_rad_s,100ms,endpoint,ALL,Sep7,0.5612731696335446,0.0029278176189401896
original,rate_rad_s,100ms,endpoint,high,ALL,0.6205551139481141,0.004889620775897086
original,rate_rad_s,100ms,endpoint,high,Sep17,0.6275765364589717,0.009229556915192979
original,rate_rad_s,100ms,endpoint,high,Sep7,0.6143138494940187,0.0023108173596634207
original,rate_rad_s,100ms,endpoint,low,ALL,0.5092733988138424,0.0011667568303246176
original,rate_rad_s,100ms,endpoint,low,Sep17,0.45970584697162603,0.005299131441003277
original,rate_rad_s,100ms,endpoint,low,Sep7,0.5533334448958125,0.0030362226271336066
original,rate_rad_s,100ms,endpoint,middle,ALL,0.5249178674418843,0.0021346045947312196
original,rate_rad_s,100ms,endpoint,middle,Sep17,0.5007642243067331,0.0030179610072185656
original,rate_rad_s,100ms,endpoint,middle,Sep7,0.5463877724509074,0.004177044785924948
original,rate_rad_s,1s,endpoint,ALL,ALL,0.6210730627049943,0.010836732534806002
original,rate_rad_s,1s,endpoint,ALL,Sep17,0.617365130607673,0.016078501370692114
original,rate_rad_s,1s,endpoint,ALL,Sep7,0.6243690023470577,0.007323327960054259
original,rate_rad_s,1s,endpoint,high,ALL,0.6609362764215075,0.01074080702236379
original,rate_rad_s,1s,endpoint,high,Sep17,0.6613716505270159,0.015966123559214146
original,rate_rad_s,1s,endpoint,high,Sep7,0.660549277216611,0.012667369275765184
original,rate_rad_s,1s,endpoint,low,ALL,0.6004440546722493,0.015006509208583266
original,rate_rad_s,1s,endpoint,low,Sep17,0.6002660688403264,0.023868812715158023
