metric,horizon,group,cohort,condition,original,value,scoring_change,scoring_reduction_pct
attitude_deg,1s,middle,Sep17,synchronized,7.3906750086493505,7.403874959118734,0.013199950469383381,-0.17860277246578157
attitude_deg,1s,middle,Sep7,original,6.109896665762471,6.109896665762471,0.0,0.0
attitude_deg,1s,middle,Sep7,synchronized,6.109896665762471,6.177154917279073,0.06725825151660203,-1.1008083310719738
attitude_deg,200ms,ALL,ALL,original,2.196485009819066,2.196485009819066,0.0,0.0
attitude_deg,200ms,ALL,ALL,synchronized,2.196485009819066,2.3268850500249685,0.13040004020590246,-5.936759851443014
attitude_deg,200ms,ALL,Sep17,original,2.376163835792054,2.376163835792054,0.0,0.0
attitude_deg,200ms,ALL,Sep17,synchronized,2.376163835792054,2.51330676343242,0.13714292764036617,-5.771610760781228
attitude_deg,200ms,ALL,Sep7,original,2.0367704978430776,2.0367704978430776,0.0,0.0
attitude_deg,200ms,ALL,Sep7,synchronized,2.0367704978430776,2.1611768603294554,0.12440636248637782,-6.108020644354535
attitude_deg,200ms,high,ALL,original,2.749382054709997,2.749382054709997,0.0,0.0
attitude_deg,200ms,high,ALL,synchronized,2.749382054709997,2.8920421437204737,0.14266008901047655,-5.18880556327499
attitude_deg,200ms,high,Sep17,original,3.114173144886355,3.114173144886355,0.0,0.0
attitude_deg,200ms,high,Sep17,synchronized,3.114173144886355,3.350230874351307,0.23605772946495218,-7.580109341465874
attitude_deg,200ms,high,Sep7,original,2.4251233078865675,2.4251233078865675,0.0,0.0
attitude_deg,200ms,high,Sep7,synchronized,2.4251233078865675,2.484763272048621,0.05963996416205353,-2.4592549157439842
attitude_deg,200ms,low,ALL,original,1.8485137629463653,1.8485137629463653,0.0,0.0
attitude_deg,200ms,low,ALL,synchronized,1.8485137629463653,1.9203527123156825,0.07183894936931723,-3.886308601501153
attitude_deg,200ms,low,Sep17,original,1.793561113476792,1.793561113476792,0.0,0.0
attitude_deg,200ms,low,Sep17,synchronized,1.793561113476792,1.8064372451905788,0.012876131713786876,-0.717908724550048
attitude_deg,200ms,low,Sep7,original,1.8973605624748748,1.8973605624748748,0.0,0.0
attitude_deg,200ms,low,Sep7,synchronized,1.8973605624748748,2.0216109053157747,0.12425034284089986,-6.548588881747941
attitude_deg,200ms,middle,ALL,original,2.1036265067178914,2.1036265067178914,0.0,0.0
attitude_deg,200ms,middle,ALL,synchronized,2.1036265067178914,2.2319806692285056,0.12835416251061416,-6.101566133565895
attitude_deg,200ms,middle,Sep17,original,2.173689314194595,2.173689314194595,0.0,0.0
attitude_deg,200ms,middle,Sep17,synchronized,2.173689314194595,2.2774700816023,0.10378076740770492,-4.774406661062242
attitude_deg,200ms,middle,Sep7,original,2.041348455627489,2.041348455627489,0.0,0.0
attitude_deg,200ms,middle,Sep7,synchronized,2.041348455627489,2.191545636007355,0.15019718037986607,-7.3577433566430015
attitude_deg,500_1000ms,ALL,ALL,original,5.479808427480632,5.479808427480632,0.0,0.0
attitude_deg,500_1000ms,ALL,ALL,synchronized,5.479808427480632,5.536843112551771,0.05703468507113918,-1.0408153099863229
attitude_deg,500_1000ms,ALL,Sep17,original,6.17309791728531,6.17309791728531,0.0,0.0
attitude_deg,500_1000ms,ALL,Sep17,synchronized,6.17309791728531,6.2230235966503615,0.04992567936505132,-0.8087621488273218
attitude_deg,500_1000ms,ALL,Sep7,original,4.863551103209807,4.863551103209807,0.0,0.0
attitude_deg,500_1000ms,ALL,Sep7,synchronized,4.863551103209807,4.926904904464133,0.06335380125432621,-1.3026243563579394
attitude_deg,500_1000ms,high,ALL,original,6.542664631897554,6.542664631897554,0.0,0.0
attitude_deg,500_1000ms,high,ALL,synchronized,6.542664631897554,6.61286677780674,0.07020214590918616,-1.072990132597177
attitude_deg,500_1000ms,high,Sep17,original,7.204597983845258,7.204597983845258,0.0,0.0
attitude_deg,500_1000ms,high,Sep17,synchronized,7.204597983845258,7.276892783660479,0.07229479981522058,-1.0034536274935246
attitude_deg,500_1000ms,high,Sep7,original,5.95427943016626,5.95427943016626,0.0,0.0
attitude_deg,500_1000ms,high,Sep7,synchronized,5.95427943016626,6.022621439270085,0.0683420091038256,-1.1477796751960179
attitude_deg,500_1000ms,low,ALL,original,4.71795261753886,4.71795261753886,0.0,0.0
attitude_deg,500_1000ms,low,ALL,synchronized,4.71795261753886,4.7587955452717,0.040842927732839485,-0.865691774457569
attitude_deg,500_1000ms,low,Sep17,original,4.949947536430717,4.949947536430717,0.0,0.0
attitude_deg,500_1000ms,low,Sep17,synchronized,4.949947536430717,4.972937876399921,0.022990339969203966,-0.46445623514187234
attitude_deg,500_1000ms,low,Sep7,original,4.51173491185721,4.51173491185721,0.0,0.0
attitude_deg,500_1000ms,low,Sep7,synchronized,4.51173491185721,4.56844680649106,0.05671189463385051,-1.2569864085943303
attitude_deg,500_1000ms,middle,ALL,original,5.449359185711742,5.449359185711742,0.0,0.0
attitude_deg,500_1000ms,middle,ALL,synchronized,5.449359185711742,5.507808975484546,0.05844978977280402,-1.072599323716076
attitude_deg,500_1000ms,middle,Sep17,original,5.982112552275152,5.982112552275152,0.0,0.0
attitude_deg,500_1000ms,middle,Sep17,synchronized,5.982112552275152,6.025168736631421,0.0430561843562689,-0.7197488174958113
attitude_deg,500_1000ms,middle,Sep7,original,4.975800637655378,4.975800637655378,0.0,0.0
attitude_deg,500_1000ms,middle,Sep7,synchronized,4.975800637655378,5.047933632242882,0.07213299458750377,-1.449676139385946
attitude_deg,500ms,ALL,ALL,original,4.078397323464926,4.078397323464926,0.0,0.0
attitude_deg,500ms,ALL,ALL,synchronized,4.078397323464926,4.176812420628267,0.09841509716334151,-2.413082624321899
attitude_deg,500ms,ALL,Sep17,original,4.56950906185081,4.56950906185081,0.0,0.0
attitude_deg,500ms,ALL,Sep17,synchronized,4.56950906185081,4.680613409774359,0.11110434792354873,-2.4314285499752923
attitude_deg,500ms,ALL,Sep7,original,3.641853556010805,3.641853556010805,0.0,0.0
attitude_deg,500ms,ALL,Sep7,synchronized,3.641853556010805,3.7289893191650743,0.08713576315426907,-2.392621279635291
attitude_deg,500ms,high,ALL,original,5.062935710283232,5.062935710283232,0.0,0.0
attitude_deg,500ms,high,ALL,synchronized,5.062935710283232,5.138235114396904,0.07529940411367253,-1.4872676332968904
attitude_deg,500ms,high,Sep17,original,5.771197760658232,5.771197760658232,0.0,0.0
attitude_deg,500ms,high,Sep17,synchronized,5.771197760658232,5.868929398813182,0.09773163815494978,-1.6934376919324807
attitude_deg,500ms,high,Sep7,original,4.433369443283231,4.433369443283231,0.0,0.0
attitude_deg,500ms,high,Sep7,synchronized,4.433369443283231,4.4887290838046585,0.05535964052142717,-1.2487035251551095
attitude_deg,500ms,low,ALL,original,3.405298040524684,3.405298040524684,0.0,0.0
attitude_deg,500ms,low,ALL,synchronized,3.405298040524684,3.5032678961263657,0.09796985560168148,-2.8769832900319763
attitude_deg,500ms,low,Sep17,original,3.4612998319076085,3.4612998319076085,0.0,0.0
attitude_deg,500ms,low,Sep17,synchronized,3.4612998319076085,3.563301653931044,0.10200182202343555,-2.9469224562155256
attitude_deg,500ms,low,Sep7,original,3.355518670406528,3.355518670406528,0.0,0.0
attitude_deg,500ms,low,Sep7,synchronized,3.355518670406528,3.449904555855541,0.09438588544901272,-2.8128553204437297
attitude_deg,500ms,middle,ALL,original,3.976936126699589,3.976936126699589,0.0,0.0
attitude_deg,500ms,middle,ALL,synchronized,3.976936126699589,4.088310120478814,0.11137399377922552,-2.8004974239215015
attitude_deg,500ms,middle,Sep17,original,4.269050588042178,4.269050588042178,0.0,0.0
attitude_deg,500ms,middle,Sep17,synchronized,4.269050588042178,4.393367412527305,0.1243168244851276,-2.9120485204215005
attitude_deg,500ms,middle,Sep7,original,3.7172788277284,3.7172788277284,0.0,0.0
attitude_deg,500ms,middle,Sep7,synchronized,3.7172788277284,3.817148083102379,0.09986925537397928,-2.686622661421624
p_rad_s,0_500ms,ALL,ALL,original,0.5007768805535951,0.5007768805535951,0.0,0.0
p_rad_s,0_500ms,ALL,ALL,synchronized,0.5007768805535951,0.4735751831131571,-0.027201697440438044,5.431899613729634
p_rad_s,0_500ms,ALL,ALL,synchronized_lowpass,0.5007768805535951,0.2784632271499113,-0.22231365340368386,44.39375339331205
p_rad_s,0_500ms,ALL,Sep17,original,0.4703103146353578,0.4703103146353578,0.0,0.0
p_rad_s,0_500ms,ALL,Sep17,synchronized,0.4703103146353578,0.4473800172746012,-0.02293029736075658,4.875567608704257
p_rad_s,0_500ms,ALL,Sep17,synchronized_lowpass,0.4703103146353578,0.275240502028495,-0.1950698126068628,41.47683062365001
p_rad_s,0_500ms,ALL,Sep7,original,0.5278582724809172,0.5278582724809172,0.0,0.0
p_rad_s,0_500ms,ALL,Sep7,synchronized,0.5278582724809172,0.4968597749696511,-0.0309984975112661,5.872503876007122
p_rad_s,0_500ms,ALL,Sep7,synchronized_lowpass,0.5278582724809172,0.2813278717022814,-0.2465304007786358,46.70390020032284
p_rad_s,0_500ms,high,ALL,original,0.531463181314039,0.531463181314039,0.0,0.0
p_rad_s,0_500ms,high,ALL,synchronized,0.531463181314039,0.5082979629847362,-0.02316521832930285,4.358762590482187
p_rad_s,0_500ms,high,ALL,synchronized_lowpass,0.531463181314039,0.3175936866500457,-0.2138694946639933,40.24163896644777
p_rad_s,0_500ms,high,Sep17,original,0.5139860898476987,0.5139860898476987,0.0,0.0
p_rad_s,0_500ms,high,Sep17,synchronized,0.5139860898476987,0.4939643008889726,-0.020021788958726083,3.8953951000228084
p_rad_s,0_500ms,high,Sep17,synchronized_lowpass,0.5139860898476987,0.3259404737009641,-0.1880456161467346,36.58574032664097
p_rad_s,0_500ms,high,Sep7,original,0.5469983737285639,0.5469983737285639,0.0,0.0
p_rad_s,0_500ms,high,Sep7,synchronized,0.5469983737285639,0.5210389959587484,-0.025959377769815495,4.745787010821585
p_rad_s,0_500ms,high,Sep7,synchronized_lowpass,0.5469983737285639,0.3101743203825628,-0.23682405334600104,43.29520245768041
p_rad_s,0_500ms,low,ALL,original,0.4908655371531656,0.4908655371531656,0.0,0.0
p_rad_s,0_500ms,low,ALL,synchronized,0.4908655371531656,0.4630933692203389,-0.02777216793282672,5.657795430882107
p_rad_s,0_500ms,low,ALL,synchronized_lowpass,0.4908655371531656,0.2570920793941599,-0.2337734577590057,47.62474446969802
p_rad_s,0_500ms,low,Sep17,original,0.4606083801452181,0.4606083801452181,0.0,0.0
p_rad_s,0_500ms,low,Sep17,synchronized,0.4606083801452181,0.4338945779316971,-0.026713802213520987,5.799677853255472
p_rad_s,0_500ms,low,Sep17,synchronized_lowpass,0.4606083801452181,0.2437011692124663,-0.2169072109327518,47.09145996526734
p_rad_s,0_500ms,low,Sep7,original,0.5177607878268969,0.5177607878268969,0.0,0.0
p_rad_s,0_500ms,low,Sep7,synchronized,0.5177607878268969,0.4890478503657982,-0.028712937461098764,5.545599075127019
p_rad_s,0_500ms,low,Sep7,synchronized_lowpass,0.5177607878268969,0.2689951106667765,-0.24876567716012044,48.04644982950897
p_rad_s,0_500ms,middle,ALL,original,0.4960218075108876,0.4960218075108876,0.0,0.0
p_rad_s,0_500ms,middle,ALL,synchronized,0.4960218075108876,0.4663977069680559,-0.02962410054283171,5.972338331552382
p_rad_s,0_500ms,middle,ALL,synchronized_lowpass,0.4960218075108876,0.2749494569586148,-0.2210723505522728,44.5690788599895
p_rad_s,0_500ms,middle,Sep17,original,0.45488653899426,0.45488653899426,0.0,0.0
p_rad_s,0_500ms,middle,Sep17,synchronized,0.45488653899426,0.4308817307553549,-0.024004808238905107,5.27709795325643
p_rad_s,0_500ms,middle,Sep17,synchronized_lowpass,0.45488653899426,0.2616934658564485,-0.19319307313781153,42.470606750631795
p_rad_s,0_500ms,middle,Sep7,original,0.5325864906367788,0.5325864906367788,0.0,0.0
p_rad_s,0_500ms,middle,Sep7,synchronized,0.5325864906367788,0.4979674636015679,-0.03461902703521086,6.500169952455828
p_rad_s,0_500ms,middle,Sep7,synchronized_lowpass,0.5325864906367788,0.2867325601605403,-0.2458539304762385,46.16225435652471
p_rad_s,100ms,ALL,ALL,original,0.4768284816407712,0.4768284816407712,0.0,0.0
p_rad_s,100ms,ALL,ALL,synchronized,0.4768284816407712,0.453635618686057,-0.023192862954714177,4.863984398521524
p_rad_s,100ms,ALL,ALL,synchronized_lowpass,0.4768284816407712,0.2595105340912824,-0.2173179475494888,45.5757061326739
p_rad_s,100ms,ALL,Sep17,original,0.4530964831449213,0.4530964831449213,0.0,0.0
p_rad_s,100ms,ALL,Sep17,synchronized,0.4530964831449213,0.4329404931647904,-0.020155989980130906,4.448498439058527
p_rad_s,100ms,ALL,Sep17,synchronized_lowpass,0.4530964831449213,0.2535740765890534,-0.1995224065558679,44.03530240865969
p_rad_s,100ms,ALL,Sep7,original,0.4979235914148599,0.4979235914148599,0.0,0.0
p_rad_s,100ms,ALL,Sep7,synchronized,0.4979235914148599,0.4720312858160718,-0.025892305598788135,5.20005600160752
p_rad_s,100ms,ALL,Sep7,synchronized_lowpass,0.4979235914148599,0.2647873852043748,-0.23313620621048514,46.82168313174797
p_rad_s,100ms,high,ALL,original,0.5128566462733094,0.5128566462733094,0.0,0.0
p_rad_s,100ms,high,ALL,synchronized,0.5128566462733094,0.4712867732507157,-0.041569873022593684,8.105554120174245
p_rad_s,100ms,high,ALL,synchronized_lowpass,0.5128566462733094,0.2895117814423455,-0.22334486483096389,43.54918015665919
p_rad_s,100ms,high,Sep17,original,0.5047751375139998,0.5047751375139998,0.0,0.0
p_rad_s,100ms,high,Sep17,synchronized,0.5047751375139998,0.46961968645348,-0.035155451060519816,6.964576590213853
p_rad_s,100ms,high,Sep17,synchronized_lowpass,0.5047751375139998,0.2892217101989511,-0.21555342731504873,42.702861392231384
p_rad_s,100ms,high,Sep7,original,0.5200402096149178,0.5200402096149178,0.0,0.0
p_rad_s,100ms,high,Sep7,synchronized,0.5200402096149178,0.4727686281815917,-0.047271581433326104,9.089985843273547
p_rad_s,100ms,high,Sep7,synchronized_lowpass,0.5200402096149178,0.289769622547585,-0.23027058706733283,44.27938124973929
p_rad_s,100ms,low,ALL,original,0.4528073601654123,0.4528073601654123,0.0,0.0
p_rad_s,100ms,low,ALL,synchronized,0.4528073601654123,0.4340289433731869,-0.01877841679222536,4.14710944304561
p_rad_s,100ms,low,ALL,synchronized_lowpass,0.4528073601654123,0.2404639701687594,-0.2123433899966529,46.89486273347744
p_rad_s,100ms,low,Sep17,original,0.4066891461510755,0.4066891461510755,0.0,0.0
p_rad_s,100ms,low,Sep17,synchronized,0.4066891461510755,0.3919620179066398,-0.014727128244435672,3.621224806172941
p_rad_s,100ms,low,Sep17,synchronized_lowpass,0.4066891461510755,0.222870304178182,-0.1838188419728935,45.198856107315216
p_rad_s,100ms,low,Sep7,original,0.4938013281781561,0.4938013281781561,0.0,0.0
p_rad_s,100ms,low,Sep7,synchronized,0.4938013281781561,0.4714217660101176,-0.02237956216803849,4.532098415086539
p_rad_s,100ms,low,Sep7,synchronized_lowpass,0.4938013281781561,0.256102784382606,-0.2376985437955501,48.136473158653
p_rad_s,100ms,middle,ALL,original,0.4661305271100522,0.4661305271100522,0.0,0.0
p_rad_s,100ms,middle,ALL,synchronized,0.4661305271100522,0.4476198473653586,-0.018510679744693614,3.971136552556939
p_rad_s,100ms,middle,ALL,synchronized_lowpass,0.4661305271100522,0.2554781392425547,-0.21065238786749751,45.19171682951438
p_rad_s,100ms,middle,Sep17,original,0.4404848927372617,0.4404848927372617,0.0,0.0
p_rad_s,100ms,middle,Sep17,synchronized,0.4404848927372617,0.4242086470560795,-0.01627624568118219,3.695074666474558
p_rad_s,100ms,middle,Sep17,synchronized_lowpass,0.4404848927372617,0.2460865455800714,-0.19439834715719032,44.13280690494511
p_rad_s,100ms,middle,Sep7,original,0.4889266465525326,0.4889266465525326,0.0,0.0
p_rad_s,100ms,middle,Sep7,synchronized,0.4889266465525326,0.468429803195829,-0.020496843356703598,4.192212369939081
p_rad_s,100ms,middle,Sep7,synchronized_lowpass,0.4889266465525326,0.2638262224980953,-0.2251004240544373,46.03971283660676
p_rad_s,1s,ALL,ALL,original,0.5157297036533427,0.5157297036533427,0.0,0.0
p_rad_s,1s,ALL,ALL,synchronized,0.5157297036533427,0.492365417216568,-0.023364286436774684,4.530335614036965
p_rad_s,1s,ALL,ALL,synchronized_lowpass,0.5157297036533427,0.290526621526695,-0.2252030821266477,43.66688219261889
p_rad_s,1s,ALL,Sep17,original,0.4971362719020057,0.4971362719020057,0.0,0.0
p_rad_s,1s,ALL,Sep17,synchronized,0.4971362719020057,0.473018684539605,-0.024117587362400716,4.851303098470094
p_rad_s,1s,ALL,Sep17,synchronized_lowpass,0.4971362719020057,0.3008880122035645,-0.19624825969844123,39.47574755461119
p_rad_s,1s,ALL,Sep7,original,0.5322571985434199,0.5322571985434199,0.0,0.0
p_rad_s,1s,ALL,Sep7,synchronized,0.5322571985434199,0.5095625129294241,-0.02269468561399579,4.263856961653555
p_rad_s,1s,ALL,Sep7,synchronized_lowpass,0.5322571985434199,0.2813164964805889,-0.25094070206283103,47.146511639402476
p_rad_s,1s,high,ALL,original,0.5278967837420524,0.5278967837420524,0.0,0.0
p_rad_s,1s,high,ALL,synchronized,0.5278967837420524,0.4986263431166883,-0.029270440625364103,5.544727970850187
p_rad_s,1s,high,ALL,synchronized_lowpass,0.5278967837420524,0.318559864560701,-0.2093369191813514,39.65489573500418
p_rad_s,1s,high,Sep17,original,0.5092830969013933,0.5092830969013933,0.0,0.0
p_rad_s,1s,high,Sep17,synchronized,0.5092830969013933,0.4808824961341874,-0.028400600767205908,5.576584210236374
p_rad_s,1s,high,Sep17,synchronized_lowpass,0.5092830969013933,0.3411848246726985,-0.16809827222869478,33.00684300175031
p_rad_s,1s,high,Sep7,original,0.5444422831559718,0.5444422831559718,0.0,0.0
p_rad_s,1s,high,Sep7,synchronized,0.5444422831559718,0.514398651545578,-0.030043631610393806,5.518239956720428
p_rad_s,1s,high,Sep7,synchronized_lowpass,0.5444422831559718,0.298448788905592,-0.24599349425037975,45.182657897992016
p_rad_s,1s,low,ALL,original,0.5023486561741056,0.5023486561741056,0.0,0.0
p_rad_s,1s,low,ALL,synchronized,0.5023486561741056,0.472783102726888,-0.02956555344721762,5.885464822856159
p_rad_s,1s,low,ALL,synchronized_lowpass,0.5023486561741056,0.2680304085018251,-0.23431824767228054,46.64454553473907
p_rad_s,1s,low,Sep17,original,0.4881029626067908,0.4881029626067908,0.0,0.0
p_rad_s,1s,low,Sep17,synchronized,0.4881029626067908,0.4627034935955676,-0.025399469011223197,5.203711298037063
p_rad_s,1s,low,Sep17,synchronized_lowpass,0.4881029626067908,0.2739618866706897,-0.2141410759361011,43.87211148902825
p_rad_s,1s,low,Sep7,original,0.5150114949006076,0.5150114949006076,0.0,0.0
p_rad_s,1s,low,Sep7,synchronized,0.5150114949006076,0.4817427552880615,-0.03326873961254612,6.4598052552140945
p_rad_s,1s,low,Sep7,synchronized_lowpass,0.5150114949006076,0.2627579834628344,-0.2522535114377732,48.980171109861494
p_rad_s,1s,middle,ALL,original,0.5105195828438476,0.5105195828438476,0.0,0.0
p_rad_s,1s,middle,ALL,synchronized,0.5105195828438476,0.4945906589464194,-0.01592892389742817,3.1201396445355054
p_rad_s,1s,middle,ALL,synchronized_lowpass,0.5105195828438476,0.2894185020114903,-0.2211010808323573,43.30903030217068
p_rad_s,1s,middle,Sep17,original,0.4871408805464963,0.4871408805464963,0.0,0.0
p_rad_s,1s,middle,Sep17,synchronized,0.4871408805464963,0.4633407780875799,-0.023800102458916395,4.885671354909976
p_rad_s,1s,middle,Sep17,synchronized_lowpass,0.4871408805464963,0.2890474536065671,-0.1980934269399292,40.66450483845642
p_rad_s,1s,middle,Sep7,original,0.5313006515526042,0.5313006515526042,0.0,0.0
p_rad_s,1s,middle,Sep7,synchronized,0.5313006515526042,0.5223683308209435,-0.008932320731660726,1.6812177258879824
p_rad_s,1s,middle,Sep7,synchronized_lowpass,0.5313006515526042,0.2897483228158665,-0.2415523287367377,45.46433888813358
p_rad_s,200ms,ALL,ALL,original,0.4994811318038903,0.4994811318038903,0.0,0.0
p_rad_s,200ms,ALL,ALL,synchronized,0.4994811318038903,0.4771129702107231,-0.022368161593167235,4.478279592340953
p_rad_s,200ms,ALL,ALL,synchronized_lowpass,0.4994811318038903,0.2759722435849072,-0.22350888821898313,44.74821449446437
p_rad_s,200ms,ALL,Sep17,original,0.4599022968996477,0.4599022968996477,0.0,0.0
