metric,horizon,kind,group,flight,cohort,seed,original,synchronized,synchronized_lowpass,synchronized_minus_original,synchronized_lowpass_minus_original
attitude_deg,0_500ms,interval,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,42,4.727162937490143,4.970613276536819,,0.24345033904667623,
attitude_deg,0_500ms,interval,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,17,3.314623535490015,3.4870207519817873,,0.1723972164917722,
attitude_deg,0_500ms,interval,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,23,3.733875600346881,3.8661080559428256,,0.13223245559594465,
attitude_deg,0_500ms,interval,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,42,3.6779720112534195,3.8378615805422918,,0.1598895692888722,
attitude_deg,0_500ms,interval,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,17,3.433638187471826,3.6193451935504104,,0.1857070060785846,
attitude_deg,0_500ms,interval,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,23,3.4142561181419704,3.5851826567857326,,0.17092653864376217,
attitude_deg,0_500ms,interval,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,42,3.677067654754725,3.8588822930045468,,0.18181463824982158,
attitude_deg,0_500ms,interval,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,17,3.58133012214052,3.741425303655652,,0.16009518151513236,
attitude_deg,0_500ms,interval,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,23,3.7426607133377074,3.89287957494668,,0.15021886160897235,
attitude_deg,0_500ms,interval,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,42,3.865852479083861,3.9856953417145204,,0.11984286263065957,
attitude_deg,0_500ms,interval,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,17,2.359194418841116,2.419676470116829,,0.060482051275712934,
attitude_deg,0_500ms,interval,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,23,2.4228621617473993,2.4817037878108015,,0.05884162606340215,
attitude_deg,0_500ms,interval,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,42,2.414781920506634,2.495073303520071,,0.08029138301343686,
attitude_deg,0_500ms,interval,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,17,2.509501815206122,2.5921654054649035,,0.08266359025878156,
attitude_deg,0_500ms,interval,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,23,2.520982933215128,2.594434620272653,,0.07345168705752503,
attitude_deg,0_500ms,interval,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,42,2.5951924873650047,2.6909500462304603,,0.09575755886545556,
attitude_deg,0_500ms,interval,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,17,2.444082193023809,2.5541188795313756,,0.11003668650756682,
attitude_deg,0_500ms,interval,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,23,2.4347031154301604,2.5361888806995894,,0.10148576526942898,
attitude_deg,0_500ms,interval,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,42,2.4427991563635243,2.5788650624740113,,0.13606590611048697,
attitude_deg,0_500ms,interval,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,17,2.556057282241457,2.6519530170758703,,0.09589573483441338,
attitude_deg,0_500ms,interval,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,23,2.7257519228491054,2.8262305912437067,,0.10047866839460129,
attitude_deg,0_500ms,interval,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,42,2.536417291577991,2.6493762264061136,,0.1129589348281228,
attitude_deg,0_500ms,interval,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,17,2.163195397763517,2.247855431887119,,0.08466003412360168,
attitude_deg,0_500ms,interval,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,23,2.1762990158650957,2.243737989524305,,0.06743897365920937,
attitude_deg,0_500ms,interval,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,42,2.2209309765908563,2.3151362822819643,,0.09420530569110808,
attitude_deg,0_500ms,interval,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,17,1.9692808899268612,2.074299705256435,,0.10501881532957369,
attitude_deg,0_500ms,interval,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,23,2.0830015052762856,2.169624791971948,,0.08662328669566222,
attitude_deg,0_500ms,interval,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,42,2.0154510756666517,2.1494223414841223,,0.13397126581747054,
attitude_deg,0_500ms,interval,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,17,1.9491877210003845,1.9759246276199596,,0.026736906619575063,
attitude_deg,0_500ms,interval,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,23,2.033240599537162,2.057180752572656,,0.023940153035494127,
attitude_deg,0_500ms,interval,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,42,1.9105493147228036,1.961066189811675,,0.05051687508887137,
attitude_deg,0_500ms,interval,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,17,1.8820207548635657,1.978546514679118,,0.09652575981555223,
attitude_deg,0_500ms,interval,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,23,1.9667424226771553,2.023249706172205,,0.05650728349504974,
attitude_deg,0_500ms,interval,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,42,1.9208042970120454,2.027008068403222,,0.10620377139117676,
attitude_deg,0_500ms,interval,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,17,2.325252500133783,2.4159361091267124,,0.09068360899292927,
attitude_deg,0_500ms,interval,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,23,2.4178854083826034,2.4988748417528104,,0.08098943337020703,
attitude_deg,0_500ms,interval,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,42,2.3523308951038264,2.446027375636751,,0.09369648053292456,
attitude_deg,0_500ms,interval,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,17,2.27247239300213,2.2685504350129153,,-0.003921957989214686,
attitude_deg,0_500ms,interval,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,23,2.3010597999093614,2.260853411992374,,-0.040206387916987385,
attitude_deg,0_500ms,interval,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,42,2.3379823839678733,2.340711787949716,,0.0027294039818426263,
attitude_deg,0_500ms,interval,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,17,2.2752454932900714,2.3402268536769295,,0.06498136038685809,
attitude_deg,0_500ms,interval,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,23,2.2660529808340413,2.3036279095725853,,0.03757492873854407,
attitude_deg,0_500ms,interval,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,42,2.255746579667201,2.3291369292912805,,0.07339034962407931,
attitude_deg,0_500ms,interval,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,17,1.982602124194026,2.0729887483375284,,0.09038662414350251,
attitude_deg,0_500ms,interval,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,23,2.108273165695866,2.1786042922928943,,0.07033112659702834,
attitude_deg,0_500ms,interval,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,42,2.1625366802889974,2.2594664437539462,,0.09692976346494886,
attitude_deg,0_500ms,interval,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,17,2.4647863093078093,2.511052747088343,,0.04626643778053374,
attitude_deg,0_500ms,interval,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,23,2.652508359115794,2.666444878107453,,0.013936518991658708,
attitude_deg,0_500ms,interval,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,42,2.4646495366270775,2.5204395557445216,,0.05579001911744408,
attitude_deg,0_500ms,interval,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,17,2.226178331793769,2.3152494103490144,,0.08907107855524554,
