model,seed,cohort,flight_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
B0_ConstantVelocity,,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.2,0.28555975317665927,0.7145057371872896,9.76599185245154,1.2519004329399506,0.7145057371872896,1.2519004329399506,0.32563563626691366,0.31081957453816006,0.554861309653603,0.9580100980806048,0.7879314753473561,0.16921978645467076,164
B0_ConstantVelocity,,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.5,0.7609035451059949,1.1567243251731107,24.23754539961148,1.002789995743889,1.1567243251731107,1.002789995743889,0.7620843167654588,0.7152873238513902,0.49558319475626733,0.7863684268527685,0.5846646825062555,0.2130250732730558,164
B0_ConstantVelocity,,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,1.0,1.8286231491076492,2.114332582390023,48.37454989872337,1.2041303586603245,2.114332582390023,1.2041303586603245,1.471151101051653,1.377792949425078,0.6385947818022913,0.9441095182533333,0.710178916086697,0.2328798946599401,164
B1_MLP,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.04114138413599375,0.5844319746861019,2.4240442077379654,0.7482034111080672,0.5844319746861019,0.7482034111080672,0.16959736625848823,0.1434668573772286,0.5405688922126232,0.5418977345052082,0.4882753781743854,0.16656033381490115,130
B1_MLP,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.08164375726276886,0.46631661352253,3.778254663287865,0.8179424841978834,0.46631661352253,0.8179424841978834,0.17768587595427573,0.16604786236705166,0.39787814835300395,0.5598682957261375,0.5598094054969556,0.20540406133682013,130
B1_MLP,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.2081042653938683,0.6435791788792755,6.781188919295512,0.7748738475015147,0.6435791788792755,0.7748738475015147,0.271160735940627,0.256790484412421,0.5241418337495054,0.551240330760935,0.5024185664204902,0.21009322073868786,130
B1_MLP,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,0.5404224966141248,1.0745747287142682,10.858463626854448,0.7701887527026394,1.0745747287142682,0.7701887527026394,0.6081791295625842,0.619764015406419,0.633025717615922,0.5142587454429,0.5179169831110079,0.24594848267540534,130
B1_MLP,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.037754547658236826,0.5617994190892631,2.339098371438517,0.7496318598896055,0.5617994190892631,0.7496318598896055,0.13055846801146404,0.13047684438962065,0.5306117853927292,0.5807384091109687,0.43675466654203704,0.18421777004014683,145
B1_MLP,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.07331703279492391,0.45798448141602144,3.5489010973263726,0.7932692483731835,0.45798448141602144,0.7932692483731835,0.14770360676341962,0.1587017733606852,0.40341935612852403,0.5501104046934605,0.5177376550986142,0.2420792505679513,145
B1_MLP,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.1769807455793247,0.5830077404397983,6.747046451666632,0.7783761524323735,0.5830077404397983,0.7783761524323735,0.22709220813861086,0.25749033999619725,0.47119622157238455,0.5666716099927341,0.4805203776539838,0.23206224975842346,145
B1_MLP,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,0.4763530826790616,0.9997420167746045,10.12646357542699,0.7962088110528343,0.9997420167746045,0.7962088110528343,0.5261109947418394,0.6406553185269797,0.5587952077097657,0.5417777422349329,0.5143492872863826,0.27544538385127587,145
B1_MLP,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.03780980331178923,0.5623520851238576,2.0771227299478294,0.7067911879952425,0.5623520851238576,0.7067911879952425,0.15674492191118009,0.1291171069778127,0.5244041092362727,0.4985070116839354,0.47206943129230483,0.1679136527178141,144
B1_MLP,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.0707748892743836,0.42876025494639697,3.4762565392336024,0.7728803366426517,0.42876025494639697,0.7728803366426517,0.14786684880761344,0.1712483719185972,0.36420426461072025,0.5166811225858852,0.5361513743108125,0.20718671809958075,144
B1_MLP,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5,0.17320120138003728,0.5232371124329487,6.002796358887092,0.789681166169626,0.5232371124329487,0.789681166169626,0.25452592297223314,0.2416633958964725,0.3880624092154351,0.5445539568568949,0.5391336357743347,0.19076754192279835,144
B1_MLP,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,1.0,0.4574876926014684,0.9078444453779794,8.455322291016035,0.7485591530673115,0.9078444453779794,0.7485591530673115,0.5514133716927019,0.4942001494506924,0.5252533129881719,0.4704478645123743,0.5305512961485256,0.23986440872233813,144
B1_MLP,17,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.1,0.03483264256431456,0.5692552139899182,2.4865087823732717,0.7913882423627501,0.5692552139899182,0.7913882423627501,0.14436912430680138,0.1455102514737769,0.5310704485448546,0.550382331781681,0.5462022720297954,0.15823310981602978,153
B1_MLP,17,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.2,0.07387153689900569,0.4656452761763722,4.157371029415356,0.7676461904915575,0.4656452761763722,0.7676461904915575,0.17165810629698625,0.1587667182420305,0.4026811976571022,0.505366950025077,0.5411013066219866,0.2027172799011733,153
