model,seed,flight_id,cohort,horizon_s,n_windows,metric,value
B0_ConstantVelocity,,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.1,146,position_rmse_m,0.045816125687610454
B0_ConstantVelocity,,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.2,146,position_rmse_m,0.11870567170998804
B0_ConstantVelocity,,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.5,146,position_rmse_m,0.36745613330273375
B0_ConstantVelocity,,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,1.0,146,position_rmse_m,1.1517077365790138
B0_ConstantVelocity,,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.1,114,position_rmse_m,0.0460640569958241
B0_ConstantVelocity,,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.2,114,position_rmse_m,0.12283469867538276
B0_ConstantVelocity,,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.5,114,position_rmse_m,0.40801829699398234
B0_ConstantVelocity,,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,1.0,114,position_rmse_m,1.2291437209093927
B0_ConstantVelocity,,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.1,168,position_rmse_m,0.04009060860131239
B0_ConstantVelocity,,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.2,168,position_rmse_m,0.1021135147827056
B0_ConstantVelocity,,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.5,168,position_rmse_m,0.33337214768678647
B0_ConstantVelocity,,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,1.0,168,position_rmse_m,1.0358621912163142
B0_ConstantVelocity,,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.1,182,position_rmse_m,0.07092025226603703
B0_ConstantVelocity,,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.2,182,position_rmse_m,0.15008930891976316
B0_ConstantVelocity,,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.5,182,position_rmse_m,0.4045709336244179
B0_ConstantVelocity,,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,1.0,182,position_rmse_m,1.0939093241155373
B0_ConstantVelocity,,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.1,160,position_rmse_m,0.04831833114110963
B0_ConstantVelocity,,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.2,160,position_rmse_m,0.11593153344579703
B0_ConstantVelocity,,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.5,160,position_rmse_m,0.3483986685087798
B0_ConstantVelocity,,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,1.0,160,position_rmse_m,1.105623207007367
B0_ConstantVelocity,,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.1,161,position_rmse_m,0.049459443782580687
B0_ConstantVelocity,,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.2,161,position_rmse_m,0.12626180035794096
B0_ConstantVelocity,,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.5,161,position_rmse_m,0.375839480019815
B0_ConstantVelocity,,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,1.0,161,position_rmse_m,1.1541737270592642
B0_ConstantVelocity,,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.1,150,position_rmse_m,0.051959925367475
B0_ConstantVelocity,,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.2,150,position_rmse_m,0.13342410927123197
B0_ConstantVelocity,,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.5,150,position_rmse_m,0.3511100103018291
B0_ConstantVelocity,,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,1.0,150,position_rmse_m,1.0020829539995364
B0_ConstantVelocity,,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.1,155,position_rmse_m,0.07429297667126097
B0_ConstantVelocity,,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.2,155,position_rmse_m,0.15357513642050247
B0_ConstantVelocity,,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.5,155,position_rmse_m,0.4180224219323895
B0_ConstantVelocity,,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,1.0,155,position_rmse_m,1.177407574326336
B0_ConstantVelocity,,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.1,140,position_rmse_m,0.09484370267316387
B0_ConstantVelocity,,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.2,140,position_rmse_m,0.19861006284473218
B0_ConstantVelocity,,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.5,140,position_rmse_m,0.5477603859984179
B0_ConstantVelocity,,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,1.0,140,position_rmse_m,1.3837811071607933
B0_ConstantVelocity,,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.1,201,position_rmse_m,0.055199996224780466
B0_ConstantVelocity,,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.2,201,position_rmse_m,0.1271812399019229
B0_ConstantVelocity,,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.5,201,position_rmse_m,0.38103992686697014
B0_ConstantVelocity,,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,1.0,201,position_rmse_m,1.0833916205147986
B0_ConstantVelocity,,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.1,164,position_rmse_m,0.13500953682774294
B0_ConstantVelocity,,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.2,164,position_rmse_m,0.28555975317665927
B0_ConstantVelocity,,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.5,164,position_rmse_m,0.7609035451059949
B0_ConstantVelocity,,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,1.0,164,position_rmse_m,1.8286231491076492
B1_MLP,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.1,130,position_rmse_m,0.04114138413599375
B1_MLP,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.2,130,position_rmse_m,0.08164375726276886
B1_MLP,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.5,130,position_rmse_m,0.2081042653938683
B1_MLP,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,1.0,130,position_rmse_m,0.5404224966141248
B1_MLP,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.1,145,position_rmse_m,0.037754547658236826
B1_MLP,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.2,145,position_rmse_m,0.07331703279492391
B1_MLP,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.5,145,position_rmse_m,0.1769807455793247
B1_MLP,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,1.0,145,position_rmse_m,0.4763530826790616
B1_MLP,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.1,144,position_rmse_m,0.03780980331178923
B1_MLP,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.2,144,position_rmse_m,0.0707748892743836
B1_MLP,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.5,144,position_rmse_m,0.17320120138003728
B1_MLP,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,1.0,144,position_rmse_m,0.4574876926014684
B1_MLP,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.1,153,position_rmse_m,0.03483264256431456
B1_MLP,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.2,153,position_rmse_m,0.07387153689900569
B1_MLP,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.5,153,position_rmse_m,0.20291874673718657
B1_MLP,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,1.0,153,position_rmse_m,0.5618185872499116
B1_MLP,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.1,138,position_rmse_m,0.0330288111141753
B1_MLP,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.2,138,position_rmse_m,0.06902876609869044
B1_MLP,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.5,138,position_rmse_m,0.19064742565891843
B1_MLP,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,1.0,138,position_rmse_m,0.4936332279090189
B1_MLP,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.1,131,position_rmse_m,0.04394193862185043
B1_MLP,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.2,131,position_rmse_m,0.08094634290513665
B1_MLP,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.5,131,position_rmse_m,0.19853455102055653
B1_MLP,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,1.0,131,position_rmse_m,0.4873440682353679
B1_MLP,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.1,146,position_rmse_m,0.03443766866956353
B1_MLP,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.2,146,position_rmse_m,0.07362278374904556
B1_MLP,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.5,146,position_rmse_m,0.1767061176807499
B1_MLP,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,1.0,146,position_rmse_m,0.48324906940040707
B1_MLP,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.1,114,position_rmse_m,0.032582032076939216
B1_MLP,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.2,114,position_rmse_m,0.07634345989143719
B1_MLP,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.5,114,position_rmse_m,0.21487069307866177
B1_MLP,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,1.0,114,position_rmse_m,0.5357520002489771
B1_MLP,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.1,168,position_rmse_m,0.03342837022523515
B1_MLP,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.2,168,position_rmse_m,0.06401934186449001
B1_MLP,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.5,168,position_rmse_m,0.1563515082669405
B1_MLP,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,1.0,168,position_rmse_m,0.39901632366740447
B1_MLP,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.1,182,position_rmse_m,0.06631193720251732
B1_MLP,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.2,182,position_rmse_m,0.1244145001619392
B1_MLP,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.5,182,position_rmse_m,0.29544560536403974
B1_MLP,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,1.0,182,position_rmse_m,0.6743941846291538
B1_MLP,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.1,160,position_rmse_m,0.03675059458498258
B1_MLP,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.2,160,position_rmse_m,0.06707118959286278
B1_MLP,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.5,160,position_rmse_m,0.1582002015310247
B1_MLP,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,1.0,160,position_rmse_m,0.4120360404370507
B1_MLP,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.1,161,position_rmse_m,0.03770080213010696
B1_MLP,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.2,161,position_rmse_m,0.07988804517612222
B1_MLP,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.5,161,position_rmse_m,0.1842069204481685
B1_MLP,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,1.0,161,position_rmse_m,0.47804969138300185
B1_MLP,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.1,150,position_rmse_m,0.039801106204023225
B1_MLP,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.2,150,position_rmse_m,0.08779960733893924
B1_MLP,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.5,150,position_rmse_m,0.18571833104164437
B1_MLP,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,1.0,150,position_rmse_m,0.44287026881992503
B1_MLP,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.1,155,position_rmse_m,0.0663147058925364
B1_MLP,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.2,155,position_rmse_m,0.12191620339483435
B1_MLP,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.5,155,position_rmse_m,0.2665467367190824
B1_MLP,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,1.0,155,position_rmse_m,0.5342081412078653
B1_MLP,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.1,140,position_rmse_m,0.08915171525946229
B1_MLP,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.2,140,position_rmse_m,0.1746782203062366
B1_MLP,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.5,140,position_rmse_m,0.4417979441066201
B1_MLP,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,1.0,140,position_rmse_m,0.9073668487712406
B1_MLP,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.1,201,position_rmse_m,0.04480938093088337
B1_MLP,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.2,201,position_rmse_m,0.08368462163259072
B1_MLP,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.5,201,position_rmse_m,0.2238031664303378
B1_MLP,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,1.0,201,position_rmse_m,0.4979097666285849
B1_MLP,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.1,164,position_rmse_m,0.13045318735058956
B1_MLP,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.2,164,position_rmse_m,0.26948118875158894
B1_MLP,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.5,164,position_rmse_m,0.6733289571698067
B1_MLP,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,1.0,164,position_rmse_m,1.3966531498513906
B1_MLP,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.1,130,position_rmse_m,0.0414986925541165
B1_MLP,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.2,130,position_rmse_m,0.08275863652007809
B1_MLP,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.5,130,position_rmse_m,0.2021334197461967
B1_MLP,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,1.0,130,position_rmse_m,0.5340407136113021
B1_MLP,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.1,145,position_rmse_m,0.03673429953691276
B1_MLP,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.2,145,position_rmse_m,0.07338003908933674
B1_MLP,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.5,145,position_rmse_m,0.1789336722045757
B1_MLP,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,1.0,145,position_rmse_m,0.4800223436162491
B1_MLP,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.1,144,position_rmse_m,0.03757013473721616
B1_MLP,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.2,144,position_rmse_m,0.07011136129186057
B1_MLP,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.5,144,position_rmse_m,0.17082540065352775
B1_MLP,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,1.0,144,position_rmse_m,0.4488729520934872
B1_MLP,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.1,153,position_rmse_m,0.03525436759320499
B1_MLP,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.2,153,position_rmse_m,0.07448852757007843
B1_MLP,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.5,153,position_rmse_m,0.20392513035061777
B1_MLP,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,1.0,153,position_rmse_m,0.5555555739419571
B1_MLP,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.1,138,position_rmse_m,0.032520189424827275
B1_MLP,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.2,138,position_rmse_m,0.06794723785436212
B1_MLP,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.5,138,position_rmse_m,0.18653808317714277
B1_MLP,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,1.0,138,position_rmse_m,0.4813534832397541
B1_MLP,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.1,131,position_rmse_m,0.044291735822973265
B1_MLP,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.2,131,position_rmse_m,0.0809620215955217
B1_MLP,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.5,131,position_rmse_m,0.19241440865530296
B1_MLP,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,1.0,131,position_rmse_m,0.4684952688092332
B1_MLP,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.1,146,position_rmse_m,0.03433429515541099
B1_MLP,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.2,146,position_rmse_m,0.07272730709621042
B1_MLP,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.5,146,position_rmse_m,0.17416371971944258
B1_MLP,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,1.0,146,position_rmse_m,0.4777765756522878
B1_MLP,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.1,114,position_rmse_m,0.032171689130232425
B1_MLP,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.2,114,position_rmse_m,0.07425589976940923
B1_MLP,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.5,114,position_rmse_m,0.2014976277442913
B1_MLP,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,1.0,114,position_rmse_m,0.4798611309825434
B1_MLP,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.1,168,position_rmse_m,0.03409877890665083
B1_MLP,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.2,168,position_rmse_m,0.0653606126104181
B1_MLP,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.5,168,position_rmse_m,0.16534999652384302
B1_MLP,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,1.0,168,position_rmse_m,0.41795694809519573
B1_MLP,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.1,182,position_rmse_m,0.06647391963323251
B1_MLP,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.2,182,position_rmse_m,0.12453452828114628
B1_MLP,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.5,182,position_rmse_m,0.2926181170373168
B1_MLP,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,1.0,182,position_rmse_m,0.6712026203678448
B1_MLP,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.1,160,position_rmse_m,0.036308319720713564
B1_MLP,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.2,160,position_rmse_m,0.06469249494638621
B1_MLP,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.5,160,position_rmse_m,0.146606796556506
B1_MLP,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,1.0,160,position_rmse_m,0.41591901514050783
B1_MLP,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.1,161,position_rmse_m,0.038827982012763836
B1_MLP,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.2,161,position_rmse_m,0.07930369993969619
B1_MLP,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.5,161,position_rmse_m,0.17917815627965414
B1_MLP,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,1.0,161,position_rmse_m,0.47049546475140513
B1_MLP,23,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.1,150,position_rmse_m,0.040390255999045985
B1_MLP,23,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.2,150,position_rmse_m,0.08949552170942449
B1_MLP,23,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.5,150,position_rmse_m,0.19272405199993642
B1_MLP,23,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,1.0,150,position_rmse_m,0.44376272092423225
B1_MLP,23,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.1,155,position_rmse_m,0.06594854694315203
B1_MLP,23,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.2,155,position_rmse_m,0.12107042461996306
B1_MLP,23,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.5,155,position_rmse_m,0.26170253324448417
B1_MLP,23,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,1.0,155,position_rmse_m,0.515121034700931
B1_MLP,23,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.1,140,position_rmse_m,0.08906842589829901
B1_MLP,23,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.2,140,position_rmse_m,0.17405437329739745
B1_MLP,23,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.5,140,position_rmse_m,0.437048542614385
B1_MLP,23,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,1.0,140,position_rmse_m,0.8816597255837204
B1_MLP,23,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.1,201,position_rmse_m,0.04468394989677274
B1_MLP,23,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.2,201,position_rmse_m,0.08303701114622872
B1_MLP,23,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.5,201,position_rmse_m,0.21983464270082856
B1_MLP,23,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,1.0,201,position_rmse_m,0.48549725155317147
B1_MLP,23,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.1,164,position_rmse_m,0.13033956945628516
B1_MLP,23,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.2,164,position_rmse_m,0.2685638144360481
B1_MLP,23,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.5,164,position_rmse_m,0.6719929987153572
B1_MLP,23,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,1.0,164,position_rmse_m,1.3954827813812034
B1_MLP,42,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.1,130,position_rmse_m,0.041144104322407886
B1_MLP,42,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.2,130,position_rmse_m,0.08254231594281959
B1_MLP,42,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.5,130,position_rmse_m,0.20832672517790765
B1_MLP,42,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,1.0,130,position_rmse_m,0.5514353359679461
B1_MLP,42,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.1,145,position_rmse_m,0.03716347887388878
B1_MLP,42,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.2,145,position_rmse_m,0.07503507808035019
B1_MLP,42,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.5,145,position_rmse_m,0.18219324947848806
B1_MLP,42,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,1.0,145,position_rmse_m,0.47277825101152526
