cohort,horizon_s,metric,mlp_mean,gru_mean,absolute_gain,relative_gain_pct,seeds_gru_better,seeds_mlp_better,seeds_tied,flights_gru_better,flights_mlp_better,flights_tied,n_flights
Sep17,1.0,body_rate_rmse_rad_s,0.7813043721991525,0.6173651306076728,0.16393924159147966,20.982762598657512,3,0,0,8,0,0,8
Sep17,1.0,position_rmse_m,0.4970398396610669,0.3681691488196273,0.1288706908414396,25.927638100261127,3,0,0,8,0,0,8
Sep17,1.0,velocity_rmse_m_s,0.9556061829615735,0.6881681494601165,0.267438033501457,27.986218409829096,3,0,0,8,0,0,8
Sep7,0.1,attitude_error_deg,1.8511660262095078,1.3518853504819213,0.4992806757275865,26.97114514087781,3,0,0,9,0,0,9
Sep7,0.1,body_rate_rmse_rad_s,0.7065712945360456,0.5612731696335446,0.14529812490250105,20.56383071688581,3,0,0,9,0,0,9
Sep7,0.1,position_rmse_m,0.060658773472000736,0.0500591702310323,0.010599603240968439,17.47414699352777,3,0,0,9,0,0,9
Sep7,0.1,velocity_rmse_m_s,0.5163835232096488,0.13750282218963325,0.3788807010200155,73.3719578550906,3,0,0,9,0,0,9
Sep7,0.2,attitude_error_deg,2.7274504678526714,2.0367704978430776,0.6906799700095938,25.323281876255955,3,0,0,9,0,0,9
Sep7,0.2,body_rate_rmse_rad_s,0.7456577500490994,0.5922815168826502,0.15337623316644922,20.569253542439522,3,0,0,9,0,0,9
Sep7,0.2,position_rmse_m,0.11901524118870584,0.09704252995777136,0.021972711230934472,18.462098645076402,3,0,0,9,0,0,9
Sep7,0.2,velocity_rmse_m_s,0.4120964479823321,0.17312521479260293,0.23897123318972915,57.98915141340277,3,0,0,9,0,0,9
Sep7,0.5,attitude_error_deg,4.5424069359372305,3.641853556010805,0.9005533799264254,19.82546682028203,3,0,0,9,0,0,9
Sep7,0.5,body_rate_rmse_rad_s,0.755447383946381,0.6282724179299914,0.12717496601638956,16.834390947525737,3,0,0,9,0,0,9
Sep7,0.5,position_rmse_m,0.2849394143969893,0.2484938038804437,0.036445610516545573,12.790652565098648,3,0,0,9,0,0,9
Sep7,0.5,velocity_rmse_m_s,0.5107543997243761,0.3427786484685312,0.1679757512558449,32.88777372186935,3,0,0,9,0,0,9
Sep7,1.0,attitude_error_deg,7.167928100593403,5.9165544682314755,1.2513736323619273,17.457954583254416,3,0,0,9,0,0,9
Sep7,1.0,body_rate_rmse_rad_s,0.7575865866823763,0.6243690023470577,0.1332175843353186,17.584469772452696,3,0,0,9,0,0,9
Sep7,1.0,position_rmse_m,0.6301219130724816,0.568097537221355,0.06202437585112652,9.843234232038522,3,0,0,8,1,0,9
Sep7,1.0,velocity_rmse_m_s,0.778454699594176,0.6118197680844445,0.16663493150973152,21.405861072789676,3,0,0,9,0,0,9
