split,log_id,segment_id,target,steps,count,rmse,r2,truth_increment_rms,signal
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,10,1722,1.05317365891804,0.1867155400804286,1.167846262267649,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,25,1707,0.1525413486579808,0.9811149009434614,1.1123286204264142,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,D2_center10,25,1707,0.699613016355221,0.426723235782235,0.924213108168586,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,2,4016,9.504625803880929e-18,1.0,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,2,4016,4.0648469693312657e-17,1.0,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,5,4013,1.3394294204403929e-17,1.0,0.8355030329304803,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,5,4013,6.126042629643948e-17,1.0,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,10,4008,2.3072357222974602e-17,1.0,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,10,4008,8.878155449610094e-17,1.0,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,25,3993,3.6707321766027905e-17,1.0,1.5128685451238206,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D0_raw,25,3993,1.401760348864579e-16,1.0,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,2,4016,0.2024410859057391,0.7628335695250851,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,2,4016,0.8543359341276989,0.2097929601419711,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,5,4013,0.3568727868601624,0.8174571643550546,0.8355030329304803,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,5,4013,0.832150133759079,0.5339155719241002,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,10,4008,0.2324844002445872,0.9247413789896242,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,10,4008,0.7878033509543806,0.5229727325700746,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,25,3993,0.1872042111955119,0.9846231427093334,1.5128685451238206,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp4,25,3993,0.7453769445690551,0.5507127994818164,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,2,4016,0.0888156927985708,0.9543505744891582,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,2,4016,0.7734680877258646,0.3523082767692277,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,5,4013,0.0800955100484548,0.9908049462850044,0.8355030329304803,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,5,4013,0.6033547793861729,0.7549770675238164,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,10,4008,0.0919253220270616,0.988233726412604,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,10,4008,0.6975789007502788,0.6259805135707284,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,25,3993,0.0762822989781419,0.9974468054885812,1.5128685451238206,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp6,25,3993,0.6410550153571167,0.6676752090348457,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,2,4016,0.0604486354690881,0.9788539670615564,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,2,4016,0.6779377358265745,0.5024197150544212,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,5,4013,0.0486398689406833,0.9966090395840652,0.8355030329304803,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,5,4013,0.5106619227717463,0.8244793692275963,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,10,4008,0.0577465770226578,0.9953567601853488,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,10,4008,0.5701033254444681,0.7501871894199641,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,25,3993,0.0513060712216501,0.998845021565982,1.5128685451238206,velocity
