variable,split,channel,step,output,bin,bin_edges,near_zero_fraction,positive_fraction,negative_fraction,count,mean,std,min,p1,median,p99,max
motor,train,motor,5,ax_b,0,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,198,0.4046560653080844,0.14602102532135836,0.0647306442260742,0.0719910860061645,0.40507313609123224,0.8332970142364502,0.8805691599845886
motor,train,motor,5,ax_b,1,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,202,0.4177566165528675,0.11330464221654264,0.0904798433184623,0.09313742816448206,0.4244893491268158,0.775493882894516,0.8665918707847595
motor,train,motor,5,ax_b,2,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,200,0.36875411262735724,0.12462696163253903,0.0489950142800807,0.061725672334432526,0.3788470923900604,0.7386011779308318,0.8470937013626099
motor,train,motor,5,ay_b,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.8787878787878788,0.12121212121212122,198,0.04804570632904407,0.04674410129362258,-0.0743865966796875,-0.05295157071202987,0.040233131498098304,0.19215343892574308,0.2263784259557724
motor,train,motor,5,ay_b,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.8564356435643564,0.14356435643564355,202,0.041133546666465466,0.03910685730351502,-0.0782012939453125,-0.04805922139436004,0.03966688923537725,0.12847006313502793,0.1862048953771591
motor,train,motor,5,ay_b,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.87,0.13,200,0.03575116240943313,0.03669540243732181,-0.1115798875689506,-0.05262016873806708,0.03479421138763425,0.1175886318832632,0.1762509196996688
motor,train,motor,5,az_b,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.0,1.0,198,-0.3908429868669823,0.14047279408659089,-0.8712112307548523,-0.8188813328742981,-0.39550659060478205,-0.06522774685174226,-0.0555515252053737
motor,train,motor,5,az_b,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.0,1.0,202,-0.3849418221023118,0.11229184460083147,-0.8422731757164001,-0.6297113901376724,-0.39181110262870783,-0.08280306309461584,-0.0557303391396999
motor,train,motor,5,az_b,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.015,0.985,200,-0.2966100194351748,0.13398428213139366,-0.7359384894371033,-0.5916583532094956,-0.2969875931739807,0.013906954796984733,0.0165104866027832
motor,train,motor,5,frequency_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,198,9.32614329366973,1.0247054327399798,5.757390975952148,6.106301374435425,9.618088245391846,10.770460968017579,10.805367469787598
motor,train,motor,5,frequency_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,202,9.553683609065443,0.7351889076133766,6.552882194519043,6.592934846878052,9.675297737121582,10.689818172454835,10.76228141784668
motor,train,motor,5,frequency_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,200,8.839334392547608,0.9477947063998073,5.15964412689209,5.442887296676636,9.101502418518066,10.295906982421874,10.342828750610352
motor,train,motor,5,p_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.005050505050505051,0.3787878787878788,0.6161616161616161,198,-0.1825481965535819,0.8345242618419848,-3.205418348312378,-2.3751544952392574,-0.14188885688781736,1.7624329328536987,3.5548207759857178
motor,train,motor,5,p_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.5,0.5,202,0.04448367234424337,0.9092435629686972,-3.6840436458587646,-1.9410322904586792,-0.0011920928081963502,1.7823361158370976,2.187669277191162
motor,train,motor,5,p_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.495,0.505,200,-0.06541803235420957,0.8947510172261551,-3.631591558456421,-2.329187390804291,-0.02270936942659315,2.0656806206703133,3.0770299434661865
motor,train,motor,5,q_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.2676767676767677,0.7323232323232324,198,-0.13790874203109663,0.2770245845211021,-1.60670268535614,-1.0593163967132568,-0.09989737719297405,0.48506495445966724,0.5918741226196289
motor,train,motor,5,q_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.33663366336633666,0.6633663366336634,202,-0.10013771657013602,0.30291010256448936,-0.7677077651023865,-0.6878846287727356,-0.0728964805603027,0.8217740213871031,1.302122950553894
motor,train,motor,5,q_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.31,0.69,200,-0.15353443127823993,0.3476788984751756,-1.2992619276046753,-0.8922582268714905,-0.1295804977416992,0.7483112215995777,0.8707045912742615
motor,train,motor,5,r_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9646464646464646,0.03535353535353535,198,0.18157380075908897,0.11607244190257156,-0.1065656468272209,-0.04001408793032163,0.18233431875705713,0.5177204310894012,0.5884021520614624
motor,train,motor,5,r_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9801980198019802,0.019801980198019802,202,0.2126811260846213,0.11024847108761995,-0.0404268465936183,-0.020427553001791207,0.20870192348957056,0.5586159226298337,0.6896852850914001
motor,train,motor,5,r_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.965,0.035,200,0.19564684107666835,0.1289180008472062,-0.0730156898498535,-0.03474444147199387,0.19511578977108002,0.6329082846641529,0.9025930762290956
motor,train,rudder,0,ax_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,ax_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,ax_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,ay_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,ay_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,ay_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,az_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,az_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,az_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,frequency_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,frequency_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,frequency_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,p_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,p_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,p_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,q_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,q_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,q_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,r_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,r_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,0,r_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,ax_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,ax_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,ax_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,ay_b,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9797979797979798,0.020202020202020204,198,0.22457162710612244,0.11099039672522316,-0.0592470131814479,-0.01700580114498727,0.23162363469600677,0.5061554908752441,0.594407320022583
motor,train,rudder,1,ay_b,1,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,202,0.26815892127111995,0.10626268915158124,0.0385046005249023,0.04991709813475603,0.26917457580566406,0.5118021366000177,0.5586147308349609
motor,train,rudder,1,ay_b,2,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,200,0.31183196432422844,0.11187673007437093,0.012457369826734,0.06390511989593506,0.31244754791259766,0.5657184123992917,0.6348490118980408
motor,train,rudder,1,az_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,az_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,az_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,frequency_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,frequency_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,frequency_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,p_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,p_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,p_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,q_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,q_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,q_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,rudder,1,r_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9696969696969697,0.030303030303030304,198,0.4966111798874206,0.2675940910213366,-0.1453086733818054,-0.05020312603563067,0.5015730708837509,1.2093812227249146,1.4353989362716677
motor,train,rudder,1,r_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,202,0.6563124259804735,0.2329321858102674,0.1765489429235458,0.20676104724407193,0.6607844829559326,1.2112593650817878,1.327752947807312
motor,train,rudder,1,r_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,1.0,0.0,200,0.7854761873884126,0.25708554899478187,0.0123977651819586,0.22270201146602628,0.7788389325141907,1.4116446971893302,1.5281437635421753
motor,train,rudder,5,ax_b,0,"[0.6546761393547058, 0.7413855989774009]",0.005050505050505051,0.6717171717171717,0.32323232323232326,198,0.0028509852273977186,0.009551261848592668,-0.025212762877345,-0.020376740023493708,0.0026077029760926502,0.030772386174648968,0.0569820366799831
motor,train,rudder,5,ax_b,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.5396039603960396,0.4603960396039604,202,0.0013381905745077144,0.011452706920564824,-0.0416934452950954,-0.022377667967230057,0.0010430812835693,0.03220111129805443,0.0610351525247097
motor,train,rudder,5,ax_b,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.545,0.455,200,-0.001062471409431969,0.015110755180306837,-0.0769197940826416,-0.03875017162412402,0.0009238719358108,0.025669036451727065,0.0485181771218776
motor,train,rudder,5,ay_b,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9848484848484849,0.015151515151515152,198,0.5756878187513035,0.2190909793723254,-0.0902414247393608,-0.004898309707641515,0.5896985530853271,1.0083651542663574,1.0342001914978027
motor,train,rudder,5,ay_b,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9702970297029703,0.0297029702970297,202,0.6203434185014282,0.26264159511755264,-0.1852512210607528,-0.06976097818464032,0.6592869162559509,1.0504111647605896,1.0613799095153809
motor,train,rudder,5,ay_b,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.995,0.005,200,0.6519373889826238,0.2651989457301468,-0.1213550493121147,0.07144927974790333,0.7111727595329285,1.1330586671829221,1.1811256408691406
motor,train,rudder,5,az_b,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9747474747474747,0.025252525252525252,198,0.053814863502118476,0.03466939402547608,-0.0073909754864871,-0.003243684542830983,0.05212425813078875,0.14119550541043283,0.2205371707677841
motor,train,rudder,5,az_b,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9801980198019802,0.019801980198019802,202,0.06314588015055336,0.032289340803554514,-0.0134706487879157,-0.007339715496636876,0.0607967339456081,0.16198872029781342,0.1844167560338974
motor,train,rudder,5,az_b,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.96,0.04,200,0.06678543626156165,0.03668658347509713,-0.052690502256155,-0.009564161300659142,0.0669658184051513,0.16043899953365318,0.1711845248937606
motor,train,rudder,5,frequency_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.025252525252525252,0.9747474747474747,0.0,198,0.03768500397358122,0.018171209080280932,0.0,0.0,0.0358521938323974,0.08783540874719616,0.0995416119694709
