split,log_id,representation,order,signal,fit_r2,heldout_r2,harmonic_variance_fraction,n_cycles
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,r,0.018481213069256652,0.002666946173454421,0.030324721818473177,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,ax_n,0.008362588533707638,0.024307159438274994,0.014505083127899932,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,ay_n,0.00016466872452713943,-0.010091279562639555,0.0004885604951329194,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,az_n,0.9457918080801794,0.8747447406819772,1.4923854919182977,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,p_dot,0.27036692724609335,0.03489176140855943,0.5591506062846029,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,q_dot,0.6824560732107603,0.48505968159547896,1.0250628836950628,597
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,within_log_native,3,r_dot,0.2172790410871992,-0.056719831470646076,0.5531444296971102,597
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,p,0.2677196322302432,0.23194472125062593,0.29832119263104023,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,q,0.4791064082012273,0.21167754358207724,0.5123386916555657,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,r,0.0017158690498040308,0.0016272580438945194,0.0017854382139437727,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,ax_n,0.030222609069930906,-0.04002867090713624,0.03267386361634676,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,ay_n,0.006532444323010922,-0.025340844628576997,0.010622711941385105,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,az_n,0.9285023213830852,0.9058767603623966,1.2224495960676782,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,p_dot,0.10669068364854795,0.07481875456929032,0.12422045545036668,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,q_dot,0.3030934409035356,0.1318053305815463,0.39264764939237756,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,1,r_dot,0.0032184978303185785,0.00569192412150088,0.0048616673912034915,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,p,0.2753530439551043,0.23707114957020414,0.3068271377148354,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,q,0.6123728399216397,0.38951247130723887,0.6548488900175233,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,r,0.014447767662273181,0.006241625240793414,0.015033546116673546,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,ax_n,0.030647535670974335,-0.04068410374631459,0.033133254590082026,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,ay_n,0.030352418167984507,-0.10204289385340348,0.04935748074992506,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,az_n,0.9372540427289562,0.9130340569593256,1.2339719563006826,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,p_dot,0.11657472684885739,0.08193539541730699,0.1357284925726901,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,q_dot,0.5542482624935066,0.479085615111155,0.7180105145104305,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,2,r_dot,0.163515271974768,0.059018646925534934,0.24699624099010742,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,p,0.36170300572798664,0.312340769898655,0.40304728924102967,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,q,0.6649274043941928,0.42864771901716436,0.7110487995605561,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,r,0.016691962532257354,0.0080612451969444,0.017368730891329728,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,ax_n,0.031031453303677292,-0.04359300905637231,0.03354831049547461,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,ay_n,0.03291764313589718,-0.10583158600204934,0.05352891253741034,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,az_n,0.9452284637630954,0.9187973186403253,1.2444709368067697,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,p_dot,0.4042156737874737,0.30771416242495264,0.4706301748282043,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,q_dot,0.7708842759817127,0.650084320711245,0.9986553916028108,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_cycle,3,r_dot,0.2198609669446353,0.11763230260028812,0.3321086264294316,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,p,0.00022283081835927643,-0.0003626045483173801,0.0002479932798297115,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,q,0.001000191507484094,3.010359172439525e-05,0.001045273483811209,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,r,4.032534687725686e-05,-0.00030806595031540596,4.023893847421209e-05,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,ax_n,7.746700342403656e-05,-0.0002479440709193259,8.434336772916395e-05,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,ay_n,4.566570583219853e-05,-0.0005969499741940165,6.99501930013022e-05,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,az_n,0.0012933716751091229,0.0008849430363470079,0.001732772092716107,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,p_dot,0.00013147927233037038,9.390061559166885e-05,0.00015129671915874344,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,q_dot,0.0009619795033568579,0.00029928700383707874,0.001259329604156808,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,t0_relative,3,r_dot,0.00037548582446067513,-0.0003003663382115107,0.0005831424371643821,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,p,0.3512180127744656,0.2706281055932124,0.38981110875944736,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,q,0.6552338953516238,0.3874614501964496,0.6794487556782135,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,r,0.019239246357321438,0.007479545827699274,0.019697201114696444,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,ax_n,0.027753391181402187,-0.008549300703915907,0.030107694734154613,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,ay_n,0.027669178274977946,-0.0726930775792316,0.042109399546987454,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,az_n,0.9316496804071351,0.9033753042861791,1.2511348264703015,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,p_dot,0.33763346599573363,0.22781850978747353,0.3874618233764815,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,q_dot,0.6974204090466192,0.5795509177572433,0.9150668878339687,633
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,within_log_native,3,r_dot,0.17492976804562765,0.08342979897791913,0.27671388609705916,633
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,p,0.18043805690144343,0.1885143188750361,0.19501326801933874,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,q,0.44193164268280494,0.18995522955417454,0.4511467245400565,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,r,0.0030559787900513724,0.002386720711940682,0.0029838342231268884,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,ax_n,0.02276189589020794,-0.00012564382031476917,0.026462181674754965,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,ay_n,0.0029503470915417385,-0.006699710905033962,0.003443740844855814,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,az_n,0.9314721418906051,0.9153527573443739,1.161497379836641,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,p_dot,0.06402166704002754,0.06093064850817609,0.0750358916789308,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,q_dot,0.26007581079515485,0.11914029391646852,0.31531969816086874,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,1,r_dot,0.011180674782355404,0.007991208830499641,0.017032020427423956,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,p,0.18978561906989178,0.1942537089413976,0.20511589646583508,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,q,0.6071098754291939,0.39727304840629585,0.6197692251070375,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,r,0.01221415552613403,0.005196710990428621,0.011925807660746413,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,ax_n,0.02394844272598584,-0.010109957532234315,0.027841619401973047,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,ay_n,0.021115452738795337,-0.03352436382868729,0.02464664149607174,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,az_n,0.940004912694306,0.9234843601046501,1.1721373018327295,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,p_dot,0.07549211435321335,0.06782305342689432,0.08847970346788298,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,q_dot,0.5602757568369503,0.5005865609454075,0.679286481862888,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,2,r_dot,0.14316956228510846,0.04574040379262734,0.2180965779698349,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,p,0.2671942596030593,0.26468908384174494,0.28877736025311496,617
