split,scope,representation,k,target,signal,radius,n_queries,conditional_variance_ratio
train,other_log,actuator,20,increment2,angular,0.25,0,
train,other_log,actuator,20,increment2,linear,0.5,493,0.8208053415607148
train,other_log,actuator,20,increment2,angular,0.5,493,0.5233318589776487
train,other_log,actuator,20,increment2,linear,1.0,1170,0.8475386781724323
train,other_log,actuator,20,increment2,angular,1.0,1170,0.5772441966914559
train,other_log,gru26,5,D0_raw,linear,0.25,0,
train,other_log,gru26,5,D0_raw,angular,0.25,0,
train,other_log,gru26,5,D0_raw,linear,0.5,344,0.49011756237290777
train,other_log,gru26,5,D0_raw,angular,0.5,344,0.5076655117724105
train,other_log,gru26,5,D0_raw,linear,1.0,1190,0.579220211336209
train,other_log,gru26,5,D0_raw,angular,1.0,1190,0.5868910164972545
train,other_log,gru26,5,D1_lp6,linear,0.25,0,
train,other_log,gru26,5,D1_lp6,angular,0.25,0,
train,other_log,gru26,5,D1_lp6,linear,0.5,344,0.4922896900398268
train,other_log,gru26,5,D1_lp6,angular,0.5,344,0.23502831061218818
train,other_log,gru26,5,D1_lp6,linear,1.0,1190,0.5667782230737114
train,other_log,gru26,5,D1_lp6,angular,1.0,1190,0.28739094603742016
train,other_log,gru26,5,increment2,linear,0.25,0,
train,other_log,gru26,5,increment2,angular,0.25,0,
train,other_log,gru26,5,increment2,linear,0.5,344,0.4545168900718553
train,other_log,gru26,5,increment2,angular,0.5,344,0.38480995197337026
train,other_log,gru26,5,increment2,linear,1.0,1190,0.5397410452989314
train,other_log,gru26,5,increment2,angular,1.0,1190,0.4617216866736337
train,other_log,gru26,20,D0_raw,linear,0.25,0,
train,other_log,gru26,20,D0_raw,angular,0.25,0,
train,other_log,gru26,20,D0_raw,linear,0.5,74,0.5734307966598895
train,other_log,gru26,20,D0_raw,angular,0.5,74,0.5265258320501824
train,other_log,gru26,20,D0_raw,linear,1.0,1182,0.6768069156950963
train,other_log,gru26,20,D0_raw,angular,1.0,1182,0.6143906309025624
train,other_log,gru26,20,D1_lp6,linear,0.25,0,
train,other_log,gru26,20,D1_lp6,angular,0.25,0,
train,other_log,gru26,20,D1_lp6,linear,0.5,74,0.5940151583355076
train,other_log,gru26,20,D1_lp6,angular,0.5,74,0.25049461142960705
train,other_log,gru26,20,D1_lp6,linear,1.0,1182,0.6695960473318043
train,other_log,gru26,20,D1_lp6,angular,1.0,1182,0.32866294383972
train,other_log,gru26,20,increment2,linear,0.25,0,
train,other_log,gru26,20,increment2,angular,0.25,0,
train,other_log,gru26,20,increment2,linear,0.5,74,0.5370409538708
train,other_log,gru26,20,increment2,angular,0.5,74,0.4257570911032471
train,other_log,gru26,20,increment2,linear,1.0,1182,0.6358047125352372
train,other_log,gru26,20,increment2,angular,1.0,1182,0.501144464905629
train,other_log,gru26_airdata,5,D0_raw,linear,0.25,0,
train,other_log,gru26_airdata,5,D0_raw,angular,0.25,0,
train,other_log,gru26_airdata,5,D0_raw,linear,0.5,300,0.4711509559771662
train,other_log,gru26_airdata,5,D0_raw,angular,0.5,300,0.49313303609468156
train,other_log,gru26_airdata,5,D0_raw,linear,1.0,1184,0.5696542218756366
train,other_log,gru26_airdata,5,D0_raw,angular,1.0,1184,0.578423688004247
train,other_log,gru26_airdata,5,D1_lp6,linear,0.25,0,
train,other_log,gru26_airdata,5,D1_lp6,angular,0.25,0,
train,other_log,gru26_airdata,5,D1_lp6,linear,0.5,300,0.47426925736127545
train,other_log,gru26_airdata,5,D1_lp6,angular,0.5,300,0.22071928396199703
train,other_log,gru26_airdata,5,D1_lp6,linear,1.0,1184,0.557197690307326
train,other_log,gru26_airdata,5,D1_lp6,angular,1.0,1184,0.27469416613874903
train,other_log,gru26_airdata,5,increment2,linear,0.25,0,
train,other_log,gru26_airdata,5,increment2,angular,0.25,0,
train,other_log,gru26_airdata,5,increment2,linear,0.5,300,0.44487587956117114
train,other_log,gru26_airdata,5,increment2,angular,0.5,300,0.3610667669502579
train,other_log,gru26_airdata,5,increment2,linear,1.0,1184,0.5276278159827393
train,other_log,gru26_airdata,5,increment2,angular,1.0,1184,0.43911154827491344
train,other_log,gru26_airdata,20,D0_raw,linear,0.25,0,
train,other_log,gru26_airdata,20,D0_raw,angular,0.25,0,
train,other_log,gru26_airdata,20,D0_raw,linear,0.5,57,0.5551489199499389
train,other_log,gru26_airdata,20,D0_raw,angular,0.5,57,0.4953981524090924
train,other_log,gru26_airdata,20,D0_raw,linear,1.0,1174,0.6750581997595918
train,other_log,gru26_airdata,20,D0_raw,angular,1.0,1174,0.5967948015116982
train,other_log,gru26_airdata,20,D1_lp6,linear,0.25,0,
train,other_log,gru26_airdata,20,D1_lp6,angular,0.25,0,
train,other_log,gru26_airdata,20,D1_lp6,linear,0.5,57,0.588104806237478
train,other_log,gru26_airdata,20,D1_lp6,angular,0.5,57,0.24662396298175357
train,other_log,gru26_airdata,20,D1_lp6,linear,1.0,1174,0.6668770339274411
train,other_log,gru26_airdata,20,D1_lp6,angular,1.0,1174,0.31498250155736174
train,other_log,gru26_airdata,20,increment2,linear,0.25,0,
train,other_log,gru26_airdata,20,increment2,angular,0.25,0,
train,other_log,gru26_airdata,20,increment2,linear,0.5,57,0.5288591073722702
train,other_log,gru26_airdata,20,increment2,angular,0.5,57,0.396472516739087
train,other_log,gru26_airdata,20,increment2,linear,1.0,1174,0.6345197083340157
train,other_log,gru26_airdata,20,increment2,angular,1.0,1174,0.48548574013640294
train,other_log,gru26_phase,5,D0_raw,linear,0.25,0,
train,other_log,gru26_phase,5,D0_raw,angular,0.25,0,
train,other_log,gru26_phase,5,D0_raw,linear,0.5,152,0.49556084102744463
train,other_log,gru26_phase,5,D0_raw,angular,0.5,152,0.5602423080245093
train,other_log,gru26_phase,5,D0_raw,linear,1.0,1190,0.5942501818728975
train,other_log,gru26_phase,5,D0_raw,angular,1.0,1190,0.6074041702505741
train,other_log,gru26_phase,5,D1_lp6,linear,0.25,0,
train,other_log,gru26_phase,5,D1_lp6,angular,0.25,0,
train,other_log,gru26_phase,5,D1_lp6,linear,0.5,152,0.5155356030370968
train,other_log,gru26_phase,5,D1_lp6,angular,0.5,152,0.24286563434567546
train,other_log,gru26_phase,5,D1_lp6,linear,1.0,1190,0.5836574295007649
train,other_log,gru26_phase,5,D1_lp6,angular,1.0,1190,0.2985722591709167
train,other_log,gru26_phase,5,increment2,linear,0.25,0,
train,other_log,gru26_phase,5,increment2,angular,0.25,0,
train,other_log,gru26_phase,5,increment2,linear,0.5,152,0.4737587841006926
train,other_log,gru26_phase,5,increment2,angular,0.5,152,0.4235511308003312
train,other_log,gru26_phase,5,increment2,linear,1.0,1190,0.5546501695767586
train,other_log,gru26_phase,5,increment2,angular,1.0,1190,0.4693277675040247
train,other_log,gru26_phase,20,D0_raw,linear,0.25,0,
train,other_log,gru26_phase,20,D0_raw,angular,0.25,0,
train,other_log,gru26_phase,20,D0_raw,linear,0.5,6,0.5437714117019362
train,other_log,gru26_phase,20,D0_raw,angular,0.5,6,0.4637318821909583
train,other_log,gru26_phase,20,D0_raw,linear,1.0,1179,0.6839420830760096
train,other_log,gru26_phase,20,D0_raw,angular,1.0,1179,0.6262176439562634
train,other_log,gru26_phase,20,D1_lp6,linear,0.25,0,
train,other_log,gru26_phase,20,D1_lp6,angular,0.25,0,
train,other_log,gru26_phase,20,D1_lp6,linear,0.5,6,0.610343498332843
train,other_log,gru26_phase,20,D1_lp6,angular,0.5,6,0.2599381773627412
train,other_log,gru26_phase,20,D1_lp6,linear,1.0,1179,0.6796933894028521
train,other_log,gru26_phase,20,D1_lp6,angular,1.0,1179,0.33927561114432425
train,other_log,gru26_phase,20,increment2,linear,0.25,0,
train,other_log,gru26_phase,20,increment2,angular,0.25,0,
train,other_log,gru26_phase,20,increment2,linear,0.5,6,0.5479254179718965
train,other_log,gru26_phase,20,increment2,angular,0.5,6,0.35895930531843967
train,other_log,gru26_phase,20,increment2,linear,1.0,1179,0.6456989201969144
train,other_log,gru26_phase,20,increment2,angular,1.0,1179,0.5131883761459776
train,other_log,history13,5,D0_raw,linear,0.25,0,
train,other_log,history13,5,D0_raw,angular,0.25,0,
train,other_log,history13,5,D0_raw,linear,0.5,201,0.21561375612336522
train,other_log,history13,5,D0_raw,angular,0.5,201,0.47476491207641885
train,other_log,history13,5,D0_raw,linear,1.0,1147,0.34509839072601517
train,other_log,history13,5,D0_raw,angular,1.0,1147,0.6191613095008675
train,other_log,history13,5,D1_lp6,linear,0.25,0,
train,other_log,history13,5,D1_lp6,angular,0.25,0,
train,other_log,history13,5,D1_lp6,linear,0.5,201,0.16242737713331415
train,other_log,history13,5,D1_lp6,angular,0.5,201,0.21923887208287698
train,other_log,history13,5,D1_lp6,linear,1.0,1147,0.3075751451327005
train,other_log,history13,5,D1_lp6,angular,1.0,1147,0.32435617184874854
train,other_log,history13,5,increment2,linear,0.25,0,
train,other_log,history13,5,increment2,angular,0.25,0,
train,other_log,history13,5,increment2,linear,0.5,201,0.19303713090719615
train,other_log,history13,5,increment2,angular,0.5,201,0.37403577760671575
train,other_log,history13,5,increment2,linear,1.0,1147,0.3278385869550914
train,other_log,history13,5,increment2,angular,1.0,1147,0.5050371314348078
train,other_log,history13,20,D0_raw,linear,0.25,0,
train,other_log,history13,20,D0_raw,angular,0.25,0,
train,other_log,history13,20,D0_raw,linear,0.5,33,0.35021103882428983
train,other_log,history13,20,D0_raw,angular,0.5,33,0.5620260979529762
train,other_log,history13,20,D0_raw,linear,1.0,1138,0.5340484177469245
train,other_log,history13,20,D0_raw,angular,1.0,1138,0.6725156480224508
train,other_log,history13,20,D1_lp6,linear,0.25,0,
train,other_log,history13,20,D1_lp6,angular,0.25,0,
train,other_log,history13,20,D1_lp6,linear,0.5,33,0.284064729144612
train,other_log,history13,20,D1_lp6,angular,0.5,33,0.2863023125874291
train,other_log,history13,20,D1_lp6,linear,1.0,1138,0.5112783593066245
train,other_log,history13,20,D1_lp6,angular,1.0,1138,0.42039881855949907
train,other_log,history13,20,increment2,linear,0.25,0,
train,other_log,history13,20,increment2,angular,0.25,0,
train,other_log,history13,20,increment2,linear,0.5,33,0.3122150655517197
train,other_log,history13,20,increment2,angular,0.5,33,0.46392411889643514
train,other_log,history13,20,increment2,linear,1.0,1138,0.5192487153747214
train,other_log,history13,20,increment2,angular,1.0,1138,0.5841706397886006
train,other_log,history26,5,D0_raw,linear,0.25,0,
train,other_log,history26,5,D0_raw,angular,0.25,0,
train,other_log,history26,5,D0_raw,linear,0.5,123,0.22811968671605742
train,other_log,history26,5,D0_raw,angular,0.5,123,0.5212090731083108
train,other_log,history26,5,D0_raw,linear,1.0,1146,0.36630698668555683
train,other_log,history26,5,D0_raw,angular,1.0,1146,0.6420113514556585
train,other_log,history26,5,D1_lp6,linear,0.25,0,
train,other_log,history26,5,D1_lp6,angular,0.25,0,
train,other_log,history26,5,D1_lp6,linear,0.5,123,0.17634904309818472
train,other_log,history26,5,D1_lp6,angular,0.5,123,0.22347983122036427
train,other_log,history26,5,D1_lp6,linear,1.0,1146,0.32793710706856916
train,other_log,history26,5,D1_lp6,angular,1.0,1146,0.33388727639478616
train,other_log,history26,5,increment2,linear,0.25,0,
train,other_log,history26,5,increment2,angular,0.25,0,
train,other_log,history26,5,increment2,linear,0.5,123,0.20277393386248202
train,other_log,history26,5,increment2,angular,0.5,123,0.3983618768524925
train,other_log,history26,5,increment2,linear,1.0,1146,0.3457812888619366
train,other_log,history26,5,increment2,angular,1.0,1146,0.5211050316522414
train,other_log,history26,20,D0_raw,linear,0.25,0,
train,other_log,history26,20,D0_raw,angular,0.25,0,
train,other_log,history26,20,D0_raw,linear,0.5,18,0.4047564274921709
train,other_log,history26,20,D0_raw,angular,0.5,18,0.6026718836549064
train,other_log,history26,20,D0_raw,linear,1.0,1136,0.5476156578142793
train,other_log,history26,20,D0_raw,angular,1.0,1136,0.6949314801009309
train,other_log,history26,20,D1_lp6,linear,0.25,0,
train,other_log,history26,20,D1_lp6,angular,0.25,0,
train,other_log,history26,20,D1_lp6,linear,0.5,18,0.33892462868889334
train,other_log,history26,20,D1_lp6,angular,0.5,18,0.31410404699778227
train,other_log,history26,20,D1_lp6,linear,1.0,1136,0.524275697905772
train,other_log,history26,20,D1_lp6,angular,1.0,1136,0.44094488558598477
train,other_log,history26,20,increment2,linear,0.25,0,
train,other_log,history26,20,increment2,angular,0.25,0,
train,other_log,history26,20,increment2,linear,0.5,18,0.3717764055683866
train,other_log,history26,20,increment2,angular,0.5,18,0.525341605412877
train,other_log,history26,20,increment2,linear,1.0,1136,0.5355641494976806
train,other_log,history26,20,increment2,angular,1.0,1136,0.6120722630170876
train,other_log,history5,5,D0_raw,linear,0.25,0,
train,other_log,history5,5,D0_raw,angular,0.25,0,
train,other_log,history5,5,D0_raw,linear,0.5,318,0.3511498701222644
train,other_log,history5,5,D0_raw,angular,0.5,318,0.5207057607544904
train,other_log,history5,5,D0_raw,linear,1.0,1159,0.5055099122951698
train,other_log,history5,5,D0_raw,angular,1.0,1159,0.6345614102959443
train,other_log,history5,5,D1_lp6,linear,0.25,0,
train,other_log,history5,5,D1_lp6,angular,0.25,0,
train,other_log,history5,5,D1_lp6,linear,0.5,318,0.3326217881934989
train,other_log,history5,5,D1_lp6,angular,0.5,318,0.2707781065949984
train,other_log,history5,5,D1_lp6,linear,1.0,1159,0.47543979223034116
train,other_log,history5,5,D1_lp6,angular,1.0,1159,0.350542224480647
train,other_log,history5,5,increment2,linear,0.25,0,
train,other_log,history5,5,increment2,angular,0.25,0,
train,other_log,history5,5,increment2,linear,0.5,318,0.34538081665397447
train,other_log,history5,5,increment2,angular,0.5,318,0.3965959271142022
train,other_log,history5,5,increment2,linear,1.0,1159,0.49320669822002794
train,other_log,history5,5,increment2,angular,1.0,1159,0.5198211598575385
train,other_log,history5,20,D0_raw,linear,0.25,0,
train,other_log,history5,20,D0_raw,angular,0.25,0,
train,other_log,history5,20,D0_raw,linear,0.5,86,0.5354500500400018
train,other_log,history5,20,D0_raw,angular,0.5,86,0.6071874770693017
train,other_log,history5,20,D0_raw,linear,1.0,1145,0.6427327407635167
train,other_log,history5,20,D0_raw,angular,1.0,1145,0.7048105423950312
train,other_log,history5,20,D1_lp6,linear,0.25,0,
train,other_log,history5,20,D1_lp6,angular,0.25,0,
train,other_log,history5,20,D1_lp6,linear,0.5,86,0.5221211855936625
train,other_log,history5,20,D1_lp6,angular,0.5,86,0.3475964911602321
train,other_log,history5,20,D1_lp6,linear,1.0,1145,0.6330475552448577
train,other_log,history5,20,D1_lp6,angular,1.0,1145,0.43873279050855596
train,other_log,history5,20,increment2,linear,0.25,0,
train,other_log,history5,20,increment2,angular,0.25,0,
train,other_log,history5,20,increment2,linear,0.5,86,0.5402959668584041
train,other_log,history5,20,increment2,angular,0.5,86,0.5030636102288601
train,other_log,history5,20,increment2,linear,1.0,1145,0.6399816137829314
train,other_log,history5,20,increment2,angular,1.0,1145,0.5967855945379513
train,other_log,instant,5,D0_raw,linear,0.25,1,0.31755259019192017
train,other_log,instant,5,D0_raw,angular,0.25,1,1.3931391974818623
train,other_log,instant,5,D0_raw,linear,0.5,773,0.7481400399627977
train,other_log,instant,5,D0_raw,angular,0.5,773,0.6380668125861014
train,other_log,instant,5,D0_raw,linear,1.0,1182,0.7585524832703616
train,other_log,instant,5,D0_raw,angular,1.0,1182,0.674216549092683
train,other_log,instant,5,D1_lp6,linear,0.25,1,0.42894833617692846
train,other_log,instant,5,D1_lp6,angular,0.25,1,0.30496161810914857
train,other_log,instant,5,D1_lp6,linear,0.5,773,0.7423054463663882
train,other_log,instant,5,D1_lp6,angular,0.5,773,0.5601074154288223
train,other_log,instant,5,D1_lp6,linear,1.0,1182,0.7499020286024707
train,other_log,instant,5,D1_lp6,angular,1.0,1182,0.5762378539234154
train,other_log,instant,5,increment2,linear,0.25,1,0.2980917461670182
train,other_log,instant,5,increment2,angular,0.25,1,0.5309388260771404
train,other_log,instant,5,increment2,linear,0.5,773,0.7401195917773804
train,other_log,instant,5,increment2,angular,0.5,773,0.4840190255947714
train,other_log,instant,5,increment2,linear,1.0,1182,0.7603870180225596
train,other_log,instant,5,increment2,angular,1.0,1182,0.5141954647545932
train,other_log,instant,20,D0_raw,linear,0.25,0,
train,other_log,instant,20,D0_raw,angular,0.25,0,
train,other_log,instant,20,D0_raw,linear,0.5,495,0.8052382254115193
train,other_log,instant,20,D0_raw,angular,0.5,495,0.6423852994055629
train,other_log,instant,20,D0_raw,linear,1.0,1177,0.827669314598583
train,other_log,instant,20,D0_raw,angular,1.0,1177,0.707635498112791
train,other_log,instant,20,D1_lp6,linear,0.25,0,
train,other_log,instant,20,D1_lp6,angular,0.25,0,
train,other_log,instant,20,D1_lp6,linear,0.5,495,0.8144452179489736
train,other_log,instant,20,D1_lp6,angular,0.5,495,0.5804970185310001
train,other_log,instant,20,D1_lp6,linear,1.0,1177,0.8308932784370463
train,other_log,instant,20,D1_lp6,angular,1.0,1177,0.6225776634857006
train,other_log,instant,20,increment2,linear,0.25,0,
train,other_log,instant,20,increment2,angular,0.25,0,
train,other_log,instant,20,increment2,linear,0.5,495,0.7976837563440887
train,other_log,instant,20,increment2,angular,0.5,495,0.511516507719616
train,other_log,instant,20,increment2,linear,1.0,1177,0.8275631127681324
train,other_log,instant,20,increment2,angular,1.0,1177,0.5537655938810166
train,same_log,actuator,5,D0_raw,linear,0.25,1,0.5812038764880763
train,same_log,actuator,5,D0_raw,angular,0.25,1,0.850162624817719
train,same_log,actuator,5,D0_raw,linear,0.5,602,0.746072770281846
train,same_log,actuator,5,D0_raw,angular,0.5,602,0.6254312582068217
train,same_log,actuator,5,D0_raw,linear,1.0,1176,0.7338361659778101
train,same_log,actuator,5,D0_raw,angular,1.0,1176,0.7253212594790829
train,same_log,actuator,5,D1_lp6,linear,0.25,1,0.8754102008268626
train,same_log,actuator,5,D1_lp6,angular,0.25,1,0.8752788168611141
train,same_log,actuator,5,D1_lp6,linear,0.5,602,0.7448774441878602
train,same_log,actuator,5,D1_lp6,angular,0.5,602,0.4968027046356383
train,same_log,actuator,5,D1_lp6,linear,1.0,1176,0.7168207385637672
train,same_log,actuator,5,D1_lp6,angular,1.0,1176,0.605521340899311
train,same_log,actuator,5,increment2,linear,0.25,1,1.173544692448674
train,same_log,actuator,5,increment2,angular,0.25,1,1.181194508597622
train,same_log,actuator,5,increment2,linear,0.5,602,0.7236020191121221
train,same_log,actuator,5,increment2,angular,0.5,602,0.47134746312425785
train,same_log,actuator,5,increment2,linear,1.0,1176,0.7106120659667596
train,same_log,actuator,5,increment2,angular,1.0,1176,0.5514679425318472
train,same_log,actuator,20,D0_raw,linear,0.25,0,
train,same_log,actuator,20,D0_raw,angular,0.25,0,
train,same_log,actuator,20,D0_raw,linear,0.5,312,0.8013766921363304
train,same_log,actuator,20,D0_raw,angular,0.5,312,0.6150366063127483
train,same_log,actuator,20,D0_raw,linear,1.0,1164,0.8293817862263618
train,same_log,actuator,20,D0_raw,angular,1.0,1164,0.7862574769985033
train,same_log,actuator,20,D1_lp6,linear,0.25,0,
train,same_log,actuator,20,D1_lp6,angular,0.25,0,
train,same_log,actuator,20,D1_lp6,linear,0.5,312,0.7981795211573093
train,same_log,actuator,20,D1_lp6,angular,0.5,312,0.5265266510948126
train,same_log,actuator,20,D1_lp6,linear,1.0,1164,0.8181487186121937
train,same_log,actuator,20,D1_lp6,angular,1.0,1164,0.7106843211112626
train,same_log,actuator,20,increment2,linear,0.25,0,
train,same_log,actuator,20,increment2,angular,0.25,0,
train,same_log,actuator,20,increment2,linear,0.5,312,0.7725202807041335
train,same_log,actuator,20,increment2,angular,0.5,312,0.505040658997726
train,same_log,actuator,20,increment2,linear,1.0,1164,0.809094301613768
train,same_log,actuator,20,increment2,angular,1.0,1164,0.6473447355355616
train,same_log,gru26,5,D0_raw,linear,0.25,0,
train,same_log,gru26,5,D0_raw,angular,0.25,0,
train,same_log,gru26,5,D0_raw,linear,0.5,246,0.43689375821779247
train,same_log,gru26,5,D0_raw,angular,0.5,246,0.496518682891303
train,same_log,gru26,5,D0_raw,linear,1.0,1192,0.5190706929784308
train,same_log,gru26,5,D0_raw,angular,1.0,1192,0.6026758132848731
train,same_log,gru26,5,D1_lp6,linear,0.25,0,
train,same_log,gru26,5,D1_lp6,angular,0.25,0,
train,same_log,gru26,5,D1_lp6,linear,0.5,246,0.41373954445145017
train,same_log,gru26,5,D1_lp6,angular,0.5,246,0.19816556076812436
train,same_log,gru26,5,D1_lp6,linear,1.0,1192,0.4990325429701372
train,same_log,gru26,5,D1_lp6,angular,1.0,1192,0.280100155189618
train,same_log,gru26,5,increment2,linear,0.25,0,
train,same_log,gru26,5,increment2,angular,0.25,0,
train,same_log,gru26,5,increment2,linear,0.5,246,0.4106027770508752
train,same_log,gru26,5,increment2,angular,0.5,246,0.3751930829535848
train,same_log,gru26,5,increment2,linear,1.0,1192,0.4937202618473416
train,same_log,gru26,5,increment2,angular,1.0,1192,0.4742666592220739
train,same_log,gru26,20,D0_raw,linear,0.25,0,
train,same_log,gru26,20,D0_raw,angular,0.25,0,
train,same_log,gru26,20,D0_raw,linear,0.5,33,0.518564550369894
train,same_log,gru26,20,D0_raw,angular,0.5,33,0.4927477268232894
train,same_log,gru26,20,D0_raw,linear,1.0,1177,0.6107027193980293
train,same_log,gru26,20,D0_raw,angular,1.0,1177,0.6560979130289556
train,same_log,gru26,20,D1_lp6,linear,0.25,0,
train,same_log,gru26,20,D1_lp6,angular,0.25,0,
train,same_log,gru26,20,D1_lp6,linear,0.5,33,0.5108425740067357
train,same_log,gru26,20,D1_lp6,angular,0.5,33,0.20143332065664954
train,same_log,gru26,20,D1_lp6,linear,1.0,1177,0.5902037949466835
train,same_log,gru26,20,D1_lp6,angular,1.0,1177,0.3340289567107385
train,same_log,gru26,20,increment2,linear,0.25,0,
train,same_log,gru26,20,increment2,angular,0.25,0,
train,same_log,gru26,20,increment2,linear,0.5,33,0.48185301877154774
train,same_log,gru26,20,increment2,angular,0.5,33,0.38960368216781965
train,same_log,gru26,20,increment2,linear,1.0,1177,0.5843948793539834
train,same_log,gru26,20,increment2,angular,1.0,1177,0.5336003349237269
train,same_log,gru26_airdata,5,D0_raw,linear,0.25,0,
train,same_log,gru26_airdata,5,D0_raw,angular,0.25,0,
train,same_log,gru26_airdata,5,D0_raw,linear,0.5,238,0.4650012433353014
train,same_log,gru26_airdata,5,D0_raw,angular,0.5,238,0.48048939933102935
train,same_log,gru26_airdata,5,D0_raw,linear,1.0,1189,0.5220414224479261
train,same_log,gru26_airdata,5,D0_raw,angular,1.0,1189,0.6081014478322718
train,same_log,gru26_airdata,5,D1_lp6,linear,0.25,0,
train,same_log,gru26_airdata,5,D1_lp6,angular,0.25,0,
train,same_log,gru26_airdata,5,D1_lp6,linear,0.5,238,0.4443457126380021
train,same_log,gru26_airdata,5,D1_lp6,angular,0.5,238,0.19735821458150726
train,same_log,gru26_airdata,5,D1_lp6,linear,1.0,1189,0.5015686165398653
train,same_log,gru26_airdata,5,D1_lp6,angular,1.0,1189,0.2840986612613784
train,same_log,gru26_airdata,5,increment2,linear,0.25,0,
train,same_log,gru26_airdata,5,increment2,angular,0.25,0,
train,same_log,gru26_airdata,5,increment2,linear,0.5,238,0.4347454493362335
train,same_log,gru26_airdata,5,increment2,angular,0.5,238,0.3749848280446863
train,same_log,gru26_airdata,5,increment2,linear,1.0,1189,0.4964842208249439
train,same_log,gru26_airdata,5,increment2,angular,1.0,1189,0.4737425241476458
train,same_log,gru26_airdata,20,D0_raw,linear,0.25,0,
train,same_log,gru26_airdata,20,D0_raw,angular,0.25,0,
train,same_log,gru26_airdata,20,D0_raw,linear,0.5,41,0.4817989013884967
train,same_log,gru26_airdata,20,D0_raw,angular,0.5,41,0.4856347510094037
train,same_log,gru26_airdata,20,D0_raw,linear,1.0,1174,0.6090864319490706
train,same_log,gru26_airdata,20,D0_raw,angular,1.0,1174,0.6565596681128276
train,same_log,gru26_airdata,20,D1_lp6,linear,0.25,0,
train,same_log,gru26_airdata,20,D1_lp6,angular,0.25,0,
train,same_log,gru26_airdata,20,D1_lp6,linear,0.5,41,0.4865613780512358
train,same_log,gru26_airdata,20,D1_lp6,angular,0.5,41,0.21172571562253953
train,same_log,gru26_airdata,20,D1_lp6,linear,1.0,1174,0.5899003893807361
train,same_log,gru26_airdata,20,D1_lp6,angular,1.0,1174,0.3370598380720058
train,same_log,gru26_airdata,20,increment2,linear,0.25,0,
train,same_log,gru26_airdata,20,increment2,angular,0.25,0,
train,same_log,gru26_airdata,20,increment2,linear,0.5,41,0.45373745712696456
train,same_log,gru26_airdata,20,increment2,angular,0.5,41,0.3727378982367782
train,same_log,gru26_airdata,20,increment2,linear,1.0,1174,0.5840313644289205
train,same_log,gru26_airdata,20,increment2,angular,1.0,1174,0.5324470589082826
train,same_log,gru26_phase,5,D0_raw,linear,0.25,0,
train,same_log,gru26_phase,5,D0_raw,angular,0.25,0,
train,same_log,gru26_phase,5,D0_raw,linear,0.5,231,0.3355159219375323
train,same_log,gru26_phase,5,D0_raw,angular,0.5,231,0.4794187055582082
train,same_log,gru26_phase,5,D0_raw,linear,1.0,1192,0.42659865238115774
train,same_log,gru26_phase,5,D0_raw,angular,1.0,1192,0.5914398635651705
train,same_log,gru26_phase,5,D1_lp6,linear,0.25,0,
train,same_log,gru26_phase,5,D1_lp6,angular,0.25,0,
train,same_log,gru26_phase,5,D1_lp6,linear,0.5,231,0.2865759138162229
train,same_log,gru26_phase,5,D1_lp6,angular,0.5,231,0.176772512415735
