split,log_id,topic,present
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,servo_feedback,False
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,esc_status,False
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,esc_report,False
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,rpm,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,encoder_count,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,wing_phase,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,battery_status,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,vehicle_angular_velocity,True
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,vehicle_acceleration,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,airspeed,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,airspeed_validated,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,airspeed_quality_input,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,airspeed_selector_quality_status,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,wind,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,estimator_wind,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,airspeed_wind,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,sensor_gps,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,vehicle_gps_position,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,vehicle_local_position,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,actuator_servos,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,actuator_outputs,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,actuator_motors,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,actuator_servos_trim,False
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,servo_feedback,False
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,esc_status,False
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,esc_report,False
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,rpm,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,encoder_count,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,wing_phase,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,battery_status,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,vehicle_angular_velocity,True
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,vehicle_acceleration,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,airspeed,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,airspeed_validated,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,airspeed_quality_input,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,airspeed_selector_quality_status,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,wind,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,estimator_wind,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,airspeed_wind,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,sensor_gps,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,vehicle_gps_position,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,vehicle_local_position,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,actuator_servos,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,actuator_outputs,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,actuator_motors,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,actuator_servos_trim,False
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,servo_feedback,False
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,esc_status,False
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,esc_report,False
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,rpm,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,encoder_count,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,wing_phase,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,battery_status,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,vehicle_angular_velocity,True
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,vehicle_acceleration,True
