split,log_id,topic,instance,count
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_local_position_setpoint,0,918
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_rates_setpoint,0,9084
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_status,0,388
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_thrust_setpoint,0,9114
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,vehicle_torque_setpoint,0,9114
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,wind,0,3508
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,wing_phase,0,18228
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,yaw_estimator_status,0,182
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,yaw_estimator_status,1,182
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,action_request,0,7
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_armed,0,1665
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_motors,0,40877
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_outputs,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_outputs,1,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_outputs,2,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,actuator_servos,0,40877
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed,0,13656
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_quality_input,0,40876
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_selector_quality_status,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_validated,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_wind,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,airspeed_wind,1,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,battery_status,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,can_interface_status,0,8050
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,can_interface_status,1,8050
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,config_overrides,0,1616
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,control_allocator_status,0,4088
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,cpuload,0,1636
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,device_information,0,818
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,differential_pressure,0,40966
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,distance_sensor_mode_change_request,0,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,dronecan_node_status,0,3271
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,dronecan_node_status,1,3271
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,ekf2_airspeed_quality,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,ekf2_airspeed_quality,1,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,encoder_count,0,81752
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_airspeed,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_airspeed,1,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_baro_hgt,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_baro_hgt,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_fake_hgt,0,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_fake_pos,0,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_hgt,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_hgt,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_pos,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_pos,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_vel,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_vel,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_yaw,0,1634
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gnss_yaw,1,1634
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gravity,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_gravity,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_sideslip,0,366
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_aid_src_sideslip,1,366
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_attitude,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_attitude,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_baro_bias,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_baro_bias,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_event_flags,0,812
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_event_flags,1,814
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_global_position,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_global_position,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_gps_status,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_gps_status,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_innovation_test_ratios,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_innovation_test_ratios,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_innovation_variances,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_innovation_variances,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_innovations,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_innovations,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_local_position,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_local_position,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_odometry,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_odometry,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_selector_status,0,812
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_sensor_bias,0,813
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_sensor_bias,1,815
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_states,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_states,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_status,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_status,1,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_status_flags,0,816
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_status_flags,1,818
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_wind,0,4010
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,estimator_wind,1,4013
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,event,0,136
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,failsafe_flags,0,1508
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,failure_detector_status,0,1661
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,fixed_wing_lateral_guidance_status,0,40876
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,fixed_wing_lateral_setpoint,0,4970
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,fixed_wing_lateral_status,0,4975
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,fixed_wing_longitudinal_setpoint,0,4970
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,flap_frequency,0,81752
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,flaps_setpoint,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,flight_phase_estimation,0,812
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,gain_compression,0,1948
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,home_position,0,5
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,input_rc,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,landing_gear_wheel,0,8176
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,lateral_control_configuration,0,99
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,logger_status,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,longitudinal_control_configuration,0,99
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,magnetometer_bias_estimate,0,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,manual_control_setpoint,0,4088
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,manual_control_switches,0,804
