split,log_id,segment_id,steps,count,mean,std,min,p1,median,p99,max
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0,1,630,0.019990341269841262,0.00351122801555024,0.009978999999987082,0.009979000000001292,0.01995900000000006,0.029938000000001352,0.02993900000001304
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0,2,629,0.03999665023847377,0.0038363854550061568,0.029936999999989666,0.02993799999998714,0.039917000000002645,0.04989700000000141,0.04989700000001562
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0,5,626,0.09998460543130988,0.003862277313191678,0.08981299999999237,0.08981399999998985,0.09979300000000535,0.10977300000000412,0.10977400000000159
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0,10,621,0.19995622061191629,0.0023401345058084743,0.1896069999999952,0.19958139999999674,0.19958699999999396,0.20956600000000947,0.20956700000000694
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0,25,606,0.49987225907590754,0.003534213470069563,0.4889869999999945,0.48898699999999523,0.4989669999999933,0.5089460000000088,0.5089470000000063
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1,1,4618,0.01999967431788653,0.003865588140192034,0.009976999999992131,0.009978999999987082,0.01995900000000006,0.029938000000015563,0.029940000000010514
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1,2,4617,0.03999936625514403,0.004179065521478279,0.02993599999999219,0.02993799999998714,0.039917000000002645,0.04989700000001562,0.0499009999999771
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1,5,4614,0.10000071196358908,0.004222335390826346,0.08980900000000247,0.08981299999999237,0.09979300000000535,0.10977300000001833,0.10977699999997981
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1,10,4609,0.20000403970492514,0.002374367721102616,0.18960599999999772,0.19958299999998985,0.1995860000000107,0.20956599999999526,0.20956699999999273
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1,25,4594,0.5000015620374402,0.0038827841319510944,0.48898499999998535,0.4889859999999828,0.49896500000002675,0.5089450000000113,0.5089470000000063
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2,1,2743,0.019998551585854896,0.0037866681815340417,0.009976999999992131,0.009978999999987082,0.01995899999997164,0.029938000000015563,0.02993900000001304
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2,2,2742,0.03999713238512035,0.00412196248400263,0.029936999999961245,0.029937000000018088,0.039917000000002645,0.04989700000001562,0.04989799999998468
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2,5,2739,0.09999304928806137,0.0041683702387149725,0.08981099999999742,0.08981299999999237,0.09979299999997693,0.10977200000002085,0.10977399999995896
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2,10,2734,0.19999413094367233,0.0023944943440196193,0.18960500000002867,0.19958199999999238,0.19958500000001322,0.20956499999999778,0.20956599999999526
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2,25,2719,0.49998362412651703,0.0038350771900980177,0.488982999999962,0.4889839999999879,0.4989630000000034,0.5089430000000397,0.5089460000000088
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0,1,1061,0.01999534590009424,0.0038894253732739198,0.009857000000010885,0.009857999999979938,0.019716999999985774,0.029575000000022555,0.029576999999989084
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0,2,1060,0.039991216981132054,0.0039549575004392944,0.02957399999999666,0.029574000000013426,0.039433000000002494,0.04929200000000833,0.04929400000000328
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0,5,1057,0.09998200094607379,0.004098717452559396,0.08872299999998745,0.08872400000001335,0.09858300000001918,0.1084430000000225,0.10844499999998902
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0,10,1052,0.19997730323193913,0.004451005066815798,0.19716099999999415,0.19716199999999162,0.19716700000000742,0.20702799999997978,0.20703200000002653
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0,25,1037,0.500006900675024,0.0044293543476559664,0.49290599999997653,0.492906999999974,0.5027699999999982,0.5027819999999963,0.5027850000000171
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1,1,4921,0.02000140804714489,0.003921622810537791,0.009854999999987513,0.009857000000010885,0.019715000000019245,0.02957399999999666,0.029577000000017506
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1,2,4920,0.0400029325203252,0.004003104056671722,0.02956899999998086,0.029571000000032654,0.039429999999981646,0.04929000000001338,0.049293000000005804
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1,5,4917,0.10000219056335162,0.004139071194993312,0.08871100000004617,0.0887159999999767,0.09857599999998001,0.1084380000000067,0.10844099999999912
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1,10,4912,0.20000126547231267,0.004469738984908316,0.1971369999999979,0.19713999999999032,0.19715400000001182,0.2070190000000025,0.20702199999999493
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1,25,4897,0.4999937882376964,0.004414922491085435,0.49284799999998086,0.49285000000003265,0.5027190000000132,0.5027620000000184,0.5027640000000133
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,2,1,1559,0.019998289288005153,0.0038971381409814362,0.009855999999956566,0.009856999999954041,0.019713999999964926,0.029571000000032654,0.02957200000003013
