split,log_id,kind,bin,n,angular_derivative_error_mean,current_error_correlation
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,frequency_conditioned_pack_current,1,2696,27.610006801418653,0.05320143128997375
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,frequency_conditioned_pack_current,2,2020,30.37487065795273,0.03522606976409931
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,tail,0,2046,43.26768215759802,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,tail,1,2239,40.641529080067635,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,tail,2,2273,36.20183359227761,
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,frequency_conditioned_pack_current,0,1417,29.32187736039762,-0.004365197508002758
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,frequency_conditioned_pack_current,1,2003,35.28387657939955,-0.006141596767782239
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,frequency_conditioned_pack_current,2,3138,47.669255593289755,0.1799637687939503
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,tail,0,951,27.09951801365406,
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,tail,1,2273,26.036252887229047,
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,tail,2,2332,28.063857485713413,
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,frequency_conditioned_pack_current,0,735,21.42608130867775,-0.005421847091711932
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,frequency_conditioned_pack_current,1,1762,25.4032718704508,0.011364983880984761
train,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,frequency_conditioned_pack_current,2,3059,29.384839915896645,0.030001958763779136
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,tail,0,1392,28.774985725883766,
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,tail,1,2641,26.080061847441286,
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,tail,2,2005,30.377716047708812,
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,frequency_conditioned_pack_current,0,1581,22.30609993635717,0.06428750951191908
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,frequency_conditioned_pack_current,1,2344,26.069616199190133,0.09831774913777641
train,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,frequency_conditioned_pack_current,2,2113,34.76877414808161,0.01975068817470236
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,tail,0,1598,21.067407894978867,
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,tail,1,4022,21.632429652554958,
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,tail,2,2221,26.35281653765162,
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_conditioned_pack_current,0,3239,19.647185227898223,0.15850601824558425
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_conditioned_pack_current,1,2863,23.574671179204508,0.14459118093878978
validation,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_conditioned_pack_current,2,1739,27.642000500087217,0.049475443305264925
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,tail,0,1598,17.83593323286139,
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,tail,1,4357,20.828706386515933,
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,tail,2,1436,25.49988486353564,
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,frequency_conditioned_pack_current,0,3519,18.827566013567335,0.10406995685765111
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,frequency_conditioned_pack_current,1,2758,22.09022053849792,0.041053140303562344
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,frequency_conditioned_pack_current,2,1114,25.755203455367024,0.046034720081297255
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,tail,0,2069,20.300180441340913,
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,tail,1,5094,21.440906363668965,
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,tail,2,2312,25.125970168395,
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,frequency_conditioned_pack_current,0,4545,20.23330986995195,0.10872526092866679
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,frequency_conditioned_pack_current,1,3618,22.746164228034612,0.10100850176687007
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,frequency_conditioned_pack_current,2,1312,26.719723965725954,0.03509004848882524
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,tail,0,3154,22.244520871914084,
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,tail,1,2079,23.479214886582163,
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,tail,2,2353,25.204568878680366,
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,frequency_conditioned_pack_current,0,3783,22.335431169605727,0.12994020542891543
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,frequency_conditioned_pack_current,1,2907,24.16737055108776,0.08640490191035302
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,frequency_conditioned_pack_current,2,896,26.260462995675958,0.0035685724832689777
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,tail,0,2325,21.562532545644622,
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,tail,1,2409,22.596769221377933,
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,tail,2,3058,26.8392550414013,
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,frequency_conditioned_pack_current,0,3864,22.569442899006088,0.11700975213476474
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,frequency_conditioned_pack_current,1,3077,24.627725406757964,0.1400055622211654
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,frequency_conditioned_pack_current,2,851,27.796837486691636,0.01345386398879807
