point_index,role
1606,fit
1608,fit
1610,fit
1612,fit
1614,fit
1616,fit
1618,fit
1620,fit
1622,fit
1624,fit
1626,fit
1628,fit
1630,fit
1632,fit
1634,fit
1636,fit
1638,fit
1640,fit
1642,fit
1644,fit
1646,fit
1648,fit
1650,fit
1652,fit
1654,fit
1656,fit
1658,fit
1660,fit
1662,fit
1664,fit
1666,fit
1668,fit
1670,fit
1672,fit
1674,fit
1676,fit
1678,fit
1680,fit
1682,fit
1684,fit
1686,fit
1688,fit
1690,fit
1692,fit
1694,fit
1696,fit
1698,fit
1700,fit
1702,fit
1704,fit
1706,fit
1708,fit
1710,fit
1712,fit
1714,fit
1716,fit
1718,fit
1720,fit
1722,fit
1724,fit
1726,fit
1728,fit
1730,fit
1732,fit
1734,fit
1736,fit
1738,fit
1740,fit
1742,fit
1744,fit
1746,fit
1748,fit
1750,fit
1752,fit
1754,fit
1756,fit
1758,fit
1760,fit
1762,fit
1764,fit
1766,fit
1768,fit
1770,fit
1772,fit
1774,fit
1776,fit
1778,fit
1780,fit
1782,fit
1784,fit
1786,fit
1788,fit
1790,fit
1792,fit
1794,fit
1796,fit
1798,fit
1800,fit
1802,fit
1804,fit
1806,fit
1808,fit
1810,fit
1812,fit
1814,fit
1816,fit
1818,fit
1820,fit
1822,fit
1824,fit
1826,fit
1828,fit
1830,fit
1832,fit
1834,fit
1836,fit
1838,fit
1840,fit
1842,fit
1844,fit
1846,fit
1848,fit
1850,fit
1852,fit
1854,fit
1856,fit
1858,fit
1860,fit
1862,fit
1864,fit
1866,fit
1868,fit
1870,fit
1872,fit
1874,fit
1876,fit
1878,fit
1880,fit
1882,fit
1884,fit
1886,fit
1888,fit
1890,fit
1892,fit
1894,fit
1896,fit
1898,fit
1900,fit
1902,fit
1904,fit
1906,fit
1908,fit
1910,fit
1912,fit
1914,fit
1916,fit
1918,fit
1920,fit
1922,fit
1924,fit
1926,fit
1928,fit
1930,fit
1932,fit
1934,fit
1936,fit
1938,fit
1940,fit
1942,fit
1944,fit
1946,fit
1948,fit
1950,fit
1952,fit
1954,fit
1956,fit
1958,fit
1960,fit
1962,fit
1964,fit
1966,fit
1968,fit
1970,fit
1972,fit
1974,fit
1976,fit
1978,fit
1980,fit
1982,fit
1984,fit
1986,fit
1988,fit
1990,fit
1992,fit
1994,fit
1996,fit
1998,fit
2000,fit
2002,fit
2004,fit
2006,fit
2008,fit
2010,fit
2012,fit
2014,fit
2016,fit
2018,fit
2020,fit
2022,fit
2024,fit
2026,fit
2028,fit
2030,fit
2032,fit
2034,fit
2036,fit
2038,fit
2040,fit
2042,fit
2044,fit
2046,fit
2048,fit
2050,fit
2052,fit
2054,fit
2056,fit
2058,fit
2060,fit
2062,fit
2064,fit
2066,fit
2068,fit
2070,fit
2072,fit
2074,fit
2076,fit
2078,fit
2080,fit
2082,fit
2084,fit
2086,fit
2088,fit
2090,fit
2092,fit
2094,fit
2096,fit
2098,fit
2100,fit
2102,fit
2104,fit
2106,fit
2108,fit
2110,fit
2112,fit
2114,fit
2116,fit
2118,fit
2120,fit
2122,fit
2124,fit
2126,fit
2128,fit
2130,fit
2132,fit
2134,fit
2136,fit
2138,fit
2140,fit
2142,fit
2144,fit
2146,fit
2148,fit
2150,fit
2152,fit
2154,fit
2156,fit
2158,fit
2160,fit
2162,fit
2164,fit
2166,fit
2168,fit
2170,fit
2172,fit
2174,fit
2176,fit
2178,fit
2180,fit
2182,fit
2184,fit
2186,fit
2188,fit
2190,fit
2192,fit
2194,fit
2196,fit
2198,fit
2200,fit
2202,fit
2204,fit
2206,fit
2208,fit
2210,fit
2212,fit
2214,fit
2216,fit
2218,fit
2220,fit
2222,fit
2224,fit
2226,fit
2228,fit
2230,fit
2232,fit
2234,fit
2236,fit
2238,fit
2240,fit
2242,fit
2244,fit
2246,fit
2248,fit
2250,fit
2252,fit
2254,fit
2256,fit
2258,fit
2260,fit
2262,fit
2264,fit
2266,fit
2268,fit
2270,fit
2272,fit
2274,fit
2276,fit
2278,fit
2280,fit
2282,fit
2284,fit
2286,fit
2288,fit
2290,fit
2292,fit
2294,fit
2296,fit
2298,fit
2300,fit
2302,fit
2304,fit
2306,fit
2308,fit
2310,fit
2312,fit
2314,fit
2316,fit
2318,fit
2320,fit
2322,fit
2324,fit
2326,fit
2328,fit
2330,fit
2332,fit
2334,fit
2336,fit
2338,fit
2340,fit
2342,fit
2344,fit
2346,fit
2348,fit
2350,fit
2352,fit
2354,fit
2356,fit
2358,fit
2360,fit
2362,fit
2364,fit
2366,fit
2368,fit
2370,fit
2372,fit
2374,fit
2376,fit
2378,fit
2380,fit
2382,fit
2384,fit
2386,fit
2388,fit
2390,fit
2392,fit
2394,fit
2396,fit
2398,fit
2400,fit
2402,fit
2404,fit
2406,fit
2408,fit
2410,fit
2412,fit
2414,fit
2416,fit
2418,fit
2420,fit
2422,fit
2424,fit
2426,fit
2428,fit
2430,fit
2432,fit
2434,fit
2436,fit
2438,fit
2440,fit
2442,fit
2444,fit
2446,fit
2448,fit
2450,fit
2452,fit
2454,fit
2456,fit
2458,fit
2460,fit
2462,fit
2464,fit
2466,fit
2468,fit
2470,fit
2472,fit
2474,fit
2476,fit
2478,fit
2480,fit
2482,fit
2484,fit
2486,fit
2488,fit
2490,fit
2492,fit
2494,fit
2496,fit
2498,fit
2500,fit
2502,fit
2504,fit
2506,fit
2508,fit
2510,fit
2512,fit
2514,fit
2516,fit
2518,fit
2520,fit
2522,fit
2524,fit
2526,fit
2528,fit
2530,fit
2532,fit
2534,fit
2536,fit
2538,fit
2540,fit
2542,fit
2544,fit
2546,fit
2548,fit
2550,fit
2552,fit
2554,fit
2556,fit
2558,fit
2560,fit
2562,fit
2564,fit
2566,fit
2568,fit
2570,fit
2572,fit
2574,fit
2576,fit
2578,fit
2580,fit
2582,fit
2584,fit
2586,fit
2588,fit
2590,fit
2592,fit
2594,fit
2596,fit
2598,fit
2600,fit
2602,fit
2604,fit
2606,fit
2608,fit
2610,fit
2612,fit
2614,fit
2616,fit
2618,fit
2620,fit
2622,fit
2624,fit
2626,fit
2628,fit
2630,fit
2632,fit
2634,fit
2636,fit
2638,fit
2640,fit
2642,fit
2644,fit
2646,fit
2648,fit
2650,fit
2652,fit
2654,fit
2656,fit
2658,fit
2660,fit
2662,fit
2664,fit
2666,fit
2668,fit
2670,fit
2672,fit
2674,fit
2676,fit
2678,fit
2680,fit
2682,fit
2684,fit
2686,fit
2688,fit
2690,fit
2692,fit
2694,fit
2696,fit
2698,fit
2700,fit
2702,fit
2704,fit
2706,fit
2708,fit
2710,fit
2712,fit
2714,fit
2716,fit
2718,fit
2720,fit
2722,fit
2724,fit
2726,fit
2728,fit
2730,fit
2732,fit
2734,fit
2736,fit
2738,fit
2740,fit
2742,fit
2744,fit
2746,fit
2748,fit
2750,fit
2752,fit
2754,fit
2756,fit
2758,fit
2760,fit
2762,fit
2764,fit
2766,fit
2768,fit
2770,fit
2772,fit
2774,fit
2776,fit
2778,fit
2780,fit
2782,fit
2784,fit
2786,fit
2788,fit
2790,fit
2792,fit
2794,fit
2796,fit
2798,fit
2800,fit
2802,fit
2804,fit
2806,fit
2808,fit
2810,fit
2812,fit
2814,fit
2816,fit
2818,fit
2820,fit
2822,fit
2824,fit
2826,fit
2828,fit
2830,fit
2832,fit
2834,fit
2836,fit
2838,fit
2840,fit
2842,fit
2844,fit
2846,fit
2848,fit
2850,fit
2852,fit
2854,fit
2856,fit
2858,fit
2860,fit
2862,fit
2864,fit
2866,fit
2868,fit
2870,fit
2872,fit
2874,fit
2876,fit
2878,fit
2880,fit
2882,fit
2884,fit
2886,fit
2888,fit
2890,fit
2892,fit
2894,fit
2896,fit
2898,fit
2900,fit
2902,fit
2904,fit
2906,fit
2908,fit
2910,fit
2912,fit
2914,fit
2916,fit
2918,fit
2920,fit
2922,fit
2924,fit
2926,fit
2928,fit
2930,fit
2932,fit
2934,fit
2936,fit
2938,fit
2940,fit
2942,fit
2944,fit
2946,fit
2948,fit
2950,fit
2952,fit
2954,fit
2956,fit
2958,fit
2960,fit
2962,fit
2964,fit
2966,fit
2968,fit
2970,fit
2972,fit
2974,fit
2976,fit
2978,fit
2980,fit
2982,fit
2984,fit
2986,fit
2988,fit
2990,fit
2992,fit
2994,fit
2996,fit
2998,fit
3000,fit
3002,fit
3004,fit
3006,fit
3008,fit
3010,fit
3012,fit
3014,fit
3016,fit
3018,fit
3020,fit
3022,fit
3024,fit
3026,fit
3028,fit
3030,fit
3032,fit
3034,fit
3036,fit
3038,fit
3040,fit
3042,fit
3044,fit
3046,fit
3048,fit
3050,fit
3052,fit
3054,fit
3056,fit
3058,fit
3060,fit
3062,fit
3064,fit
3066,fit
3068,fit
3070,fit
3072,fit
3074,fit
3076,fit
3078,fit
3080,fit
3082,fit
3084,fit
3086,fit
3088,fit
3090,fit
3092,fit
3094,fit
3096,fit
3098,fit
3100,fit
3102,fit
3104,fit
3106,fit
3108,fit
3110,fit
3112,fit
3114,fit
3116,fit
3118,fit
3120,fit
3122,fit
3124,fit
3126,fit
3128,fit
3130,fit
3132,fit
3134,fit
3136,fit
3138,fit
3140,fit
3142,fit
3144,fit
3146,fit
3148,fit
3150,fit
3152,fit
3154,fit
3156,fit
3158,fit
3160,fit
3162,fit
3164,fit
3166,fit
3168,fit
3170,fit
3172,fit
3174,fit
3176,fit
3178,fit
3180,fit
3182,fit
3184,fit
3186,fit
3188,fit
3190,fit
3192,fit
3194,fit
3196,fit
3198,fit
3200,fit
3202,fit
3204,fit
3206,fit
3208,fit
3210,fit
3212,fit
3214,fit
3216,fit
3218,fit
3220,fit
3222,fit
3224,fit
3226,fit
3228,fit
3230,fit
3232,fit
3234,fit
3236,fit
3238,fit
3240,fit
3242,fit
3244,fit
3246,fit
3248,fit
3250,fit
3252,fit
3254,fit
3256,fit
3258,fit
3260,fit
3262,fit
3264,fit
3266,fit
3268,fit
3270,fit
3272,fit
3274,fit
3276,fit
3278,fit
3280,fit
3282,fit
3284,fit
3286,fit
3288,fit
3290,fit
3292,fit
3294,fit
3296,fit
3298,fit
3300,fit
3302,fit
3304,fit
3306,fit
3308,fit
3310,fit
3312,fit
3314,fit
3316,fit
3318,fit
3320,fit
3322,fit
3324,fit
3326,fit
3328,fit
3330,fit
3332,fit
3334,fit
3336,fit
3338,fit
3340,fit
3342,fit
3344,fit
3346,fit
3348,fit
3350,fit
3352,fit
3354,fit
3356,fit
3358,fit
3360,fit
3362,fit
3364,fit
3366,fit
3368,fit
3370,fit
3372,fit
3374,fit
3376,fit
3378,fit
3380,fit
3382,fit
3384,fit
3386,fit
3388,fit
3390,fit
3392,fit
3394,fit
3396,fit
3398,fit
3400,fit
3402,fit
3404,fit
3406,fit
3408,fit
3410,fit
3412,fit
3414,fit
3416,fit
3418,fit
3420,fit
3422,fit
3424,fit
3426,fit
3428,fit
3430,fit
3432,fit
3434,fit
3436,fit
3438,fit
3440,fit
3442,fit
3444,fit
3446,fit
3448,fit
3450,fit
3452,fit
3454,fit
3456,fit
3458,fit
3460,fit
3462,fit
3464,fit
3466,fit
3468,fit
3470,fit
3472,fit
3474,fit
3476,fit
3478,fit
3480,fit
3482,fit
3484,fit
3486,fit
3488,fit
3490,fit
3492,fit
3494,fit
3496,fit
3498,fit
3500,fit
3502,fit
3504,fit
3506,fit
3508,fit
3510,fit
3512,fit
3514,fit
3516,fit
3518,fit
3520,fit
3522,fit
3524,fit
3526,fit
3528,fit
3530,fit
3532,fit
3534,fit
3536,fit
3538,fit
3540,fit
3542,fit
3544,fit
3546,fit
3548,fit
3550,fit
3552,fit
3554,fit
3556,fit
3558,fit
3560,fit
3562,fit
3564,fit
3566,fit
3568,fit
3570,fit
3572,fit
3574,fit
3576,fit
3578,fit
3580,fit
3582,fit
3584,fit
3586,fit
3588,fit
3590,fit
3592,fit
3594,fit
3596,fit
3598,fit
3600,fit
3602,fit
3604,fit
3606,fit
3608,fit
3610,fit
3612,fit
3614,fit
3616,fit
3618,fit
3620,fit
3622,fit
3624,fit
3626,fit
3628,fit
3630,fit
3632,fit
3634,fit
3636,fit
3638,fit
3640,fit
3642,fit
3644,fit
3646,fit
3648,fit
3650,fit
3652,fit
3654,fit
3656,fit
3658,fit
3660,fit
3662,fit
3664,fit
3666,fit
3668,fit
3670,fit
3672,fit
3674,fit
3676,fit
3678,fit
3680,fit
3682,fit
3684,fit
3686,fit
3688,fit
3690,fit
3692,fit
3694,fit
3696,fit
3698,fit
3700,fit
3702,fit
3704,fit
3706,fit
3708,fit
3710,fit
3712,fit
3714,fit
3716,fit
3718,fit
3720,fit
3722,fit
3724,fit
3726,fit
3728,fit
3730,fit
3732,fit
3734,fit
3736,fit
3738,fit
3740,fit
3742,fit
3744,fit
3746,fit
3748,fit
3750,fit
3752,fit
3754,fit
3756,fit
3758,fit
3760,fit
3762,fit
3764,fit
3766,fit
3768,fit
3770,fit
3772,fit
3774,fit
3776,fit
3778,fit
3780,fit
3782,fit
3784,fit
3786,fit
3788,fit
3790,fit
3792,fit
3794,fit
3796,fit
3798,fit
3800,fit
3802,fit
3804,fit
3806,fit
3808,fit
3810,fit
3812,fit
3814,fit
3816,fit
3818,fit
3820,fit
3822,fit
3824,fit
3826,fit
3828,fit
3830,fit
3832,fit
3834,fit
3836,fit
3838,fit
3840,fit
3842,fit
3844,fit
3846,fit
3848,fit
3850,fit
3852,fit
3854,fit
3856,fit
3858,fit
3860,fit
3862,fit
3864,fit
3866,fit
3868,fit
3870,fit
3872,fit
3874,fit
3876,fit
3878,fit
3880,fit
3882,fit
3884,fit
3886,fit
3888,fit
3890,fit
3892,fit
3894,fit
3896,fit
3898,fit
3900,fit
3902,fit
3904,fit
3906,fit
3908,fit
3910,fit
3912,fit
3914,fit
3916,fit
3918,fit
3920,fit
3922,fit
3924,fit
3926,fit
3928,fit
3930,fit
3932,fit
3934,fit
3936,fit
3938,fit
3940,fit
3942,fit
3944,fit
3946,fit
3948,fit
3950,fit
3952,fit
3954,fit
3956,fit
3958,fit
3960,fit
3962,fit
3964,fit
3966,fit
3968,fit
3970,fit
3972,fit
3974,fit
3976,fit
3978,fit
3980,fit
3982,fit
3984,fit
3986,fit
3988,fit
3990,fit
3992,fit
3994,fit
3996,fit
3998,fit
4000,fit
4002,fit
4004,fit
4006,fit
4008,fit
4010,fit
4012,fit
4014,fit
4016,fit
4018,fit
4020,fit
4022,fit
4024,fit
4026,fit
4028,fit
4030,fit
4032,fit
4034,fit
4036,fit
4038,fit
4040,fit
4042,fit
4044,fit
4046,fit
4048,fit
4050,fit
4052,fit
4054,fit
4056,fit
4058,fit
4060,fit
4062,fit
4064,fit
4066,fit
4068,fit
4070,fit
4072,fit
4074,fit
4076,fit
4078,fit
4080,fit
4082,fit
4084,fit
4086,fit
4088,fit
4090,fit
4092,fit
4094,fit
4096,fit
4098,fit
4100,fit
4102,fit
4104,fit
4106,fit
4108,fit
4110,fit
4112,fit
4114,fit
4116,fit
4118,fit
4120,fit
4122,fit
4124,fit
4126,fit
4128,fit
4130,fit
4132,fit
4134,fit
4136,fit
4138,fit
4140,fit
4142,fit
4144,fit
4146,fit
4148,fit
4150,fit
4152,fit
4154,fit
4156,fit
4158,fit
4160,fit
4162,fit
4164,fit
4166,fit
4168,fit
4170,fit
4172,fit
4174,fit
4176,fit
4178,fit
4180,fit
4182,fit
4184,fit
4186,fit
4188,fit
4190,fit
4192,fit
4194,fit
4196,fit
4198,fit
4200,fit
4202,fit
4204,fit
4206,fit
4208,fit
4210,fit
4212,fit
4214,fit
4216,fit
4218,fit
4220,fit
4222,fit
4224,fit
4226,fit
4228,fit
4230,fit
4232,fit
4234,fit
4236,fit
4238,fit
4240,fit
4242,fit
4244,fit
4246,fit
4248,fit
4250,fit
4252,fit
4254,fit
4256,fit
4258,fit
4260,fit
4262,fit
4264,fit
4266,fit
4268,fit
4270,fit
4272,fit
4274,fit
4276,fit
4278,fit
4280,fit
4282,fit
4284,fit
4286,fit
4288,fit
4290,fit
4292,fit
4294,fit
4296,fit
4298,fit
4300,fit
4302,fit
4304,fit
4306,fit
4308,fit
4310,fit
4312,fit
4314,fit
4316,fit
4318,fit
4320,fit
4322,fit
4324,fit
4326,fit
4328,fit
4330,fit
4332,fit
4334,fit
4336,fit
4338,fit
4340,fit
4342,fit
4344,fit
4346,fit
4348,fit
4350,fit
4352,fit
4354,fit
4356,fit
4358,fit
4360,fit
4362,fit
4364,fit
4366,fit
4368,fit
4370,fit
4372,fit
4374,fit
4376,fit
4378,fit
4380,fit
4382,fit
4384,fit
4386,fit
4388,fit
4390,fit
4392,fit
4394,fit
4396,fit
4398,fit
4400,fit
4402,fit
4404,fit
4406,fit
4408,fit
4410,fit
4412,fit
4414,fit
4416,fit
4418,fit
4420,fit
4422,fit
4424,fit
4426,fit
4428,fit
4430,fit
4432,fit
4434,fit
4436,fit
4438,fit
4440,fit
4442,fit
4444,fit
4446,fit
4448,fit
4450,fit
4452,fit
4454,fit
4456,fit
4458,fit
4460,fit
4462,fit
4464,fit
4466,fit
4468,fit
4470,fit
4472,fit
4474,fit
4476,fit
4478,fit
4480,fit
4482,fit
4484,fit
4486,fit
4488,fit
4490,fit
4492,fit
4494,fit
4496,fit
4498,fit
4500,fit
4502,fit
4504,fit
4506,fit
4508,fit
4510,fit
4512,fit
4514,fit
4516,fit
4518,fit
4520,fit
4522,fit
4524,fit
4526,fit
4528,fit
4530,fit
4532,fit
4534,fit
4536,fit
4538,fit
4540,fit
4542,fit
4544,fit
4546,fit
4548,fit
4550,fit
4552,fit
4554,fit
4556,fit
4558,fit
4560,fit
4562,fit
4564,fit
4566,fit
4568,fit
4570,fit
4572,fit
4574,fit
4576,fit
4578,fit
4580,fit
4582,fit
4584,fit
4586,fit
4588,fit
4590,fit
4592,fit
4594,fit
4596,fit
4598,fit
4600,fit
4602,fit
4604,fit
4606,fit
4608,fit
4610,fit
4612,fit
4614,fit
4616,fit
4618,fit
4620,fit
4622,fit
4624,fit
4626,fit
4628,fit
4630,fit
4632,fit
4634,fit
4636,fit
4638,fit
4640,fit
4642,fit
4644,fit
4646,fit
4648,fit
4650,fit
4652,fit
4654,fit
4656,fit
4658,fit
4660,fit
4662,fit
4664,fit
4666,fit
4668,fit
4670,fit
4672,fit
4674,fit
4676,fit
4678,fit
4680,fit
4682,fit
4684,fit
4686,fit
4688,fit
4690,fit
4692,fit
4694,fit
4696,fit
4698,fit
4700,fit
4702,fit
4704,fit
4706,fit
4708,fit
4710,fit
4712,fit
4714,fit
4716,fit
4718,fit
4720,fit
4722,fit
4724,fit
4726,fit
4728,fit
4730,fit
4732,fit
4734,fit
4736,fit
4738,fit
4740,fit
4742,fit
4744,fit
4746,fit
4748,fit
4750,fit
4752,fit
4754,fit
4756,fit
4758,fit
4760,fit
4762,fit
4764,fit
4766,fit
4768,fit
4770,fit
4772,fit
4774,fit
4776,fit
4778,fit
4780,fit
4782,fit
4784,fit
4786,fit
4788,fit
4790,fit
4792,fit
4794,fit
4796,fit
4798,fit
4800,fit
4802,fit
4804,fit
4806,fit
4808,fit
4810,fit
4812,fit
4814,fit
4816,fit
4818,fit
4820,fit
4822,fit
4824,fit
4826,fit
