experiment,partition,window_id,log_id,step,actual_duration_s,dt_s,epsilon,epsilon_control,epsilon_max_matrix_difference,singular_epsilon_difference,radius_epsilon_difference,largest_singular,spectral_radius,dynamic_largest_singular,dynamic_spectral_radius,rigid_largest_singular,rigid_spectral_radius
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:0,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.00023841856,6.961251260939605e-05,7.619118338864084e-05,1.1670667847262448,1.0010398117667216,1.1670608390564434,1.001039811766718,1.0405636372529108,1.0013728151598849
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:910,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,5.950720070146964e-05,4.332343276347572e-06,1.1642534441785115,1.001358019289706,1.1642489212726108,1.0013580192897056,1.0380193504572477,0.9984496706034127
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:220,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,7.820941136937876e-07,1.2980872749590588e-05,1.162759543322853,1.0051258050634877,1.1627569206844741,1.0051258050634884,1.0390757233229106,1.0044423614446312
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:1130,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0076293945,6.067097106510211e-05,0.00667572021484375,1.1616429284817136,1.0070799589157104,1.1616303393797138,0.9993796207434691,1.0368417131793848,0.9997130872561675
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2040,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,7.276710967674127e-05,7.548208866015038e-05,1.161780324620809,1.0060464824852349,1.1617737120402123,1.006046482485235,1.044280923417013,1.0060097297649415
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2950,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0009536743,6.505267886813826e-05,6.50595517017738e-05,1.1623755051652371,1.0006780453603243,1.1623629749214597,1.0006780453603246,1.0388714391320288,0.9978977208211491
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:3860,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.029939,0.001,0.002,0.007629335,0.00026053156472594097,0.00583507059197097,1.251918469227846,1.0070799589157104,1.2519145174183657,1.0012363002025122,1.06279370483666,0.9978867796164267
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:30,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.00095367426,1.8275522382094067e-05,0.0002172455825923958,1.1639157418216695,1.0029907289074766,1.163912404804918,1.0029907289074782,1.0445096336469246,1.0039012237827796
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:940,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,0.00013151034698721809,0.006338288384263313,1.165715689639274,1.0070799589157104,1.165711620574114,1.000719952179539,1.0424005670220122,1.0005131082933825
R2,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:1860,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0009536147,7.244354227609051e-07,4.907300196022035e-05,1.1661092768670474,1.0043663217111722,1.1661038789849254,1.0043663217111736,1.0504361630699213,1.0044927058016109
