model,seed,cohort,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_flights,n_windows
B1_MLP,17,Sep7,0.1,0.06052464442003745,0.5146582591069306,1.8458081122790833,0.706116164093413,0.5146582591069306,0.706116164093413,0.1333953832906435,0.13421933957237667,0.476836538037434,0.5490662772478095,0.41620270889402683,0.14972112178382227,9,1481
B1_MLP,17,Sep7,0.2,0.11921699091328936,0.4098529967567404,2.719898558802166,0.747555064303086,0.4098529967567404,0.747555064303086,0.14534659357419077,0.1456192169123202,0.35357144323148415,0.5797680598802368,0.4414187961733477,0.16361361760741866,9,1481
B1_MLP,17,Sep7,0.5,0.28726659678640726,0.5074736105073216,4.574940367888108,0.7537052730427742,0.5074736105073216,0.7537052730427742,0.24848730995491014,0.24363289838398622,0.3682815909129334,0.5927787622619868,0.4321940767075908,0.1665403386995813,9,1481
B1_MLP,17,Sep7,1.0,0.6380560461550685,0.7864637511773972,7.3222073306813655,0.7533758802053732,0.7864637511773972,0.7533758802053732,0.4486752224231446,0.4523139784677112,0.4577618415733984,0.585278539299369,0.4383420785772711,0.17731890202101044,9,1481
B2_StandardGRU,17,ALL,0.1,0.03536245183250302,0.14035855362762467,1.3845081999116717,0.5438908711237967,0.14035855362762467,0.5438908711237967,0.06245899928869087,0.0636889388104639,0.10396465171131393,0.4762783239684384,0.22208440766132923,0.13502715242563718,17,2582
B2_StandardGRU,17,ALL,0.2,0.07037190053473638,0.19133724995639803,2.153924950052745,0.5642465257049663,0.19133724995639803,0.5642465257049663,0.08804070146912821,0.08925993193624206,0.1416308766350507,0.4988074968435311,0.21699200547669908,0.14567064826532442,17,2582
B2_StandardGRU,17,ALL,0.5,0.19181756174914597,0.3512097180469291,4.033739771723627,0.5987111840019169,0.3512097180469291,0.5987111840019169,0.18695265610987355,0.18616324680223692,0.22673953078944797,0.5234362960146132,0.24350756552482727,0.15348245796622756,17,2582
B2_StandardGRU,17,ALL,1.0,0.4710118358619498,0.6397393092867328,6.743670494699981,0.6179617016979126,0.6397393092867328,0.6179617016979126,0.3841710713506121,0.40668320924807055,0.30659679281676905,0.5146079867613828,0.294705714091293,0.16743041035874967,17,2582
B2_StandardGRU,17,Sep17,0.1,0.018732196056148013,0.1491563331465141,1.4554005293162402,0.5271383388882338,0.1491563331465141,0.5271383388882338,0.06466484007349763,0.06041526430527265,0.11964479797643535,0.45525084061902554,0.22912816309620088,0.12985899294251355,8,1101
B2_StandardGRU,17,Sep17,0.2,0.04013913313889044,0.21956426359757708,2.315408116422238,0.5362156869348987,0.21956426359757708,0.5362156869348987,0.10107149512043379,0.09271941313819364,0.1691229367792951,0.4633663733843765,0.22220707228510675,0.1517490893710403,8,1101
B2_StandardGRU,17,Sep17,0.5,0.12703654598931657,0.36104228813823613,4.526343428566673,0.5620904662494559,0.36104228813823613,0.5620904662494559,0.18169251153466998,0.1747935916158645,0.255984017775043,0.48269437832588835,0.23367331655829943,0.16700034361350174,8,1101
B2_StandardGRU,17,Sep17,1.0,0.3575994088262163,0.6744544644740484,7.675610016839577,0.6087628786367514,0.6744544644740484,0.6087628786367514,0.3970528246407614,0.4167900037458592,0.34945116963397477,0.4987098657638183,0.2930436391331126,0.1868244024544255,8,1101
B2_StandardGRU,17,Sep7,0.1,0.05014490141148525,0.13253830516638962,1.3214927959964997,0.5587820108887416,0.13253830516638962,0.5587820108887416,0.06049825192441822,0.06659887170396725,0.0900267439200949,0.49496942027902757,0.2158232917192211,0.1396210719661915,9,1481
