experiment,partition,horizon_s,signal,source,temporal_std_median,rms_median,mean_vector_norm_median,temporal_delta_norm_mean,norm_at_horizon_median
A1_longer_rollout,validation,1.0,velocity_n,truth,0.6596272783853243,6.938633906050741,6.867877968140755,0.1919132010547004,6.896679680437979
A1_longer_rollout,validation,1.0,angular_velocity_b,pred,0.17176629602909088,0.27802160382270813,0.20228777825832367,0.03224118798971176,0.18949110805988312
A1_longer_rollout,validation,1.0,angular_velocity_b,truth,0.7063954159469465,0.7618648274467033,0.2562111638504996,0.5311125131147877,0.7122347755649974
A1_longer_rollout,validation,1.0,acceleration_n,pred,0.7222027750976743,1.6081525510279264,1.3976728845658561,0.22950131225930787,1.2795169393412587
A1_longer_rollout,validation,1.0,acceleration_n,truth,10.37705776658876,10.617066712902602,1.677184772869177,5.616916537829085,9.15743049179602
A1_longer_rollout,validation,1.0,angular_acceleration_b,pred,2.3139395311668784,2.4432846853924195,0.6914671776675565,0.5424611885420387,0.6881589358962552
A1_longer_rollout,validation,1.0,angular_acceleration_b,truth,29.542106744990633,29.595523882762198,1.009158922862578,34.05668788114374,25.8372053710447
A1_longer_rollout,validation,1.0,gru_hidden,pred,0.8118023872375488,1.9604240655899048,1.7697521448135376,0.2874959111213684,1.8155529499053955
A1_longer_rollout,validation,2.0,velocity_n,pred,0.6545778512954712,6.728287696838379,6.685060977935791,0.03069154918193817,6.633439064025879
A1_longer_rollout,validation,2.0,velocity_n,truth,1.004987591956867,6.906681743278876,6.795617663676431,0.19165636648486678,6.893726051719503
A1_longer_rollout,validation,2.0,angular_velocity_b,pred,0.15849989652633667,0.23411160707473755,0.16359099745750427,0.023628413677215576,0.14398883283138275
A1_longer_rollout,validation,2.0,angular_velocity_b,truth,0.7225337071944044,0.7688433184984064,0.22026244449792862,0.530525439677366,0.71062728222781
A1_longer_rollout,validation,2.0,acceleration_n,pred,0.8782043920983613,1.4508970968062034,1.0381568570753017,0.23261097911200715,1.0620871235582396
A1_longer_rollout,validation,2.0,acceleration_n,truth,10.461708793583501,10.596625323698492,1.3935266281588206,5.608422694091064,9.052803747520466
A1_longer_rollout,validation,2.0,angular_acceleration_b,pred,1.7860843263878592,1.82387397351276,0.3606275960704048,0.4391023440250984,0.6560685642506789
A1_longer_rollout,validation,2.0,angular_acceleration_b,truth,29.544932290286958,29.556153640128834,0.5600723875563801,34.02651841456036,25.514188122010488
A1_longer_rollout,validation,2.0,gru_hidden,pred,0.87354975938797,1.881173849105835,1.606314778327942,0.27928435802459717,1.6533472537994385
A1_longer_rollout,validation,3.0,velocity_n,pred,0.8415436744689941,6.697422981262207,6.631862640380859,0.02795453742146492,6.578839302062988
A1_longer_rollout,validation,3.0,velocity_n,truth,1.3109465154739928,6.917734444788584,6.7403234574974125,0.1913992141943915,6.913018353121668
A1_longer_rollout,validation,3.0,angular_velocity_b,pred,0.15741002559661865,0.2108376920223236,0.12356120347976685,0.020412448793649673,0.11338337510824203
A1_longer_rollout,validation,3.0,angular_velocity_b,truth,0.7382944729416964,0.771896508851853,0.19724779915141694,0.5300220702285029,0.7086115300114568
A1_longer_rollout,validation,3.0,acceleration_n,pred,0.9766824276874755,1.3841151063659245,0.8183717469969713,0.23456072664967675,0.9760217720284949
A1_longer_rollout,validation,3.0,acceleration_n,truth,10.457260799032339,10.566169826890544,1.2213281405733474,5.597340187754776,8.98071777838907
A1_longer_rollout,validation,3.0,angular_acceleration_b,pred,1.5391903453960627,1.5576458182218722,0.244445104298037,0.3985299530115455,0.6263676935142939
A1_longer_rollout,validation,3.0,angular_acceleration_b,truth,29.56370166561972,29.565817798943485,0.43524696791364065,33.98916427334874,25.610650675561278
