model,window_id,log_id,cohort,horizon_s,position_horizontal_m,position_vertical_m,position_m,velocity_m_s,attitude_deg,body_rate_rad_s,frequency_hz,phase_rad,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,body_rate_p_rad_s,body_rate_q_rad_s,body_rate_r_rad_s
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2025,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.2083943543773894,0.09889030456542969,0.2306675080574037,0.5478004952584625,2.4789473637241457,0.279940569827641,0.009199857711791992,0.06030133641929325,0.33121633529663086,0.4362870454788208,0.005893707275390625,0.1789165735244751,0.01231655478477478,0.21495088934898376
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2075,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.2765871852437711,0.2100048065185547,0.3472786918340481,0.6491598109030641,2.8688219663509993,0.16004872055214267,0.021045446395874023,0.19620977793075411,0.5836591720581055,0.21202198788523674,0.1892012357711792,0.010557591915130615,0.1296635866165161,0.09322813153266907
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.09886059861268501,0.09136199951171875,0.1346121573738335,0.40956660312336884,5.838308477683351,0.4628407193508182,0.013959646224975586,0.16953911104416616,0.1888575553894043,0.3270517587661743,0.15847641229629517,0.26499584689736366,0.2505955100059509,0.28495723009109497
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.13766124530125806,0.1398792266845703,0.19625701647525,0.4006112300554536,3.8559427391579164,0.6511862762655416,0.04375147819519043,0.19880542033499893,0.29162025451660156,0.21922576427459717,0.16549032926559448,0.573461651802063,0.2972152531147003,0.08275502175092697
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.10524190443330297,0.20116233825683594,0.22702895141744842,0.4409260855891516,5.764989968803191,0.27359429975073335,0.02617931365966797,0.07049701758563032,0.005969524383544922,0.30792737007141113,0.31553274393081665,0.25437748432159424,0.03481793403625488,0.09451797604560852
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2275,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.09574416329336682,0.029447555541992188,0.10017037152843951,0.42339181102765033,6.656111321584944,0.22123177941894318,0.0017538070678710938,0.18086851081799438,0.11941671371459961,0.32314634323120117,0.24612337350845337,0.16296157240867615,0.025607407093048096,0.14741535484790802
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2325,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.06971970112621717,0.011426925659179688,0.07064992112627916,0.06807322667022347,1.6650202630635416,0.316422436163657,0.030371665954589844,0.08251625873685244,0.03500938415527344,0.05833697319030762,0.002259373664855957,0.25828374922275543,0.18083161115646362,0.02669440768659115
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2375,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.21602967499786,0.0361328125,0.21903059288337137,0.6576387655200636,5.396725324671828,0.17540253635572145,0.06685304641723633,0.16620115450846384,0.1799473762512207,0.5901001691818237,0.2277926206588745,0.15460103750228882,0.05967825651168823,0.05747238174080849
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2425,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.22209010460271314,0.06644630432128906,0.23181700955797316,0.4285371830480014,2.9650737143133696,0.35874175832071925,0.10094499588012695,0.08200311186129028,0.24320125579833984,0.31177055835723877,0.16521617770195007,0.25402140617370605,0.24776610732078552,0.05273263156414032
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2475,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.20650643510209768,0.34421730041503906,0.40141058486740744,0.8163799591560352,5.892719904662013,0.24354320196732304,0.04249000549316406,0.28897572562213014,0.30725860595703125,0.5906968116760254,0.47238296270370483,0.23988648504018784,0.02768188714981079,0.03164614737033844
