step,horizon_s,group,cohort,grouping_available,n_origins,n_flights,E_mean,E_std,E_min,E_p05,E_p25,E_median,E_p75,E_p95,E_max
10,0.2,middle,Sep17,True,589,8,0.14684484151310706,0.023736710660296874,0.11044981776780916,0.11286815252090154,0.12661803037583946,0.14398372180757407,0.16693428850446873,0.18634312256728094,0.19349850889474532
10,0.2,high,ALL,True,503,17,0.2898262512345403,0.12728453664439507,0.19371599603318668,0.19799701747159304,0.21388172286283036,0.24650910783407612,0.3057001949671955,0.5563337228199414,1.090834291298004
10,0.2,high,Sep7,True,231,9,0.29331981693105375,0.1266798166801497,0.1944143581548747,0.1999332272185591,0.21654499902814522,0.2503740423315183,0.3101633936252539,0.5613686154589551,1.090834291298004
10,0.2,high,Sep17,True,272,8,0.28685928919081016,0.12795405565600318,0.19371599603318668,0.19688548407131834,0.2110775339057556,0.24156793311406552,0.3048563299525793,0.5239089041334418,0.9757634682554164
25,0.5,ALL,ALL,True,2582,17,0.2433198617881932,0.14896461462289937,0.053857729126991064,0.10010824382613978,0.14814012242588748,0.21148541997735845,0.28340492660973116,0.5304457599704352,1.385651985024288
25,0.5,ALL,Sep7,True,1481,9,0.21508780096393854,0.13572833033342677,0.053857729126991064,0.09127333760609259,0.12970768921759795,0.18113493691035823,0.2524468327126173,0.4886350342072079,1.356099989955131
25,0.5,ALL,Sep17,True,1101,8,0.2812959581376221,0.15736601136180978,0.08410936615602753,0.12700222344691922,0.19105129080101763,0.24115208698367627,0.32053824908680517,0.5740792460173141,1.385651985024288
25,0.5,low,ALL,True,888,17,0.12936742639594886,0.026460736635003482,0.053857729126991064,0.08448661086846687,0.10988561572044964,0.13087872647435084,0.1500845405678052,0.1691410421502218,0.1734339357810781
25,0.5,low,Sep7,True,687,9,0.1260952626667931,0.02692099143916634,0.053857729126991064,0.08176013027547752,0.1050363087034947,0.126866602553836,0.1473722734372122,0.1691072103910951,0.1734339357810781
25,0.5,low,Sep17,True,201,8,0.14055138899261546,0.021375545166283507,0.08410936615602753,0.10381438450000012,0.12438887935097381,0.14298319700410694,0.15772330712787921,0.16970582440849713,0.1731139613356211
25,0.5,middle,ALL,True,1240,17,0.23532066857686063,0.03974199309413465,0.1737641561968117,0.17917121468904018,0.2027267996492163,0.230001412259624,0.2651748941767945,0.3071203888208683,0.32149861111268696
25,0.5,middle,Sep7,True,609,9,0.2313492508831945,0.04045901774440206,0.1737641561968117,0.17893136972976853,0.19664961391496066,0.2216871206792377,0.2635055060079456,0.30591432540577745,0.3209391247536066
25,0.5,middle,Sep17,True,631,8,0.23915362162827533,0.0386842838823403,0.1738566648878803,0.17966870111623473,0.20930735558371402,0.23539240035550968,0.2674204934040287,0.30758781361377546,0.32149861111268696
25,0.5,high,ALL,True,454,17,0.4880528181986897,0.1873096862688399,0.3219706096576685,0.3280169842041169,0.36184634040415353,0.42018991338806655,0.554362976556327,0.8426723137905442,1.385651985024288
25,0.5,high,Sep7,True,185,9,0.49203185939265215,0.18029884920824818,0.3219706096576685,0.3270972630836679,0.35864924164764245,0.42792820746890253,0.5747821181493838,0.8211897637550389,1.356099989955131
25,0.5,high,Sep17,True,269,8,0.4853163028794218,0.19226761932786818,0.322593439951148,0.32969968938656713,0.36365291591563775,0.41440720785186463,0.5359449145095077,0.8547798282358956,1.385651985024288
50,1.0,ALL,ALL,True,2582,17,0.3643643953204639,0.21798111564799494,0.06075839939660719,0.1288233423970142,0.21068567840982105,0.3191472909903096,0.44802423345413156,0.7915118166695974,1.852893281485258
50,1.0,ALL,Sep7,True,1481,9,0.31362535799777813,0.19713531054459849,0.06075839939660719,0.11562829858674481,0.1774188586351349,0.26025012229042244,0.40042975705065126,0.6822018705096886,1.7688957239932954
50,1.0,ALL,Sep17,True,1101,8,0.4326155436173736,0.22599373477459112,0.09604764738723767,0.18210346918755665,0.2836409974927903,0.3846949950730658,0.5007882511234717,0.8805119544013261,1.852893281485258
50,1.0,low,ALL,True,926,17,0.1806466949396716,0.04427422325517629,0.06075839939660719,0.10289091925937356,0.14626429975378183,0.1824118133426405,0.21670215179480667,0.24668934519602068,0.25384364250815605
50,1.0,low,Sep7,True,718,9,0.17402834940757853,0.04423587234214062,0.06075839939660719,0.10150646932591227,0.13855498037380812,0.1749340013957923,0.2110028391447676,0.24310160936361727,0.25374748688560256
50,1.0,low,Sep17,True,208,8,0.2034927146129542,0.03612531852517558,0.09604764738723767,0.13697563977319457,0.18134658109549462,0.2086292764838817,0.23337757879734775,0.24971663531506466,0.25384364250815605
50,1.0,middle,ALL,True,1188,17,0.3660341013326331,0.06916397213769243,0.25420204274342545,0.26364908870958376,0.3061446534520954,0.3611395840961547,0.42164913647720353,0.4809330079364026,0.5013271798582557
50,1.0,middle,Sep7,True,568,9,0.35690616328478886,0.06975932588099205,0.25420204274342545,0.26195718656978617,0.2969676987962752,0.3482573808540944,0.4105877229865482,0.4813343781485742,0.5013271798582557
50,1.0,middle,Sep17,True,620,8,0.3743964703829162,0.06759531000573349,0.25425044662891744,0.2670185556464988,0.3188465883104905,0.37067419077206454,0.4330934807993455,0.4802012222803013,0.5013034312056489
50,1.0,high,ALL,True,468,17,0.7236357197011406,0.22423530328352664,0.5044520461616283,0.5140553359567748,0.5682641694404951,0.6453952412933626,0.8126905240430474,1.197192550854312,1.852893281485258
50,1.0,high,Sep7,True,195,9,0.7015594849964513,0.2148120856914888,0.5044520461616283,0.5147408496763843,0.5618908422550584,0.6267473659083954,0.758618379452376,1.1586173610385817,1.7688957239932954
50,1.0,high,Sep17,True,273,8,0.7394044587759186,0.22982208989885058,0.5048511488507554,0.5129878538011153,0.5726799272666767,0.656684676759177,0.8484689383493222,1.2021582545600853,1.852893281485258
