step,horizon_s,group,flight_id,cohort,n_origins
5,0.1,middle,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,61
5,0.1,middle,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,75
5,0.1,middle,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,58
5,0.1,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,16
5,0.1,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,31
5,0.1,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,32
5,0.1,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,31
5,0.1,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,37
5,0.1,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,45
5,0.1,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,28
5,0.1,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,57
5,0.1,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,37
5,0.1,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,29
5,0.1,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,30
5,0.1,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,26
5,0.1,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,56
5,0.1,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,42
5,0.1,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,40
5,0.1,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,41
5,0.1,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,30
10,0.2,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168
10,0.2,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182
10,0.2,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160
10,0.2,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161
10,0.2,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150
10,0.2,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155
10,0.2,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140
10,0.2,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201
10,0.2,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164
10,0.2,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130
10,0.2,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145
10,0.2,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144
10,0.2,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153
10,0.2,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138
10,0.2,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131
10,0.2,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146
10,0.2,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114
10,0.2,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,97
10,0.2,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,88
10,0.2,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,49
10,0.2,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,57
10,0.2,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,57
10,0.2,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,57
10,0.2,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,40
10,0.2,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,42
10,0.2,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,60
10,0.2,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,36
10,0.2,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,32
10,0.2,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,47
10,0.2,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,34
10,0.2,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,25
10,0.2,low,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,22
10,0.2,low,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,23
10,0.2,low,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,21
10,0.2,middle,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,47
10,0.2,middle,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,64
10,0.2,middle,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,85
10,0.2,middle,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,77
10,0.2,middle,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,71
10,0.2,middle,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,73
10,0.2,middle,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,81
10,0.2,middle,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,118
10,0.2,middle,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,87
10,0.2,middle,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,65
10,0.2,middle,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,84
10,0.2,middle,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,73
10,0.2,middle,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,65
10,0.2,middle,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,78
10,0.2,middle,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,79
10,0.2,middle,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,83
10,0.2,middle,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,62
10,0.2,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,24
10,0.2,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,30
10,0.2,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,26
10,0.2,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,27
10,0.2,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,22
10,0.2,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,25
10,0.2,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,19
10,0.2,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,41
10,0.2,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,17
10,0.2,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,29
10,0.2,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,29
10,0.2,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,24
10,0.2,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,54
10,0.2,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,35
10,0.2,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,30
10,0.2,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,40
10,0.2,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,31
25,0.5,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168
25,0.5,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182
25,0.5,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160
25,0.5,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161
25,0.5,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150
25,0.5,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155
25,0.5,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140
25,0.5,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201
25,0.5,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164
25,0.5,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130
25,0.5,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145
25,0.5,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144
25,0.5,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153
25,0.5,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138
25,0.5,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131
25,0.5,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146
25,0.5,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114
25,0.5,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,99
25,0.5,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,93
25,0.5,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,46
25,0.5,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,39
25,0.5,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,87
25,0.5,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,91
25,0.5,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,44
25,0.5,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,84
25,0.5,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,104
25,0.5,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,25
25,0.5,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34
25,0.5,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,29
25,0.5,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,19
25,0.5,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,34
25,0.5,low,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,21
25,0.5,low,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,18
25,0.5,low,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,21
25,0.5,middle,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,45
25,0.5,middle,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,59
25,0.5,middle,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,84
25,0.5,middle,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,103
25,0.5,middle,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,47
25,0.5,middle,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,46
25,0.5,middle,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,78
25,0.5,middle,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,95
25,0.5,middle,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,52
25,0.5,middle,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,71
25,0.5,middle,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,77
25,0.5,middle,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,88
25,0.5,middle,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,76
25,0.5,middle,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,69
25,0.5,middle,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,93
25,0.5,middle,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,95
25,0.5,middle,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,62
25,0.5,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,24
25,0.5,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,30
25,0.5,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,30
25,0.5,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,19
25,0.5,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,16
25,0.5,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,18
25,0.5,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,18
25,0.5,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,22
25,0.5,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,8
25,0.5,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,34
25,0.5,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,34
25,0.5,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,27
25,0.5,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,58
25,0.5,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,35
25,0.5,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,17
25,0.5,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,33
25,0.5,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,31
50,1.0,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168
50,1.0,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182
50,1.0,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160
50,1.0,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161
50,1.0,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150
50,1.0,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155
50,1.0,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140
50,1.0,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201
50,1.0,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164
50,1.0,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130
50,1.0,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145
50,1.0,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144
50,1.0,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153
50,1.0,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138
50,1.0,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131
50,1.0,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146
50,1.0,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114
50,1.0,low,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,91
50,1.0,low,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,96
50,1.0,low,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,42
50,1.0,low,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,47
50,1.0,low,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,95
50,1.0,low,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,94
50,1.0,low,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,50
50,1.0,low,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,97
50,1.0,low,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,106
50,1.0,low,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,26
50,1.0,low,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,30
50,1.0,low,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,33
50,1.0,low,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,17
50,1.0,low,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,34
50,1.0,low,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,28
50,1.0,low,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,21
50,1.0,low,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,19
50,1.0,middle,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,50
50,1.0,middle,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,58
50,1.0,middle,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,87
50,1.0,middle,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,87
50,1.0,middle,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,40
50,1.0,middle,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,44
50,1.0,middle,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,72
50,1.0,middle,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,85
50,1.0,middle,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,45
50,1.0,middle,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,59
50,1.0,middle,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,73
50,1.0,middle,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,87
50,1.0,middle,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,77
50,1.0,middle,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,76
50,1.0,middle,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,82
50,1.0,middle,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,99
50,1.0,middle,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,67
50,1.0,high,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,27
50,1.0,high,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,28
50,1.0,high,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,31
50,1.0,high,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,27
50,1.0,high,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,15
50,1.0,high,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,17
50,1.0,high,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,18
50,1.0,high,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,19
50,1.0,high,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,13
50,1.0,high,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,45
50,1.0,high,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,42
50,1.0,high,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,24
50,1.0,high,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,59
50,1.0,high,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,28
50,1.0,high,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,21
50,1.0,high,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,26
50,1.0,high,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,28
