kind,condition,seed,group,group_rule,step,horizon_s,flight_id,cohort,n_origins,metric,value
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,body_rate_rmse_rad_s,0.6126144949965737
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,position_rmse_m,0.12782978464594535
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,velocity_rmse_m_s,0.11875372556944026
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,attitude_error_deg,1.3529983087127793
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,body_rate_rmse_rad_s,0.5578743898629629
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,position_rmse_m,0.01853939189092236
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,velocity_rmse_m_s,0.13067711940661134
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,attitude_error_deg,1.4410999360178016
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,body_rate_rmse_rad_s,0.5619771453138034
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,position_rmse_m,0.020477508605037206
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,velocity_rmse_m_s,0.15217442089129157
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,attitude_error_deg,1.625962353793111
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,body_rate_rmse_rad_s,0.5437917577858277
