kind,seed,group,group_rule,step,horizon_s,metric,cohort,actual,n_flights,n_origins,hold,absolute_gain,relative_gain_pct,level,flight_id,seeds_improved,seeds_worse,n_seeds,flights_improved,flights_worse,flights_tied
endpoint,,low,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.2929112071847979,17.0,888,0.3336347906249017,0.0407235834401037,12.206036236157528,macro,,3.0,0.0,3.0,17.0,0.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.303337241068685,8.0,201,0.3602470399491771,0.056909798880492,15.797436916767117,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,low,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.2836436215102316,9.0,687,0.3099794578922124,0.0263358363819807,8.495994076852154,macro,,3.0,0.0,3.0,9.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,ALL,3.976936126699589,17.0,1240,4.5102476114362124,0.5333114847366232,11.824439159046506,macro,,3.0,0.0,3.0,17.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep17,4.269050588042178,8.0,631,4.8844227313492885,0.6153721433071109,12.598666764805564,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep7,3.7172788277284,9.0,609,4.177647504846811,0.4603686771184105,11.019806639605218,macro,,3.0,0.0,3.0,9.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.5755524978358896,17.0,1240,0.6287619966107442,0.0532094987748545,8.462581877033463,macro,,3.0,0.0,3.0,16.0,1.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.5443044832896043,8.0,631,0.6281695631778841,0.0838650798882797,13.350707325584152,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.603328510765921,9.0,609,0.6292886041066198,0.0259600933406988,4.125308033752416,macro,,3.0,0.0,3.0,8.0,1.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.1835378231328153,17.0,1240,0.1923081313667772,0.0087703082339619,4.560549869435775,macro,,3.0,0.0,3.0,15.0,2.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.1099356959127603,8.0,631,0.1240298986177057,0.0140942027049454,11.363552548234876,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.2489619362173086,9.0,609,0.2529998938103963,0.0040379575930876,1.5960313390936856,macro,,3.0,0.0,3.0,7.0,2.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,ALL,0.3216730180814022,17.0,1240,0.3962125645110206,0.0745395464296184,18.813019350259676,macro,,3.0,0.0,3.0,17.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep17,0.3206889072269218,8.0,631,0.4238570229596333,0.1031681157327114,24.340310563295027,macro,,3.0,0.0,3.0,8.0,0.0,0.0
endpoint,,middle,horizon_specific_train_quantiles,25,0.5,velocity_rmse_m_s,Sep7,0.3225477832853849,9.0,609,0.3716397125566983,0.0490919292713133,13.209548821783626,macro,,3.0,0.0,3.0,9.0,0.0,0.0
