kind,condition,group,group_rule,step,horizon_s,metric,cohort,mean,std,min,max,n_seeds,n_flights,n_origins
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,ALL,1.1740229209026019,0.011036397199229076,1.162033725774935,1.183758703209561,3,17,608
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep17,1.2204238849827023,0.009539512503599822,1.212819513128817,1.2311276971917045,3,8,294
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,attitude_error_deg,Sep7,1.132777619498068,0.01378991049524047,1.1168908036825953,1.1416529307809886,3,9,314
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,ALL,0.5840539347477405,0.0014623386034761734,0.5829995183191833,0.5857233288871679,3,17,608
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep17,0.5690146168308653,0.0016616109732015408,0.5671850348223537,0.5704298309379668,3,8,294
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,body_rate_rmse_rad_s,Sep7,0.5974222173405184,0.0017416282401742623,0.5958922657520653,0.5993175492864578,3,9,314
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,position_rmse_m,ALL,0.027489070190436588,0.00010537085181216313,0.027370372823656893,0.02757157524986622,3,17,608
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep17,0.014263651501171308,0.00015925912534734427,0.014089927136757396,0.014402747321133431,3,8,294
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,position_rmse_m,Sep7,0.03924499791422794,6.0494973014661085e-05,0.03917521343423422,0.03928258023304314,3,9,314
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,ALL,0.14437541752959912,0.0044800674298927515,0.14020717051654646,0.14911289585691725,3,17,608
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep17,0.15010845697514416,0.0056950898139715295,0.14633530732825265,0.15665942396647461,3,8,294
interval,Actual,high,horizon_specific_train_quantiles,5,0.1,velocity_rmse_m_s,Sep7,0.13927938246689245,0.004008564080903449,0.13475993779502987,0.14240487087064407,3,9,314
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,ALL,1.8643015540821735,0.039276616934429576,1.8294853901078023,1.9068796317466767,3,17,503
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep17,2.064577018191191,0.06390762618926847,2.009998177823784,2.1348786148283025,3,8,272
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,attitude_error_deg,Sep7,1.686278919318602,0.017602162203075096,1.6690295788047071,1.704213869007454,3,9,231
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,ALL,0.6029388460109787,0.0023601890356002,0.601493965050425,0.6056624690269428,3,17,503
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep17,0.5912793164277812,0.0027967870027529127,0.5880997366137669,0.5933587201555719,3,8,272
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,body_rate_rmse_rad_s,Sep7,0.6133028723071542,0.0033458554892164985,0.6099095363480693,0.6165991346903835,3,9,231
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,position_rmse_m,ALL,0.0518575719622047,0.0004948670146128105,0.051370811568551014,0.05236016558755981,3,17,503
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep17,0.02968159193397857,0.0006332586128294252,0.029135189260467816,0.030375625255625628,3,8,272
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,position_rmse_m,Sep7,0.07156955420951683,0.0003930056533761949,0.07113580917573609,0.07190197921594575,3,9,231
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,ALL,0.2104584307498042,0.003586340835942447,0.206431321272499,0.21330782789878147,3,17,503
