x_mid_m,c_m,dhat
0.568375000,0.216927321,0.250000
0.571625000,0.213796659,0.250000
0.574875000,0.210572552,0.250000
0.578125000,0.207253495,0.250000
0.581375000,0.203837984,0.250000
0.584625000,0.200324512,0.250000
0.587875000,0.196711572,0.250000
0.591125000,0.192997656,0.250000
0.594375000,0.189181256,0.250000
0.597625000,0.185260865,0.250000
0.600875000,0.181234975,0.250000
0.604125000,0.177102077,0.250000
0.607375000,0.172860666,0.250000
0.610625000,0.168509236,0.250000
0.613875000,0.164046282,0.250000
0.617125000,0.159470300,0.250000
0.620375000,0.154779789,0.250000
0.623625000,0.149973250,0.250000
0.626875000,0.145049184,0.250000
0.630125000,0.140006096,0.250000
0.633375000,0.134842495,0.250000
0.636625000,0.129556889,0.250000
0.639875000,0.124147792,0.250000
0.643125000,0.118613722,0.250000
0.646375000,0.112953197,0.250000
0.649625000,0.107164742,0.250000
0.652875000,0.101246884,0.250000
0.656125000,0.095198158,0.250000
0.659375000,0.089017098,0.250000
0.662625000,0.082702247,0.250000
0.665875000,0.076252151,0.250000
0.669125000,0.069665363,0.250000
0.672375000,0.062940439,0.250000
0.675625000,0.056075943,0.250000
0.678875000,0.049070444,0.250000
0.682125000,0.041922518,0.250000
0.685375000,0.034630745,0.250000
0.688625000,0.027193716,0.250000
0.691875000,0.019610025,0.250000
0.695125000,0.011878274,0.250000
0.698375000,0.003997075,0.250000
