partition,channel,subset,flight_id,n_windows,positive,negative,n_nonoverlap,nonoverlap_positive,nonoverlap_negative
train,drive,isolated_one_direction,9.12数据/log_10_2026-9-12-06-13-40.ulg,1,0,1,1,0,1
train,drive,isolated_one_direction,9.12数据/log_11_2026-9-12-06-21-12.ulg,1,1,0,1,1,0
train,drive,isolated_one_direction,9.12数据/log_12_2026-9-12-06-29-44.ulg,4,3,1,3,2,1
train,drive,isolated_one_direction,9.12数据/log_2_2026-9-12-18-32-54.ulg,4,1,3,4,1,3
train,drive,isolated_one_direction,9.12数据/log_3_2026-9-12-18-40-02.ulg,3,1,2,3,1,2
train,drive,isolated_one_direction,9.12数据/log_9_2026-9-12-06-03-32.ulg,2,2,0,2,2,0
train,drive,isolated_one_direction,9.13数据/log_1_2026-9-13-06-11-06.ulg,5,3,2,5,3,2
train,drive,isolated_one_direction,9.13数据/log_2_2026-9-13-06-20-06.ulg,3,1,2,3,1,2
train,drive,isolated_one_direction,9.13数据/log_3_2026-9-13-06-31-26.ulg,2,0,2,2,0,2
train,drive,isolated_one_direction,9.13数据/log_4_2026-9-13-06-36-26.ulg,6,2,4,6,2,4
train,drive,isolated_one_direction,9.13数据/log_5_2026-9-13-06-42-40.ulg,5,2,3,4,2,2
train,drive,isolated_one_direction,9.13数据/log_7_2026-9-13-18-12-52.ulg,1,1,0,1,1,0
train,drive,isolated_one_direction,9.14数据/log_11_2026-9-14-18-13-22.ulg,2,1,1,2,1,1
train,drive,isolated_one_direction,9.14数据/log_12_2026-9-14-18-20-30.ulg,3,1,2,3,1,2
train,drive,isolated_one_direction,9.14数据/log_13_2026-9-14-18-28-32.ulg,7,2,5,7,2,5
train,drive,isolated_one_direction,9.14数据/log_14_2026-9-14-18-34-22.ulg,5,1,4,5,1,4
train,drive,isolated_one_direction,9.15数据/log_11_2026-9-15-17-51-56.ulg,1,0,1,1,0,1
train,drive,isolated_one_direction,9.15数据/log_12_2026-9-15-18-03-58.ulg,2,1,1,2,1,1
train,drive,isolated_one_direction,9.15数据/log_13_2026-9-15-18-10-58.ulg,13,8,5,11,7,4
train,drive,isolated_one_direction,9.15数据/log_14_2026-9-15-18-17-26.ulg,3,1,2,3,1,2
train,drive,isolated_one_direction,9.15数据/log_15_2026-9-15-18-23-44.ulg,10,6,4,7,5,2
train,drive,isolated_one_direction,9.16数据/log_1_2026-9-16-18-02-34.ulg,8,3,5,7,3,4
train,drive,isolated_one_direction,9.16数据/log_2_2026-9-16-18-08-46.ulg,15,6,9,10,4,6
train,drive,isolated_one_direction,9.16数据/log_3_2026-9-16-18-13-58.ulg,3,1,2,3,1,2
train,drive,isolated_one_direction,9.16数据/log_4_2026-9-16-18-20-50.ulg,11,5,6,9,3,6
train,drive,isolated_one_direction,9.16数据/log_5_2026-9-16-18-26-48.ulg,12,6,6,10,5,5
train,drive,isolated_one_direction,9.18数据/log_0_2026-9-18-18-15-06.ulg,7,2,5,7,2,5
train,drive,isolated_one_direction,9.18数据/log_1_2026-9-18-18-23-36.ulg,3,2,1,3,2,1
train,drive,isolated_one_direction,9.18数据/log_2_2026-9-18-18-29-40.ulg,4,1,3,3,1,2
train,common,high,2026.9.6/log_17_2026-9-6-18-34-06.ulg,156,84,72,73,43,30
train,common,high,2026.9.6/log_18_2026-9-6-18-46-20.ulg,114,55,59,49,26,23
train,common,high,2026.9.6/log_19_2026-9-6-18-52-30.ulg,129,75,54,58,38,20
train,common,high,2026.9.6/log_20_2026-9-6-18-58-10.ulg,87,42,45,43,24,19
train,common,high,2026.9.6/log_24_2026-9-6-06-28-38.ulg,199,98,101,86,37,49
train,common,high,2026.9.6/log_28_2026-9-6-07-01-38.ulg,209,112,97,85,48,37
train,common,high,9.11数据/log_13_2026-9-11-18-28-08.ulg,182,95,87,66,37,29
train,common,high,9.11数据/log_14_2026-9-11-18-34-58.ulg,207,106,101,80,38,42
train,common,high,9.11数据/log_15_2026-9-11-18-40-48.ulg,173,91,82,63,33,30
train,common,high,9.12数据/log_10_2026-9-12-06-13-40.ulg,210,113,97,97,52,45
train,common,high,9.12数据/log_11_2026-9-12-06-21-12.ulg,206,115,91,89,55,34
train,common,high,9.12数据/log_12_2026-9-12-06-29-44.ulg,191,103,88,85,44,41
train,common,high,9.12数据/log_2_2026-9-12-18-32-54.ulg,151,90,61,76,50,26
train,common,high,9.12数据/log_3_2026-9-12-18-40-02.ulg,194,104,90,96,52,44
train,common,high,9.12数据/log_7_2026-9-12-05-49-02.ulg,181,101,80,79,44,35
train,common,high,9.12数据/log_8_2026-9-12-05-55-30.ulg,237,137,100,100,57,43
train,common,high,9.12数据/log_9_2026-9-12-06-03-32.ulg,322,174,148,134,85,49
train,common,high,9.13数据/log_1_2026-9-13-06-11-06.ulg,121,81,40,65,52,13
train,common,high,9.13数据/log_2_2026-9-13-06-20-06.ulg,148,90,58,81,52,29
train,common,high,9.13数据/log_3_2026-9-13-06-31-26.ulg,162,93,69,82,44,38
train,common,high,9.13数据/log_4_2026-9-13-06-36-26.ulg,116,76,40,60,42,18
train,common,high,9.13数据/log_5_2026-9-13-06-42-40.ulg,158,87,71,78,39,39
train,common,high,9.13数据/log_7_2026-9-13-18-12-52.ulg,126,62,64,56,28,28
train,common,high,9.14数据/log_11_2026-9-14-18-13-22.ulg,210,114,96,95,50,45
train,common,high,9.14数据/log_12_2026-9-14-18-20-30.ulg,214,118,96,94,50,44
train,common,high,9.14数据/log_13_2026-9-14-18-28-32.ulg,218,114,104,97,58,39
train,common,high,9.14数据/log_14_2026-9-14-18-34-22.ulg,119,64,55,54,28,26
train,common,high,9.15数据/log_10_2026-9-15-17-44-04.ulg,310,158,152,97,42,55
train,common,high,9.15数据/log_11_2026-9-15-17-51-56.ulg,145,78,67,55,28,27
train,common,high,9.15数据/log_12_2026-9-15-18-03-58.ulg,165,79,86,74,37,37
train,common,high,9.15数据/log_13_2026-9-15-18-10-58.ulg,117,71,46,60,40,20
train,common,high,9.15数据/log_14_2026-9-15-18-17-26.ulg,151,86,65,73,44,29
train,common,high,9.15数据/log_15_2026-9-15-18-23-44.ulg,166,94,72,81,47,34
train,common,high,9.16数据/log_1_2026-9-16-18-02-34.ulg,139,76,63,63,32,31
train,common,high,9.16数据/log_2_2026-9-16-18-08-46.ulg,150,81,69,68,40,28
train,common,high,9.16数据/log_3_2026-9-16-18-13-58.ulg,114,68,46,55,33,22
train,common,high,9.16数据/log_4_2026-9-16-18-20-50.ulg,145,84,61,73,39,34
train,common,high,9.16数据/log_5_2026-9-16-18-26-48.ulg,107,63,44,57,33,24
train,common,high,9.18数据/log_0_2026-9-18-18-15-06.ulg,192,104,88,83,44,39
train,common,high,9.18数据/log_1_2026-9-18-18-23-36.ulg,226,114,112,83,44,39
train,common,high,9.18数据/log_2_2026-9-18-18-29-40.ulg,207,109,98,90,47,43
train,common,isolated,2026.9.6/log_17_2026-9-6-18-34-06.ulg,13,5,8,9,4,5
train,common,isolated,2026.9.6/log_18_2026-9-6-18-46-20.ulg,5,2,3,4,2,2
train,common,isolated,2026.9.6/log_19_2026-9-6-18-52-30.ulg,1,0,1,1,0,1
train,common,isolated,2026.9.6/log_20_2026-9-6-18-58-10.ulg,2,0,2,2,0,2
train,common,isolated,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2,1,1,2,1,1
train,common,isolated,2026.9.6/log_28_2026-9-6-07-01-38.ulg,5,2,3,4,2,2
train,common,isolated,9.11数据/log_13_2026-9-11-18-28-08.ulg,2,2,0,2,2,0
train,common,isolated,9.11数据/log_14_2026-9-11-18-34-58.ulg,4,4,0,4,4,0
train,common,isolated,9.12数据/log_10_2026-9-12-06-13-40.ulg,3,1,2,2,1,1
train,common,isolated,9.12数据/log_12_2026-9-12-06-29-44.ulg,3,2,1,2,1,1
train,common,isolated,9.12数据/log_2_2026-9-12-18-32-54.ulg,4,3,1,4,3,1
train,common,isolated,9.12数据/log_3_2026-9-12-18-40-02.ulg,1,1,0,1,1,0
train,common,isolated,9.12数据/log_7_2026-9-12-05-49-02.ulg,1,1,0,1,1,0
train,common,isolated,9.12数据/log_8_2026-9-12-05-55-30.ulg,1,1,0,1,1,0
train,common,isolated,9.12数据/log_9_2026-9-12-06-03-32.ulg,1,1,0,1,1,0
train,common,isolated,9.13数据/log_1_2026-9-13-06-11-06.ulg,6,4,2,6,4,2
train,common,isolated,9.13数据/log_2_2026-9-13-06-20-06.ulg,4,3,1,4,3,1
train,common,isolated,9.13数据/log_3_2026-9-13-06-31-26.ulg,1,1,0,1,1,0
train,common,isolated,9.13数据/log_4_2026-9-13-06-36-26.ulg,3,2,1,2,1,1
train,common,isolated,9.13数据/log_7_2026-9-13-18-12-52.ulg,1,0,1,1,0,1
train,common,isolated,9.14数据/log_12_2026-9-14-18-20-30.ulg,2,2,0,2,2,0
train,common,isolated,9.14数据/log_13_2026-9-14-18-28-32.ulg,2,1,1,2,1,1
train,common,isolated,9.15数据/log_11_2026-9-15-17-51-56.ulg,2,1,1,2,1,1
train,common,isolated,9.15数据/log_12_2026-9-15-18-03-58.ulg,8,4,4,6,3,3
train,common,isolated,9.15数据/log_13_2026-9-15-18-10-58.ulg,3,2,1,2,1,1
train,common,isolated,9.15数据/log_14_2026-9-15-18-17-26.ulg,3,2,1,3,2,1
train,common,isolated,9.15数据/log_15_2026-9-15-18-23-44.ulg,1,1,0,1,1,0
train,common,isolated,9.16数据/log_1_2026-9-16-18-02-34.ulg,2,1,1,2,1,1
train,common,isolated,9.16数据/log_2_2026-9-16-18-08-46.ulg,5,2,3,4,1,3
train,common,isolated,9.16数据/log_3_2026-9-16-18-13-58.ulg,1,1,0,1,1,0
train,common,isolated,9.16数据/log_4_2026-9-16-18-20-50.ulg,1,0,1,1,0,1
train,common,isolated,9.16数据/log_5_2026-9-16-18-26-48.ulg,3,2,1,3,2,1
train,common,isolated_one_direction,2026.9.6/log_17_2026-9-6-18-34-06.ulg,10,4,6,9,4,5
train,common,isolated_one_direction,2026.9.6/log_18_2026-9-6-18-46-20.ulg,3,2,1,3,2,1
train,common,isolated_one_direction,2026.9.6/log_19_2026-9-6-18-52-30.ulg,1,0,1,1,0,1
train,common,isolated_one_direction,2026.9.6/log_20_2026-9-6-18-58-10.ulg,2,0,2,2,0,2
train,common,isolated_one_direction,2026.9.6/log_28_2026-9-6-07-01-38.ulg,4,1,3,3,1,2
train,common,isolated_one_direction,9.11数据/log_13_2026-9-11-18-28-08.ulg,2,2,0,2,2,0
train,common,isolated_one_direction,9.11数据/log_14_2026-9-11-18-34-58.ulg,3,3,0,3,3,0
train,common,isolated_one_direction,9.12数据/log_10_2026-9-12-06-13-40.ulg,2,1,1,2,1,1
train,common,isolated_one_direction,9.12数据/log_12_2026-9-12-06-29-44.ulg,3,2,1,2,1,1
train,common,isolated_one_direction,9.12数据/log_2_2026-9-12-18-32-54.ulg,3,3,0,3,3,0
train,common,isolated_one_direction,9.12数据/log_3_2026-9-12-18-40-02.ulg,1,1,0,1,1,0
train,common,isolated_one_direction,9.12数据/log_7_2026-9-12-05-49-02.ulg,1,1,0,1,1,0
train,common,isolated_one_direction,9.12数据/log_8_2026-9-12-05-55-30.ulg,1,1,0,1,1,0
train,common,isolated_one_direction,9.12数据/log_9_2026-9-12-06-03-32.ulg,1,1,0,1,1,0
train,common,isolated_one_direction,9.13数据/log_1_2026-9-13-06-11-06.ulg,6,4,2,6,4,2
train,common,isolated_one_direction,9.13数据/log_2_2026-9-13-06-20-06.ulg,4,3,1,4,3,1
train,common,isolated_one_direction,9.13数据/log_4_2026-9-13-06-36-26.ulg,1,1,0,1,1,0
train,common,isolated_one_direction,9.13数据/log_7_2026-9-13-18-12-52.ulg,1,0,1,1,0,1
train,common,isolated_one_direction,9.14数据/log_12_2026-9-14-18-20-30.ulg,1,1,0,1,1,0
train,common,isolated_one_direction,9.14数据/log_13_2026-9-14-18-28-32.ulg,2,1,1,2,1,1
train,common,isolated_one_direction,9.15数据/log_11_2026-9-15-17-51-56.ulg,2,1,1,2,1,1
train,common,isolated_one_direction,9.15数据/log_12_2026-9-15-18-03-58.ulg,4,3,1,4,3,1
train,common,isolated_one_direction,9.15数据/log_13_2026-9-15-18-10-58.ulg,3,2,1,2,1,1
train,common,isolated_one_direction,9.15数据/log_14_2026-9-15-18-17-26.ulg,3,2,1,3,2,1
train,common,isolated_one_direction,9.15数据/log_15_2026-9-15-18-23-44.ulg,1,1,0,1,1,0
train,common,isolated_one_direction,9.16数据/log_1_2026-9-16-18-02-34.ulg,1,0,1,1,0,1
train,common,isolated_one_direction,9.16数据/log_2_2026-9-16-18-08-46.ulg,4,1,3,3,0,3
train,common,isolated_one_direction,9.16数据/log_4_2026-9-16-18-20-50.ulg,1,0,1,1,0,1
train,common,isolated_one_direction,9.16数据/log_5_2026-9-16-18-26-48.ulg,2,2,0,2,2,0
train,differential,high,2026.9.6/log_17_2026-9-6-18-34-06.ulg,218,108,110,87,43,44
train,differential,high,2026.9.6/log_18_2026-9-6-18-46-20.ulg,246,120,126,85,42,43
train,differential,high,2026.9.6/log_19_2026-9-6-18-52-30.ulg,180,96,84,75,46,29
train,differential,high,2026.9.6/log_20_2026-9-6-18-58-10.ulg,170,80,90,57,29,28
train,differential,high,2026.9.6/log_24_2026-9-6-06-28-38.ulg,268,139,129,96,54,42
train,differential,high,2026.9.6/log_28_2026-9-6-07-01-38.ulg,286,137,149,100,45,55
train,differential,high,9.11数据/log_13_2026-9-11-18-28-08.ulg,172,85,87,58,33,25
train,differential,high,9.11数据/log_14_2026-9-11-18-34-58.ulg,177,94,83,65,34,31
train,differential,high,9.11数据/log_15_2026-9-11-18-40-48.ulg,170,77,93,58,27,31
train,differential,high,9.12数据/log_10_2026-9-12-06-13-40.ulg,168,82,86,67,30,37
train,differential,high,9.12数据/log_11_2026-9-12-06-21-12.ulg,205,103,102,81,42,39
train,differential,high,9.12数据/log_12_2026-9-12-06-29-44.ulg,173,82,91,70,34,36
train,differential,high,9.12数据/log_2_2026-9-12-18-32-54.ulg,111,56,55,41,21,20
train,differential,high,9.12数据/log_3_2026-9-12-18-40-02.ulg,154,72,82,60,30,30
train,differential,high,9.12数据/log_7_2026-9-12-05-49-02.ulg,144,68,76,65,32,33
train,differential,high,9.12数据/log_8_2026-9-12-05-55-30.ulg,189,99,90,77,40,37
train,differential,high,9.12数据/log_9_2026-9-12-06-03-32.ulg,242,115,127,99,46,53
train,differential,high,9.13数据/log_1_2026-9-13-06-11-06.ulg,76,33,43,34,18,16
train,differential,high,9.13数据/log_2_2026-9-13-06-20-06.ulg,123,63,60,53,29,24
train,differential,high,9.13数据/log_3_2026-9-13-06-31-26.ulg,112,56,56,51,29,22
train,differential,high,9.13数据/log_4_2026-9-13-06-36-26.ulg,95,48,47,42,22,20
train,differential,high,9.13数据/log_5_2026-9-13-06-42-40.ulg,119,59,60,56,31,25
train,differential,high,9.13数据/log_7_2026-9-13-18-12-52.ulg,136,65,71,48,24,24
train,differential,high,9.14数据/log_11_2026-9-14-18-13-22.ulg,180,81,99,77,35,42
train,differential,high,9.14数据/log_12_2026-9-14-18-20-30.ulg,206,103,103,89,52,37
train,differential,high,9.14数据/log_13_2026-9-14-18-28-32.ulg,210,108,102,95,53,42
train,differential,high,9.14数据/log_14_2026-9-14-18-34-22.ulg,104,43,61,48,26,22
train,differential,high,9.15数据/log_10_2026-9-15-17-44-04.ulg,168,93,75,57,32,25
train,differential,high,9.15数据/log_11_2026-9-15-17-51-56.ulg,169,87,82,61,32,29
train,differential,high,9.15数据/log_12_2026-9-15-18-03-58.ulg,159,78,81,67,32,35
train,differential,high,9.15数据/log_13_2026-9-15-18-10-58.ulg,130,66,64,61,32,29
train,differential,high,9.15数据/log_14_2026-9-15-18-17-26.ulg,182,99,83,72,39,33
train,differential,high,9.15数据/log_15_2026-9-15-18-23-44.ulg,188,96,92,76,37,39
train,differential,high,9.16数据/log_1_2026-9-16-18-02-34.ulg,141,75,66,51,29,22
train,differential,high,9.16数据/log_2_2026-9-16-18-08-46.ulg,153,83,70,64,33,31
train,differential,high,9.16数据/log_3_2026-9-16-18-13-58.ulg,131,65,66,51,25,26
train,differential,high,9.16数据/log_4_2026-9-16-18-20-50.ulg,152,79,73,64,33,31
train,differential,high,9.16数据/log_5_2026-9-16-18-26-48.ulg,113,61,52,50,28,22
train,differential,high,9.18数据/log_0_2026-9-18-18-15-06.ulg,251,123,128,98,54,44
train,differential,high,9.18数据/log_1_2026-9-18-18-23-36.ulg,267,128,139,92,44,48
train,differential,high,9.18数据/log_2_2026-9-18-18-29-40.ulg,236,113,123,89,45,44
train,differential,isolated,2026.9.6/log_17_2026-9-6-18-34-06.ulg,14,6,8,10,4,6
train,differential,isolated,2026.9.6/log_18_2026-9-6-18-46-20.ulg,19,6,13,14,5,9
train,differential,isolated,2026.9.6/log_19_2026-9-6-18-52-30.ulg,11,5,6,9,5,4
train,differential,isolated,2026.9.6/log_20_2026-9-6-18-58-10.ulg,5,1,4,4,1,3
train,differential,isolated,2026.9.6/log_24_2026-9-6-06-28-38.ulg,1,0,1,1,0,1
train,differential,isolated,2026.9.6/log_28_2026-9-6-07-01-38.ulg,9,4,5,8,4,4
train,differential,isolated,9.11数据/log_13_2026-9-11-18-28-08.ulg,1,0,1,1,0,1
train,differential,isolated,9.11数据/log_14_2026-9-11-18-34-58.ulg,1,0,1,1,0,1
train,differential,isolated,9.11数据/log_15_2026-9-11-18-40-48.ulg,1,0,1,1,0,1
train,differential,isolated,9.12数据/log_3_2026-9-12-18-40-02.ulg,2,1,1,2,1,1
train,differential,isolated,9.12数据/log_8_2026-9-12-05-55-30.ulg,2,0,2,2,0,2
train,differential,isolated,9.12数据/log_9_2026-9-12-06-03-32.ulg,1,1,0,1,1,0
train,differential,isolated,9.13数据/log_1_2026-9-13-06-11-06.ulg,1,1,0,1,1,0
train,differential,isolated,9.13数据/log_2_2026-9-13-06-20-06.ulg,1,0,1,1,0,1
train,differential,isolated,9.13数据/log_5_2026-9-13-06-42-40.ulg,1,1,0,1,1,0
train,differential,isolated,9.13数据/log_7_2026-9-13-18-12-52.ulg,3,1,2,3,1,2
train,differential,isolated,9.14数据/log_11_2026-9-14-18-13-22.ulg,1,0,1,1,0,1
train,differential,isolated,9.14数据/log_12_2026-9-14-18-20-30.ulg,2,1,1,2,1,1
train,differential,isolated,9.15数据/log_11_2026-9-15-17-51-56.ulg,2,0,2,1,0,1
train,differential,isolated,9.15数据/log_12_2026-9-15-18-03-58.ulg,3,2,1,3,2,1
train,differential,isolated,9.15数据/log_14_2026-9-15-18-17-26.ulg,1,0,1,1,0,1
train,differential,isolated,9.15数据/log_15_2026-9-15-18-23-44.ulg,2,0,2,1,0,1
train,differential,isolated,9.16数据/log_2_2026-9-16-18-08-46.ulg,2,1,1,2,1,1
train,differential,isolated,9.16数据/log_3_2026-9-16-18-13-58.ulg,2,1,1,2,1,1
train,differential,isolated,9.16数据/log_4_2026-9-16-18-20-50.ulg,4,3,1,3,2,1
train,differential,isolated,9.16数据/log_5_2026-9-16-18-26-48.ulg,1,1,0,1,1,0
train,differential,isolated,9.18数据/log_0_2026-9-18-18-15-06.ulg,1,0,1,1,0,1
train,differential,isolated,9.18数据/log_1_2026-9-18-18-23-36.ulg,2,2,0,2,2,0
train,differential,isolated,9.18数据/log_2_2026-9-18-18-29-40.ulg,2,1,1,2,1,1
