partition,steps,group,variant,axis,rmse
validation,10,high_change,persistent_gain_clipped_0_1,vy,0.13914138953939512
validation,10,high_change,persistent_gain_clipped_0_1,vz,0.18436764581660725
validation,10,high_change,signed_diagnostic,p,0.5000264775853223
validation,10,high_change,signed_diagnostic,q,0.2451196808781112
validation,10,high_change,signed_diagnostic,r,0.17350814183373545
validation,10,high_change,signed_diagnostic,vx,0.11729659325799952
validation,10,high_change,signed_diagnostic,vy,0.13914138953939512
validation,10,high_change,signed_diagnostic,vz,0.18436764581660725
validation,10,high_change,zero_baseline,p,0.4962736789698757
validation,10,high_change,zero_baseline,q,0.24496964857330733
validation,10,high_change,zero_baseline,r,0.1746727286062816
validation,10,high_change,zero_baseline,vx,0.1202572126154724
validation,10,high_change,zero_baseline,vy,0.14204632301479408
validation,10,high_change,zero_baseline,vz,0.18328317481783876
validation,25,ALL,persistent_gain_clipped_0_1,p,0.5176367462514582
validation,25,ALL,persistent_gain_clipped_0_1,q,0.23753198323663274
validation,25,ALL,persistent_gain_clipped_0_1,r,0.14691358382710498
validation,25,ALL,persistent_gain_clipped_0_1,vx,0.1833696593277212
validation,25,ALL,persistent_gain_clipped_0_1,vy,0.18297372188710137
validation,25,ALL,persistent_gain_clipped_0_1,vz,0.21986420413735275
validation,25,ALL,signed_diagnostic,p,0.5176367462514582
validation,25,ALL,signed_diagnostic,q,0.23753198323663274
validation,25,ALL,signed_diagnostic,r,0.14691358382710498
validation,25,ALL,signed_diagnostic,vx,0.1833696593277212
validation,25,ALL,signed_diagnostic,vy,0.18297372188710137
validation,25,ALL,signed_diagnostic,vz,0.21986420413735275
validation,25,ALL,zero_baseline,p,0.5179728578456952
validation,25,ALL,zero_baseline,q,0.23750563545704761
validation,25,ALL,zero_baseline,r,0.14873287210276795
validation,25,ALL,zero_baseline,vx,0.18882433020170333
validation,25,ALL,zero_baseline,vy,0.18416798550562719
validation,25,ALL,zero_baseline,vz,0.21954402518338684
validation,25,high_change,persistent_gain_clipped_0_1,p,0.5595128183497797
validation,25,high_change,persistent_gain_clipped_0_1,q,0.2826883034463575
validation,25,high_change,persistent_gain_clipped_0_1,r,0.1801581805343509
validation,25,high_change,persistent_gain_clipped_0_1,vx,0.263699588096975
validation,25,high_change,persistent_gain_clipped_0_1,vy,0.2777627350401904
validation,25,high_change,persistent_gain_clipped_0_1,vz,0.2852789069732811
validation,25,high_change,signed_diagnostic,p,0.5595128183497797
validation,25,high_change,signed_diagnostic,q,0.2826883034463575
validation,25,high_change,signed_diagnostic,r,0.1801581805343509
