model,offset,origin,steps,common_steps,feedback_rmse,hold_rmse
ensemble,-0.2,41,25,0,,
ensemble,-0.2,41,50,0,,
ensemble,-0.2,42,5,0,,
ensemble,-0.2,42,10,0,,
ensemble,-0.2,42,25,0,,
ensemble,-0.2,42,50,0,,
ensemble,-0.2,43,5,5,0.5857857153963265,0.5687828779924985
ensemble,-0.2,43,10,10,0.6203656082885888,0.6048376830253723
ensemble,-0.2,43,25,25,0.5572567120960767,0.5537418780239911
ensemble,-0.2,43,50,50,0.5414721702922461,0.5405779747625834
ensemble,-0.2,44,5,0,,
ensemble,-0.2,44,10,0,,
ensemble,-0.2,44,25,0,,
ensemble,-0.2,44,50,0,,
ensemble,-0.2,45,5,0,,
ensemble,-0.2,45,10,0,,
ensemble,-0.2,45,25,0,,
ensemble,-0.2,45,50,0,,
ensemble,-0.2,46,5,5,0.5203464218916556,0.5227247618846941
ensemble,-0.2,46,10,10,0.5074362066845317,0.5040628573706221
ensemble,-0.2,46,25,25,0.48094125933348275,0.47877629334474786
ensemble,-0.2,46,50,50,0.47765560978569144,0.47759991361577436
ensemble,-0.2,47,5,0,,
ensemble,-0.2,47,10,0,,
ensemble,-0.2,47,25,0,,
ensemble,-0.2,47,50,0,,
ensemble,-0.2,48,5,0,,
ensemble,-0.2,48,10,0,,
ensemble,-0.2,48,25,0,,
ensemble,-0.2,48,50,0,,
ensemble,-0.2,49,5,5,0.7207575101328819,0.7023204968176504
ensemble,-0.2,49,10,10,0.8538183680713419,0.8343191647093495
ensemble,-0.2,49,25,25,0.7878951772577272,0.7824690618791204
ensemble,-0.2,49,50,50,0.8002356186601194,0.8012866465749625
ensemble,-0.2,50,5,0,,
ensemble,-0.2,50,10,0,,
ensemble,-0.2,50,25,0,,
ensemble,-0.2,50,50,0,,
ensemble,0.0,0,5,0,,
ensemble,0.0,0,10,0,,
ensemble,0.0,0,25,0,,
ensemble,0.0,0,50,0,,
ensemble,0.0,1,5,5,0.5566324752714142,0.5511675152888493
ensemble,0.0,1,10,10,0.7710098331891996,0.7592086581898195
ensemble,0.0,1,25,25,0.753316993695533,0.7465470667107725
ensemble,0.0,1,50,50,0.7626926635554816,0.7571380979962778
ensemble,0.0,2,5,5,0.283561329667975,0.29639509739011555
ensemble,0.0,2,10,10,0.5430182848296725,0.5568659456829335
ensemble,0.0,2,25,25,0.6192621312834728,0.6190705289270042
ensemble,0.0,2,50,50,0.6508519310536286,0.650535255618659
ensemble,0.0,3,5,0,,
ensemble,0.0,3,10,0,,
ensemble,0.0,3,25,0,,
ensemble,0.0,3,50,0,,
ensemble,0.0,4,5,5,0.9325293432847007,0.9123173713095846
ensemble,0.0,4,10,10,1.2157249549786153,1.1966478860510834
ensemble,0.0,4,25,25,1.1237764936606298,1.1183893430961664
ensemble,0.0,4,50,50,1.1222439047887651,1.1229758662887463
ensemble,0.0,5,5,0,,
ensemble,0.0,5,10,0,,
ensemble,0.0,5,25,0,,
ensemble,0.0,5,50,0,,
ensemble,0.0,6,5,0,,
ensemble,0.0,6,10,0,,
ensemble,0.0,6,25,0,,
ensemble,0.0,6,50,0,,
ensemble,0.0,7,5,0,,
ensemble,0.0,7,10,0,,
ensemble,0.0,7,25,0,,
ensemble,0.0,7,50,0,,
ensemble,0.0,8,5,0,,
ensemble,0.0,8,10,0,,
ensemble,0.0,8,25,0,,
ensemble,0.0,8,50,0,,
ensemble,0.0,9,5,0,,
ensemble,0.0,9,10,0,,
ensemble,0.0,9,25,0,,
ensemble,0.0,9,50,0,,
ensemble,0.0,10,5,0,,
ensemble,0.0,10,10,0,,
ensemble,0.0,10,25,0,,
ensemble,0.0,10,50,0,,
ensemble,0.0,11,5,5,0.8435745581742319,0.8189441026971928
ensemble,0.0,11,10,10,0.6584869198831242,0.6362595207516748
ensemble,0.0,11,25,25,0.648231745292187,0.6459755786038365
ensemble,0.0,11,50,50,0.599468148013255,0.5994306584281692
ensemble,0.0,12,5,0,,
ensemble,0.0,12,10,0,,
ensemble,0.0,12,25,0,,
ensemble,0.0,12,50,0,,
ensemble,0.0,13,5,5,0.42748754868673516,0.41028816444011657
ensemble,0.0,13,10,10,0.5303217318644454,0.5152276477472765
ensemble,0.0,13,25,25,0.5691904595823248,0.5624498377428859
ensemble,0.0,13,50,50,0.5097729801764342,0.5073844233760442
ensemble,0.0,14,5,5,0.7341483573731644,0.7114957945375545
ensemble,0.0,14,10,10,0.5326673779262346,0.5191129972999338
ensemble,0.0,14,25,25,0.46502186416061647,0.46094063676515146
ensemble,0.0,14,50,50,0.4511416184179557,0.4502256597794326
ensemble,0.0,15,5,5,0.3611895590597462,0.3499073343067879
ensemble,0.0,15,10,10,0.4535530007966063,0.4388539835155218
ensemble,0.0,15,25,25,0.4055320922005722,0.4013003672602045
ensemble,0.0,15,50,50,0.39262241164199874,0.3913695628345337
ensemble,0.0,16,5,5,0.8636289487443217,0.8438512354493763
ensemble,0.0,16,10,10,1.1005946924565868,1.0829112157584835
ensemble,0.0,16,25,25,1.0291220920699768,1.0242518660097863
ensemble,0.0,16,50,50,1.0280467920310061,1.0290463751399
ensemble,0.0,17,5,5,0.7124315643665013,0.6914139790853516
ensemble,0.0,17,10,10,0.5301881854056959,0.5161914116248545
ensemble,0.0,17,25,25,0.5068535905898067,0.5025743093982183
ensemble,0.0,17,50,36,0.5129802371748903,0.5106719039154957
ensemble,0.0,18,5,0,,
ensemble,0.0,18,10,0,,
ensemble,0.0,18,25,0,,
ensemble,0.0,18,50,0,,
ensemble,0.0,19,5,5,0.37787369608074384,0.3950736815740825
ensemble,0.0,19,10,10,0.5610478595305796,0.558261250898069
ensemble,0.0,19,25,25,0.5177790080274325,0.517649541183893
ensemble,0.0,19,50,50,0.5203860347179692,0.5222677585460622
ensemble,0.0,20,5,5,0.40161627602327643,0.40894150542418173
ensemble,0.0,20,10,10,0.44269727116883545,0.4373225721010657
ensemble,0.0,20,25,25,0.4056034008280471,0.4061089450688843
ensemble,0.0,20,50,50,0.38956038428493267,0.3897202065286069
ensemble,0.0,21,5,0,,
ensemble,0.0,21,10,0,,
ensemble,0.0,21,25,0,,
ensemble,0.0,21,50,0,,
ensemble,0.0,22,5,5,0.538705733711816,0.5217566644983108
ensemble,0.0,22,10,10,0.744576878424864,0.731330218973721
ensemble,0.0,22,25,25,0.7978421040234539,0.7934384899580965
ensemble,0.0,22,50,50,0.7585960184889976,0.7584718146015865
ensemble,0.0,23,5,5,0.33999841746818976,0.3338179638562991
ensemble,0.0,23,10,10,0.38895469567477037,0.39508230669818223
ensemble,0.0,23,25,25,0.3926165613861637,0.39534585933275634
ensemble,0.0,23,50,50,0.391104740947607,0.3929603948258042
ensemble,0.0,24,5,0,,
ensemble,0.0,24,10,0,,
ensemble,0.0,24,25,0,,
ensemble,0.0,24,50,0,,
ensemble,0.0,25,5,5,1.0892520374382002,1.0714804069895785
ensemble,0.0,25,10,10,0.9098970475075249,0.8963989463593872
ensemble,0.0,25,25,25,0.8603283893094449,0.8567656765213018
ensemble,0.0,25,50,50,0.8592895697291422,0.8618176279724515
ensemble,0.0,26,5,0,,
ensemble,0.0,26,10,0,,
ensemble,0.0,26,25,0,,
ensemble,0.0,26,50,0,,
ensemble,0.0,27,5,0,,
ensemble,0.0,27,10,0,,
ensemble,0.0,27,25,0,,
ensemble,0.0,27,50,0,,
ensemble,0.0,28,5,5,0.5649172701044909,0.5443883797681007
ensemble,0.0,28,10,10,0.6931579438441132,0.6757179184381359
ensemble,0.0,28,25,25,0.6653002688401064,0.6593990860291862
ensemble,0.0,28,50,50,0.6714338930380106,0.6719733198528429
ensemble,0.0,29,5,0,,
ensemble,0.0,29,10,0,,
ensemble,0.0,29,25,0,,
ensemble,0.0,29,50,0,,
ensemble,0.0,30,5,0,,
ensemble,0.0,30,10,0,,
ensemble,0.0,30,25,0,,
ensemble,0.0,30,50,0,,
ensemble,0.0,31,5,5,0.4611908249266126,0.4489236099794757
ensemble,0.0,31,10,10,0.7830771620286089,0.7725713813484552
ensemble,0.0,31,25,25,0.9172174324387247,0.9148509692278326
ensemble,0.0,31,50,50,0.9204911384305092,0.9221820911263376
ensemble,0.0,32,5,0,,
ensemble,0.0,32,10,0,,
ensemble,0.0,32,25,0,,
ensemble,0.0,32,50,0,,
ensemble,0.0,33,5,0,,
ensemble,0.0,33,10,0,,
ensemble,0.0,33,25,0,,
ensemble,0.0,33,50,0,,
ensemble,0.0,34,5,5,0.6100697130996925,0.6325211889527166
ensemble,0.0,34,10,10,0.4904014919350492,0.5000315984724999
ensemble,0.0,34,25,25,0.4945364336514158,0.49430438152991507
ensemble,0.0,34,50,50,0.4942880281255581,0.49358448659986875
ensemble,0.0,35,5,0,,
ensemble,0.0,35,10,0,,
ensemble,0.0,35,25,0,,
ensemble,0.0,35,50,0,,
ensemble,0.0,36,5,0,,
