model,source_model,mode,offset,steps,requested,admitted,completed,completion_fraction,accepted_steps_mean,completed_only_flight_rmse,completed_flights,guard_fraction
seed17,seed17,open_hold,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6987839990910709,16,0.0
seed17,seed17,open_hold,-0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.7031328646196142,16,0.0
seed17,seed17,open_hold,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6050868198331391,16,0.0
seed17,seed17,open_hold,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6516331235437869,16,0.0
seed17,seed17,open_hold,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6471308991043582,16,0.0
seed17,seed17,open_hold,0.0,50,51,23,21,0.4117647058823529,21.254901960784313,0.6513617443827465,16,0.0
seed17,seed17,open_hold,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5790878010703364,16,0.0
seed17,seed17,open_hold,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6429063755831532,16,0.0
seed17,seed17,open_hold,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6365977098911255,16,0.0
seed17,seed17,open_hold,0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.6410920506508402,16,0.0
seed17,seed17,px4,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6853805657591845,16,0.42352941176470593
seed17,seed17,px4,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7120728969255654,16,0.4215686274509804
seed17,seed17,px4,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.702487798537245,16,0.4188235294117647
seed17,seed17,px4,-0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.7032690619654303,16,0.4125490196078431
seed17,seed17,px4,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6161896339218507,16,0.4078431372549019
seed17,seed17,px4,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6627501332168917,16,0.4176470588235294
seed17,seed17,px4,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6507552339162225,16,0.4125490196078431
seed17,seed17,px4,0.0,50,51,23,21,0.4117647058823529,21.254901960784313,0.6517112130843266,16,0.40235294117647064
seed17,seed17,px4,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5898453451581165,16,0.4274509803921568
seed17,seed17,px4,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6538180368076232,16,0.41960784313725485
seed17,seed17,px4,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6400645986756802,16,0.4125490196078431
seed17,seed17,px4,0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.6413386108727663,16,0.3964705882352941
seed17,seed23,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6853691188821298,16,0.0
seed17,seed23,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7120503365470634,16,0.0
seed17,seed23,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7024116131461524,16,0.0
seed17,seed23,replay,-0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.7032029364603265,16,0.0
seed17,seed23,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6161937057597366,16,0.0
seed17,seed23,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6627233674445216,16,0.0
seed17,seed23,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6507133435669231,16,0.0
seed17,seed23,replay,0.0,50,51,23,21,0.4117647058823529,21.254901960784313,0.6517939544082036,16,0.0
seed17,seed23,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5897539061170346,16,0.0
seed17,seed23,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6538972948965088,16,0.0
seed17,seed23,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6401315627456512,16,0.0
seed17,seed23,replay,0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.6413753550120983,16,0.0
seed17,seed42,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6854197204995858,16,0.0
seed17,seed42,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7120721112309392,16,0.0
seed17,seed42,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.702407221530497,16,0.0
seed17,seed42,replay,-0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.7031697667738954,16,0.0
seed17,seed42,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6162725410249225,16,0.0
seed17,seed42,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6627621081514747,16,0.0
seed17,seed42,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6507302878408355,16,0.0
seed17,seed42,replay,0.0,50,51,23,21,0.4117647058823529,21.254901960784313,0.6517040852308781,16,0.0
seed17,seed42,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.589785783492424,16,0.0
seed17,seed42,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6538662792737475,16,0.0
seed17,seed42,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6400556170760391,16,0.0
seed17,seed42,replay,0.2,50,51,23,21,0.4117647058823529,21.254901960784313,0.6412770562049088,16,0.0
seed23,ensemble,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.678231979354945,16,0.0
seed23,ensemble,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7183961089030886,16,0.0
seed23,ensemble,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7006543411001435,16,0.0
seed23,ensemble,replay,-0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.697267139765545,16,0.0
seed23,ensemble,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6111785660122337,16,0.0
seed23,ensemble,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6649524415027812,16,0.0
seed23,ensemble,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6454723880522906,16,0.0
seed23,ensemble,replay,0.0,50,51,23,21,0.4117647058823529,21.313725490196077,0.6426964685264849,16,0.0
seed23,ensemble,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5860415850570277,16,0.0
seed23,ensemble,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6510509544527232,16,0.0
seed23,ensemble,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6315907201646278,16,0.0
seed23,ensemble,replay,0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6299143685243915,16,0.0
seed23,seed17,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.678224520234331,16,0.0
seed23,seed17,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7183938606041691,16,0.0
seed23,seed17,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7006833235335984,16,0.0
seed23,seed17,replay,-0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6973060808017958,16,0.0
seed23,seed17,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6111706319998456,16,0.0
seed23,seed17,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6649577085465006,16,0.0
seed23,seed17,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6454760097330503,16,0.0
seed23,seed17,replay,0.0,50,51,23,21,0.4117647058823529,21.313725490196077,0.6426617976318585,16,0.0
seed23,seed17,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5860804512008834,16,0.0
seed23,seed17,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6510108151199917,16,0.0
seed23,seed17,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6315806053431081,16,0.0
seed23,seed17,replay,0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.629928631151435,16,0.0
seed23,seed23,open_hold,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6657903705093544,16,0.0
seed23,seed23,open_hold,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7072430080876105,16,0.0
seed23,seed23,open_hold,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.698215973063731,16,0.0
