mode,pattern,step,cohort,condition,metric,seed,value
Mission,ALL,5,Sep17,continuous,q_rad_s,42,0.18284972544458228
Mission,ALL,5,Sep17,continuous,r_rad_s,17,0.1259837642771372
Mission,ALL,5,Sep17,continuous,r_rad_s,23,0.13553311839134768
Mission,ALL,5,Sep17,continuous,r_rad_s,42,0.12485724917678198
Mission,ALL,5,Sep17,continuous,roll_deg,17,1.0018685917349412
Mission,ALL,5,Sep17,continuous,roll_deg,23,1.0054712159572483
Mission,ALL,5,Sep17,continuous,roll_deg,42,1.0162356001781814
Mission,ALL,5,Sep17,continuous,velocity_m_s,17,0.12250772952303654
Mission,ALL,5,Sep17,continuous,velocity_m_s,23,0.12617148249765556
Mission,ALL,5,Sep17,continuous,velocity_m_s,42,0.12449907840534306
Mission,ALL,5,Sep17,local100ms,attitude_deg,17,1.3423319955034574
Mission,ALL,5,Sep17,local100ms,attitude_deg,23,1.3773640329855745
Mission,ALL,5,Sep17,local100ms,attitude_deg,42,1.352966295519329
Mission,ALL,5,Sep17,local100ms,body_rate_rad_s,17,0.5095429117518318
Mission,ALL,5,Sep17,local100ms,body_rate_rad_s,23,0.5063530215978218
Mission,ALL,5,Sep17,local100ms,body_rate_rad_s,42,0.5101335202087037
Mission,ALL,5,Sep17,local100ms,p_rad_s,17,0.4561001291986101
Mission,ALL,5,Sep17,local100ms,p_rad_s,23,0.44745028556711264
Mission,ALL,5,Sep17,local100ms,p_rad_s,42,0.45900436808245143
Mission,ALL,5,Sep17,local100ms,position_m,17,0.016359050906999864
Mission,ALL,5,Sep17,local100ms,position_m,23,0.016675062069663113
Mission,ALL,5,Sep17,local100ms,position_m,42,0.016065031896764816
Mission,ALL,5,Sep17,local100ms,q_rad_s,17,0.18791599714711676
Mission,ALL,5,Sep17,local100ms,q_rad_s,23,0.1931980615392345
Mission,ALL,5,Sep17,local100ms,q_rad_s,42,0.1828497253447715
Mission,ALL,5,Sep17,local100ms,r_rad_s,17,0.12598376424196117
Mission,ALL,5,Sep17,local100ms,r_rad_s,23,0.1355331185345248
Mission,ALL,5,Sep17,local100ms,r_rad_s,42,0.12485724917659816
Mission,ALL,5,Sep17,local100ms,roll_deg,17,1.0018685920491877
Mission,ALL,5,Sep17,local100ms,roll_deg,23,1.005471215463426
Mission,ALL,5,Sep17,local100ms,roll_deg,42,1.0162355974245831
Mission,ALL,5,Sep17,local100ms,velocity_m_s,17,0.12250772919044398
Mission,ALL,5,Sep17,local100ms,velocity_m_s,23,0.1261714825463885
Mission,ALL,5,Sep17,local100ms,velocity_m_s,42,0.12449907840741162
Mission,ALL,5,Sep7,continuous,attitude_deg,17,1.2584770078590806
Mission,ALL,5,Sep7,continuous,attitude_deg,23,1.316929117296156
Mission,ALL,5,Sep7,continuous,attitude_deg,42,1.3015556762806884
Mission,ALL,5,Sep7,continuous,body_rate_rad_s,17,0.5093603833958533
Mission,ALL,5,Sep7,continuous,body_rate_rad_s,23,0.5163692807676505
Mission,ALL,5,Sep7,continuous,body_rate_rad_s,42,0.5172650703279761
Mission,ALL,5,Sep7,continuous,p_rad_s,17,0.44841668893778036
Mission,ALL,5,Sep7,continuous,p_rad_s,23,0.45588525530624696
Mission,ALL,5,Sep7,continuous,p_rad_s,42,0.45402064215142757
Mission,ALL,5,Sep7,continuous,position_m,17,0.0314095490026814
Mission,ALL,5,Sep7,continuous,position_m,23,0.031087030959162175
Mission,ALL,5,Sep7,continuous,position_m,42,0.031212866384315918
Mission,ALL,5,Sep7,continuous,q_rad_s,17,0.19828805983129064
Mission,ALL,5,Sep7,continuous,q_rad_s,23,0.20182482344351266
Mission,ALL,5,Sep7,continuous,q_rad_s,42,0.2083318555385863
Mission,ALL,5,Sep7,continuous,r_rad_s,17,0.1330713386214456
Mission,ALL,5,Sep7,continuous,r_rad_s,23,0.13202693617068162
Mission,ALL,5,Sep7,continuous,r_rad_s,42,0.1312842941892515
Mission,ALL,5,Sep7,continuous,roll_deg,17,0.9678730660360162
Mission,ALL,5,Sep7,continuous,roll_deg,23,1.0265650630248682
Mission,ALL,5,Sep7,continuous,roll_deg,42,1.0011194151468668
Mission,ALL,5,Sep7,continuous,velocity_m_s,17,0.1042090572068837
Mission,ALL,5,Sep7,continuous,velocity_m_s,23,0.10935896283474435
Mission,ALL,5,Sep7,continuous,velocity_m_s,42,0.11574044233178685
Mission,ALL,5,Sep7,local100ms,attitude_deg,17,1.2584770078590806
Mission,ALL,5,Sep7,local100ms,attitude_deg,23,1.316929117296156
Mission,ALL,5,Sep7,local100ms,attitude_deg,42,1.3015556762806884
Mission,ALL,5,Sep7,local100ms,body_rate_rad_s,17,0.5093603833958533
Mission,ALL,5,Sep7,local100ms,body_rate_rad_s,23,0.5163692807676505
Mission,ALL,5,Sep7,local100ms,body_rate_rad_s,42,0.5172650703279761
Mission,ALL,5,Sep7,local100ms,p_rad_s,17,0.44841668893778036
Mission,ALL,5,Sep7,local100ms,p_rad_s,23,0.45588525530624696
Mission,ALL,5,Sep7,local100ms,p_rad_s,42,0.45402064215142757
Mission,ALL,5,Sep7,local100ms,position_m,17,0.0314095490026814
Mission,ALL,5,Sep7,local100ms,position_m,23,0.031087030959162175
Mission,ALL,5,Sep7,local100ms,position_m,42,0.031212866384315918
Mission,ALL,5,Sep7,local100ms,q_rad_s,17,0.19828805983129064
Mission,ALL,5,Sep7,local100ms,q_rad_s,23,0.20182482344351266
Mission,ALL,5,Sep7,local100ms,q_rad_s,42,0.2083318555385863
Mission,ALL,5,Sep7,local100ms,r_rad_s,17,0.1330713386214456
Mission,ALL,5,Sep7,local100ms,r_rad_s,23,0.13202693617068162
Mission,ALL,5,Sep7,local100ms,r_rad_s,42,0.1312842941892515
Mission,ALL,5,Sep7,local100ms,roll_deg,17,0.9678730660360162
Mission,ALL,5,Sep7,local100ms,roll_deg,23,1.0265650630248682
Mission,ALL,5,Sep7,local100ms,roll_deg,42,1.0011194151468668
Mission,ALL,5,Sep7,local100ms,velocity_m_s,17,0.1042090572068837
Mission,ALL,5,Sep7,local100ms,velocity_m_s,23,0.10935896283474435
Mission,ALL,5,Sep7,local100ms,velocity_m_s,42,0.11574044233178685
Mission,ALL,10,ALL,continuous,attitude_deg,17,1.98771615276385
Mission,ALL,10,ALL,continuous,attitude_deg,23,2.036150881856838
Mission,ALL,10,ALL,continuous,attitude_deg,42,2.035280454911998
Mission,ALL,10,ALL,continuous,body_rate_rad_s,17,0.5378581081567336
Mission,ALL,10,ALL,continuous,body_rate_rad_s,23,0.5394835794449031
Mission,ALL,10,ALL,continuous,body_rate_rad_s,42,0.5397913876142549
Mission,ALL,10,ALL,continuous,p_rad_s,17,0.48154948375970547
Mission,ALL,10,ALL,continuous,p_rad_s,23,0.477600466564371
Mission,ALL,10,ALL,continuous,p_rad_s,42,0.4839469412543729
Mission,ALL,10,ALL,continuous,position_m,17,0.04145664403199056
Mission,ALL,10,ALL,continuous,position_m,23,0.04158201429519778
Mission,ALL,10,ALL,continuous,position_m,42,0.04088530355494705
Mission,ALL,10,ALL,continuous,q_rad_s,17,0.19423984385558588
Mission,ALL,10,ALL,continuous,q_rad_s,23,0.20774482621511434
Mission,ALL,10,ALL,continuous,q_rad_s,42,0.19513674838915865
Mission,ALL,10,ALL,continuous,r_rad_s,17,0.13592209308827427
Mission,ALL,10,ALL,continuous,r_rad_s,23,0.1343830254156634
Mission,ALL,10,ALL,continuous,r_rad_s,42,0.13351493364248948
Mission,ALL,10,ALL,continuous,roll_deg,17,1.4038381671044882
Mission,ALL,10,ALL,continuous,roll_deg,23,1.371908217180281
Mission,ALL,10,ALL,continuous,roll_deg,42,1.455135578954559
Mission,ALL,10,ALL,continuous,velocity_m_s,17,0.1628714663320665
Mission,ALL,10,ALL,continuous,velocity_m_s,23,0.16214543981857304
Mission,ALL,10,ALL,continuous,velocity_m_s,42,0.1662828877131266
Mission,ALL,10,ALL,local100ms,attitude_deg,17,1.2618022470293784
Mission,ALL,10,ALL,local100ms,attitude_deg,23,1.3074232278351068
Mission,ALL,10,ALL,local100ms,attitude_deg,42,1.2871685104012116
Mission,ALL,10,ALL,local100ms,body_rate_rad_s,17,0.5214522969748561
Mission,ALL,10,ALL,local100ms,body_rate_rad_s,23,0.5165312391411881
Mission,ALL,10,ALL,local100ms,body_rate_rad_s,42,0.5263245967319802
Mission,ALL,10,ALL,local100ms,p_rad_s,17,0.47038201156592735
Mission,ALL,10,ALL,local100ms,p_rad_s,23,0.4604963680000302
Mission,ALL,10,ALL,local100ms,p_rad_s,42,0.47537313302058326
Mission,ALL,10,ALL,local100ms,position_m,17,0.01994547582901793
Mission,ALL,10,ALL,local100ms,position_m,23,0.020033594626701654
Mission,ALL,10,ALL,local100ms,position_m,42,0.019686449981106233
Mission,ALL,10,ALL,local100ms,q_rad_s,17,0.17950700163239797
Mission,ALL,10,ALL,local100ms,q_rad_s,23,0.18572792431949178
Mission,ALL,10,ALL,local100ms,q_rad_s,42,0.18127611142926892
Mission,ALL,10,ALL,local100ms,r_rad_s,17,0.13294509921693684
Mission,ALL,10,ALL,local100ms,r_rad_s,23,0.13845801885286213
Mission,ALL,10,ALL,local100ms,r_rad_s,42,0.13239907718193986
Mission,ALL,10,ALL,local100ms,roll_deg,17,0.9488780712466394
Mission,ALL,10,ALL,local100ms,roll_deg,23,0.9765531319123726
Mission,ALL,10,ALL,local100ms,roll_deg,42,0.9698745078786223
Mission,ALL,10,ALL,local100ms,velocity_m_s,17,0.11520423047645402
Mission,ALL,10,ALL,local100ms,velocity_m_s,23,0.11691361938333306
Mission,ALL,10,ALL,local100ms,velocity_m_s,42,0.11941675125485886
Mission,ALL,10,Sep17,continuous,attitude_deg,17,2.09458152076866
Mission,ALL,10,Sep17,continuous,attitude_deg,23,2.127207557313892
Mission,ALL,10,Sep17,continuous,attitude_deg,42,2.146153165637547
Mission,ALL,10,Sep17,continuous,body_rate_rad_s,17,0.5204498607391235
Mission,ALL,10,Sep17,continuous,body_rate_rad_s,23,0.5176148935724275
Mission,ALL,10,Sep17,continuous,body_rate_rad_s,42,0.5209682208855884
Mission,ALL,10,Sep17,continuous,p_rad_s,17,0.45914139368523266
Mission,ALL,10,Sep17,continuous,p_rad_s,23,0.44844162558217204
Mission,ALL,10,Sep17,continuous,p_rad_s,42,0.4590260018569536
Mission,ALL,10,Sep17,continuous,position_m,17,0.033518136882958086
Mission,ALL,10,Sep17,continuous,position_m,23,0.0341087991742187
Mission,ALL,10,Sep17,continuous,position_m,42,0.03280283024697997
Mission,ALL,10,Sep17,continuous,q_rad_s,17,0.20259497176058544
Mission,ALL,10,Sep17,continuous,q_rad_s,23,0.22131617354940808
Mission,ALL,10,Sep17,continuous,q_rad_s,42,0.2051646702402371
Mission,ALL,10,Sep17,continuous,r_rad_s,17,0.13615552007990314
Mission,ALL,10,Sep17,continuous,r_rad_s,23,0.13198274095642776
Mission,ALL,10,Sep17,continuous,r_rad_s,42,0.1349396983846973
Mission,ALL,10,Sep17,continuous,roll_deg,17,1.5369810867285785
Mission,ALL,10,Sep17,continuous,roll_deg,23,1.4401467406281925
Mission,ALL,10,Sep17,continuous,roll_deg,42,1.5897052376629708
Mission,ALL,10,Sep17,continuous,velocity_m_s,17,0.17429610152303412
Mission,ALL,10,Sep17,continuous,velocity_m_s,23,0.16994701422321845
Mission,ALL,10,Sep17,continuous,velocity_m_s,42,0.17136519402659894
Mission,ALL,10,Sep17,local100ms,attitude_deg,17,1.2622161974135488
Mission,ALL,10,Sep17,local100ms,attitude_deg,23,1.2812149204875076
Mission,ALL,10,Sep17,local100ms,attitude_deg,42,1.2863348399720769
Mission,ALL,10,Sep17,local100ms,body_rate_rad_s,17,0.49951642135010277
Mission,ALL,10,Sep17,local100ms,body_rate_rad_s,23,0.49330827663868204
Mission,ALL,10,Sep17,local100ms,body_rate_rad_s,42,0.5057396681518731
Mission,ALL,10,Sep17,local100ms,p_rad_s,17,0.4456611022788749
Mission,ALL,10,Sep17,local100ms,p_rad_s,23,0.4319874240583915
Mission,ALL,10,Sep17,local100ms,p_rad_s,42,0.45230437807848006
Mission,ALL,10,Sep17,local100ms,position_m,17,0.0161908574928857
Mission,ALL,10,Sep17,local100ms,position_m,23,0.016444276482805224
Mission,ALL,10,Sep17,local100ms,position_m,42,0.01597401228925988
Mission,ALL,10,Sep17,local100ms,q_rad_s,17,0.18305301378899666
Mission,ALL,10,Sep17,local100ms,q_rad_s,23,0.1909870689009591
Mission,ALL,10,Sep17,local100ms,q_rad_s,42,0.18384791717791038
Mission,ALL,10,Sep17,local100ms,r_rad_s,17,0.1303486800819324
Mission,ALL,10,Sep17,local100ms,r_rad_s,23,0.14083392034314102
Mission,ALL,10,Sep17,local100ms,r_rad_s,42,0.13053789255052822
Mission,ALL,10,Sep17,local100ms,roll_deg,17,0.9498148480801407
Mission,ALL,10,Sep17,local100ms,roll_deg,23,0.9363360463727951
Mission,ALL,10,Sep17,local100ms,roll_deg,42,0.9686347788024152
Mission,ALL,10,Sep17,local100ms,velocity_m_s,17,0.12116229603029521
Mission,ALL,10,Sep17,local100ms,velocity_m_s,23,0.1243936930696556
Mission,ALL,10,Sep17,local100ms,velocity_m_s,42,0.1237329869039482
Mission,ALL,10,Sep7,continuous,attitude_deg,17,1.7739854167542295
Mission,ALL,10,Sep7,continuous,attitude_deg,23,1.8540375309427293
Mission,ALL,10,Sep7,continuous,attitude_deg,42,1.8135350334608997
Mission,ALL,10,Sep7,continuous,body_rate_rad_s,17,0.5726746029919538
Mission,ALL,10,Sep7,continuous,body_rate_rad_s,23,0.5832209511898543
Mission,ALL,10,Sep7,continuous,body_rate_rad_s,42,0.5774377210715881
Mission,ALL,10,Sep7,continuous,p_rad_s,17,0.526365663908651
Mission,ALL,10,Sep7,continuous,p_rad_s,23,0.5359181485287691
Mission,ALL,10,Sep7,continuous,p_rad_s,42,0.5337888200492114
Mission,ALL,10,Sep7,continuous,position_m,17,0.057333658330055486
Mission,ALL,10,Sep7,continuous,position_m,23,0.05652844453715595
Mission,ALL,10,Sep7,continuous,position_m,42,0.05705025017088122
Mission,ALL,10,Sep7,continuous,q_rad_s,17,0.17752958804558677
Mission,ALL,10,Sep7,continuous,q_rad_s,23,0.18060213154652682
Mission,ALL,10,Sep7,continuous,q_rad_s,42,0.1750809046870018
Mission,ALL,10,Sep7,continuous,r_rad_s,17,0.13545523910501656
Mission,ALL,10,Sep7,continuous,r_rad_s,23,0.13918359433413469
Mission,ALL,10,Sep7,continuous,r_rad_s,42,0.13066540415807384
Mission,ALL,10,Sep7,continuous,roll_deg,17,1.137552327856308
Mission,ALL,10,Sep7,continuous,roll_deg,23,1.2354311702844576
Mission,ALL,10,Sep7,continuous,roll_deg,42,1.185996261537735
Mission,ALL,10,Sep7,continuous,velocity_m_s,17,0.14002219595013127
Mission,ALL,10,Sep7,continuous,velocity_m_s,23,0.14654229100928223
Mission,ALL,10,Sep7,continuous,velocity_m_s,42,0.15611827508618187
Mission,ALL,10,Sep7,local100ms,attitude_deg,17,1.2609743462610379
Mission,ALL,10,Sep7,local100ms,attitude_deg,23,1.3598398425303049
Mission,ALL,10,Sep7,local100ms,attitude_deg,42,1.2888358512594809
Mission,ALL,10,Sep7,local100ms,body_rate_rad_s,17,0.5653240482243627
Mission,ALL,10,Sep7,local100ms,body_rate_rad_s,23,0.5629771641462002
Mission,ALL,10,Sep7,local100ms,body_rate_rad_s,42,0.5674944538921947
Mission,ALL,10,Sep7,local100ms,p_rad_s,17,0.5198238301400323
Mission,ALL,10,Sep7,local100ms,p_rad_s,23,0.5175142558833075
Mission,ALL,10,Sep7,local100ms,p_rad_s,42,0.5215106429047895
Mission,ALL,10,Sep7,local100ms,position_m,17,0.027454712501282397
Mission,ALL,10,Sep7,local100ms,position_m,23,0.027212230914494515
Mission,ALL,10,Sep7,local100ms,position_m,42,0.02711132536479894
Mission,ALL,10,Sep7,local100ms,q_rad_s,17,0.17241497731920058
Mission,ALL,10,Sep7,local100ms,q_rad_s,23,0.17520963515655716
Mission,ALL,10,Sep7,local100ms,q_rad_s,42,0.17613249993198601
Mission,ALL,10,Sep7,local100ms,r_rad_s,17,0.1381379374869457
Mission,ALL,10,Sep7,local100ms,r_rad_s,23,0.13370621587230433
Mission,ALL,10,Sep7,local100ms,r_rad_s,42,0.13612144644476315
Mission,ALL,10,Sep7,local100ms,roll_deg,17,0.9470045175796366
Mission,ALL,10,Sep7,local100ms,roll_deg,23,1.0569873029915278
Mission,ALL,10,Sep7,local100ms,roll_deg,42,0.9723539660310363
Mission,ALL,10,Sep7,local100ms,velocity_m_s,17,0.10328809936877165
Mission,ALL,10,Sep7,local100ms,velocity_m_s,23,0.10195347201068795
Mission,ALL,10,Sep7,local100ms,velocity_m_s,42,0.11078427995668022
Mission,ALL,15,ALL,continuous,attitude_deg,17,2.591773470190184
Mission,ALL,15,ALL,continuous,attitude_deg,23,2.6289039026975862
Mission,ALL,15,ALL,continuous,attitude_deg,42,2.6363210356588724
Mission,ALL,15,ALL,continuous,body_rate_rad_s,17,0.5399892564260885
Mission,ALL,15,ALL,continuous,body_rate_rad_s,23,0.5330876819092812
Mission,ALL,15,ALL,continuous,body_rate_rad_s,42,0.5356656001432255
Mission,ALL,15,ALL,continuous,p_rad_s,17,0.4859664685473302
Mission,ALL,15,ALL,continuous,p_rad_s,23,0.4747748134978136
Mission,ALL,15,ALL,continuous,p_rad_s,42,0.4829862987056828
Mission,ALL,15,ALL,continuous,position_m,17,0.06469251313939343
Mission,ALL,15,ALL,continuous,position_m,23,0.06503661364527709
Mission,ALL,15,ALL,continuous,position_m,42,0.06341981105854255
Mission,ALL,15,ALL,continuous,q_rad_s,17,0.18867254382786758
Mission,ALL,15,ALL,continuous,q_rad_s,23,0.2005785133722643
Mission,ALL,15,ALL,continuous,q_rad_s,42,0.18609837037566246
Mission,ALL,15,ALL,continuous,r_rad_s,17,0.13782129368608628
Mission,ALL,15,ALL,continuous,r_rad_s,23,0.13391545654077106
Mission,ALL,15,ALL,continuous,r_rad_s,42,0.13537053475243713
Mission,ALL,15,ALL,continuous,roll_deg,17,1.8391535798734058
Mission,ALL,15,ALL,continuous,roll_deg,23,1.7749914394553548
Mission,ALL,15,ALL,continuous,roll_deg,42,1.8969361549801131
Mission,ALL,15,ALL,continuous,velocity_m_s,17,0.19956708984927016
Mission,ALL,15,ALL,continuous,velocity_m_s,23,0.20402693471350375
Mission,ALL,15,ALL,continuous,velocity_m_s,42,0.2027198826777871
Mission,ALL,15,ALL,local100ms,attitude_deg,17,1.2898832452653308
Mission,ALL,15,ALL,local100ms,attitude_deg,23,1.3233847318423406
Mission,ALL,15,ALL,local100ms,attitude_deg,42,1.3104226350862394
Mission,ALL,15,ALL,local100ms,body_rate_rad_s,17,0.5220423371173074
Mission,ALL,15,ALL,local100ms,body_rate_rad_s,23,0.5175735113263249
Mission,ALL,15,ALL,local100ms,body_rate_rad_s,42,0.5225399804470858
Mission,ALL,15,ALL,local100ms,p_rad_s,17,0.4675309952711169
Mission,ALL,15,ALL,local100ms,p_rad_s,23,0.4571686123239942
Mission,ALL,15,ALL,local100ms,p_rad_s,42,0.46912672521602145
Mission,ALL,15,ALL,local100ms,position_m,17,0.02073557692816109
Mission,ALL,15,ALL,local100ms,position_m,23,0.020735858603954698
Mission,ALL,15,ALL,local100ms,position_m,42,0.020601868919626672
Mission,ALL,15,ALL,local100ms,q_rad_s,17,0.18746520697819122
Mission,ALL,15,ALL,local100ms,q_rad_s,23,0.19753254217749242
Mission,ALL,15,ALL,local100ms,q_rad_s,42,0.18551524817444853
Mission,ALL,15,ALL,local100ms,r_rad_s,17,0.13407944260036928
Mission,ALL,15,ALL,local100ms,r_rad_s,23,0.13877173512730537
Mission,ALL,15,ALL,local100ms,r_rad_s,42,0.1334950527957715
Mission,ALL,15,ALL,local100ms,roll_deg,17,0.9525956742774556
Mission,ALL,15,ALL,local100ms,roll_deg,23,0.974887958303079
Mission,ALL,15,ALL,local100ms,roll_deg,42,0.9821507993963773
Mission,ALL,15,ALL,local100ms,velocity_m_s,17,0.11802534858621822
Mission,ALL,15,ALL,local100ms,velocity_m_s,23,0.12188906782505753
Mission,ALL,15,ALL,local100ms,velocity_m_s,42,0.12354179281111587
Mission,ALL,15,Sep17,continuous,attitude_deg,17,2.818162359210293
Mission,ALL,15,Sep17,continuous,attitude_deg,23,2.821895045198924
Mission,ALL,15,Sep17,continuous,attitude_deg,42,2.8608959471442947
Mission,ALL,15,Sep17,continuous,body_rate_rad_s,17,0.5471403366436971
Mission,ALL,15,Sep17,continuous,body_rate_rad_s,23,0.5402448642011852
Mission,ALL,15,Sep17,continuous,body_rate_rad_s,42,0.5399919544000928
Mission,ALL,15,Sep17,continuous,p_rad_s,17,0.4923539831118703
Mission,ALL,15,Sep17,continuous,p_rad_s,23,0.47812677445851265
Mission,ALL,15,Sep17,continuous,p_rad_s,42,0.48538489401544044
Mission,ALL,15,Sep17,continuous,position_m,17,0.05369528545106829
Mission,ALL,15,Sep17,continuous,position_m,23,0.05490525605623438
Mission,ALL,15,Sep17,continuous,position_m,42,0.05242493043409593
Mission,ALL,15,Sep17,continuous,q_rad_s,17,0.1877734829058846
Mission,ALL,15,Sep17,continuous,q_rad_s,23,0.2086319374252138
Mission,ALL,15,Sep17,continuous,q_rad_s,42,0.1878023093998971
Mission,ALL,15,Sep17,continuous,r_rad_s,17,0.14512994568907042
Mission,ALL,15,Sep17,continuous,r_rad_s,23,0.13871582237052066
Mission,ALL,15,Sep17,continuous,r_rad_s,42,0.14137883220522543
Mission,ALL,15,Sep17,continuous,roll_deg,17,2.066049448591114
Mission,ALL,15,Sep17,continuous,roll_deg,23,1.9128947969859598
Mission,ALL,15,Sep17,continuous,roll_deg,42,2.1048126005084278
Mission,ALL,15,Sep17,continuous,velocity_m_s,17,0.21142251898191713
Mission,ALL,15,Sep17,continuous,velocity_m_s,23,0.2164324932010735
Mission,ALL,15,Sep17,continuous,velocity_m_s,42,0.21054129636370872
Mission,ALL,15,Sep17,local100ms,attitude_deg,17,1.3208334248510731
Mission,ALL,15,Sep17,local100ms,attitude_deg,23,1.3421951448821619
Mission,ALL,15,Sep17,local100ms,attitude_deg,42,1.330064279287519
Mission,ALL,15,Sep17,local100ms,body_rate_rad_s,17,0.5128388491861553
Mission,ALL,15,Sep17,local100ms,body_rate_rad_s,23,0.5083184804912241
Mission,ALL,15,Sep17,local100ms,body_rate_rad_s,42,0.5148445471353227
Mission,ALL,15,Sep17,local100ms,p_rad_s,17,0.4591189272713672
Mission,ALL,15,Sep17,local100ms,p_rad_s,23,0.44797113355760526
Mission,ALL,15,Sep17,local100ms,p_rad_s,42,0.46416761128855394
Mission,ALL,15,Sep17,local100ms,position_m,17,0.0166203461923546
Mission,ALL,15,Sep17,local100ms,position_m,23,0.016859214504433655
Mission,ALL,15,Sep17,local100ms,position_m,42,0.016534118055731545
Mission,ALL,15,Sep17,local100ms,q_rad_s,17,0.18721722477352346
Mission,ALL,15,Sep17,local100ms,q_rad_s,23,0.1963268604938649
Mission,ALL,15,Sep17,local100ms,q_rad_s,42,0.17972847773131467
Mission,ALL,15,Sep17,local100ms,r_rad_s,17,0.12767752470557983
