mode,pattern,step,cohort,seed,metric,continuous,local100ms,local_minus_continuous
Mission,ALL,5,ALL,42,position_m,0.02111431005928185,0.02111431005928185,0.0
Mission,ALL,5,ALL,42,q_rad_s,0.1913437688092503,0.19134376874270975,-6.654055084709398e-11
Mission,ALL,5,ALL,42,r_rad_s,0.1269995975142718,0.12699959751414927,-1.2254086634300165e-13
Mission,ALL,5,ALL,42,roll_deg,1.0111968718344098,1.0111968699986777,-1.8357320108464137e-09
Mission,ALL,5,ALL,42,velocity_m_s,0.12157953304749099,0.12157953304887004,1.3790496522503304e-12
Mission,ALL,5,Sep17,17,attitude_deg,1.3423319940902028,1.3423319955034574,1.4132546244383093e-09
Mission,ALL,5,Sep17,17,body_rate_rad_s,0.5095429117616908,0.5095429117518318,-9.859002503276315e-12
Mission,ALL,5,Sep17,17,p_rad_s,0.45610012921644083,0.4561001291986101,-1.7830736886992327e-11
Mission,ALL,5,Sep17,17,position_m,0.016359050906999864,0.016359050906999864,0.0
Mission,ALL,5,Sep17,17,q_rad_s,0.18791599710605925,0.18791599714711676,4.105751849614592e-11
Mission,ALL,5,Sep17,17,r_rad_s,0.1259837642771372,0.12598376424196117,-3.5176028756467304e-11
Mission,ALL,5,Sep17,17,roll_deg,1.0018685917349412,1.0018685920491877,3.142464066741013e-10
Mission,ALL,5,Sep17,17,velocity_m_s,0.12250772952303654,0.12250772919044398,-3.3259256460027586e-10
Mission,ALL,5,Sep17,23,attitude_deg,1.3773640345946236,1.3773640329855745,-1.6090491161691034e-09
Mission,ALL,5,Sep17,23,body_rate_rad_s,0.5063530213544658,0.5063530215978218,2.4335600201652596e-10
Mission,ALL,5,Sep17,23,p_rad_s,0.4474502855125416,0.44745028556711264,5.4571014374005244e-11
Mission,ALL,5,Sep17,23,position_m,0.016675062069663113,0.016675062069663113,0.0
Mission,ALL,5,Sep17,23,q_rad_s,0.19319806107968945,0.1931980615392345,4.5954504090950365e-10
Mission,ALL,5,Sep17,23,r_rad_s,0.13553311839134768,0.1355331185345248,1.4317710905764613e-10
Mission,ALL,5,Sep17,23,roll_deg,1.0054712159572483,1.005471215463426,-4.938223163719613e-10
Mission,ALL,5,Sep17,23,velocity_m_s,0.12617148249765556,0.1261714825463885,4.8732934354589474e-11
Mission,ALL,5,Sep17,42,attitude_deg,1.352966296822563,1.352966295519329,-1.3032341872332154e-09
Mission,ALL,5,Sep17,42,body_rate_rad_s,0.5101335201639119,0.5101335202087037,4.479183690619948e-11
Mission,ALL,5,Sep17,42,p_rad_s,0.45900436799856514,0.45900436808245143,8.388628680577881e-11
Mission,ALL,5,Sep17,42,position_m,0.016065031896764816,0.016065031896764816,0.0
Mission,ALL,5,Sep17,42,q_rad_s,0.18284972544458228,0.1828497253447715,-9.981077075948974e-11
Mission,ALL,5,Sep17,42,r_rad_s,0.12485724917678198,0.12485724917659816,-1.838251773023103e-13
Mission,ALL,5,Sep17,42,roll_deg,1.0162356001781814,1.0162355974245831,-2.7535982383142255e-09
Mission,ALL,5,Sep17,42,velocity_m_s,0.12449907840534306,0.12449907840741162,2.068553661693784e-12
Mission,ALL,5,Sep7,17,attitude_deg,1.2584770078590806,1.2584770078590806,0.0
Mission,ALL,5,Sep7,17,body_rate_rad_s,0.5093603833958533,0.5093603833958533,0.0
Mission,ALL,5,Sep7,17,p_rad_s,0.44841668893778036,0.44841668893778036,0.0
Mission,ALL,5,Sep7,17,position_m,0.0314095490026814,0.0314095490026814,0.0
Mission,ALL,5,Sep7,17,q_rad_s,0.19828805983129064,0.19828805983129064,0.0
Mission,ALL,5,Sep7,17,r_rad_s,0.1330713386214456,0.1330713386214456,0.0
Mission,ALL,5,Sep7,17,roll_deg,0.9678730660360162,0.9678730660360162,0.0
Mission,ALL,5,Sep7,17,velocity_m_s,0.1042090572068837,0.1042090572068837,0.0
Mission,ALL,5,Sep7,23,attitude_deg,1.316929117296156,1.316929117296156,0.0
Mission,ALL,5,Sep7,23,body_rate_rad_s,0.5163692807676505,0.5163692807676505,0.0
Mission,ALL,5,Sep7,23,p_rad_s,0.45588525530624696,0.45588525530624696,0.0
Mission,ALL,5,Sep7,23,position_m,0.031087030959162175,0.031087030959162175,0.0
Mission,ALL,5,Sep7,23,q_rad_s,0.20182482344351266,0.20182482344351266,0.0
Mission,ALL,5,Sep7,23,r_rad_s,0.13202693617068162,0.13202693617068162,0.0
Mission,ALL,5,Sep7,23,roll_deg,1.0265650630248682,1.0265650630248682,0.0
Mission,ALL,5,Sep7,23,velocity_m_s,0.10935896283474435,0.10935896283474435,0.0
Mission,ALL,5,Sep7,42,attitude_deg,1.3015556762806884,1.3015556762806884,0.0
Mission,ALL,5,Sep7,42,body_rate_rad_s,0.5172650703279761,0.5172650703279761,0.0
Mission,ALL,5,Sep7,42,p_rad_s,0.45402064215142757,0.45402064215142757,0.0
Mission,ALL,5,Sep7,42,position_m,0.031212866384315918,0.031212866384315918,0.0
Mission,ALL,5,Sep7,42,q_rad_s,0.2083318555385863,0.2083318555385863,0.0
Mission,ALL,5,Sep7,42,r_rad_s,0.1312842941892515,0.1312842941892515,0.0
Mission,ALL,5,Sep7,42,roll_deg,1.0011194151468668,1.0011194151468668,0.0
