seed,tau_s,interval,group,flight_id,cohort,n_origins,axis,component,error_mse,rmse,true_amplitude,pred_amplitude,cross_term
42,0.1,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,r,raw,0.018906444745738785,0.13750070816449922,0.21096472858289367,0.17540112260521137,0.0036948770639385837
42,0.1,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,r,slow,0.007620187154556933,0.08729368336000567,0.15719120660029276,0.1335420161710858,0.0036948770639385837
42,0.1,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,r,fast,0.007591380527243266,0.08712852877928828,0.09111812610566404,0.06533584974035318,0.0036948770639385837
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,p,raw,0.29630307579814147,0.5443372812862826,0.8663943983664538,0.6911839674448395,0.056024645931075805
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,p,slow,0.02935930297029155,0.17134556594873282,0.5617421950959156,0.529708675142096,0.056024645931075805
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,p,fast,0.2109191268967741,0.45925932423498395,0.5405549016232148,0.3198478074736362,0.056024645931075805
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,q,raw,0.048757188095734046,0.2208102988896443,0.6773505849812953,0.6584200648128283,0.008814835241040455
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,q,slow,0.011852820224631837,0.10887065823550364,0.44815993116961,0.4448459849657384,0.008814835241040455
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,q,fast,0.02808953263006175,0.16759932168735572,0.4160772283298871,0.39555068466681437,0.008814835241040455
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,r,raw,0.022421065097622518,0.14973665248569742,0.20919896178803132,0.18689801883621535,0.0044535032905559145
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,r,slow,0.008965510069547948,0.09468637742330176,0.15235797042084093,0.14512212587495218,0.0044535032905559145
42,0.1,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,r,fast,0.009002051737518658,0.09487914279502455,0.0943095572951622,0.06823114775782876,0.0044535032905559145
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,p,raw,0.2686061916952865,0.5182723142280383,0.8138113358583626,0.6571992685877894,0.04936452158078409
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,p,slow,0.021994317105463422,0.14830481147104912,0.5198482814341591,0.4962977505676877,0.04936452158078409
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,p,fast,0.197247353009039,0.4441253798298843,0.510979865058472,0.3119502134512893,0.04936452158078409
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,q,raw,0.045052662017793906,0.21225612362849253,0.6691616977166907,0.6485559922343009,0.008118026035044395
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,q,slow,0.009564856710535561,0.09780008543214858,0.4379381123533746,0.4344889231995029,0.008118026035044395
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,q,fast,0.02736977927221395,0.16543814334129223,0.4049520821219528,0.3836281584557175,0.008118026035044395
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,r,raw,0.01760586903713778,0.1326871095364496,0.17467549682367317,0.14818221988537594,0.0031322216240993695
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,r,slow,0.006501658731977432,0.0806328638458131,0.12439753877600665,0.11401990768450332,0.0031322216240993695
42,0.1,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,r,fast,0.007971988681060976,0.08928599375636123,0.08779858367521638,0.057379570779496986,0.0031322216240993695
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,p,raw,0.26586535975663406,0.5156213336903682,0.9814872051221645,0.8427680632076344,0.048888923840879825
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,p,slow,0.018778913965684887,0.1370361775798088,0.6536248027838064,0.6390895700702585,0.048888923840879825
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,p,fast,0.19819752195006932,0.44519380268605413,0.593735482686577,0.40442879741897175,0.048888923840879825
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,q,raw,0.046921612247092855,0.21661397057228984,0.6498350256080394,0.646752402797951,0.008241185783718645
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,q,slow,0.00911829423326919,0.09548975983459791,0.421365827310867,0.4250132990633728,0.008241185783718645
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,q,fast,0.029562132230105027,0.1719364191499434,0.3974125328240926,0.3920045681264267,0.008241185783718645
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,r,raw,0.01087912081409388,0.10430302399304577,0.14869938027012328,0.12834746933224792,0.0021571835087475246
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,r,slow,0.0035725225304793218,0.05977058248402237,0.1069243686673493,0.09662670242080329,0.0021571835087475246
42,0.1,0_500ms,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,r,fast,0.005149414774867033,0.07175942289948431,0.07358795292467417,0.056073257518375226,0.0021571835087475246
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,p,raw,0.2805877561470629,0.5297053484221798,0.8963168832919655,0.7421593657061052,0.05290015748538467
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,p,slow,0.018818885234960035,0.13718194208772536,0.5968453157608374,0.5817916114189429,0.05290015748538467
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,p,fast,0.2088687134267182,0.4570215677916286,0.5466836222000506,0.32235233598134644,0.05290015748538467
