tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,500_1000ms,high,Sep17,q,fast,42,0.17757578218905823,0.3607299099233208,0.31331857700082644,0.032011276916472174,0.01779061443895083
0.05,500_1000ms,high,Sep17,q,raw,17,0.31735348352307036,0.85897410668764,0.7888448865817219,0.10130882587308733,0.018814890458933222
0.05,500_1000ms,high,Sep17,q,raw,23,0.3541888865890428,0.85897410668764,0.7831568879050299,0.1268782174842406,0.025303149038548214
0.05,500_1000ms,high,Sep17,q,raw,42,0.3134387897413404,0.85897410668764,0.787379129167645,0.09918935307796119,0.01779061443895083
0.05,500_1000ms,high,Sep17,q,slow,17,0.2166282766880317,0.7310937139708525,0.6842853018513991,0.047156189763277984,0.018814890458933222
0.05,500_1000ms,high,Sep17,q,slow,23,0.23423502107795188,0.7310937139708525,0.6821627670483749,0.05521833426552482,0.025303149038548214
0.05,500_1000ms,high,Sep17,q,slow,42,0.22137688329080932,0.7310937139708525,0.6822214137657473,0.04938746172253819,0.01779061443895083
0.05,500_1000ms,high,Sep17,r,fast,17,0.06824232805559181,0.07893038584535543,0.04558173924281835,0.004692225430872827,0.0034900945868338107
0.05,500_1000ms,high,Sep17,r,fast,23,0.06764832907716924,0.07893038584535543,0.04541884927042518,0.0046212733716551125,0.003286962851697408
0.05,500_1000ms,high,Sep17,r,fast,42,0.06696664158445303,0.07893038584535543,0.0442556291257097,0.004527995882805126,0.0034401153025182428
0.05,500_1000ms,high,Sep17,r,raw,17,0.20173724739759347,0.3747084030479703,0.3107612224223488,0.041272680196248676,0.0034900945868338107
0.05,500_1000ms,high,Sep17,r,raw,23,0.19555637803747056,0.3747084030479703,0.3043158311107204,0.03895752916381312,0.003286962851697408
0.05,500_1000ms,high,Sep17,r,raw,42,0.20215303743074134,0.3747084030479703,0.31010334957440694,0.04124448660741527,0.0034401153025182428
0.05,500_1000ms,high,Sep17,r,slow,17,0.1806612320101726,0.36531734791376647,0.310754177837158,0.033090360178542035,0.0034900945868338107
0.05,500_1000ms,high,Sep17,r,slow,23,0.17448128571160423,0.36531734791376647,0.3036504530261762,0.031049292940460597,0.003286962851697408
0.05,500_1000ms,high,Sep17,r,slow,42,0.1817175802172946,0.36531734791376647,0.30961642177135523,0.0332763754220919,0.0034401153025182428
0.05,500_1000ms,high,Sep7,p,fast,17,0.4003427105493699,0.4357139263951434,0.2303340189989339,0.1625175180338051,0.08335112600814817
0.05,500_1000ms,high,Sep7,p,fast,23,0.3986242970663522,0.4357139263951434,0.2310671047957521,0.16084744017170574,0.08229609202668127
0.05,500_1000ms,high,Sep7,p,fast,42,0.399078836724147,0.4357139263951434,0.23875787199001822,0.16123155118382732,0.0825402459548801
0.05,500_1000ms,high,Sep7,p,raw,17,0.561936898093255,0.9267947396155929,0.7627819280417278,0.3201547386098371,0.08335112600814817
0.05,500_1000ms,high,Sep7,p,raw,23,0.5582514900490865,0.9267947396155929,0.7586839262228475,0.31539586816543813,0.08229609202668127
0.05,500_1000ms,high,Sep7,p,raw,42,0.5628245063832529,0.9267947396155929,0.7666053292383127,0.3204950804509489,0.0825402459548801
0.05,500_1000ms,high,Sep7,p,slow,17,0.2698018179573547,0.7515134005732889,0.7062336242179111,0.07428609456788379,0.08335112600814817
0.05,500_1000ms,high,Sep7,p,slow,23,0.26646175120121907,0.7515134005732889,0.7013668782697151,0.0722523359670511,0.08229609202668127
0.05,500_1000ms,high,Sep7,p,slow,42,0.274582320259553,0.7515134005732889,0.7066704927102657,0.07672328331224146,0.0825402459548801
0.05,500_1000ms,high,Sep7,q,fast,17,0.1726089800177873,0.3164869998131261,0.2950811074510441,0.03009308977978476,0.015052862102511756
0.05,500_1000ms,high,Sep7,q,fast,23,0.17665300311107204,0.3164869998131261,0.2900079698509483,0.031398496016335584,0.015714284959602916
0.05,500_1000ms,high,Sep7,q,fast,42,0.16511907564651057,0.3164869998131261,0.28928401340059023,0.027328200083190247,0.013778041670886875
0.05,500_1000ms,high,Sep7,q,raw,17,0.283195026049754,0.7333901242613958,0.7100023562660056,0.08146462581816022,0.015052862102511756
0.05,500_1000ms,high,Sep7,q,raw,23,0.28824973791509123,0.7333901242613958,0.7040117456504826,0.08389838269347277,0.015714284959602916
0.05,500_1000ms,high,Sep7,q,raw,42,0.2785029066757787,0.7333901242613958,0.7008837778451424,0.07818581248369087,0.013778041670886875
0.05,500_1000ms,high,Sep7,q,slow,17,0.18807674400519953,0.6203906622947386,0.605740907074881,0.036318673935863695,0.015052862102511756
0.05,500_1000ms,high,Sep7,q,slow,23,0.19013126715882242,0.6203906622947386,0.6024332262936207,0.03678560171753426,0.015714284959602916
0.05,500_1000ms,high,Sep7,q,slow,42,0.19026356844731585,0.6203906622947386,0.5988122833039876,0.03707957072961375,0.013778041670886875
0.05,500_1000ms,high,Sep7,r,fast,17,0.06876986677541803,0.07106277570202714,0.04474035508025617,0.004782425937701397,0.002196452011960616
0.05,500_1000ms,high,Sep7,r,fast,23,0.06650106730303507,0.07106277570202714,0.044758542683654826,0.004466098076785372,0.002094881351517177
0.05,500_1000ms,high,Sep7,r,fast,42,0.06780804815179065,0.07106277570202714,0.04437208599372458,0.0046300446907333905,0.002285512092845537
0.05,500_1000ms,high,Sep7,r,raw,17,0.16780846274182837,0.298982714225285,0.24720164326493282,0.028649898731440613,0.002196452011960616
0.05,500_1000ms,high,Sep7,r,raw,23,0.1644885354202224,0.298982714225285,0.2440339647037296,0.027664384239465767,0.002094881351517177
0.05,500_1000ms,high,Sep7,r,raw,42,0.16942539765599912,0.298982714225285,0.236320921505298,0.02915021657480725,0.002285512092845537
0.05,500_1000ms,high,Sep7,r,slow,17,0.1455111792061814,0.2842415698191768,0.2412256957501556,0.021671020781778603,0.002196452011960616
0.05,500_1000ms,high,Sep7,r,slow,23,0.1430490959946473,0.2842415698191768,0.23732193238321594,0.02110340481116322,0.002094881351517177
0.05,500_1000ms,high,Sep7,r,slow,42,0.1473712060671787,0.2842415698191768,0.23067023409923593,0.022234659791228326,0.002285512092845537
0.05,500_1000ms,low,ALL,p,fast,17,0.35828659772274957,0.39828802899156546,0.22113364003500594,0.12891454294517524,0.06620984717748507
0.05,500_1000ms,low,ALL,p,fast,23,0.355873882046662,0.39828802899156546,0.2216414933799886,0.12730209880036258,0.06562800979612596
0.05,500_1000ms,low,ALL,p,fast,42,0.3589744550721336,0.39828802899156546,0.2414258461981743,0.1296942382457988,0.06678132144281351
0.05,500_1000ms,low,ALL,p,raw,17,0.4995343240982552,0.811526364071838,0.6604446417770781,0.2502538341866182,0.06620984717748507
0.05,500_1000ms,low,ALL,p,raw,23,0.4961358824113693,0.811526364071838,0.6592713114290998,0.24703939761807855,0.06562800979612596
0.05,500_1000ms,low,ALL,p,raw,42,0.5026278395363896,0.811526364071838,0.6761196865877538,0.2536888632614672,0.06678132144281351
0.05,500_1000ms,low,ALL,p,slow,17,0.23425352482203193,0.6434818623591393,0.5987096429854105,0.055129444063957866,0.06620984717748507
0.05,500_1000ms,low,ALL,p,slow,23,0.23210730506153623,0.6434818623591393,0.5976076991383831,0.05410928902159003,0.06562800979612596
0.05,500_1000ms,low,ALL,p,slow,42,0.23860779912980606,0.6434818623591393,0.6037911616521764,0.05721330357285492,0.06678132144281351
0.05,500_1000ms,low,ALL,q,fast,17,0.1611518124137325,0.3514530819104458,0.32982437648336604,0.026247342619014274,0.014199591413652603
0.05,500_1000ms,low,ALL,q,fast,23,0.18403378266428413,0.3514530819104458,0.32255712462296954,0.034467440446390975,0.018545578158242988
0.05,500_1000ms,low,ALL,q,fast,42,0.14567902466285657,0.3514530819104458,0.3273852129936448,0.021366849385523995,0.01164109268167339
0.05,500_1000ms,low,ALL,q,raw,17,0.2487652997747413,0.7328746188304852,0.7081755449584686,0.062296193396132835,0.014199591413652603
0.05,500_1000ms,low,ALL,q,raw,23,0.2778616902552976,0.7328746188304852,0.6999627123423874,0.0782436697986195,0.018545578158242988
0.05,500_1000ms,low,ALL,q,raw,42,0.2305577165947932,0.7328746188304852,0.7061612981185572,0.053438414891315324,0.01164109268167339
0.05,500_1000ms,low,ALL,q,slow,17,0.14750503499339435,0.5882185758165784,0.5754460139087932,0.02184925936346596,0.014199591413652603
0.05,500_1000ms,low,ALL,q,slow,23,0.15826680702328022,0.5882185758165784,0.5716355577473023,0.025230651193985543,0.018545578158242988
0.05,500_1000ms,low,ALL,q,slow,42,0.14257477361095686,0.5882185758165784,0.5753035278624604,0.020430472824117942,0.01164109268167339
0.05,500_1000ms,low,ALL,r,fast,17,0.06361306727754022,0.06262429089089316,0.03891349423887275,0.004101652350868915,0.002672379308454818
0.05,500_1000ms,low,ALL,r,fast,23,0.06299722199660074,0.06262429089089316,0.03884473873162198,0.0040180963153193345,0.0025165804571267796
0.05,500_1000ms,low,ALL,r,fast,42,0.06257496078184054,0.06262429089089316,0.038104241622953824,0.0039661702158878985,0.0026887084008385964
0.05,500_1000ms,low,ALL,r,raw,17,0.14912211446399865,0.24220720489359446,0.20433495270586424,0.022727106492168213,0.002672379308454818
0.05,500_1000ms,low,ALL,r,raw,23,0.14417556917877952,0.24220720489359446,0.2027449952133186,0.021243327078575677,0.0025165804571267796
0.05,500_1000ms,low,ALL,r,raw,42,0.14722779243705275,0.24220720489359446,0.20433058407835952,0.022086392727809462,0.0026887084008385964
0.05,500_1000ms,low,ALL,r,slow,17,0.12448284436216414,0.22988437508334222,0.2002876038674502,0.01595307483284448,0.002672379308454818
0.05,500_1000ms,low,ALL,r,slow,23,0.1195581549371657,0.22988437508334222,0.1988308221582726,0.014708650306129563,0.0025165804571267796
0.05,500_1000ms,low,ALL,r,slow,42,0.1225653163233902,0.22988437508334222,0.20021375058722615,0.01543151411108297,0.0026887084008385964
0.05,500_1000ms,low,Sep17,p,fast,17,0.33922409873750076,0.36629391135845685,0.21836757375269142,0.1154514386465626,0.06033903782189971
0.05,500_1000ms,low,Sep17,p,fast,23,0.33261093611532644,0.36629391135845685,0.21884150494430177,0.11088750859732835,0.058189595647104096
0.05,500_1000ms,low,Sep17,p,fast,42,0.33332610964958853,0.36629391135845685,0.23927346141100486,0.11152936940571705,0.05846175962817646
0.05,500_1000ms,low,Sep17,p,raw,17,0.4808732628342951,0.7520123956977426,0.615631934114701,0.2317446404790947,0.06033903782189971
0.05,500_1000ms,low,Sep17,p,raw,23,0.4714249209661002,0.7520123956977426,0.6143786254956454,0.2225523552075867,0.058189595647104096
0.05,500_1000ms,low,Sep17,p,raw,42,0.4765325730728933,0.7520123956977426,0.6301578326689582,0.22760734921730827,0.05846175962817646
0.05,500_1000ms,low,Sep17,p,slow,17,0.23629877081091685,0.5994838741555553,0.5504820679515315,0.05595416401063238,0.06033903782189971
0.05,500_1000ms,low,Sep17,p,slow,23,0.23107470017593207,0.5994838741555553,0.5496611954612388,0.05347525096315425,0.058189595647104096
0.05,500_1000ms,low,Sep17,p,slow,42,0.23984899659255254,0.5994838741555553,0.5529330092370929,0.05761622018341476,0.05846175962817646
0.05,500_1000ms,low,Sep17,q,fast,17,0.15271893886387927,0.38995740769329745,0.3490463487536061,0.023573149676464927,0.01312824751633188
0.05,500_1000ms,low,Sep17,q,fast,23,0.19793682216363584,0.38995740769329745,0.3378996315295117,0.03994935518970125,0.02171920461462029
0.05,500_1000ms,low,Sep17,q,fast,42,0.14665632278890356,0.38995740769329745,0.3503235511126144,0.021742635908706294,0.012155537597089015
0.05,500_1000ms,low,Sep17,q,raw,17,0.24036167550099874,0.823895981237545,0.775071884916006,0.05819919969266628,0.01312824751633188
0.05,500_1000ms,low,Sep17,q,raw,23,0.29756230773610426,0.823895981237545,0.7619011006759993,0.08983541590307945,0.02171920461462029
0.05,500_1000ms,low,Sep17,q,raw,42,0.2327181877641305,0.823895981237545,0.7771851218191619,0.054607959414844295,0.012155537597089015
0.05,500_1000ms,low,Sep17,q,slow,17,0.14619097159108885,0.6622190781486756,0.6389241193616636,0.021497802499869465,0.01312824751633188
0.05,500_1000ms,low,Sep17,q,slow,23,0.16726597564008683,0.6622190781486756,0.6326555536215676,0.0281668560987579,0.02171920461462029
0.05,500_1000ms,low,Sep17,q,slow,42,0.14334133365739868,0.6622190781486756,0.6402403074786596,0.020709785909048994,0.012155537597089015
0.05,500_1000ms,low,Sep17,r,fast,17,0.06132602160579705,0.06533001864471379,0.03880319897841249,0.0037695964205239265,0.0026419982526473583
0.05,500_1000ms,low,Sep17,r,fast,23,0.06053343144388127,0.06533001864471379,0.03876594336592594,0.003670130001604253,0.002404496242378698
0.05,500_1000ms,low,Sep17,r,fast,42,0.059654792028592474,0.06533001864471379,0.03776367129362317,0.0035654898782708907,0.00269692782802665
0.05,500_1000ms,low,Sep17,r,raw,17,0.15688070927844544,0.2672542361173589,0.22711949011198915,0.024834017769313384,0.0026419982526473583
0.05,500_1000ms,low,Sep17,r,raw,23,0.14675016731343007,0.2672542361173589,0.22460137785025308,0.021641459502782786,0.002404496242378698
0.05,500_1000ms,low,Sep17,r,raw,42,0.1555368356341578,0.2672542361173589,0.22684860718030914,0.024254613416933718,0.00269692782802665
0.05,500_1000ms,low,Sep17,r,slow,17,0.13506523537673484,0.25669015743094853,0.22444495854457028,0.0184224230961421,0.0026419982526473583
0.05,500_1000ms,low,Sep17,r,slow,23,0.12439354395207343,0.25669015743094853,0.22204011587915629,0.015566833258799833,0.002404496242378698
0.05,500_1000ms,low,Sep17,r,slow,42,0.13391978049585437,0.25669015743094853,0.22393758357258747,0.01799219571063618,0.00269692782802665
0.05,500_1000ms,low,Sep7,p,fast,17,0.37523104126519286,0.4267272446654398,0.22359236561928553,0.14088174676616425,0.07142834438244983
0.05,500_1000ms,low,Sep7,p,fast,23,0.3765520562078492,0.4267272446654398,0.22413037198948801,0.14189284564750412,0.07223993348414538
0.05,500_1000ms,low,Sep7,p,fast,42,0.38177298433661805,0.4267272446654398,0.2433390771201027,0.14584078832587144,0.07417648750026866
0.05,500_1000ms,low,Sep7,p,raw,17,0.5161219341106643,0.8644276692932562,0.700278159699191,0.2667064508155279,0.07142834438244983
0.05,500_1000ms,low,Sep7,p,raw,23,0.5181011814738308,0.8644276692932562,0.699175921147726,0.2688056575385158,0.07223993348414538
0.05,500_1000ms,low,Sep7,p,raw,42,0.5258236319483863,0.8644276692932562,0.7169746678489055,0.2768724313007196,0.07417648750026866
0.05,500_1000ms,low,Sep7,p,slow,17,0.2324355283874676,0.6825911852067698,0.6415785985710808,0.054396359666913856,0.07142834438244983
0.05,500_1000ms,low,Sep7,p,slow,23,0.23302517607096215,0.6825911852067698,0.6402268135180669,0.054672878406866285,0.07223993348414538
0.05,500_1000ms,low,Sep7,p,slow,42,0.23750451249625362,0.6825911852067698,0.648998408243362,0.05685515547457952,0.07417648750026866
0.05,500_1000ms,low,Sep7,q,fast,17,0.16864770001360205,0.31722701454791097,0.3127381789098193,0.028624403012391466,0.015151897100159913
0.05,500_1000ms,low,Sep7,q,fast,23,0.17167552533152705,0.31722701454791097,0.3089193407060432,0.029594627341226278,0.01572457686368538
0.05,500_1000ms,low,Sep7,q,fast,42,0.14481031521748147,0.31722701454791097,0.3069955791101162,0.021032816920473055,0.011183808312415059
0.05,500_1000ms,low,Sep7,q,raw,17,0.256235188018068,0.6519667411353207,0.6487121316628799,0.065937965576992,0.015151897100159913
0.05,500_1000ms,low,Sep7,q,raw,23,0.26035003027235837,0.6519667411353207,0.6449063671569546,0.06793989548354401,0.01572457686368538
0.05,500_1000ms,low,Sep7,q,raw,42,0.22863729777760453,0.6519667411353207,0.6430290103846863,0.05239881975928956,0.011183808312415059
0.05,500_1000ms,low,Sep7,q,slow,17,0.1486730913509992,0.5224403515213809,0.5190210312840197,0.022161665464440622,0.015151897100159913
0.05,500_1000ms,low,Sep7,q,slow,23,0.15026754603056325,0.5224403515213809,0.5173955614146222,0.022620691278632334,0.01572457686368538
0.05,500_1000ms,low,Sep7,q,slow,42,0.14189338690300857,0.5224403515213809,0.5175819459813946,0.020182194526401447,0.011183808312415059
0.05,500_1000ms,low,Sep7,r,fast,17,0.06564599676353415,0.06021919955416372,0.039011534470392975,0.004396813177842239,0.0026993846913947826
0.05,500_1000ms,low,Sep7,r,fast,23,0.0651872580434625,0.06021919955416372,0.03891477905668514,0.004327399705288296,0.0026162108702361855
0.05,500_1000ms,low,Sep7,r,fast,42,0.06517066634028325,0.06021919955416372,0.038406970804581074,0.004322330515991905,0.0026814022433381043
0.05,500_1000ms,low,Sep7,r,raw,17,0.14222558574004593,0.2199431771391372,0.18408203056708652,0.020854296468039168,0.0026993846913947826
0.05,500_1000ms,low,Sep7,r,raw,23,0.14188703750353457,0.2199431771391372,0.18331709953604347,0.020889431590391576,0.0026162108702361855
0.05,500_1000ms,low,Sep7,r,raw,42,0.13984197626184824,0.2199431771391372,0.1843145635432932,0.020159085448587896,0.0026814022433381043
0.05,500_1000ms,low,Sep7,r,slow,17,0.11507627457143463,0.2060570129965811,0.17881439971001012,0.013758098598802145,0.0026993846913947826
0.05,500_1000ms,low,Sep7,r,slow,23,0.11526003136835887,0.2060570129965811,0.17820033885082043,0.013945821014867096,0.0026162108702361855
0.05,500_1000ms,low,Sep7,r,slow,42,0.11247245928119981,0.2060570129965811,0.1791258990446828,0.013155352689257889,0.0026814022433381043
0.1,0_500ms,ALL,ALL,p,fast,17,0.4241811075040107,0.5106263639560756,0.3301534969073468,0.18098340790405137,0.04739876163306229
0.1,0_500ms,ALL,ALL,p,fast,23,0.42048061258976677,0.5106263639560756,0.3295651822707629,0.1780988424518146,0.04637623723532673
0.1,0_500ms,ALL,ALL,p,fast,42,0.4238758221812062,0.5106263639560756,0.33889177712214325,0.18107269593423406,0.047569768646343345
0.1,0_500ms,ALL,ALL,p,raw,17,0.5022227305909771,0.8369252833214784,0.6950265429113132,0.2534152975413967,0.04739876163306229
0.1,0_500ms,ALL,ALL,p,raw,23,0.49723798678144737,0.8369252833214784,0.6951872137128017,0.24872861898780674,0.04637623723532673
0.1,0_500ms,ALL,ALL,p,raw,42,0.5028699242883611,0.8369252833214784,0.7036561620927048,0.2544273962407065,0.047569768646343345
0.1,0_500ms,ALL,ALL,p,slow,17,0.15766794618571955,0.5533469980029522,0.5273564909779207,0.025033128004283034,0.04739876163306229
0.1,0_500ms,ALL,ALL,p,slow,23,0.15516262575943265,0.5533469980029522,0.5286020031467885,0.024253539300665407,0.04637623723532673
0.1,0_500ms,ALL,ALL,p,slow,42,0.1599675520018184,0.5533469980029522,0.5311204737411352,0.025784931660129073,0.047569768646343345
0.1,0_500ms,ALL,ALL,q,fast,17,0.1700906354253967,0.4412940202577503,0.4128840774582238,0.028996829951701657,0.00920715314314415
0.1,0_500ms,ALL,ALL,q,fast,23,0.17717542455703383,0.4412940202577503,0.40548899624948076,0.03147247828937849,0.0099813234811106
0.1,0_500ms,ALL,ALL,q,fast,42,0.16540980512920103,0.4412940202577503,0.41265988112833657,0.02740506946437024,0.008873582588981873
0.1,0_500ms,ALL,ALL,q,raw,17,0.22235036602254743,0.7344042189487587,0.6991795307608807,0.04956555848252327,0.00920715314314415
0.1,0_500ms,ALL,ALL,q,raw,23,0.2320008115495586,0.7344042189487587,0.693432099173762,0.05405230464410574,0.0099813234811106
0.1,0_500ms,ALL,ALL,q,raw,42,0.21855392004246937,0.7344042189487587,0.7012908450952268,0.04790137551753913,0.008873582588981873
0.1,0_500ms,ALL,ALL,q,slow,17,0.10603505304645638,0.4915607244355725,0.47436756100943606,0.011361575387677457,0.00920715314314415
0.1,0_500ms,ALL,ALL,q,slow,23,0.11142947948245185,0.4915607244355725,0.4746657062284257,0.012598502873616645,0.0099813234811106
0.1,0_500ms,ALL,ALL,q,slow,42,0.10717163297661414,0.4915607244355725,0.47822688282828346,0.011622723464187022,0.008873582588981873
0.1,0_500ms,ALL,ALL,r,fast,17,0.08571120022011203,0.09562163437899213,0.07010891058270521,0.007412074216607597,0.003944251690637829
0.1,0_500ms,ALL,ALL,r,fast,23,0.08477451452280924,0.09562163437899213,0.06931757275599781,0.0072401942017423955,0.00389721016495623
0.1,0_500ms,ALL,ALL,r,fast,42,0.08412293647960395,0.09562163437899213,0.06811866809069803,0.007130068876271379,0.0038049829450682573
0.1,0_500ms,ALL,ALL,r,raw,17,0.1391496089651216,0.22253362623412204,0.19280353977616455,0.019566402891709012,0.003944251690637829
0.1,0_500ms,ALL,ALL,r,raw,23,0.13880950757706362,0.22253362623412204,0.19072756313607844,0.019459489105238745,0.00389721016495623
0.1,0_500ms,ALL,ALL,r,raw,42,0.13704523325456267,0.22253362623412204,0.18949207414203517,0.019000953197986042,0.0038049829450682573
0.1,0_500ms,ALL,ALL,r,slow,17,0.08986194613292656,0.1660522211601051,0.14864607615732045,0.008210076984463587,0.003944251690637829
0.1,0_500ms,ALL,ALL,r,slow,23,0.09058076286809046,0.1660522211601051,0.14741909477983528,0.008322084738540122,0.00389721016495623
0.1,0_500ms,ALL,ALL,r,slow,42,0.08884400506077322,0.1660522211601051,0.14648485788275475,0.008065901376646407,0.0038049829450682573
0.1,0_500ms,ALL,Sep17,p,fast,17,0.39592927048933735,0.46614533985592976,0.3173739421873292,0.15744305480528809,0.04242182038845084
0.1,0_500ms,ALL,Sep17,p,fast,23,0.38784968600633507,0.46614533985592976,0.31757650071454563,0.15107764115613476,0.04050386949445268
0.1,0_500ms,ALL,Sep17,p,fast,42,0.39146167799821974,0.46614533985592976,0.3251773805896657,0.15409975150610952,0.04188828984221713
0.1,0_500ms,ALL,Sep17,p,raw,17,0.47472263132175074,0.7714719533665048,0.6490667308879691,0.226341913618974,0.04242182038845084
0.1,0_500ms,ALL,Sep17,p,raw,23,0.4646047162716556,0.7714719533665048,0.6501868965680271,0.21679458357849832,0.04050386949445268
0.1,0_500ms,ALL,Sep17,p,raw,42,0.4716035963126672,0.7714719533665048,0.6552510007171521,0.2235607096753742,0.04188828984221713
0.1,0_500ms,ALL,Sep17,p,slow,17,0.16219718866917612,0.5143167121556488,0.48739526336078237,0.026477038425235067,0.04242182038845084
0.1,0_500ms,ALL,Sep17,p,slow,23,0.15830131906307351,0.5143167121556488,0.4891533036933498,0.025213072927910914,0.04050386949445268
0.1,0_500ms,ALL,Sep17,p,slow,42,0.1656949782391262,0.5143167121556488,0.4890029808337034,0.027572668327047526,0.04188828984221713
0.1,0_500ms,ALL,Sep17,q,fast,17,0.16822349888956392,0.47856136827686435,0.42806726669205736,0.028350155963301742,0.009407165530463335
0.1,0_500ms,ALL,Sep17,q,fast,23,0.18231360681779415,0.47856136827686435,0.41749980265183967,0.03332174144029567,0.010889050711503348
0.1,0_500ms,ALL,Sep17,q,fast,42,0.16680522278434234,0.47856136827686435,0.43052212083159036,0.027881266497692507,0.009415713771896601
0.1,0_500ms,ALL,Sep17,q,raw,17,0.22509295449167807,0.8065568456235903,0.7474220074259186,0.05077196576438299,0.009407165530463335
0.1,0_500ms,ALL,Sep17,q,raw,23,0.24336727799324198,0.8065568456235903,0.7386438706282377,0.059375302942017476,0.010889050711503348
0.1,0_500ms,ALL,Sep17,q,raw,42,0.22493992423223771,0.8065568456235903,0.7505492717791198,0.050717719239788545,0.009415713771896601
0.1,0_500ms,ALL,Sep17,q,slow,17,0.11373212453337098,0.5468366236503283,0.5191964254636477,0.013014644270617916,0.009407165530463335
0.1,0_500ms,ALL,Sep17,q,slow,23,0.12284231925081417,0.5468366236503283,0.518282970844641,0.015164510790218452,0.010889050711503348
0.1,0_500ms,ALL,Sep17,q,slow,42,0.11548806527467545,0.5468366236503283,0.5220739134127969,0.013420738970199433,0.009415713771896601
0.1,0_500ms,ALL,Sep17,r,fast,17,0.08541839290206747,0.1064491348989135,0.0756150091563837,0.007309621520710545,0.0044209761212474835
0.1,0_500ms,ALL,Sep17,r,fast,23,0.08548407591757932,0.1064491348989135,0.0759899090074531,0.007324755081188112,0.004250396577423682
0.1,0_500ms,ALL,Sep17,r,fast,42,0.08438655751834348,0.1064491348989135,0.0744125910069371,0.007136511614354477,0.004371184618819809
0.1,0_500ms,ALL,Sep17,r,raw,17,0.1457683417143118,0.2652480913943733,0.22327859384737794,0.021267418099273266,0.0044209761212474835
0.1,0_500ms,ALL,Sep17,r,raw,23,0.14471897754497556,0.2652480913943733,0.2218566650480944,0.020986868098825967,0.004250396577423682
0.1,0_500ms,ALL,Sep17,r,raw,42,0.14562654871558234,0.2652480913943733,0.2208425838641525,0.02122836248649762,0.004371184618819809
0.1,0_500ms,ALL,Sep17,r,slow,17,0.09760402686006103,0.20145845172650698,0.17314836569307898,0.00953682045731524,0.0044209761212474835
0.1,0_500ms,ALL,Sep17,r,slow,23,0.0968954063248762,0.20145845172650698,0.17236654452407382,0.009411716440214173,0.004250396577423682
0.1,0_500ms,ALL,Sep17,r,slow,42,0.0984912548452103,0.20145845172650698,0.1716493996832198,0.009720666253323336,0.004371184618819809
0.1,0_500ms,ALL,Sep7,p,fast,17,0.44929385151705376,0.5501650520450944,0.34151310110291794,0.20190816621406318,0.051822709406050244
0.1,0_500ms,ALL,Sep7,p,fast,23,0.4494858806639283,0.5501650520450944,0.3402217880985116,0.20211768804797442,0.051596119671659224
0.1,0_500ms,ALL,Sep7,p,fast,42,0.45268839478830525,0.5501650520450944,0.3510823518176788,0.2050486465370114,0.05261997202778887
0.1,0_500ms,ALL,Sep7,p,raw,17,0.5266672632747338,0.895106021059233,0.7358797091542857,0.2774805276946613,0.051822709406050244
0.1,0_500ms,ALL,Sep7,p,raw,23,0.5262453383457069,0.895106021059233,0.7351874956192679,0.2771144282405253,0.051596119671659224
0.1,0_500ms,ALL,Sep7,p,raw,42,0.5306622158223112,0.895106021059233,0.7466829722043071,0.28186445096544627,0.05261997202778887
0.1,0_500ms,ALL,Sep7,p,slow,17,0.1536419528670915,0.5880405854227775,0.5628775821931549,0.02374965207454789,0.051822709406050244
0.1,0_500ms,ALL,Sep7,p,slow,23,0.1523726761561963,0.5880405854227775,0.5636675137720674,0.023400620520891625,0.051596119671659224
0.1,0_500ms,ALL,Sep7,p,slow,42,0.15487650645754478,0.5880405854227775,0.5685582452144078,0.024195832400646003,0.05261997202778887
0.1,0_500ms,ALL,Sep7,q,fast,17,0.17175031234613697,0.4081674886852044,0.3993879092503717,0.0295716512747238,0.009029364354415988
0.1,0_500ms,ALL,Sep7,q,fast,23,0.17260815143635796,0.4081674886852044,0.3948127238918284,0.02982868882189655,0.009174454831872602
0.1,0_500ms,ALL,Sep7,q,fast,42,0.16416943388018654,0.4081674886852044,0.39678233472544433,0.026981783212528226,0.008391688204168782
0.1,0_500ms,ALL,Sep7,q,raw,17,0.2199125096055424,0.6702685507933528,0.6562973292808473,0.04849319645420351,0.009029364354415988
0.1,0_500ms,ALL,Sep7,q,raw,23,0.22189728582183998,0.6702685507933528,0.6532438578808948,0.04932075060151753,0.009174454831872602
0.1,0_500ms,ALL,Sep7,q,raw,42,0.21287747187378642,0.6702685507933528,0.6575055769317663,0.045397958875539664,0.008391688204168782
0.1,0_500ms,ALL,Sep7,q,slow,17,0.09919321172475454,0.44242659180023414,0.43451968149458126,0.009892180825063717,0.009029364354415988
0.1,0_500ms,ALL,Sep7,q,slow,23,0.10128473302168536,0.44242659180023414,0.4358948043473454,0.010317606947748373,0.009174454831872602
0.1,0_500ms,ALL,Sep7,q,slow,42,0.09977924871167075,0.44242659180023414,0.4392517445309383,0.010024487458842657,0.008391688204168782
0.1,0_500ms,ALL,Sep7,r,fast,17,0.08597147339170717,0.08599718947239536,0.06521460073943547,0.0075031432796271984,0.003520496641207025
0.1,0_500ms,ALL,Sep7,r,fast,23,0.0841437932830136,0.08599718947239536,0.06338660719914867,0.007165028975568425,0.003583266687207383
