tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,ALL,ALL,r,fast,17,0.06380061042072127,0.06673361433442694,0.04407476290640164,0.004107845583806749,0.003422717684371742
0.05,0_500ms,ALL,ALL,r,fast,23,0.06310309446115878,0.06673361433442694,0.043746317951633515,0.004010926740405895,0.003350494556325222
0.05,0_500ms,ALL,ALL,r,fast,42,0.0626733250300197,0.06673361433442694,0.04280865078711293,0.003959502433477038,0.003286550284328027
0.05,0_500ms,ALL,ALL,r,raw,17,0.1391496089651216,0.22253362623412204,0.19280353977616455,0.019566402891709012,0.003422717684371742
0.05,0_500ms,ALL,ALL,r,raw,23,0.13880950757706362,0.22253362623412204,0.19072756313607844,0.019459489105238745,0.003350494556325222
0.05,0_500ms,ALL,ALL,r,raw,42,0.13704523325456267,0.22253362623412204,0.18949207414203517,0.019000953197986042,0.003286550284328027
0.05,0_500ms,ALL,ALL,r,slow,17,0.108874385160707,0.1926404440194401,0.1718562311465654,0.01203583962353052,0.003422717684371742
0.05,0_500ms,ALL,ALL,r,slow,23,0.10924963933313173,0.1926404440194401,0.170183729459025,0.01209806780850763,0.003350494556325222
0.05,0_500ms,ALL,ALL,r,slow,42,0.10737237431936561,0.1926404440194401,0.1691072435265791,0.011754900480180977,0.003286550284328027
0.05,0_500ms,ALL,Sep17,p,fast,17,0.33190773888457487,0.36372113712936566,0.2292751926958015,0.11065732281635626,0.06185117059706499
0.05,0_500ms,ALL,Sep17,p,fast,23,0.3246745565393441,0.36372113712936566,0.2288671811091692,0.10588850985365028,0.05906410889000162
0.05,0_500ms,ALL,Sep17,p,fast,42,0.3277163087275488,0.36372113712936566,0.23480854414663935,0.10802379066649312,0.06053705148007974
0.05,0_500ms,ALL,Sep17,p,raw,17,0.47472263132175074,0.7714719533665048,0.6490667308879691,0.226341913618974,0.06185117059706499
0.05,0_500ms,ALL,Sep17,p,raw,23,0.4646047162716556,0.7714719533665048,0.6501868965680271,0.21679458357849832,0.05906410889000162
0.05,0_500ms,ALL,Sep17,p,raw,42,0.4716035963126672,0.7714719533665048,0.6552510007171521,0.2235607096753742,0.06053705148007974
0.05,0_500ms,ALL,Sep17,p,slow,17,0.2313939540730654,0.6018534090859581,0.5585639666956371,0.05383342020555275,0.06185117059706499
0.05,0_500ms,ALL,Sep17,p,slow,23,0.2270960933182838,0.6018534090859581,0.5603532551605577,0.05184196483484643,0.05906410889000162
0.05,0_500ms,ALL,Sep17,p,slow,42,0.233996148253741,0.6018534090859581,0.5620412717659495,0.054999867528801316,0.06053705148007974
0.05,0_500ms,ALL,Sep17,q,fast,17,0.13217073038164273,0.3690109691818964,0.3277939279755391,0.017502880184149524,0.01094637648608933
0.05,0_500ms,ALL,Sep17,q,fast,23,0.1430755697190333,0.3690109691818964,0.31999622359075036,0.020523984579192602,0.012799953092089401
0.05,0_500ms,ALL,Sep17,q,fast,42,0.1304939423510692,0.3690109691818964,0.3296325416047869,0.017065553280254966,0.010806595582322737
0.05,0_500ms,ALL,Sep17,q,raw,17,0.22509295449167807,0.8065568456235903,0.7474220074259186,0.05077196576438299,0.01094637648608933
0.05,0_500ms,ALL,Sep17,q,raw,23,0.24336727799324198,0.8065568456235903,0.7386438706282377,0.059375302942017476,0.012799953092089401
0.05,0_500ms,ALL,Sep17,q,raw,42,0.22493992423223771,0.8065568456235903,0.7505492717791198,0.050717719239788545,0.010806595582322737
0.05,0_500ms,ALL,Sep17,q,slow,17,0.1490883406858132,0.6401405515161429,0.6036895441345252,0.02232270909414414,0.01094637648608933
0.05,0_500ms,ALL,Sep17,q,slow,23,0.16109457812589753,0.6401405515161429,0.6000217622243981,0.02605136527073547,0.012799953092089401
0.05,0_500ms,ALL,Sep17,q,slow,42,0.1508051801927798,0.6401405515161429,0.6065182187051857,0.022845570377210838,0.010806595582322737
0.05,0_500ms,ALL,Sep17,r,fast,17,0.06205779278592378,0.07102059158943282,0.04579850698980849,0.003861031001784641,0.0035880979739725564
0.05,0_500ms,ALL,Sep17,r,fast,23,0.06215179405450122,0.07102059158943282,0.046540783199078006,0.003874710139332535,0.0034929871070255337
0.05,0_500ms,ALL,Sep17,r,fast,42,0.060959331631306415,0.07102059158943282,0.04518524931341609,0.0037285585479807527,0.0034876466786113586
0.05,0_500ms,ALL,Sep17,r,raw,17,0.1457683417143118,0.2652480913943733,0.22327859384737794,0.021267418099273266,0.0035880979739725564
0.05,0_500ms,ALL,Sep17,r,raw,23,0.14471897754497556,0.2652480913943733,0.2218566650480944,0.020986868098825967,0.0034929871070255337
0.05,0_500ms,ALL,Sep17,r,raw,42,0.14562654871558234,0.2652480913943733,0.2208425838641525,0.02122836248649762,0.0034876466786113586
0.05,0_500ms,ALL,Sep17,r,slow,17,0.11749627644507882,0.2333499652524395,0.19995696535438015,0.013818289123516072,0.0035880979739725564
0.05,0_500ms,ALL,Sep17,r,slow,23,0.11657985541175296,0.2333499652524395,0.19877500472131335,0.013619170852467898,0.0034929871070255337
0.05,0_500ms,ALL,Sep17,r,slow,42,0.11828782456204784,0.2333499652524395,0.19796270128354948,0.014012157259905508,0.0034876466786113586
0.05,0_500ms,ALL,Sep7,p,fast,17,0.3804328094192326,0.4379996186167244,0.2440803921165743,0.14475817745729092,0.07918693031545163
0.05,0_500ms,ALL,Sep7,p,fast,23,0.3808713077217361,0.4379996186167244,0.2423253923227698,0.14510871126427027,0.07907414535501596
0.05,0_500ms,ALL,Sep7,p,fast,42,0.38316858191807757,0.4379996186167244,0.2500993462826029,0.1468828971309333,0.08038338015451256
0.05,0_500ms,ALL,Sep7,p,raw,17,0.5266672632747338,0.895106021059233,0.7358797091542857,0.2774805276946613,0.07918693031545163
