partition,channel,subset,flight_id,cohort,n_origins,positive,negative,zero,one_direction
train,drive,predominant,9.11数据/log_13_2026-9-11-18-28-08.ulg,train,3,0,3,0,3
train,drive,predominant,9.11数据/log_14_2026-9-11-18-34-58.ulg,train,42,20,22,0,41
train,drive,predominant,9.11数据/log_15_2026-9-11-18-40-48.ulg,train,12,7,5,0,10
train,drive,predominant,9.12数据/log_10_2026-9-12-06-13-40.ulg,train,45,20,25,0,43
train,drive,predominant,9.12数据/log_11_2026-9-12-06-21-12.ulg,train,58,28,30,0,55
train,drive,predominant,9.12数据/log_12_2026-9-12-06-29-44.ulg,train,67,31,36,0,64
train,drive,predominant,9.12数据/log_2_2026-9-12-18-32-54.ulg,train,54,21,33,0,51
train,drive,predominant,9.12数据/log_3_2026-9-12-18-40-02.ulg,train,108,55,53,0,106
train,drive,predominant,9.12数据/log_7_2026-9-12-05-49-02.ulg,train,54,24,30,0,50
train,drive,predominant,9.12数据/log_8_2026-9-12-05-55-30.ulg,train,79,39,40,0,77
train,drive,predominant,9.12数据/log_9_2026-9-12-06-03-32.ulg,train,102,63,39,0,100
train,drive,predominant,9.13数据/log_1_2026-9-13-06-11-06.ulg,train,55,24,31,0,51
train,drive,predominant,9.13数据/log_2_2026-9-13-06-20-06.ulg,train,51,24,27,0,49
train,drive,predominant,9.13数据/log_3_2026-9-13-06-31-26.ulg,train,76,38,38,0,76
train,drive,predominant,9.13数据/log_4_2026-9-13-06-36-26.ulg,train,68,40,28,0,68
train,drive,predominant,9.13数据/log_5_2026-9-13-06-42-40.ulg,train,102,52,50,0,98
train,drive,predominant,9.13数据/log_7_2026-9-13-18-12-52.ulg,train,45,23,22,0,40
train,drive,predominant,9.14数据/log_11_2026-9-14-18-13-22.ulg,train,117,55,62,0,114
train,drive,predominant,9.14数据/log_12_2026-9-14-18-20-30.ulg,train,97,43,54,0,96
train,drive,predominant,9.14数据/log_13_2026-9-14-18-28-32.ulg,train,87,42,45,0,81
train,drive,predominant,9.14数据/log_14_2026-9-14-18-34-22.ulg,train,86,41,45,0,85
train,drive,predominant,9.15数据/log_10_2026-9-15-17-44-04.ulg,train,66,27,39,0,66
train,drive,predominant,9.15数据/log_11_2026-9-15-17-51-56.ulg,train,62,26,36,0,61
train,drive,predominant,9.15数据/log_12_2026-9-15-18-03-58.ulg,train,107,49,58,0,103
train,drive,predominant,9.15数据/log_13_2026-9-15-18-10-58.ulg,train,127,64,63,0,123
train,drive,predominant,9.15数据/log_14_2026-9-15-18-17-26.ulg,train,99,44,55,0,96
train,drive,predominant,9.15数据/log_15_2026-9-15-18-23-44.ulg,train,138,58,80,0,137
train,drive,predominant,9.16数据/log_1_2026-9-16-18-02-34.ulg,train,100,53,47,0,96
train,drive,predominant,9.16数据/log_2_2026-9-16-18-08-46.ulg,train,143,64,79,0,141
train,drive,predominant,9.16数据/log_3_2026-9-16-18-13-58.ulg,train,87,39,48,0,86
train,drive,predominant,9.16数据/log_4_2026-9-16-18-20-50.ulg,train,136,56,80,0,129
train,drive,predominant,9.16数据/log_5_2026-9-16-18-26-48.ulg,train,135,56,79,0,133
train,drive,predominant,9.18数据/log_0_2026-9-18-18-15-06.ulg,train,113,47,66,0,110
train,drive,predominant,9.18数据/log_1_2026-9-18-18-23-36.ulg,train,87,38,49,0,83
train,drive,predominant,9.18数据/log_2_2026-9-18-18-29-40.ulg,train,97,39,58,0,96
train,common,high,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train,156,84,72,0,116
train,common,high,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train,114,55,59,0,83
train,common,high,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train,129,75,54,0,96
train,common,high,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train,87,42,45,0,60
train,common,high,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train,199,98,101,0,139
train,common,high,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train,209,112,97,0,149
train,common,high,9.11数据/log_13_2026-9-11-18-28-08.ulg,train,182,95,87,0,120
train,common,high,9.11数据/log_14_2026-9-11-18-34-58.ulg,train,207,106,101,0,153
train,common,high,9.11数据/log_15_2026-9-11-18-40-48.ulg,train,173,91,82,0,104
train,common,high,9.12数据/log_10_2026-9-12-06-13-40.ulg,train,210,113,97,0,153
train,common,high,9.12数据/log_11_2026-9-12-06-21-12.ulg,train,206,115,91,0,160
train,common,high,9.12数据/log_12_2026-9-12-06-29-44.ulg,train,191,103,88,0,147
train,common,high,9.12数据/log_2_2026-9-12-18-32-54.ulg,train,151,90,61,0,115
train,common,high,9.12数据/log_3_2026-9-12-18-40-02.ulg,train,194,104,90,0,158
train,common,high,9.12数据/log_7_2026-9-12-05-49-02.ulg,train,181,101,80,0,131
train,common,high,9.12数据/log_8_2026-9-12-05-55-30.ulg,train,237,137,100,0,156
train,common,high,9.12数据/log_9_2026-9-12-06-03-32.ulg,train,322,174,148,0,234
train,common,high,9.13数据/log_1_2026-9-13-06-11-06.ulg,train,121,81,40,0,104
train,common,high,9.13数据/log_2_2026-9-13-06-20-06.ulg,train,148,90,58,0,127
train,common,high,9.13数据/log_3_2026-9-13-06-31-26.ulg,train,162,93,69,0,123
train,common,high,9.13数据/log_4_2026-9-13-06-36-26.ulg,train,116,76,40,0,91
train,common,high,9.13数据/log_5_2026-9-13-06-42-40.ulg,train,158,87,71,0,124
train,common,high,9.13数据/log_7_2026-9-13-18-12-52.ulg,train,126,62,64,0,91
train,common,high,9.14数据/log_11_2026-9-14-18-13-22.ulg,train,210,114,96,0,157
train,common,high,9.14数据/log_12_2026-9-14-18-20-30.ulg,train,214,118,96,0,168
train,common,high,9.14数据/log_13_2026-9-14-18-28-32.ulg,train,218,114,104,0,174
train,common,high,9.14数据/log_14_2026-9-14-18-34-22.ulg,train,119,64,55,0,83
train,common,high,9.15数据/log_10_2026-9-15-17-44-04.ulg,train,310,158,152,0,147
train,common,high,9.15数据/log_11_2026-9-15-17-51-56.ulg,train,145,78,67,0,97
train,common,high,9.15数据/log_12_2026-9-15-18-03-58.ulg,train,165,79,86,0,115
train,common,high,9.15数据/log_13_2026-9-15-18-10-58.ulg,train,117,71,46,0,86
train,common,high,9.15数据/log_14_2026-9-15-18-17-26.ulg,train,151,86,65,0,112
train,common,high,9.15数据/log_15_2026-9-15-18-23-44.ulg,train,166,94,72,0,124
train,common,high,9.16数据/log_1_2026-9-16-18-02-34.ulg,train,139,76,63,0,107
train,common,high,9.16数据/log_2_2026-9-16-18-08-46.ulg,train,150,81,69,0,111
train,common,high,9.16数据/log_3_2026-9-16-18-13-58.ulg,train,114,68,46,0,84
train,common,high,9.16数据/log_4_2026-9-16-18-20-50.ulg,train,145,84,61,0,106
train,common,high,9.16数据/log_5_2026-9-16-18-26-48.ulg,train,107,63,44,0,86
train,common,high,9.18数据/log_0_2026-9-18-18-15-06.ulg,train,192,104,88,0,138
train,common,high,9.18数据/log_1_2026-9-18-18-23-36.ulg,train,226,114,112,0,157
train,common,high,9.18数据/log_2_2026-9-18-18-29-40.ulg,train,207,109,98,0,150
train,common,isolated,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train,13,5,8,0,10
train,common,isolated,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train,5,2,3,0,3
train,common,isolated,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train,1,0,1,0,1
train,common,isolated,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train,2,0,2,0,2
train,common,isolated,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train,2,1,1,0,0
train,common,isolated,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train,5,2,3,0,4
train,common,isolated,9.11数据/log_13_2026-9-11-18-28-08.ulg,train,2,2,0,0,2
train,common,isolated,9.11数据/log_14_2026-9-11-18-34-58.ulg,train,4,4,0,0,3
train,common,isolated,9.11数据/log_15_2026-9-11-18-40-48.ulg,train,0,0,0,0,0
train,common,isolated,9.12数据/log_10_2026-9-12-06-13-40.ulg,train,3,1,2,0,2
train,common,isolated,9.12数据/log_11_2026-9-12-06-21-12.ulg,train,0,0,0,0,0
train,common,isolated,9.12数据/log_12_2026-9-12-06-29-44.ulg,train,3,2,1,0,3
train,common,isolated,9.12数据/log_2_2026-9-12-18-32-54.ulg,train,4,3,1,0,3
train,common,isolated,9.12数据/log_3_2026-9-12-18-40-02.ulg,train,1,1,0,0,1
train,common,isolated,9.12数据/log_7_2026-9-12-05-49-02.ulg,train,1,1,0,0,1
train,common,isolated,9.12数据/log_8_2026-9-12-05-55-30.ulg,train,1,1,0,0,1
