contract,trained_target,evaluation_target,signal,baseline_rmse,candidate_rmse,change_pct,ci95_low,ci95_high,improved_flights,oracle_not_deployable
P1,D0_raw,increment2,az_n,3.3774977556414365,3.408586654882762,0.9204713515915008,-0.8582972176128467,2.7329209223182938,2,False
P2,D0_raw,increment2,az_n,3.3774977556414365,3.053253128888546,-9.600143366825476,-10.57423911733414,-8.809721843025297,5,False
P_oracle,D0_raw,increment2,az_n,3.3774977556414365,2.7297192656135643,-19.179242649262683,-21.26837976954613,-16.69764312436518,5,True
P1,D0_raw,increment2,linear,4.9326596552206565,4.976541828700125,0.889625000440164,-0.14588951381725446,1.8660298978995904,2,False
P2,D0_raw,increment2,linear,4.9326596552206565,4.739716312000848,-3.9115478607083753,-4.621970591920108,-3.12677181414337,5,False
P_oracle,D0_raw,increment2,linear,4.9326596552206565,4.50502220778299,-8.669510514171819,-10.174420436554655,-7.432321426990274,5,True
P1,D0_raw,increment2,q_dot,10.282070674226174,10.507788230097812,2.1952538843896363,0.836933413304064,3.5029465581869923,0,False
P2,D0_raw,increment2,q_dot,10.282070674226174,10.541461300457385,2.522746968481937,0.31772740378723796,4.255931349560793,1,False
P_oracle,D0_raw,increment2,q_dot,10.282070674226174,10.105223726652708,-1.7199546003585087,-4.570182661474931,0.6824604617654773,3,True
P1,D0_raw,increment2_state,angular,0.7268057544167361,0.7510745117968243,3.3390981335259085,2.6474398392546394,4.114990803710117,0,False
P2,D0_raw,increment2_state,angular,0.7268057544167361,0.7937521347421858,9.211041591047152,7.187304271095196,10.997679214709155,0,False
P_oracle,D0_raw,increment2_state,angular,0.7268057544167361,0.7758697994599412,6.750640696643773,4.644166285201323,8.580497329822556,0,True
P1,D0_raw,increment2_state,delta_q_2,0.4171169508797594,0.4254758228885128,2.003963634449124,0.6628096982389975,3.3519880139724956,1,False
P2,D0_raw,increment2_state,delta_q_2,0.4171169508797594,0.42717138280429745,2.410458722267661,0.2409655502629171,4.1381945982846835,1,False
P_oracle,D0_raw,increment2_state,delta_q_2,0.4171169508797594,0.4098571679780152,-1.740467004860935,-4.546260901868493,0.6252197136559223,3,True
P1,D0_raw,increment2_state,delta_vz_2,0.136454067684338,0.1372233666205826,0.5637786760774643,-1.190569762659155,2.346361176553402,2,False
P2,D0_raw,increment2_state,delta_vz_2,0.136454067684338,0.12311097084988235,-9.778452970213024,-10.755562999625498,-8.98182698364618,5,False
P_oracle,D0_raw,increment2_state,delta_vz_2,0.136454067684338,0.11018388586613943,-19.252032763852746,-21.327727496693825,-16.840693613293123,5,True
P1,D0_raw,increment2_state,linear,0.1986235702235385,0.20002095639575007,0.7035349181564454,-0.3629945363211151,1.6765378133594133,2,False
P2,D0_raw,increment2_state,linear,0.1986235702235385,0.1906784241042347,-4.000102359635383,-4.720495850239425,-3.1975999022089363,5,False
P_oracle,D0_raw,increment2_state,linear,0.1986235702235385,0.1812734560548211,-8.735173851316302,-10.240986715834122,-7.46241157228239,5,True
P1,increment2,D0_raw,angular,24.177207691464968,24.299210865400546,0.5046206141441578,-0.5178978741479212,1.5258034944392262,2,False
P2,increment2,D0_raw,angular,24.177207691464968,23.91750400713801,-1.0741674044461247,-1.297194443739691,-0.8316917575731941,5,False
P_oracle,increment2,D0_raw,angular,24.177207691464968,24.22628783780096,0.20300171534415323,-0.09932294098529137,0.5068296797890559,1,True
P1,increment2,D0_raw,az_n,3.039244636363507,3.2181095840428275,5.885177703014222,4.184110558192344,7.304887010734418,0,False
P2,increment2,D0_raw,az_n,3.039244636363507,3.1246743722434833,2.810887115102201,1.6321076625397835,3.8294554120259283,0,False
P_oracle,increment2,D0_raw,az_n,3.039244636363507,3.334237087260502,9.706110767376618,7.917013283243857,11.449266783404566,0,True
P1,increment2,D0_raw,linear,4.774577552697913,4.911136964416501,2.8601360059891334,2.3706584455838176,3.2383127534434397,0,False
P2,increment2,D0_raw,linear,4.774577552697913,4.875498776466908,2.113720484275494,1.3328889353952933,2.7578153381780246,0,False
P_oracle,increment2,D0_raw,linear,4.774577552697913,5.005176856497235,4.829732081093141,3.9254793230337315,5.636401603843022,0,True
P1,increment2,D0_raw,q_dot,13.065424388674533,13.085691123602553,0.15511731058339695,-1.2285310404934968,1.2802370320761591,1,False
P2,increment2,D0_raw,q_dot,13.065424388674533,12.50178887657169,-4.313947219283731,-4.789947527752879,-3.899092229167922,5,False
P_oracle,increment2,D0_raw,q_dot,13.065424388674533,13.052188689849824,-0.10130324458638151,-1.0644805900719034,0.9733085999268587,3,True
P1,increment2,increment2,angular,14.493104534442413,14.730193253017926,1.635872548991002,0.3765906998737245,2.8773162317654366,1,False
P2,increment2,increment2,angular,14.493104534442413,14.330501767800905,-1.1219319246272397,-2.270548812339823,-0.12300622964891428,4,False
P_oracle,increment2,increment2,angular,14.493104534442413,14.436021846017265,-0.39386101362542947,-1.4610657475058186,0.6458320704899578,3,True
P1,increment2,increment2,az_n,1.9834267840847228,2.116568670533501,6.712720001420092,2.978070560457624,10.400351435572563,0,False
P2,increment2,increment2,az_n,1.9834267840847228,1.7536231321240372,-11.586192835786047,-12.905059450441547,-9.983065317090833,5,False
P_oracle,increment2,increment2,az_n,1.9834267840847228,1.7597875909998,-11.275394427434026,-12.73544438742038,-9.610089694348623,5,True
P1,increment2,increment2,linear,3.9039226716345103,4.00153554566411,2.500379291291921,1.3227506346289886,3.4803172740862642,0,False
P2,increment2,increment2,linear,3.9039226716345103,3.8358434784341924,-1.7438663346222016,-2.8787581428479037,-0.6868853804392061,5,False
P_oracle,increment2,increment2,linear,3.9039226716345103,3.816362568932246,-2.2428749252250024,-3.7373938939716633,-0.9146997457020523,5,True
P1,increment2,increment2,q_dot,6.569255514872867,6.94978061874802,5.792514890213041,1.8252985132097388,8.492492628182525,1,False
P2,increment2,increment2,q_dot,6.569255514872867,6.250788997615844,-4.847832703964872,-5.778744365399113,-3.9379472301254825,5,False
P_oracle,increment2,increment2,q_dot,6.569255514872867,6.45614951842833,-1.7217475585850406,-2.626592616255141,-0.9183912027991514,5,True
P1,increment2,increment2_state,angular,0.5761583440269148,0.5862124477874545,1.745024412953744,0.5105771944286186,2.960285454202436,0,False
P2,increment2,increment2_state,angular,0.5761583440269148,0.570173281362006,-1.0387878136204232,-2.1972045122851114,-0.025158198541430643,4,False
P_oracle,increment2,increment2_state,angular,0.5761583440269148,0.5743270692702469,-0.31784226951719896,-1.373116132398844,0.7206221017780123,3,True
P1,increment2,increment2_state,delta_q_2,0.2612024971322244,0.2771243391924153,6.095593355729312,2.1253450674891816,8.832249737472964,1,False
P2,increment2,increment2_state,delta_q_2,0.2612024971322244,0.24943525295138175,-4.5050274442383635,-5.457686809124651,-3.6138453847217034,5,False
P_oracle,increment2,increment2_state,delta_q_2,0.2612024971322244,0.25737155697480074,-1.4666552576962366,-2.4102992996020367,-0.6254652972506047,5,True
P1,increment2,increment2_state,delta_vz_2,0.07965382393088256,0.08480254279088023,6.463869034668468,2.7035876031788586,10.182275450353284,0,False
P2,increment2,increment2_state,delta_vz_2,0.07965382393088256,0.0701605127802272,-11.9182114331296,-13.283228384867485,-10.256717243662871,5,False
P_oracle,increment2,increment2_state,delta_vz_2,0.07965382393088256,0.07033561080005055,-11.698387686845567,-13.178083199471791,-9.975401186899735,5,True
P1,increment2,increment2_state,linear,0.1566636884263612,0.16047456093835893,2.43251805844531,1.2573117037128823,3.4076006617423715,0,False
P2,increment2,increment2_state,linear,0.1566636884263612,0.15381623638095301,-1.8175571340174335,-2.9683517884406374,-0.762607028194795,5,False
P_oracle,increment2,increment2_state,linear,0.1566636884263612,0.15299494614868295,-2.3417949076327993,-3.866101434986824,-0.9907813207048588,5,True
