contract,seed,trained_target,evaluation_target,signal,change_pct
P_oracle,416,D0_raw,D0_raw,q_dot,-2.9576368430729083
P_oracle,417,D0_raw,D0_raw,q_dot,-1.9277481970577104
P1,415,D0_raw,increment2,angular,4.898079119850474
P1,416,D0_raw,increment2,angular,-0.6393938074347405
P1,417,D0_raw,increment2,angular,5.6251757491091015
P2,415,D0_raw,increment2,angular,13.107119264352196
P2,416,D0_raw,increment2,angular,6.738058787014478
P2,417,D0_raw,increment2,angular,7.519092061929689
P_oracle,415,D0_raw,increment2,angular,9.328070489697925
P_oracle,416,D0_raw,increment2,angular,5.138193534734259
P_oracle,417,D0_raw,increment2,angular,5.501747331152118
P1,415,D0_raw,increment2,az_n,-1.591918700607775
P1,416,D0_raw,increment2,az_n,8.119296746196936
P1,417,D0_raw,increment2,az_n,-3.287838057971859
P2,415,D0_raw,increment2,az_n,-14.633633152704274
P2,416,D0_raw,increment2,az_n,-9.478250585032356
P2,417,D0_raw,increment2,az_n,-4.59837439279509
P_oracle,415,D0_raw,increment2,az_n,-21.816991408722096
P_oracle,416,D0_raw,increment2,az_n,-20.397008301478436
P_oracle,417,D0_raw,increment2,az_n,-15.354241914581678
P1,415,D0_raw,increment2,linear,-1.1153180830559495
P1,416,D0_raw,increment2,linear,4.03751476741443
P1,417,D0_raw,increment2,linear,-0.16407832872323835
P2,415,D0_raw,increment2,linear,-7.468567998830567
P2,416,D0_raw,increment2,linear,-3.545276715920298
P2,417,D0_raw,increment2,linear,-0.6704981419701661
P_oracle,415,D0_raw,increment2,linear,-11.15924661734946
P_oracle,416,D0_raw,increment2,linear,-8.11267055126308
P_oracle,417,D0_raw,increment2,linear,-6.695186360950767
P1,415,D0_raw,increment2,q_dot,-1.3280730755376613
P1,416,D0_raw,increment2,q_dot,3.866412180596046
P1,417,D0_raw,increment2,q_dot,4.260172903458526
P2,415,D0_raw,increment2,q_dot,1.4071326209330381
P2,416,D0_raw,increment2,q_dot,3.471150825032221
P2,417,D0_raw,increment2,q_dot,2.7908153378185085
P_oracle,415,D0_raw,increment2,q_dot,-3.325514322354839
P_oracle,416,D0_raw,increment2,q_dot,-0.22667257207567015
P_oracle,417,D0_raw,increment2,q_dot,-1.452270226544583
P1,415,D0_raw,increment2_state,angular,4.850446598365421
P1,416,D0_raw,increment2_state,angular,-0.5526324592908916
P1,417,D0_raw,increment2_state,angular,5.6127368397797195
P2,415,D0_raw,increment2_state,angular,13.137275560438177
P2,416,D0_raw,increment2_state,angular,6.92930839497341
P2,417,D0_raw,increment2_state,angular,7.509185598693868
P_oracle,415,D0_raw,increment2_state,angular,9.362569906419505
P_oracle,416,D0_raw,increment2_state,angular,5.348095815004528
P_oracle,417,D0_raw,increment2_state,angular,5.506342498793759
P1,415,D0_raw,increment2_state,delta_q_2,-1.218401437316552
P1,416,D0_raw,increment2_state,delta_q_2,3.481056108870506
P1,417,D0_raw,increment2_state,delta_q_2,3.9394711783131697
P2,415,D0_raw,increment2_state,delta_q_2,1.3021232565086693
P2,416,D0_raw,increment2_state,delta_q_2,3.4655716348409804
P2,417,D0_raw,increment2_state,delta_q_2,2.5736947040685187
P_oracle,415,D0_raw,increment2_state,delta_q_2,-3.320350657414084
P_oracle,416,D0_raw,increment2_state,delta_q_2,-0.17326165691331497
P_oracle,417,D0_raw,increment2_state,delta_q_2,-1.5658199968147768
P1,415,D0_raw,increment2_state,delta_vz_2,-1.981136305895148
P1,416,D0_raw,increment2_state,delta_vz_2,7.7850181972415555
P1,417,D0_raw,increment2_state,delta_vz_2,-3.6283683526729282
P2,415,D0_raw,increment2_state,delta_vz_2,-14.861255803708284
P2,416,D0_raw,increment2_state,delta_vz_2,-9.644870465244127
P2,417,D0_raw,increment2_state,delta_vz_2,-4.734062771431679
P_oracle,415,D0_raw,increment2_state,delta_vz_2,-21.954511221253203
P_oracle,416,D0_raw,increment2_state,delta_vz_2,-20.454492380809175
P_oracle,417,D0_raw,increment2_state,delta_vz_2,-15.37419607121685
P1,415,D0_raw,increment2_state,linear,-1.339178016812581
P1,416,D0_raw,increment2_state,linear,3.920180402252549
P1,417,D0_raw,increment2_state,linear,-0.3767221743873783
P2,415,D0_raw,increment2_state,linear,-7.60447612466969
P2,416,D0_raw,increment2_state,linear,-3.6020741415419444
P2,417,D0_raw,increment2_state,linear,-0.7404587347397795
P_oracle,415,D0_raw,increment2_state,linear,-11.274187201337183
P_oracle,416,D0_raw,increment2_state,linear,-8.15686989750548
P_oracle,417,D0_raw,increment2_state,linear,-6.73059807894748
P1,415,increment2,D0_raw,angular,-0.9422778513671903
P1,416,increment2,D0_raw,angular,2.318145151808859
P1,417,increment2,D0_raw,angular,0.1877451198374569
P2,415,increment2,D0_raw,angular,-1.1412817671312636
P2,416,increment2,D0_raw,angular,1.0119691739219006
P2,417,increment2,D0_raw,angular,-3.0278678488390054
P_oracle,415,increment2,D0_raw,angular,1.3739509276654793
P_oracle,416,increment2,D0_raw,angular,1.2012875915474508
P_oracle,417,increment2,D0_raw,angular,-1.9288794247006025
P1,415,increment2,D0_raw,az_n,2.4561104012642776
P1,416,increment2,D0_raw,az_n,10.220582908797503
P1,417,increment2,D0_raw,az_n,5.026741247640376
P2,415,increment2,D0_raw,az_n,2.3375196433354173
P2,416,increment2,D0_raw,az_n,5.129644777589726
P2,417,increment2,D0_raw,az_n,1.0652823172440096
P_oracle,415,increment2,D0_raw,az_n,9.576853176807631
P_oracle,416,increment2,D0_raw,az_n,11.004788983140411
P_oracle,417,increment2,D0_raw,az_n,8.599983083343998
P1,415,increment2,D0_raw,linear,2.246738669955284
P1,416,increment2,D0_raw,linear,3.199928840632138
P1,417,increment2,D0_raw,linear,3.1241463026758787
P2,415,increment2,D0_raw,linear,1.9724003259559586
P2,416,increment2,D0_raw,linear,2.6952883648342363
P2,417,increment2,D0_raw,linear,1.6768973789578423
P_oracle,415,increment2,D0_raw,linear,4.652808441835576
P_oracle,416,increment2,D0_raw,linear,5.316582913786272
P_oracle,417,increment2,D0_raw,linear,4.521391301660693
P1,415,increment2,D0_raw,q_dot,1.4604413246994907
P1,416,increment2,D0_raw,q_dot,-1.4604727829878428
P1,417,increment2,D0_raw,q_dot,0.44518898563714604
P2,415,increment2,D0_raw,q_dot,-1.7320626997180288
P2,416,increment2,D0_raw,q_dot,-5.364263118556234
P2,417,increment2,D0_raw,q_dot,-5.811188001488688
P_oracle,415,increment2,D0_raw,q_dot,2.9885286491409424
P_oracle,416,increment2,D0_raw,q_dot,-1.6637210891891296
P_oracle,417,increment2,D0_raw,q_dot,-1.5982116358551623
P1,415,increment2,increment2,angular,-4.222307978163675
P1,416,increment2,increment2,angular,6.343910291867472
P1,417,increment2,increment2,angular,3.158204891046479
P2,415,increment2,increment2,angular,-3.6319045845699782
P2,416,increment2,increment2,angular,4.908307249892685
P2,417,increment2,increment2,angular,-4.197388150091652
P_oracle,415,increment2,increment2,angular,-0.4383634239493839
P_oracle,416,increment2,increment2,angular,4.2327958357334605
P_oracle,417,increment2,increment2,angular,-4.646758018389107
P1,415,increment2,increment2,az_n,9.8167452679907
P1,416,increment2,increment2,az_n,9.506645933580016
P1,417,increment2,increment2,az_n,1.4311224533367417
P2,415,increment2,increment2,az_n,-6.850175481516086
P2,416,increment2,increment2,az_n,-7.370957165784475
P2,417,increment2,increment2,az_n,-19.601725222096245
P_oracle,415,increment2,increment2,az_n,-9.358179776327836
P_oracle,416,increment2,increment2,az_n,-8.340528696309036
P_oracle,417,increment2,increment2,az_n,-15.627721194133393
P1,415,increment2,increment2,linear,4.546016218645521
P1,416,increment2,increment2,linear,1.1130091500853423
P1,417,increment2,increment2,linear,1.8902557672513032
P2,415,increment2,increment2,linear,-0.5526889561900061
P2,416,increment2,increment2,linear,-0.9017166192505255
P2,417,increment2,increment2,linear,-3.731270540225884
P_oracle,415,increment2,increment2,linear,-1.994945434683837
P_oracle,416,increment2,increment2,linear,-1.0944940983936835
P_oracle,417,increment2,increment2,linear,-3.619076905452079
P1,415,increment2,increment2,q_dot,-0.451124437158934
P1,416,increment2,increment2,q_dot,1.9982303490185371
P1,417,increment2,increment2,q_dot,15.683651173080925
P2,415,increment2,increment2,q_dot,-7.029924951651434
P2,416,increment2,increment2,q_dot,-2.705913107730129
P2,417,increment2,increment2,q_dot,-4.644674052232545
P_oracle,415,increment2,increment2,q_dot,-1.5179911252502953
P_oracle,416,increment2,increment2,q_dot,-0.32318798521064895
P_oracle,417,increment2,increment2,q_dot,-3.2405073213923385
P1,415,increment2,increment2_state,angular,-4.307253940113631
P1,416,increment2,increment2_state,angular,6.537516921687048
P1,417,increment2,increment2_state,angular,3.39876126665124
P2,415,increment2,increment2_state,angular,-3.7191751853869914
P2,416,increment2,increment2_state,angular,5.232475849194018
P2,417,increment2,increment2_state,angular,-4.151469466331459
P_oracle,415,increment2,increment2_state,angular,-0.4959894630111039
P_oracle,416,increment2,increment2_state,angular,4.541721320403891
P_oracle,417,increment2,increment2_state,angular,-4.642231961471954
P1,415,increment2,increment2_state,delta_q_2,-0.3138294514518525
P1,416,increment2,increment2_state,delta_q_2,2.137289495323258
P1,417,increment2,increment2_state,delta_q_2,16.327920720833443
P2,415,increment2,increment2_state,delta_q_2,-7.003058023208952
P2,416,increment2,increment2_state,delta_q_2,-2.1578956670284533
P2,417,increment2,increment2_state,delta_q_2,-4.169138944455863
P_oracle,415,increment2,increment2_state,delta_q_2,-1.4813814585209029
P_oracle,416,increment2,increment2_state,delta_q_2,0.13418319329976391
P_oracle,417,increment2,increment2_state,delta_q_2,-2.954674211680053
P1,415,increment2,increment2_state,delta_vz_2,9.710981980759193
P1,416,increment2,increment2_state,delta_vz_2,9.18492733905576
P1,417,increment2,increment2_state,delta_vz_2,1.1161355820318297
P2,415,increment2,increment2_state,delta_vz_2,-7.166515374218618
P2,416,increment2,increment2_state,delta_vz_2,-7.829113038474356
P2,417,increment2,increment2_state,delta_vz_2,-19.840620100235874
P_oracle,415,increment2,increment2_state,delta_vz_2,-9.80671399170835
P_oracle,416,increment2,increment2_state,delta_vz_2,-8.85069918385355
P_oracle,417,increment2,increment2_state,delta_vz_2,-15.953105381045695
P1,415,increment2,increment2_state,linear,4.499869207798857
P1,416,increment2,increment2_state,linear,1.020154290439934
P1,417,increment2,increment2_state,linear,1.825573106913847
P2,415,increment2,increment2_state,linear,-0.6470798871371586
P2,416,increment2,increment2_state,linear,-1.006215980161207
P2,417,increment2,increment2_state,linear,-3.755815282106989
P_oracle,415,increment2,increment2_state,linear,-2.1210407196277092
P_oracle,416,increment2,increment2_state,linear,-1.2134715748067237
P_oracle,417,increment2,increment2_state,linear,-3.672752425893122
