split,contract,log_id,signal,n,rmse,r2,validation_fit,oracle_not_deployable
train,P1,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,az_n,2387,15.983588515869055,-2.1394427884609257,False,False
train,P1,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,q_dot,1867,31.183389586612602,-0.8408111354057191,False,False
train,P1,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,az_n,1867,17.66055479950327,-2.5131577827397726,False,False
train,P1,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,q_dot,1567,33.29208212152276,-1.3118532995806267,False,False
train,P1,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,az_n,1567,14.475923858200794,-1.324003711912983,False,False
train,P1,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,q_dot,1712,29.595423527628743,-1.1467416780567046,False,False
train,P1,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,az_n,1712,17.110070881835757,-2.6381175740879668,False,False
train,P2,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,q_dot,2369,12.435043824316686,0.3995871488081607,False,False
train,P2,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,az_n,2369,3.1418166284749565,0.8616196435331811,False,False
train,P2,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,q_dot,2416,11.761322932295453,0.4967684744324644,False,False
train,P2,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,az_n,2416,3.175651622192552,0.8722154969467306,False,False
train,P2,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,q_dot,2387,11.185331190217381,0.5606908549300821,False,False
train,P2,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,az_n,2387,2.8733542979023654,0.8985429216573833,False,False
train,P2,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,q_dot,1867,15.246390272854999,0.5599554397204878,False,False
train,P2,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,az_n,1867,3.4110251796409576,0.8689434230266828,False,False
train,P2,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,q_dot,1567,14.487320399307732,0.5622214406966031,False,False
train,P2,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,az_n,1567,2.8745727690619325,0.9083587822584457,False,False
train,P2,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,q_dot,1712,13.599276323522583,0.5467244788711907,False,False
train,P2,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,az_n,1712,3.3315577834195857,0.862067117170632,False,False
train,P_oracle,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,q_dot,2369,13.561024533716356,0.285930732202499,False,True
train,P_oracle,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,az_n,2369,3.188792179066025,0.8574506604402921,False,True
train,P_oracle,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,q_dot,2416,12.949633126057618,0.3899429921787524,False,True
train,P_oracle,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,az_n,2416,3.239269081732249,0.8670444307561018,False,True
train,P_oracle,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,q_dot,2387,12.034729039878115,0.4914365065108428,False,True
train,P_oracle,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,az_n,2387,2.8945489794777934,0.8970406486727484,False,True
train,P_oracle,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,q_dot,1867,16.421799550444284,0.48949019809344074,False,True
train,P_oracle,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,az_n,1867,3.437646173109937,0.8668898055337949,False,True
train,P_oracle,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,q_dot,1567,15.474958836459514,0.5004978491930068,False,True
train,P_oracle,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,az_n,1567,2.8391956598493473,0.9106005427684473,False,True
train,P_oracle,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,q_dot,1712,14.172436265210393,0.5077114956290403,False,True
train,P_oracle,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,az_n,1712,3.4419018599694793,0.8527788930781347,False,True
validation,P0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,q_dot,7841,23.1966576128645,-0.4793330964375093,False,False
validation,P0,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,az_n,7841,18.047426427626796,-2.1136311117218884,False,False
validation,P0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,q_dot,7391,22.713502133482205,-0.5308142103395783,False,False
validation,P0,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,az_n,7391,17.880676603268775,-2.2813745905560627,False,False
validation,P0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,q_dot,9475,22.83122286071245,-0.5166052345145744,False,False
validation,P0,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,az_n,9475,17.87747569825557,-2.2855374161317683,False,False
validation,P0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,q_dot,7586,23.650329219793665,-0.47383649760977087,False,False
validation,P0,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,az_n,7586,17.97955439020323,-2.2042077026066167,False,False
validation,P0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,q_dot,7792,23.4024782278341,-0.4873602131232404,False,False
validation,P0,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,az_n,7792,17.89657070382637,-2.2905485943612103,False,False
validation,P1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,q_dot,7841,31.25656680679889,-1.685948594985295,False,False
validation,P1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,az_n,7841,13.45654857178722,-0.7310274894581932,False,False
validation,P1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,q_dot,7391,23.93339750251626,-0.6996636592108936,False,False
validation,P1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,az_n,7391,19.82731832412557,-3.0347429578658174,False,False
validation,P1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,q_dot,9475,26.065110460884554,-0.9766662335796501,False,False
validation,P1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,az_n,9475,17.4264509295415,-2.121849195036466,False,False
validation,P1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,q_dot,7586,28.441285579556393,-1.1314412773367093,False,False
validation,P1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,az_n,7586,16.451537686467983,-1.6827228334337057,False,False
validation,P1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,q_dot,7792,30.056540637785794,-1.4534117904862613,False,False
validation,P1,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,az_n,7792,17.42015683749685,-2.1176889894452735,False,False
validation,P2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,q_dot,7841,10.997960041749247,0.6674634214828425,False,False
validation,P2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,az_n,7841,2.497445350338152,0.9403749734554093,False,False
validation,P2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,q_dot,7391,11.401274196339754,0.6142898551207943,False,False
validation,P2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,az_n,7391,2.5425954029172493,0.9336497705904477,False,False
validation,P2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,q_dot,9475,10.914813537763605,0.6533854049926712,False,False
validation,P2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,az_n,9475,2.5503490218546965,0.9331358601280262,False,False
validation,P2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,q_dot,7586,11.734543163351871,0.6371665658365462,False,False
validation,P2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,az_n,7586,2.4952100221603786,0.9382869480350938,False,False
validation,P2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,q_dot,7792,11.143303415634291,0.6627745274370656,False,False
validation,P2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,az_n,7792,2.504202940341145,0.9355730295469137,False,False
validation,P_oracle,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,q_dot,7841,11.839970921517507,0.6145958199511576,False,True
validation,P_oracle,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,az_n,7841,2.6062160923648734,0.9350682000190912,False,True
validation,P_oracle,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,q_dot,7391,12.236903405047844,0.5556784835854223,False,True
validation,P_oracle,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,az_n,7391,2.6510566902621306,0.9278683372452424,False,True
validation,P_oracle,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,q_dot,9475,11.849861594843816,0.591454191017065,False,True
validation,P_oracle,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,az_n,9475,2.6659180182593563,0.9269386648257542,False,True
validation,P_oracle,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,q_dot,7586,12.458341618336245,0.5910262848849773,False,True
validation,P_oracle,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,az_n,7586,2.5021789637648415,0.9379417464406016,False,True
validation,P_oracle,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,q_dot,7792,11.788598217251218,0.6225870545850049,False,True
validation,P_oracle,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,az_n,7792,2.514705585557954,0.9350314819373257,False,True
