experiment,horizon_s,signal,lag_steps,log_id,n_origins,rmse,axis_0_rmse,axis_1_rmse,axis_2_rmse
S0,5.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.9581405512958695,0.6935844123590401,0.6494696232716851,0.12313889481984647
S1,0.2,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.1664615906588205,0.07467533525318508,0.0806474548701735,0.125016172923556
S1,0.2,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.14141217291559463,0.06606399563898446,0.06704919084252765,0.10553367773504618
S1,0.2,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.1492778536070498,0.07120262392140518,0.06938048684739757,0.11135713703689054
S1,0.2,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.15678550524376064,0.0736481867049644,0.0754081070410827,0.11606574275854445
S1,0.2,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.15423090329182315,0.07565300167298257,0.06725402660032016,0.11636447384886348
S1,0.2,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8008645518657647,0.6025267611068251,0.5125829629216911,0.12491692722642231
S1,0.2,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.7500925982448591,0.5556006225368205,0.4914720386778098,0.11136466843796756
S1,0.2,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.7606569254765091,0.5547520419575558,0.5083227630974423,0.11161137368691135
S1,0.2,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.8196179514224483,0.5885261414777475,0.5565772039072413,0.12502952924026514
S1,0.2,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.8103289833078521,0.6152916659860252,0.5132369348871334,0.1209837824856665
S1,0.5,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.18089808640287752,0.07668498693369616,0.08256862033692744,0.14151308553931724
S1,0.5,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.1522314979340324,0.06725295110644758,0.06806081019622733,0.1184026842860676
S1,0.5,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.1597176085038164,0.07103326828362978,0.07140324884803467,0.1239579175247385
S1,0.5,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.17305957837243763,0.07265100440787385,0.07648704893632423,0.13719030785731665
S1,0.5,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.16973168372373368,0.07684664727167072,0.06985204736747949,0.13425397104506215
S1,0.5,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8197529287019089,0.6050230184176566,0.5374616547625622,0.13067892316679558
S1,0.5,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.7669060390711476,0.5536967679673265,0.5187543289800399,0.11161858299943482
S1,0.5,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.7783908075269848,0.5603299055305186,0.5275385653819641,0.11672920904987992
S1,0.5,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.8366933432196091,0.5937235141490409,0.5756353177728056,0.12724826233438852
S1,0.5,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.846088111612328,0.6296580716017568,0.5523118749205963,0.11978062572957204
S1,1.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.22079687722439062,0.08350080636362556,0.08792079767532908,0.1845231954655045
S1,1.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.18358679770546774,0.07069568108879605,0.07145221687111698,0.15362556320919524
S1,1.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.19329230154898444,0.07452533269876106,0.076874491502329,0.16092918063701456
S1,1.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.20582598384430167,0.07696347462202772,0.08033183038566265,0.1731697324201558
S1,1.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.20871677551889686,0.08234300701090978,0.07720124179866689,0.17556278034979572
S1,1.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8446119708282008,0.617799676807003,0.5609180976705418,0.13062858917220538
S1,1.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.7816569431792135,0.5567722025476478,0.5371631676910001,0.11157070657965577
S1,1.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8037852600252761,0.5754135601177364,0.5487384118798615,0.11771208261729245
S1,1.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.858977380681829,0.6107796165589287,0.5904118445158132,0.1272959322782122
S1,1.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.8800436298852835,0.6550048166277633,0.5751626951831069,0.12096840399790519
S1,2.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.294417835751373,0.09626174546746931,0.09838164444235943,0.2602625413018473
S1,2.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.2337862665058893,0.07531167055774411,0.07797249272687135,0.20713392059854058
S1,2.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.2576507563196743,0.083458966159876,0.08696738416397838,0.22771734077865013
S1,2.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.2693135658947189,0.0863271885962706,0.09136730311171255,0.23817940550367794
S1,2.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.28073015814844404,0.0929980359491057,0.08769542427744759,0.2499405920703112
S1,2.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8751892167506807,0.6254164800808012,0.5980699627738928,0.13085377788831767
S1,2.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8026293875297767,0.5619526733873728,0.5621516537031984,0.11139409696195131
S1,2.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8357900014364539,0.5897640396333246,0.5805027941048432,0.11721693603315204
S1,2.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.886591505731189,0.6192547130572519,0.6215976516062569,0.1272181508616755
S1,2.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.915156431237711,0.6739506569984446,0.607071210030264,0.1215168775088431
S1,3.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.34125256290960504,0.10256990373410087,0.10403360548517859,0.308398663210633
S1,3.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.2670803763665335,0.07863555986212002,0.08261822422848374,0.24150073538312897
S1,3.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.2969622231712352,0.09068503555347046,0.09216945995111823,0.2673342046386648
S1,3.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.30495923946383335,0.09266609267233031,0.09913461331624739,0.27310338966376974
S1,3.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.3390470926053585,0.10061107884109118,0.09446925130059082,0.3096867810825707
S1,3.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.8912792240952317,0.6296752360098172,0.617109354427945,0.13062846985747084
S1,3.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8151125268083791,0.5673507633046765,0.57449442610817,0.11170361278036534
S1,3.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.852518127472593,0.5987348114171057,0.5954994328796557,0.11697952259565654
S1,3.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.8975850262206456,0.6223565428613038,0.6341422903577896,0.12725866741805908
S1,3.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.9374310625704737,0.6863043482860265,0.6268022863059861,0.12199275583938797
S1,5.0,velocity,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.4191761633507296,0.10849663982262521,0.11150538335617785,0.38923474222020427
S1,5.0,velocity,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.33786444917071434,0.08501495306242944,0.08951185483290248,0.3145035319572684
S1,5.0,velocity,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.36116225731839896,0.09897786236030934,0.09910775622730096,0.3328951960144438
S1,5.0,velocity,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.3603782350739381,0.09978193011898757,0.10813701486983579,0.32897176892824254
S1,5.0,velocity,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.41529040074625334,0.10755273978606446,0.10130147834521253,0.38811922859035114
S1,5.0,omega,2,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,145,0.9153581239668402,0.6349888564479323,0.6464359014059694,0.1295772845544015
S1,5.0,omega,2,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,135,0.8345193412780166,0.5730593616669978,0.5963320841197512,0.11141608690984292
S1,5.0,omega,2,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,170,0.8726386542222734,0.6097925150039779,0.6132757169688643,0.11637957064841419
S1,5.0,omega,2,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,132,0.9152860560264025,0.6290276103460558,0.6526143515388289,0.12715084720225536
S1,5.0,omega,2,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,140,0.9619271862235983,0.698590425722569,0.6498143756572172,0.12254226158362584
